name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
OperatingCashFlow,"141,277,000","193,055,000","117,808,000","184,675,000","186,439,000","61,749,000","92,454,000","134,975,000","150,257,000","170,463,000","122,632,000","101,360,000","104,379,000","101,008,000","92,581,000","103,826,000","73,063,000","61,591,000","85,601,000","84,285,000","41,782,000","84,841,000","95,551,000","96,388,000","76,718,000","85,600,000","62,000,000","41,900,000","29,800,000","12,000,000","10,500,000","6,400,000","4,200,000"
	CashFlowFromContinuingOperatingActivities,"141,277,000","193,055,000","117,808,000","184,675,000","186,439,000","61,749,000","92,454,000","134,975,000","150,257,000","170,463,000","122,632,000","101,360,000","104,379,000","101,008,000","92,581,000","103,826,000","73,063,000","61,591,000","85,576,000","82,117,000","38,599,000","84,841,000","95,551,000","96,388,000","76,718,000","85,600,000","62,000,000","41,900,000","29,800,000","12,000,000","10,500,000","6,400,000","4,200,000"
		NetIncomeFromContinuingOperations,"69,844,000","82,799,000","69,349,000","124,955,000","60,614,000","5,657,000","4,073,000","106,525,000","109,092,000","81,964,000","77,697,000","72,979,000","66,002,000","58,467,000","56,063,000","57,485,000","36,796,000","32,735,000","63,375,000","44,268,000","20,037,000","33,563,000","46,797,000","47,245,000","31,824,000","47,300,000","35,000,000","23,600,000","18,600,000","11,200,000","7,200,000","4,100,000","2,500,000"
		OperatingGainsLosses,,,,,,"5,914,000","289,000",,"-11,572,000",,,,"269,000","1,200,000",,,,"7,371,000","4,898,000","12,002,000","7,201,000","11,735,000","9,406,000","2,607,000","28,435,000","2,600,000","900,000","-600,000",,,,,
			GainLossOnSaleOfBusiness,,,,,,,"289,000","0","-11,572,000",,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,"5,914,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"68,947,000","64,090,000","52,032,000","48,816,000","49,705,000","47,281,000","46,403,000","43,668,000","40,987,000","40,307,000","39,965,000","35,105,000","32,798,000","32,681,000","32,407,000","31,446,000","32,846,000","31,866,000","27,208,000","28,750,000","31,159,000","31,059,000","31,741,000","35,176,000","34,172,000","25,200,000","21,000,000","21,100,000","14,300,000","8,700,000","5,300,000","1,900,000","700,000"
			DepreciationAndAmortization,"68,947,000","64,090,000","52,032,000","48,816,000","49,705,000","47,281,000","46,403,000","43,668,000","40,987,000","40,307,000","39,965,000","35,105,000","32,798,000","32,681,000","32,407,000","31,446,000","32,846,000","31,866,000","27,208,000","28,750,000","31,159,000","31,059,000","31,741,000","35,176,000","34,172,000","25,200,000","21,000,000","21,100,000","14,300,000","8,700,000","5,300,000","1,900,000","700,000"
		DeferredTax,"-6,843,000","-5,991,000","2,798,000","3,753,000","-9,268,000","-3,764,000","1,620,000","498,000","11,624,000","-6,246,000","4,422,000","5,848,000","2,035,000","9,345,000","4,944,000","5,186,000","-3,608,000","-10,779,000","3,191,000","4,385,000","-16,280,000","1,037,000","-1,018,000","8,414,000","-5,609,000","1,800,000","-1,400,000","500,000","2,000,000","1,200,000",,"-100,000",
			DeferredIncomeTax,"-6,843,000","-5,991,000","2,798,000","3,753,000","-9,268,000","-3,764,000","1,620,000","498,000","11,624,000","-6,246,000","4,422,000","5,848,000","2,035,000","9,345,000","4,944,000","5,186,000","-3,608,000","-10,779,000","3,191,000","4,385,000","-16,280,000","1,037,000","-1,018,000","8,414,000","-5,609,000","1,800,000","-1,400,000","500,000","2,000,000","1,200,000",,"-100,000",
		AssetImpairmentCharge,,,,,,"0","0","1,674,000","1,350,000","0","979,000","0","269,000","1,200,000","479,000","1,258,000","8,818,000","1,807,000",,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"7,195,000","5,393,000","20,539,000","-852,000","-4,734,000","3,139,000","6,849,000","29,000","409,000","1,232,000","1,795,000","1,921,000","1,674,000","1,037,000","917,000","2,242,000",,,,,,,,,,,,,,,,,
		StockBasedCompensation,"11,971,000","17,924,000","18,388,000","16,919,000","16,310,000","15,303,000","9,936,000","10,413,000","10,123,000","9,423,000","8,712,000","7,409,000","6,905,000","6,704,000","6,066,000","5,817,000","2,564,000","4,883,000",,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,"-10,282,000","-4,755,000","-1,967,000","-741,000","-359,000","-1,035,000","-771,000","-3,325,000",,,,,,,,,,,,,,,
		OtherNonCashItems,"16,031,000","66,000","13,121,000","581,000","2,257,000","-1,536,000","5,966,000","3,375,000","-8,235,000","4,633,000","3,759,000","2,767,000","3,230,000","4,556,000","-743,000","7,078,000","7,024,000","7,282,000","1,429,000",,,,,,,"-200,000","-2,700,000",,"500,000","300,000","100,000","900,000","600,000"
		ChangeInWorkingCapital,"-26,833,000","28,774,000","-58,419,000","-9,497,000","71,555,000","-10,245,000","17,607,000","-31,207,000","-15,093,000","39,150,000","-14,697,000","-24,669,000","-6,298,000","-12,241,000","-7,193,000","-5,651,000","-10,606,000","-2,878,000","-14,525,000","-7,288,000","-3,518,000","7,447,000","8,625,000","2,946,000","-12,104,000","8,900,000","9,200,000","-2,700,000","-5,600,000","-9,400,000","-2,000,000","-400,000","400,000"
			ChangeInReceivables,"-3,048,000","-1,837,000","-28,581,000","-4,090,000","-18,660,000","5,941,000","-10,000,000","-8,889,000","5,657,000","10,227,000","-15,268,000","-11,058,000","-18,048,000","-4,298,000","-5,022,000","155,000","-5,162,000","-183,000","-6,020,000","-231,000","-10,476,000","-6,258,000","3,001,000","-1,408,000","-3,296,000","-1,800,000","-2,100,000","-2,200,000","-2,900,000","-4,700,000","-1,600,000","-2,400,000","-300,000"
				ChangesInAccountReceivables,"-2,374,000","-8,049,000","-29,167,000","4,023,000","-22,420,000","-6,181,000","2,157,000","-7,358,000","1,557,000","-9,179,000","-5,741,000","-11,058,000","-18,048,000","-4,298,000","-5,022,000","155,000","-5,162,000","-183,000",,,,,,,,,,,,,,,
			ChangeInInventory,"-416,000","5,441,000","-7,496,000","-4,708,000","-2,736,000","-326,000","3,093,000","-5,485,000","-3,639,000","4,967,000","-2,838,000","-857,000","-1,947,000","-2,689,000","-1,848,000","1,096,000","1,833,000","7,915,000","-583,000","-3,811,000","-5,927,000","252,000","-3,682,000","5,366,000","-7,698,000","-300,000","-600,000","-2,300,000","-1,700,000","-2,600,000","-900,000","-600,000","-400,000"
			ChangeInPrepaidAssets,"-3,587,000","817,000","5,587,000","2,866,000","2,884,000","1,367,000","3,795,000","-4,414,000","-3,826,000","-2,425,000","-4,394,000","-1,553,000","-2,572,000","-2,514,000","-1,303,000","595,000","914,000","-3,402,000","-2,148,000","2,715,000","-3,247,000","1,987,000","-2,888,000","-1,715,000","-611,000",,,,,,,,
			ChangeInPayablesAndAccruedExpense,"314,000","39,860,000","-14,214,000","16,330,000","70,246,000","-8,287,000","17,382,000","-9,858,000","-8,867,000","24,892,000","7,739,000","-5,534,000","18,327,000","-2,108,000","-771,000","-5,061,000","-4,175,000","2,350,000","-2,168,000","-5,860,000","6,082,000","3,479,000","-229,000","222,000","-1,439,000","4,800,000","2,300,000","2,200,000","3,700,000","2,600,000","1,600,000","2,800,000","900,000"
				ChangeInPayable,"18,825,000","32,458,000","-19,060,000","455,000","10,893,000","3,044,000","-4,371,000","-6,846,000","-907,000","3,691,000","8,404,000","-2,998,000","6,118,000","3,577,000","5,059,000","-5,399,000","-2,009,000","1,893,000",,,,,,,,,,,,,,,
					ChangeInTaxPayable,"-1,356,000","9,087,000","-10,710,000","9,733,000","2,664,000","1,009,000","-3,971,000","1,897,000","9,000","-1,113,000","5,233,000","-6,027,000","6,460,000","2,180,000","480,000","-3,623,000",,,,,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,"-1,356,000","9,087,000","-10,710,000","9,733,000","2,664,000","1,009,000","-3,971,000","1,897,000","9,000","-1,113,000","5,233,000","-6,027,000","6,460,000","2,180,000","480,000","-3,623,000",,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"20,181,000","23,371,000","-8,350,000","-9,278,000","8,229,000","2,035,000","-400,000","-8,743,000","-916,000","4,804,000","3,171,000","3,029,000","-342,000","1,397,000","4,579,000","-1,776,000","-2,009,000","1,893,000",,,,,,,,,,,,,,,
				ChangeInAccruedExpense,"-18,511,000","7,402,000","4,846,000","15,875,000","59,353,000","-11,331,000","21,753,000","-3,012,000","-7,960,000","21,201,000","-665,000","-2,536,000","12,209,000","-5,685,000","-5,830,000","338,000","-2,166,000","457,000",,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,"-15,989,000",,,,,"-277,000","4,834,000","-1,158,000","616,000","829,000","-387,000","-1,458,000","-1,667,000","1,486,000","773,000","2,009,000","446,000","2,468,000","-630,000","-2,971,000","-795,000",,"4,217,000","5,642,000","-1,140,000","-2,300,000","1,400,000","-6,700,000","-8,000,000","-4,600,000","-2,800,000","-600,000","-100,000"
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,"1,214,000","-4,079,000","-1,549,000","-4,934,000","3,929,000","2,870,000","10,845,000","-1,583,000","8,206,000","-5,161,000","2,080,000","10,100,000","9,500,000","7,200,000","3,300,000","-100,000","1,700,000","400,000","300,000"
			ChangeInOtherWorkingCapital,"-20,096,000","-15,507,000","-13,715,000","-19,895,000","19,821,000","-8,940,000","3,337,000","-1,403,000","-5,034,000","660,000","451,000","-4,209,000","-391,000","-2,118,000","978,000","-4,445,000","-2,913,000","-7,092,000","-6,905,000",,"-795,000","9,570,000",,"5,642,000",,"-1,600,000","-1,300,000","-900,000",,,,,
	CashFromDiscontinuedOperatingActivities,,,,,,,,,,,,,,,,,"0","0","25,000","2,168,000","3,183,000",,,,,,,,,,,,
InvestingCashFlow,"-63,237,000","-75,123,000","-62,793,000","-63,512,000","-41,071,000","-32,575,000","-38,799,000","-56,498,000","-46,274,000","-38,952,000","-55,034,000","-49,438,000","-49,120,000","-27,386,000","-28,435,000","-35,555,000","-26,232,000","-55,323,000","-53,562,000","-7,086,000","-17,763,000","-14,086,000","-19,908,000","-22,257,000","-58,984,000","-95,200,000","-63,000,000","-53,700,000","-77,600,000","-36,300,000","-34,700,000","-16,400,000","-2,500,000"
	CashFlowFromContinuingInvestingActivities,"-63,237,000","-75,123,000","-62,793,000","-63,512,000","-41,071,000","-32,575,000","-38,799,000","-56,498,000","-46,274,000","-38,952,000","-55,034,000","-49,438,000","-49,120,000","-27,386,000","-28,435,000","-35,555,000","-26,232,000","-55,323,000","-61,582,000","-7,086,000","-17,763,000","-14,086,000","-19,908,000","-22,257,000","-58,984,000","-95,200,000","-63,000,000","-53,700,000","-77,600,000","-36,300,000","-34,700,000","-16,400,000","-2,500,000"
		NetPPEPurchaseAndSale,"-67,559,000","-73,163,000","-78,391,000","-68,559,000","-35,652,000","-37,711,000","-42,028,000","-52,593,000","-55,554,000","-38,972,000","-48,655,000","-50,750,000","-42,628,000","-29,319,000","-31,125,000","-33,538,000","-29,271,000","-31,148,000","-39,066,000","-17,485,000","-17,224,000","-15,299,000","-18,120,000","-24,747,000","-59,437,000","-81,200,000","-70,900,000","-44,500,000","-28,800,000","-32,700,000","-18,600,000","-7,200,000","-2,200,000"
