name,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991
TotalAssets,"29,445,500,000","27,978,400,000","31,392,600,000","29,374,500,000","19,219,600,000","24,156,400,000","14,365,600,000","14,312,500,000","12,416,300,000","10,752,900,000","11,516,700,000","8,219,200,000","7,360,400,000","6,385,900,000","5,576,800,000","5,672,600,000","5,343,900,000","4,428,941,000","3,513,693,000","3,386,541,000","2,729,746,000","2,214,783,000","1,846,519,000","1,491,546,000","1,252,500,000","992,800,000","857,200,000","726,600,000","468,200,000","231,400,000","193,000,000","87,900,000","37,800,000"
	CurrentAssets,"7,303,400,000","7,018,700,000","9,756,400,000","7,806,400,000","5,653,900,000","12,494,200,000","5,283,400,000","4,757,900,000","3,971,000,000","4,168,700,000","5,471,400,000","4,199,600,000","3,794,900,000","2,756,400,000","2,035,800,000","1,748,000,000","1,696,500,000","1,529,788,000","1,209,334,000","1,350,895,000","924,029,000","772,643,000","593,925,000","458,234,000","386,500,000","337,300,000","317,600,000","339,500,000","205,700,000","84,600,000","66,200,000","53,200,000","11,400,000"
		CashCashEquivalentsAndShortTermInvestments,"3,953,000,000","3,182,900,000","6,617,900,000","4,632,100,000","2,757,100,000","8,937,800,000","2,690,900,000","2,263,200,000","1,611,400,000","1,843,800,000","3,233,800,000","2,037,000,000","2,050,700,000","1,449,700,000","666,100,000","322,300,000","438,700,000","453,644,000","307,036,000","653,009,000","350,011,000","327,339,000","220,549,000","132,153,000","117,800,000","123,600,000","70,100,000","126,200,000","20,900,000","8,400,000","16,400,000","20,800,000","1,100,000"
			CashAndCashEquivalents,"3,551,500,000","2,818,400,000","6,455,700,000","4,350,900,000","2,686,600,000","8,756,300,000","2,462,300,000","2,128,800,000","1,530,100,000","1,708,400,000","2,575,700,000","1,188,600,000","1,148,100,000","1,164,000,000","599,800,000","269,800,000","281,300,000","312,606,000","173,809,000","145,053,000","200,907,000","99,677,000","113,237,000","70,817,000","66,400,000","101,700,000","70,100,000","126,200,000","20,900,000","8,400,000","16,400,000","20,800,000","1,100,000"
			OtherShortTermInvestments,"401,500,000","364,500,000","162,200,000","281,200,000","70,500,000","181,500,000","228,600,000","134,400,000","81,300,000","135,400,000","658,100,000","848,400,000","902,600,000","285,700,000","66,300,000","52,500,000","157,400,000","141,038,000","133,227,000","507,956,000","149,104,000","227,662,000","107,312,000","61,336,000","51,400,000","21,900,000",,,,,,,
		Receivables,"1,184,100,000","1,175,500,000","1,133,100,000","1,395,400,000","1,020,300,000","1,648,500,000","938,400,000","768,800,000","719,000,000","631,000,000","561,400,000","485,900,000","386,500,000","302,700,000","271,000,000","329,500,000","287,900,000","224,271,000","190,762,000","140,226,000","114,448,000","97,573,000","90,425,000","76,385,000","47,600,000","51,000,000","31,200,000","17,600,000","10,200,000","5,400,000","2,900,000","1,600,000","900,000"
			AccountsReceivable,"1,184,100,000","1,175,500,000","940,000,000","883,400,000","879,200,000","693,100,000","870,400,000","768,800,000","719,000,000","631,000,000","561,400,000","485,900,000","386,500,000","302,700,000","271,000,000","329,500,000","287,900,000","224,271,000","190,762,000","140,226,000","114,448,000","97,573,000","90,425,000","76,385,000","47,600,000","51,000,000","31,200,000","17,600,000","10,200,000","5,400,000","2,900,000","1,600,000","900,000"
				GrossAccountsReceivable,"1,207,900,000","1,202,700,000","965,600,000","910,500,000","885,900,000","701,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-23,800,000","-27,200,000","-25,600,000","-27,100,000","-6,700,000","-8,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,"27,700,000","20,700,000","356,900,000","141,100,000","955,400,000","68,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,"69,400,000","172,400,000","155,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,806,400,000","2,176,600,000","1,603,900,000","1,551,400,000","1,529,400,000","1,400,500,000","1,364,000,000","1,378,500,000","1,306,400,000","1,090,900,000","1,111,200,000","1,241,500,000","965,800,000","543,300,000","664,900,000","692,800,000","691,700,000","636,222,000","546,299,000","422,663,000","342,944,000","263,174,000","221,253,000","201,656,000","180,900,000","143,100,000","119,800,000","83,400,000","123,700,000","56,100,000","24,200,000","11,700,000","8,100,000"
			RawMaterials,"1,161,500,000","1,435,400,000","1,041,100,000","1,034,000,000","964,900,000","846,200,000","761,800,000","769,500,000","708,400,000","586,300,000","632,500,000","837,700,000","815,000,000","427,700,000","548,900,000","572,200,000",,"81,627,000","61,229,000",,,,,,,,,,,,,,
			FinishedGoods,"644,900,000","741,200,000","562,800,000","517,400,000","564,500,000","554,300,000","602,200,000","609,000,000","598,000,000","504,600,000","478,700,000","403,800,000","150,800,000","115,600,000","116,000,000","120,600,000",,,,,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,,"554,595,000","485,070,000",,,,,,,,,,,,,,
		PrepaidAssets,,"386,600,000","401,500,000","227,500,000","347,100,000","507,400,000","290,100,000","347,400,000","334,200,000","285,600,000","287,700,000","196,500,000","161,500,000","156,500,000","147,200,000","169,200,000","148,800,000","126,874,000","94,429,000","71,347,000","55,173,000","42,351,000","29,829,000","18,736,000",,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,"381,700,000","317,400,000","277,300,000","238,700,000","230,400,000","304,200,000","286,600,000","234,200,000","129,400,000","88,777,000","70,808,000","63,650,000","61,453,000","42,206,000","31,869,000","29,304,000",,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,"381,700,000","317,400,000","277,300,000","238,700,000","230,400,000","304,200,000","286,600,000","234,200,000","129,400,000","88,777,000","70,808,000","63,650,000","61,453,000","42,206,000","31,869,000","29,304,000",,,,,,,,,
		OtherCurrentAssets,"359,900,000","483,700,000",,,,,"358,100,000","347,400,000","334,200,000","285,600,000","287,700,000","196,500,000",,,,,,,,,,,,"49,625,000","40,200,000","19,600,000","96,500,000","112,300,000","50,900,000","14,700,000","22,700,000","19,100,000","1,300,000"
	TotalNonCurrentAssets,"22,142,100,000","20,959,700,000","21,636,200,000","21,568,100,000","13,565,700,000","11,662,200,000","9,082,200,000","9,554,600,000","8,445,300,000","6,584,200,000","6,045,300,000","4,019,600,000","3,565,500,000","3,629,500,000","3,541,000,000","3,924,600,000","3,647,400,000","2,899,153,000","2,304,359,000","2,035,646,000","1,805,717,000","1,442,140,000","1,252,594,000","1,033,312,000","866,000,000","655,500,000","539,600,000","387,100,000","262,500,000","146,800,000","126,800,000","34,700,000","26,400,000"
		NetPPE,"15,799,700,000","14,576,100,000","14,605,500,000","14,375,500,000","6,431,700,000","5,929,100,000","4,919,500,000","4,533,800,000","4,088,300,000","3,519,000,000","3,200,500,000","2,658,900,000","2,355,000,000","2,416,500,000","2,536,400,000","2,956,400,000","2,890,400,000","2,287,899,000","1,842,019,000","1,551,416,000","1,384,902,000","1,265,756,000","1,135,784,000","930,759,000","760,300,000","600,800,000","488,800,000","369,500,000","244,700,000","140,800,000","65,800,000","33,600,000","22,300,000"
			GrossPPE,"25,722,800,000","23,625,400,000","23,064,800,000","22,289,400,000","14,273,500,000","13,197,100,000","11,584,000,000","10,573,300,000","9,641,800,000","8,581,100,000","7,782,100,000","6,903,100,000","6,163,100,000","5,888,700,000","5,700,900,000","5,717,300,000","5,306,542,000","4,257,703,000","3,467,583,000","2,877,682,000","2,434,712,000","2,080,183,000","1,741,031,000","1,377,162,000","1,081,300,000","819,300,000","632,100,000","457,500,000","296,900,000","170,800,000","81,600,000","43,000,000","28,100,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,
				LandAndImprovements,"46,100,000","46,100,000","46,200,000","46,000,000","46,800,000","46,800,000","46,900,000","46,600,000","46,600,000","46,700,000","47,000,000","46,200,000","44,800,000","58,000,000","58,200,000","59,100,000","56,238,000","32,350,000","13,833,000","13,118,000","11,414,000","11,310,000","6,023,000",,,,,,,,,,
				BuildingsAndImprovements,"666,500,000","555,400,000","587,600,000","586,800,000","691,500,000","557,300,000","481,700,000","458,400,000","411,500,000","278,100,000","259,600,000","225,200,000","218,500,000","265,700,000","231,500,000","217,700,000","3,264,851,000","2,545,632,000","2,016,143,000","1,672,375,000","1,375,451,000","1,162,343,000","980,527,000",,,,,,,,,,
				MachineryFurnitureEquipment,"1,664,500,000","1,526,100,000","1,392,000,000","1,285,700,000","1,799,000,000","1,659,300,000","1,514,100,000","1,366,900,000","1,281,700,000","1,078,100,000","949,700,000","836,200,000","2,154,700,000","1,955,800,000","1,943,000,000","1,783,800,000","1,770,182,000","1,504,723,000","1,292,098,000","1,099,054,000","989,679,000","798,197,000","661,050,000",,,,,,,,,,
				OtherProperties,"12,604,500,000","11,872,300,000","12,027,300,000","11,731,000,000","3,429,100,000","3,059,000,000","2,730,500,000","2,537,100,000","2,249,900,000","1,904,200,000","1,751,800,000","1,573,800,000",,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"607,500,000","558,700,000","374,100,000","377,300,000","358,500,000","501,900,000","409,800,000","271,400,000","242,500,000","415,600,000","342,400,000","264,100,000","127,400,000","173,600,000","119,200,000","293,600,000","215,271,000","174,998,000","145,509,000","93,135,000","58,168,000","108,333,000","93,431,000",,,,,,,,,,
				Leases,"10,133,700,000","9,066,800,000","8,637,600,000","8,262,600,000","7,948,600,000","7,372,800,000","6,401,000,000","5,892,900,000","5,409,600,000","4,858,400,000","4,431,600,000","3,957,600,000","3,617,700,000","3,435,600,000","3,349,000,000","3,363,100,000",,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-9,923,100,000","-9,049,300,000","-8,459,300,000","-7,913,900,000","-7,841,800,000","-7,268,000,000","-6,664,500,000","-6,039,500,000","-5,553,500,000","-5,062,100,000","-4,581,600,000","-4,244,200,000","-3,808,100,000","-3,472,200,000","-3,164,500,000","-2,760,900,000","-2,416,142,000","-1,969,804,000","-1,625,564,000","-1,326,266,000","-1,049,810,000","-814,427,000","-605,247,000","-446,403,000","-321,000,000","-218,500,000","-143,300,000","-88,000,000","-52,200,000","-30,000,000","-15,800,000","-9,400,000","-5,800,000"
		GoodwillAndOtherIntangibleAssets,"3,338,800,000","3,439,400,000","4,027,200,000","4,149,300,000","4,272,600,000","4,583,800,000","1,980,600,000","2,235,900,000","2,095,800,000","1,129,700,000","1,137,700,000","542,800,000","433,500,000","333,200,000","327,300,000","333,100,000","257,700,000","199,433,000","127,883,000","95,750,000","88,286,000","29,764,000","21,845,000","21,311,000","14,200,000","100,000",,,,,,,
			Goodwill,"3,218,300,000","3,283,500,000","3,677,300,000","3,597,200,000","3,490,800,000","3,541,600,000","1,539,200,000","1,719,600,000","1,575,400,000","856,200,000","862,900,000","399,100,000","321,600,000","262,400,000","259,100,000","266,500,000","215,600,000","161,478,000","92,474,000",,,,,,,,,,,,,,
			OtherIntangibleAssets,"120,500,000","155,900,000","349,900,000","552,100,000","781,800,000","1,042,200,000","441,400,000","516,300,000","520,400,000","273,500,000","274,800,000","143,700,000","111,900,000","70,800,000","68,200,000","66,600,000","42,100,000","37,955,000","35,409,000","95,750,000","88,286,000","29,764,000","21,845,000","21,311,000","14,200,000","100,000",,,,,,,
		InvestmentsAndAdvances,"687,300,000","590,300,000","550,200,000","684,800,000","616,000,000","602,400,000","1,023,900,000","1,496,200,000","664,500,000","833,300,000","554,800,000","575,900,000","479,300,000","533,300,000","423,500,000","374,000,000",,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"439,900,000","311,200,000","268,500,000","478,700,000","396,000,000","334,700,000","481,600,000","354,500,000","352,000,000","514,900,000","496,500,000","459,900,000",,,,,,,,,,,,,,,,,,,,,
				InvestmentsInOtherVenturesUnderEquityMethod,"24,200,000","28,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinJointVenturesatCost,"415,700,000","283,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,"247,400,000","279,100,000","281,700,000","206,100,000","220,000,000","267,700,000","542,300,000","1,141,700,000","312,500,000","318,400,000","58,300,000","116,000,000","107,000,000",,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,"247,400,000","279,100,000","281,700,000","206,100,000","220,000,000","267,700,000","542,300,000","1,141,700,000","312,500,000","318,400,000","58,300,000","116,000,000",,,,,,,,,,,,,,,,,,,,,
			OtherInvestments,,,,,,,,,,,,"459,900,000","372,300,000",,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"1,769,800,000","1,799,700,000","1,874,800,000","1,789,900,000","1,765,800,000","134,700,000","795,400,000","885,400,000","1,180,800,000","903,300,000","967,000,000","97,300,000","156,300,000",,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"1,769,800,000","1,799,700,000","1,874,800,000","1,789,900,000","1,765,800,000","134,700,000","795,400,000","885,400,000","1,180,800,000","903,300,000","967,000,000","97,300,000","156,300,000",,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"546,500,000","554,200,000","578,500,000","568,600,000","479,600,000","412,200,000","362,800,000","403,300,000","415,900,000","198,900,000","185,300,000","144,700,000","141,400,000","346,500,000","253,800,000","261,100,000","499,300,000","411,821,000","334,457,000","388,480,000","332,529,000","146,620,000","94,965,000","81,242,000","91,500,000","54,600,000","50,800,000","17,600,000","17,800,000","6,000,000","61,000,000","1,100,000","4,100,000"
TotalLiabilitiesNetMinorityInterest,"37,433,300,000","36,677,100,000","36,707,100,000","37,173,900,000","25,450,600,000","22,980,600,000","8,908,600,000","8,421,800,000","6,596,500,000","5,479,200,000","7,034,400,000","3,104,700,000","2,973,100,000","2,703,600,000","2,519,900,000","3,181,700,000","3,042,500,000","2,200,435,000","1,423,431,000","916,330,000","647,319,000","491,203,000","470,592,000","339,559,000","291,100,000","198,500,000","323,500,000","274,900,000","156,000,000","121,500,000","104,900,000","12,600,000","15,700,000"
	CurrentLiabilities,"9,345,300,000","9,151,800,000","8,151,400,000","7,346,800,000","6,168,700,000","5,684,200,000","4,220,700,000","4,546,800,000","3,648,100,000","3,038,700,000","5,377,300,000","2,209,800,000","2,075,800,000","1,779,100,000","1,581,000,000","2,189,700,000","2,155,600,000","1,935,620,000","1,226,996,000","746,259,000","608,703,000","462,595,000","445,264,000","311,666,000","251,200,000","179,500,000","145,500,000","101,100,000","71,000,000","40,400,000","24,400,000","12,600,000","8,200,000"
		PayablesAndAccruedExpenses,"4,517,700,000","4,340,200,000","4,305,100,000","2,952,800,000","4,899,700,000","3,691,400,000","2,192,500,000","2,218,900,000","1,917,200,000","1,610,200,000","4,124,900,000","1,150,300,000","1,116,500,000","1,218,800,000","1,038,000,000","955,100,000","1,147,600,000","1,002,932,000","774,200,000","624,147,000","534,505,000","419,621,000","355,661,000","73,653,000","56,100,000","49,900,000","48,000,000","38,000,000","28,700,000","9,100,000","5,700,000","4,000,000","3,100,000"
			Payables,"2,597,500,000","2,383,500,000","2,355,700,000","1,258,800,000","3,143,800,000","1,911,300,000","1,438,600,000","1,464,100,000","1,240,200,000","1,045,500,000","812,500,000","693,800,000","775,800,000","382,800,000","394,900,000","401,000,000","390,800,000","340,937,000","220,975,000","199,346,000","168,984,000","135,994,000","127,905,000","73,653,000","56,100,000","49,900,000","48,000,000","38,000,000","28,700,000","9,100,000","5,700,000","4,000,000","3,100,000"
				AccountsPayable,"1,544,300,000","1,441,400,000","1,211,600,000","997,900,000","1,189,700,000","1,179,300,000","782,500,000","730,600,000","684,200,000","533,700,000","491,700,000","398,100,000","540,000,000","282,600,000","267,100,000","324,900,000","390,800,000","340,937,000","220,975,000","199,346,000","168,984,000","135,994,000","127,905,000","73,653,000","56,100,000","49,900,000","48,000,000","38,000,000","28,700,000","9,100,000","5,700,000","4,000,000","3,100,000"
