name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991
OperatingCashFlow,"6,505,000,000","6,008,700,000","4,397,300,000","5,989,100,000","1,597,800,000","5,047,000,000","11,937,800,000","4,251,800,000","4,697,900,000","3,749,100,000","607,800,000","2,908,300,000","1,750,300,000","1,612,400,000","1,704,900,000","1,389,000,000","1,258,700,000","1,331,221,000","1,131,633,000","922,915,000","862,918,000","566,447,000","477,685,000","460,826,000","318,574,000","229,600,000","152,200,000","100,300,000","136,400,000","11,400,000","-1,500,000","9,000,000","8,900,000","2,600,000"
	CashFlowFromContinuingOperatingActivities,"6,505,000,000","6,008,700,000","4,397,300,000","5,989,100,000","1,597,800,000","5,047,000,000","11,937,800,000","4,251,800,000","4,697,900,000","3,749,100,000","607,800,000","2,908,300,000","1,750,300,000","1,612,400,000","1,704,900,000","1,389,000,000","1,258,700,000","1,331,221,000","1,131,633,000","922,915,000","862,918,000","566,447,000","477,685,000","460,826,000","318,574,000","229,600,000","152,200,000","100,300,000","136,400,000","11,400,000","-1,500,000","9,000,000","8,900,000","2,600,000"
		NetIncomeFromContinuingOperations,"4,072,000,000","4,124,700,000","3,283,400,000","4,200,300,000","924,700,000","3,594,600,000","4,518,000,000","2,884,900,000","2,818,900,000","2,759,300,000","2,067,700,000","8,800,000","1,384,700,000","1,248,000,000","948,300,000","391,500,000","315,500,000","672,638,000","564,259,000","494,370,000","388,880,000","268,346,000","215,073,000","181,210,000","94,564,000","101,700,000","68,400,000","55,200,000","41,700,000","26,100,000","10,200,000","8,500,000","4,100,000","2,400,000"
		OperatingGainsLosses,"-235,400,000","-291,700,000","-177,300,000","-985,600,000","173,700,000","-108,000,000","-666,400,000","-403,700,000","-256,300,000","-129,100,000","-182,700,000","-171,800,000","-136,000,000","-118,300,000","-40,300,000","-25,400,000","-8,700,000","184,000","-60,570,000","-49,537,000","-31,707,000","27,557,000","35,718,000","29,170,000","80,537,000","18,800,000","17,700,000","3,800,000","-6,900,000","3,900,000",,"300,000","700,000",
			GainLossOnSaleOfBusiness,,"0","0","-864,500,000","0","-622,800,000","-499,200,000","-93,500,000","-6,100,000",,"-70,200,000","-80,100,000","0","-55,200,000",,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,"0","0","-30,200,000","0",,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-320,600,000","-301,800,000","-268,700,000","-347,300,000","-280,700,000","-250,600,000","-242,800,000","-310,200,000","-250,200,000","-190,200,000","-182,700,000","-171,800,000","-136,000,000","-32,900,000","-17,200,000","-25,400,000","-8,700,000",,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,567,500,000","1,450,300,000","1,529,400,000","1,524,100,000","1,503,200,000","1,449,300,000","1,305,900,000","1,067,100,000","1,030,100,000","933,800,000","748,400,000","655,600,000","580,600,000","550,000,000","540,800,000","563,300,000","604,500,000","491,891,000","414,638,000","377,304,000","325,650,000","259,271,000","221,141,000","177,087,000","142,171,000","107,500,000","80,900,000","58,900,000","39,400,000","24,800,000","12,500,000","6,800,000","3,600,000","2,900,000"
			DepreciationAndAmortization,"1,567,500,000","1,450,300,000","1,529,400,000","1,524,100,000","1,503,200,000","1,449,300,000","1,305,900,000","1,067,100,000","1,030,100,000","933,800,000","748,400,000","655,600,000","580,600,000","550,000,000","540,800,000","563,300,000","604,500,000","491,891,000","414,638,000","377,304,000","325,650,000","259,271,000","221,141,000","177,087,000","142,171,000","107,500,000","80,900,000","58,900,000","39,400,000","24,800,000","12,500,000","6,800,000","3,600,000","2,900,000"
				Depreciation,,,,,,,,,,,,,,,,,,"491,238,000","412,625,000","367,207,000","314,047,000",,,,,,,,,,,,,
