name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991
TotalRevenue,"36,475,900,000","35,975,600,000","32,250,300,000","29,060,600,000","23,518,000,000","26,508,600,000","24,719,500,000","22,386,800,000","21,315,900,000","19,162,700,000","16,447,800,000","14,866,800,000","13,276,800,000","11,700,400,000","10,707,400,000","9,774,600,000","10,383,000,000","9,411,497,000","7,786,942,000","6,369,300,000","5,294,247,000","4,075,522,000","3,288,908,000","2,648,980,000","2,169,218,000","1,680,100,000","1,308,700,000","975,400,000","697,900,000","465,200,000","284,900,000","163,500,000","93,100,000","57,700,000"
	OperatingRevenue,"34,566,900,000","33,975,000,000","30,231,600,000","27,290,600,000","21,491,700,000","24,419,400,000","22,342,500,000","20,005,700,000","18,998,300,000","19,162,700,000","16,447,800,000","14,866,800,000","13,276,800,000","11,700,400,000","10,707,400,000","9,774,600,000","10,383,000,000","9,411,497,000","7,786,942,000","6,369,300,000","5,294,247,000","4,075,522,000","3,288,908,000","2,648,980,000","2,169,218,000","1,680,100,000","1,308,700,000","975,400,000","697,900,000","465,200,000","284,900,000","163,500,000","93,100,000","57,700,000"
CostOfRevenue,"26,429,300,000","26,129,400,000","23,879,200,000","20,669,600,000","18,458,900,000","19,020,500,000","17,402,900,000","15,552,200,000","14,573,300,000","13,198,600,000","11,497,000,000","10,668,400,000","9,731,400,000","8,510,400,000","4,416,500,000","4,324,900,000","4,645,300,000","7,215,013,000","6,126,693,000","4,968,147,000","4,153,256,000","1,685,928,000","2,598,297,000","2,081,584,000","1,684,293,000","1,323,000,000","1,031,000,000","773,100,000","564,700,000","371,700,000","127,300,000","131,200,000","75,000,000","46,900,000"
GrossProfit,"10,046,600,000","9,846,200,000","8,371,100,000","8,391,000,000","5,059,100,000","7,488,100,000","7,316,600,000","6,834,600,000","6,742,600,000","5,964,100,000","4,950,800,000","4,198,400,000","3,545,400,000","3,190,000,000","6,290,900,000","5,449,700,000","5,737,700,000","2,196,484,000","1,660,249,000","1,401,153,000","1,140,991,000","2,389,594,000","690,611,000","567,396,000","484,925,000","357,100,000","277,700,000","202,300,000","133,200,000","93,500,000","157,600,000","32,300,000","18,100,000","10,800,000"
OperatingExpense,"4,555,700,000","4,343,300,000","3,941,400,000","3,733,800,000","3,541,200,000","3,572,400,000","3,510,100,000","2,937,800,000","2,888,900,000","2,613,000,000","2,158,200,000","1,991,100,000","1,758,700,000","1,665,400,000","4,966,600,000","4,677,200,000","5,080,500,000","1,142,539,000","766,297,000","620,538,000","534,404,000","1,964,881,000","371,886,000","286,302,000","252,373,000","197,200,000","158,500,000","116,000,000","76,700,000","53,400,000","134,400,000","19,300,000","11,700,000","7,800,000"
	SellingGeneralAndAdministration,"2,514,300,000","2,441,300,000","2,032,000,000","1,932,600,000","1,679,600,000","1,824,100,000","1,708,200,000","1,408,400,000","1,408,900,000","1,196,700,000","991,300,000","937,900,000","801,200,000","749,300,000","4,176,500,000","3,878,100,000","4,201,100,000","783,385,000","473,023,000","357,114,000","304,293,000","1,765,470,000","202,161,000","151,416,000","110,202,000","89,700,000","77,600,000","57,100,000","37,300,000","28,600,000","121,900,000","12,500,000","8,100,000","4,900,000"
		GeneralAndAdministrativeExpense,"2,514,300,000","2,441,300,000","2,032,000,000","1,932,600,000","1,679,600,000","1,824,100,000","1,708,200,000","1,408,400,000","1,408,900,000","1,196,700,000","991,300,000","937,900,000","801,200,000","749,300,000",,,,,,,,,,,,,,,,,,,,
			OtherGandA,"2,514,300,000","2,441,300,000","2,032,000,000","1,932,600,000","1,679,600,000","1,824,100,000","1,708,200,000","1,408,400,000","1,408,900,000","1,196,700,000","991,300,000","937,900,000","801,200,000","749,300,000",,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,469,000,000","1,362,600,000","1,447,900,000","1,441,700,000","1,431,300,000","1,377,300,000","1,247,000,000","1,011,400,000","980,800,000","893,900,000","709,600,000","621,400,000","550,300,000","523,300,000","510,400,000","534,700,000","549,300,000","467,160,000","387,211,000","340,169,000","289,182,000","237,807,000","205,557,000","163,501,000","142,171,000","107,500,000","80,900,000","58,900,000","39,400,000","24,800,000","12,500,000","6,800,000","3,600,000","2,900,000"
		DepreciationAndAmortizationInIncomeStatement,"1,469,000,000","1,362,600,000","1,447,900,000","1,441,700,000","1,431,300,000","1,377,300,000","1,247,000,000","1,011,400,000","980,800,000","893,900,000","709,600,000","621,400,000","550,300,000","523,300,000","510,400,000","534,700,000","549,300,000","467,160,000","387,211,000","340,169,000","289,182,000","237,807,000","205,557,000","163,501,000","142,171,000","107,500,000","80,900,000","58,900,000","39,400,000","24,800,000","12,500,000","6,800,000","3,600,000","2,900,000"
	OtherOperatingExpenses,"572,400,000","539,400,000","461,500,000","359,500,000","430,300,000","371,000,000","554,900,000","518,000,000","499,200,000","522,400,000","457,300,000","431,800,000","407,200,000","392,800,000","279,700,000","264,400,000","330,100,000","-108,006,000","-93,937,000","-76,745,000","-59,071,000","-38,396,000","-35,832,000","-28,615,000",,,,,,,,,,
