name,ttm,07/31/2023,07/31/2022,07/31/2021,07/31/2020,07/31/2019,07/31/2018,07/31/2017,07/31/2016
OperatingCashFlow,"27,157,000","57,830,000","55,395,000","-15,675,000","42,877,000","78,594,000","72,178,000","38,624,000","45,116,000"
	CashFlowFromContinuingOperatingActivities,"27,157,000","57,830,000","55,395,000","-15,675,000","42,877,000","78,594,000","72,178,000","38,624,000","45,116,000"
		NetIncomeFromContinuingOperations,"-125,100,000","-171,973,000","-207,121,000","-8,876,000","-67,117,000","36,881,000","44,900,000","-594,000","33,181,000"
		OperatingGainsLosses,,,,,,"148,000","-10,685,000","18,881,000","3,019,000"
			GainLossOnSaleOfPPE,,,,,,"148,000","155,000","0","0"
			GainLossOnInvestmentSecurities,,,,,,,"-10,685,000","18,881,000","3,019,000"
		DepreciationAmortizationDepletion,"48,430,000","43,296,000","37,185,000","29,929,000","22,617,000","14,331,000","10,542,000","7,655,000","3,544,000"
			DepreciationAndAmortization,"48,430,000","43,296,000","37,185,000","29,929,000","22,617,000","14,331,000","10,542,000","7,655,000","3,544,000"
				Depreciation,,,,"29,929,000","22,617,000","14,331,000","10,542,000","7,655,000","3,544,000"
		DeferredTax,,,"-535,000","64,000","22,880,000","-8,203,000","6,588,000","-6,728,000","-5,869,000"
			DeferredIncomeTax,,,"-535,000","64,000","22,880,000","-8,203,000","6,588,000","-6,728,000","-5,869,000"
		AssetImpairmentCharge,"1,316,000","18,190,000","6,154,000","0","0",,,,
		ProvisionandWriteOffofAssets,"-18,689,000","-17,954,000","16,552,000","8,875,000","8,828,000","7,974,000","1,916,000","3,591,000","5,941,000"
		StockBasedCompensation,"85,980,000","104,492,000","128,485,000","100,696,000","67,530,000","35,256,000","15,403,000","13,244,000","6,660,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,"0","0","-62,000","-63,000"
		OtherNonCashItems,"-74,000","2,118,000","-235,000","-3,568,000","882,000","148,000","155,000",,
		ChangeInWorkingCapital,"35,294,000","79,661,000","74,375,000","-142,731,000","-12,743,000","-7,793,000","3,359,000","2,637,000","-1,297,000"
			ChangeInReceivables,"26,339,000","52,979,000","1,069,000","-31,700,000","-6,543,000","-1,048,000",,,
			ChangeInInventory,"48,883,000","78,359,000","-2,594,000","-96,056,000","-15,222,000","-41,233,000","-19,416,000","-26,375,000","-26,509,000"
			ChangeInPrepaidAssets,"6,545,000","14,459,000","8,110,000","-20,096,000","-140,000","-15,783,000","-17,307,000","-7,596,000","-9,504,000"
			ChangeInPayablesAndAccruedExpense,"-33,906,000","-63,365,000","68,708,000","9,626,000","2,777,000","33,630,000","31,907,000","25,589,000","21,096,000"
				ChangeInPayable,"-24,753,000","-44,256,000","71,349,000","-12,385,000","-5,520,000","10,774,000","35,502,000","7,841,000","10,192,000"
					ChangeInAccountPayable,"-24,753,000","-44,256,000","71,349,000","-12,385,000","-5,520,000","10,774,000","35,502,000","7,841,000","10,192,000"
				ChangeInAccruedExpense,"-9,153,000","-19,109,000","-2,641,000","22,011,000","8,297,000","22,856,000","-3,595,000","17,748,000","10,904,000"
			ChangeInOtherCurrentLiabilities,"-438,000","3,982,000","-1,540,000","-7,769,000","4,937,000","13,316,000","6,455,000","8,300,000","12,046,000"
