name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989,03/31/1988,03/31/1987,10/31/1985
TotalRevenue,"13,068,765,000,000","13,020,768,000,000","10,974,373,000,000","9,921,513,000,000","8,998,661,000,000","8,259,885,000,000","8,665,687,000,000","8,543,982,000,000","7,603,250,000,000","8,105,712,000,000","8,215,880,000,000","7,767,266,000,000","6,795,504,000,000","6,493,083,000,000","7,181,273,000,000","7,213,998,000,000","7,729,993,000,000","8,871,414,000,000","8,295,695,000,000","7,510,597,000,000","7,191,325,000,000","7,514,700,137,550","7,463,457,790,080","7,591,408,475,430","7,379,691,520,860","6,481,915,211,600","6,801,119,376,350","6,811,282,578,900","5,653,121,153,830.6","4,640,229,209,349","3,867,056,776,037","3,719,214,870,036","3,992,913,726,956","3,918,988,514,018","3,703,691,243,160","2,927,507,711,169","2,210,092,522,934","1,445,796,572,850","1,204,196,949,030","1,439,476,329,280"
	OperatingRevenue,"13,068,765,000,000","13,020,768,000,000","10,974,373,000,000","9,921,513,000,000","8,998,661,000,000","8,155,937,000,000","8,580,943,000,000","8,452,848,000,000","7,523,612,000,000","8,015,676,000,000","8,113,141,000,000","7,671,218,000,000","6,690,492,000,000","6,395,453,000,000","7,102,896,000,000","7,213,998,000,000","7,729,993,000,000","8,871,414,000,000","8,295,695,000,000","7,510,597,000,000","7,191,325,000,000","7,514,700,137,550","7,463,457,790,080","7,591,408,475,430","7,379,691,520,860","6,481,915,211,600","6,801,119,376,350","6,811,282,578,900","5,653,121,153,830.6","4,640,229,209,349","3,867,056,776,037","3,719,214,870,036","3,992,913,726,956","3,918,988,514,018","3,703,691,243,160","2,927,507,711,169","2,210,092,522,934","1,445,796,572,850","1,204,196,949,030","1,439,476,329,280"
CostOfRevenue,"9,647,277,000,000","9,695,687,000,000","7,739,284,000,000","7,219,841,000,000","6,567,553,000,000","5,925,049,000,000","6,263,196,000,000","6,230,422,000,000","5,663,154,000,000","6,074,652,000,000","6,158,134,000,000","5,956,211,000,000","5,339,646,000,000","5,121,401,000,000","5,507,151,000,000","5,564,113,000,000","6,208,329,000,000","6,290,022,000,000","5,889,601,000,000","5,151,397,000,000","5,000,112,000,000","5,070,579,911,350","5,461,334,273,460","5,248,740,516,890","5,503,934,801,880","4,802,815,365,800","4,959,866,567,200","4,930,054,722,150","4,153,206,804,284.52","3,020,511,708,243","2,617,853,763,133","2,506,935,727,908","2,654,438,943,464","2,575,490,578,396","2,299,455,406,815","1,762,583,912,088","1,354,840,863,017","970,798,747,273","832,895,223,050","912,075,146,880"
GrossProfit,"3,421,488,000,000","3,325,081,000,000","3,235,089,000,000","2,701,672,000,000","2,431,108,000,000","2,334,836,000,000","2,402,491,000,000","2,313,560,000,000","1,940,096,000,000","2,031,060,000,000","2,057,746,000,000","1,811,055,000,000","1,455,858,000,000","1,371,682,000,000","1,674,122,000,000","1,649,885,000,000","1,521,664,000,000","2,581,392,000,000","2,406,094,000,000","2,359,200,000,000","2,191,213,000,000","2,444,120,226,200","2,002,123,516,620","2,342,667,958,540","1,875,756,718,980","1,679,099,845,800","1,841,252,809,150","1,881,227,856,750","1,499,914,349,546.08","1,619,717,501,106","1,249,203,012,904","1,212,279,142,128","1,338,474,783,492","1,343,497,935,622","1,404,235,836,345","1,164,923,799,081","855,251,659,917","474,997,825,577","371,301,725,980","527,401,182,400"
OperatingExpense,"2,225,492,000,000","2,158,095,000,000","1,961,884,000,000","1,589,276,000,000","1,474,150,000,000","1,501,130,000,000","1,576,825,000,000","1,583,197,000,000","1,505,956,000,000","1,691,930,000,000","1,811,461,000,000","1,728,520,000,000","1,457,626,000,000","1,375,242,000,000","1,501,813,000,000","1,544,890,000,000","1,686,030,000,000","1,714,445,000,000","1,788,427,000,000","1,527,036,000,000","1,535,015,000,000","2,344,975,100,150","1,816,905,561,220","2,207,764,521,690","1,648,380,803,670","1,445,848,719,800","1,492,675,940,100","1,356,719,969,700","1,130,239,148,821.76","1,381,944,591,297","1,414,840,088,655","1,112,993,238,252","1,212,024,801,372","1,177,063,796,178","1,105,739,949,870","871,511,005,422","694,124,203,140","419,423,663,017","341,087,643,110","393,684,307,520"
	SellingGeneralAndAdministration,"2,224,631,000,000","2,156,156,000,000","1,969,170,000,000","1,588,473,000,000","1,473,154,000,000","1,502,625,000,000","1,576,825,000,000","1,583,197,000,000","1,505,956,000,000","1,691,930,000,000","1,811,461,000,000","1,728,520,000,000","1,457,626,000,000","1,375,242,000,000","1,501,813,000,000","1,544,890,000,000","1,686,030,000,000","1,714,445,000,000","1,788,427,000,000","1,527,036,000,000","1,535,015,000,000","2,309,424,639,600","1,817,023,534,440","2,207,897,431,480","1,648,380,803,670","1,445,848,719,800","1,502,322,242,250","1,356,719,969,700","1,130,239,148,821.76","1,152,268,448,292","1,201,423,917,974","874,797,356,844","937,544,499,584","911,614,232,246","890,873,707,410","707,750,845,008","567,835,473,550","333,730,289,141","270,583,248,670","323,335,948,480"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229,676,143,005","213,416,170,681","238,195,881,408","274,480,301,788","265,449,563,932","214,866,242,460","163,760,160,414","126,288,729,590","85,693,373,876","70,504,394,440","70,348,359,040"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229,676,143,005","213,416,170,681","238,195,881,408","274,480,301,788","265,449,563,932","214,866,242,460","163,760,160,414","126,288,729,590","85,693,373,876","70,504,394,440","70,348,359,040"
	OtherOperatingExpenses,"861,000,000","1,939,000,000","-7,286,000,000","803,000,000","996,000,000","-1,495,000,000",,,,,,,,,,,,,,"73,917,138,600","27,987,776,460","35,550,460,550","-117,973,220","-132,909,790",,,"-9,646,302,150",,,,,,,,,,,,,
OperatingIncome,"1,195,996,000,000","1,166,986,000,000","1,273,205,000,000","1,112,396,000,000","956,958,000,000","833,706,000,000","825,666,000,000","730,363,000,000","434,140,000,000","339,130,000,000","246,285,000,000","82,535,000,000","-1,768,000,000","-3,560,000,000","172,309,000,000","104,995,000,000","-164,366,000,000","866,947,000,000","617,667,000,000","832,164,000,000","656,198,000,000","99,145,126,050","185,217,955,400","134,903,436,850","227,375,915,310","233,251,126,000","348,576,869,050","524,507,887,050","369,675,200,724.32","237,772,909,809","-165,637,075,751","99,285,903,876","126,449,982,120","166,434,139,444","298,495,886,475","293,412,793,659","161,127,456,777","55,574,162,560","30,214,082,870","133,716,874,880"
NetNonOperatingInterestIncomeExpense,"9,066,000,000","-5,703,000,000","-12,269,000,000","-19,839,000,000","-3,924,000,000","8,188,000,000","9,151,000,000","6,218,000,000","-3,085,000,000","-12,831,000,000","-10,713,000,000","-6,808,000,000","-4,670,000,000","-7,668,000,000","-12,126,000,000","-9,314,000,000","-2,059,000,000","-518,965,000,000","-539,135,000,000","-535,868,000,000","-492,446,000,000",,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"58,898,000,000","37,580,000,000","22,399,000,000","6,996,000,000","7,610,000,000","19,278,000,000","21,618,000,000","19,784,000,000","11,459,000,000","12,455,000,000","12,887,000,000","16,652,000,000","21,987,000,000","15,101,000,000","11,783,000,000","13,191,000,000","22,317,000,000","34,272,000,000","28,240,000,000","24,937,000,000","14,708,000,000",,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"47,545,000,000","40,996,000,000","26,398,000,000","14,600,000,000","14,208,000,000","11,090,000,000","12,467,000,000","13,566,000,000","14,544,000,000","25,286,000,000","23,600,000,000","23,460,000,000","26,657,000,000","22,769,000,000","23,909,000,000","22,505,000,000","24,376,000,000","553,237,000,000","567,375,000,000","560,805,000,000","507,154,000,000",,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,"2,287,000,000","8,270,000,000","12,235,000,000","-2,674,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
