name,04/30/2024,04/30/2023,04/30/2022,04/30/2021,04/30/2020,04/30/2019,04/30/2018,04/30/2017,04/30/2016,04/30/2015,04/30/2014,04/30/2013,04/30/2012,04/30/2011,04/30/2010,04/30/2009,04/30/2008,04/30/2007,04/30/2006,04/30/2005,04/30/2004,04/30/2003,04/30/2002,12/31/2000,12/31/1999
TotalAssets,"577,996,000","541,294,000","497,476,000","446,388,000","729,515,000","766,789,000","745,060,000","788,036,000","619,503,000","490,925,000","381,503,000","326,989,000","261,674,000","281,497,000","349,051,000","210,231,000","289,750,572","268,257,428","94,697,635","81,992,346","105,289,971","106,532,689","96,444,853","542,595","22,212"
	CurrentAssets,"287,878,000","291,920,000","327,597,000","268,253,000","393,455,000","298,684,000","270,364,000","318,441,000","333,231,000","197,076,000","239,171,000","229,566,000","190,714,000","203,611,000","184,553,000","145,381,000","122,171,486","102,262,933","53,163,288","50,859,317","49,331,383","56,475,868","54,128,813","98,305","1,000"
		CashCashEquivalentsAndShortTermInvestments,"60,839,000","53,556,000","120,728,000","113,017,000","125,011,000","41,015,000","48,860,000","61,549,000","191,279,000","42,222,000","68,860,000","97,142,000","53,383,000","52,471,000","39,855,000","39,822,000","4,358,856","4,065,328","731,306","4,081,475","7,049,401","13,762,450","21,015,650","83,121","1,000"
			CashAndCashEquivalents,"60,839,000","53,556,000","120,728,000","113,017,000","125,011,000","41,015,000","48,860,000","61,549,000","191,279,000","42,222,000","68,860,000","97,142,000","53,383,000","52,471,000","39,855,000","39,822,000","4,358,856","4,065,328","731,306","4,081,475","5,510,663","12,182,010","20,012,491","83,121","1,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,"83,121","1,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,"1,538,738","1,580,440","1,003,159",,
		Receivables,"61,566,000","56,329,000","64,640,000","68,351,000","62,474,000","87,371,000","61,258,000","119,087,000","59,856,000","55,280,000","60,517,000","49,181,000","48,313,000","69,266,000","78,629,000","48,232,000","55,980,445","54,103,324","27,416,227","18,377,414","20,410,454","15,084,170","12,311,239",,
			AccountsReceivable,"59,071,000","55,153,000","62,695,000","67,442,000","60,879,000","84,907,000","56,676,000","108,444,000","57,792,000","55,280,000","55,890,000","46,088,000","48,313,000","64,753,000","73,459,000","48,232,000","54,162,936","52,005,237","27,350,150","18,373,713","20,249,858","14,908,839","12,099,436",,
				GrossAccountsReceivable,"59,071,000","55,176,000","98,695,000","67,549,000","61,917,000","86,806,000","58,500,000","109,042,000","58,472,000","56,002,000","56,734,000","47,216,000","49,371,000","66,900,000",,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"0","-23,000","-36,000,000","-107,000","-1,038,000","-1,899,000","-1,824,000","-598,000","-680,000","-722,000","-844,000","-1,128,000","-1,058,000","-2,147,000",,,,,,,,,,,
