Date,Open,High,Low,Close,Adj Close,Volume
2009-09-23,4.058417,4.112221,3.973866,3.973866,3.538643,1553264
2009-09-24,4.004612,4.066103,3.904689,3.996925,3.559176,2356892
2009-09-25,3.973866,4.035357,3.920061,3.950807,3.518110,1392851
2009-09-28,3.958493,4.004612,3.920061,3.981553,3.545487,1415748
2009-09-29,3.889316,4.027671,3.881630,3.958493,3.524953,682895
2009-09-30,3.981553,4.066103,3.927748,4.019985,3.579710,1605174
2009-10-01,4.027671,4.066103,3.827825,3.904689,3.477041,2154976
2009-10-02,3.820138,3.820138,3.328209,3.720215,3.312771,3569944
2009-10-05,3.781706,3.804766,3.627978,3.674097,3.271704,1781459
2009-10-06,3.658724,3.758647,3.643351,3.704842,3.299082,1229055
2009-10-07,3.704842,3.804766,3.666410,3.758647,3.346995,1107802
2009-10-08,3.804766,3.835511,3.704842,3.720215,3.312771,1284868
2009-10-09,3.735588,3.781706,3.720215,3.758647,3.346995,885331
2009-10-12,3.804766,3.812452,3.658724,3.727902,3.319617,1689999
2009-10-13,3.704842,3.727902,3.658724,3.674097,3.271704,836283
2009-10-14,3.697156,3.743274,3.651038,3.720215,3.312771,1365139
2009-10-15,3.735588,3.973866,3.735588,3.927748,3.497575,2845027
2009-10-16,3.727902,3.950807,3.689470,3.881630,3.456508,1603483
2009-10-19,3.943121,3.958493,3.812452,3.850884,3.429129,1426156
2009-10-20,3.850884,3.866257,3.766334,3.850884,3.429129,1163224
2009-10-21,3.820138,3.912375,3.766334,3.797079,3.381217,1236731
2009-10-22,3.827825,3.866257,3.704842,3.789393,3.374373,967294
2009-10-23,3.804766,3.835511,3.651038,3.697156,3.292238,1253123
2009-10-26,3.697156,3.766334,3.558801,3.581860,3.189569,1913771
2009-10-27,3.574174,3.666410,3.543428,3.558801,3.169036,1620526
2009-10-28,3.558801,3.612606,3.266718,3.305150,2.943166,3619642
2009-10-29,3.328209,3.420446,3.305150,3.374327,3.004766,1596717
2009-10-30,3.497310,3.497310,3.266718,3.282091,2.922631,1728509
2009-11-02,3.289777,3.328209,3.159108,3.182168,2.833652,3235847
2009-11-03,3.143736,3.266718,3.112990,3.228286,2.874719,1217996
2009-11-04,3.251345,3.320523,3.151422,3.151422,2.806274,861002
2009-11-05,3.189854,3.297463,3.151422,3.282091,2.922631,1104029
2009-11-06,3.282091,3.312836,3.235972,3.282091,2.922631,747034
2009-11-09,3.358955,3.551115,3.305150,3.504996,3.121124,2992820
2009-11-10,3.566487,3.651038,3.451191,3.551115,3.162191,2008094
2009-11-11,3.635665,3.727902,3.535742,3.727902,3.319617,2276750
2009-11-12,3.727902,3.735588,3.581860,3.581860,3.189569,1039109
2009-11-13,3.727902,3.735588,3.651038,3.704842,3.299082,1454518
2009-11-16,3.750961,3.766334,3.689470,3.720215,3.312771,1190025
2009-11-17,3.697156,3.735588,3.658724,3.666410,3.264859,818069
2009-11-18,3.704842,3.735588,3.643351,3.720215,3.312771,1230096
2009-11-19,3.674097,3.689470,3.581860,3.620292,3.223792,1274199
2009-11-20,3.589547,3.627978,3.551115,3.612606,3.216948,1141888
2009-11-23,3.635665,3.674097,3.535742,3.566487,3.175880,1144880
2009-11-24,3.589547,3.597233,3.466564,3.535742,3.148502,1417309
2009-11-25,3.528055,3.643351,3.504996,3.627978,3.230636,1340030
2009-11-27,3.512683,3.643351,3.497310,3.612606,3.216948,541867
2009-11-30,3.612606,3.804766,3.612606,3.797079,3.381217,2778025
2009-12-01,3.950807,4.181399,3.881630,4.150653,3.696067,6501357
2009-12-02,4.204458,4.411991,4.189085,4.365872,3.887716,5130884
2009-12-03,4.442736,4.458109,4.004612,4.050730,3.607088,6592297
2009-12-04,3.504996,3.535742,3.305150,3.420446,3.045834,11342769
2009-12-07,3.428132,3.458878,3.205227,3.220600,2.867875,5567760
2009-12-08,3.212913,3.220600,3.059185,3.128363,2.785740,5427772
2009-12-09,3.197540,3.205227,3.074558,3.105304,2.765207,3668950
2009-12-10,3.082244,3.128363,3.013067,3.028440,2.696760,3103536
2009-12-11,3.082244,3.082244,3.005380,3.013067,2.683071,2378358
2009-12-14,3.074558,3.074558,2.943889,3.020753,2.689916,2684223
2009-12-15,3.020753,3.051499,2.959262,3.005380,2.676226,1403779
2009-12-16,2.997694,3.136049,2.997694,3.089931,2.751518,2583656
2009-12-17,3.082244,3.089931,2.982321,3.020753,2.689916,1558468
2009-12-18,3.043812,3.066872,2.997694,3.051499,2.717295,1835971
2009-12-21,3.089931,3.097617,3.020753,3.059185,2.724139,1476765
2009-12-22,3.074558,3.074558,3.013067,3.028440,2.696760,1692731
2009-12-23,3.043812,3.059185,3.005380,3.028440,2.696760,1168688
2009-12-24,3.020753,3.036126,2.997694,2.997694,2.669383,482281
2009-12-28,3.043812,3.043812,2.990008,3.005380,2.676226,1112875
2009-12-29,3.020753,3.028440,2.997694,3.020753,2.689916,936070
2009-12-30,3.005380,3.151422,3.005380,3.151422,2.806274,2677328
2009-12-31,3.151422,3.259032,3.143736,3.143736,2.799429,2859338
2010-01-04,3.151422,3.228286,3.066872,3.182168,2.833652,2447962
2010-01-05,3.189854,3.220600,3.105304,3.212913,2.861030,2042050
2010-01-06,3.220600,3.458878,3.174481,3.420446,3.045834,5190990
2010-01-07,3.458878,3.512683,3.382014,3.458878,3.080056,2399955
2010-01-08,3.458878,3.458878,3.343582,3.428132,3.052678,1821400
2010-01-11,3.420446,3.443505,3.358955,3.397387,3.025300,1301000
2010-01-12,3.366641,3.397387,3.266718,3.305150,2.943166,2053238
2010-01-13,3.297463,3.343582,3.235972,3.312836,2.950009,1993652
2010-01-14,3.289777,3.335895,3.266718,3.305150,2.943166,1262881
2010-01-15,3.297463,3.297463,3.197540,3.228286,2.874719,2047384
2010-01-19,3.251345,3.289777,3.182168,3.282091,2.922631,2535909
2010-01-20,3.282091,3.282091,3.174481,3.205227,2.854185,1235430
2010-01-21,3.220600,3.220600,3.082244,3.128363,2.785740,1567705
2010-01-22,3.112990,3.151422,3.036126,3.082244,2.744672,1628332
2010-01-25,3.105304,3.112990,3.066872,3.082244,2.744672,959227
2010-01-26,3.074558,3.112990,3.005380,3.036126,2.703605,995525
2010-01-27,3.020753,3.105304,2.990008,3.066872,2.730983,1186122
2010-01-28,3.082244,3.112990,3.036126,3.089931,2.751518,812995
2010-01-29,3.112990,3.159108,3.036126,3.043812,2.710449,1343413
2010-02-01,3.066872,3.105304,3.043812,3.059185,2.724139,1042882
2010-02-02,3.112990,3.266718,3.105304,3.182168,2.833652,2034244
2010-02-03,3.182168,3.266718,3.174481,3.259032,2.902098,1179487
2010-02-04,3.228286,3.243659,3.074558,3.089931,2.751518,1304643
2010-02-05,3.082244,3.151422,3.020753,3.074558,2.737828,1239723
2010-02-08,3.089931,3.182168,3.089931,3.166795,2.819963,1471041
2010-02-09,3.189854,3.220600,3.112990,3.136049,2.792584,978872
2010-02-10,3.112990,3.174481,3.112990,3.143736,2.799429,540566
2010-02-11,3.143736,3.212913,3.089931,3.212913,2.861030,586101
2010-02-12,3.174481,3.243659,3.151422,3.243659,2.888409,1020504
2010-02-16,3.266718,3.351268,3.243659,3.343582,2.977388,1605954
2010-02-17,3.382014,3.389700,3.305150,3.343582,2.977388,900552
2010-02-18,3.351268,3.351268,3.235972,3.305150,2.943166,652712
2010-02-19,3.305150,3.320523,3.228286,3.305150,2.943166,533280
2010-02-22,3.305150,3.351268,3.266718,3.289777,2.929476,881688
2010-02-23,3.274404,3.305150,3.159108,3.235972,2.881563,1000859
2010-02-24,3.228286,3.274404,3.189854,3.228286,2.874719,616674
2010-02-25,3.182168,3.274404,3.182168,3.243659,2.888409,787105
2010-02-26,3.259032,3.305150,3.228286,3.282091,2.922631,625651
2010-03-01,3.266718,3.328209,3.197540,3.266718,2.908942,1591383
2010-03-02,3.259032,3.266718,3.220600,3.266718,2.908942,696295
2010-03-03,3.274404,3.420446,3.274404,3.405073,3.032144,1938360
2010-03-04,3.451191,3.727902,3.420446,3.681783,3.278549,3169106
2010-03-05,3.689470,3.727902,3.551115,3.643351,3.244326,2287809
2010-03-08,3.674097,3.750961,3.604919,3.750961,3.340151,2733791
2010-03-09,3.743274,3.758647,3.589547,3.612606,3.216948,1837532
2010-03-10,3.612606,3.651038,3.481937,3.627978,3.230636,1694162
2010-03-11,3.735588,3.743274,3.574174,3.635665,3.237482,1967502
2010-03-12,3.328209,3.366641,3.174481,3.182168,2.833652,6951503
2010-03-15,3.205227,3.220600,3.051499,3.082244,2.744672,4873546
2010-03-16,3.112990,3.136049,3.066872,3.074558,2.737828,2808729
2010-03-17,3.089931,3.105304,3.043812,3.043812,2.710449,1973877
2010-03-18,3.043812,3.066872,3.020753,3.036126,2.703605,1908567
2010-03-19,3.059185,3.059185,2.943889,2.966949,2.642004,2837611
2010-03-22,2.959262,3.059185,2.951576,3.020753,2.689916,1685576
2010-03-23,3.036126,3.051499,3.005380,3.013067,2.683071,1544807
2010-03-24,2.990008,3.013067,2.951576,2.959262,2.635159,2058833
2010-03-25,2.966949,3.005380,2.959262,2.974635,2.648848,1066039
2010-03-26,2.974635,2.997694,2.966949,2.982321,2.655693,648418
2010-03-29,2.997694,3.005380,2.982321,3.005380,2.676226,1037287
2010-03-30,2.982321,3.005380,2.974635,2.990008,2.662538,904976
2010-03-31,2.974635,2.997694,2.882398,2.913144,2.594092,2485821
2010-04-01,2.920830,2.974635,2.913144,2.966949,2.642004,1166086
2010-04-05,2.974635,3.097617,2.974635,3.059185,2.724139,2522899
2010-04-06,3.074558,3.189854,3.066872,3.174481,2.826807,2760202
2010-04-07,3.120676,3.182168,3.105304,3.128363,2.785740,1256896
2010-04-08,3.128363,3.159108,3.082244,3.097617,2.758361,738448
2010-04-09,3.097617,3.128363,3.051499,3.051499,2.717295,1304383
2010-04-12,3.066872,3.136049,3.066872,3.105304,2.765207,1160492
2010-04-13,3.105304,3.151422,3.074558,3.151422,2.806274,1094011
2010-04-14,3.151422,3.266718,3.128363,3.266718,2.908942,2664708
2010-04-15,3.251345,3.282091,3.197540,3.228286,2.874719,1661117
2010-04-16,3.235972,3.243659,3.112990,3.212913,2.861030,1274590
2010-04-19,3.197540,3.205227,3.112990,3.174481,2.826807,1869407
2010-04-20,3.212913,3.212913,3.159108,3.174481,2.826807,633197
2010-04-21,3.189854,3.220600,3.166795,3.182168,2.833652,594687
2010-04-22,3.151422,3.266718,3.128363,3.228286,2.874719,1134732
2010-04-23,3.259032,3.259032,3.189854,3.212913,2.861030,628123
2010-04-26,3.197540,3.251345,3.189854,3.189854,2.840497,1161793
2010-04-27,3.189854,3.235972,3.143736,3.166795,2.819963,1190415
2010-04-28,3.166795,3.382014,3.166795,3.374327,3.004766,3848098
2010-04-29,3.366641,3.420446,3.266718,3.274404,2.915786,1996385
2010-04-30,3.389700,3.451191,3.335895,3.435819,3.059523,3293612
2010-05-03,3.458878,3.581860,3.428132,3.528055,3.141657,2239802
2010-05-04,3.489623,3.489623,3.343582,3.389700,3.018455,1545848
2010-05-05,3.343582,3.443505,3.266718,3.305150,2.943166,1477676
2010-05-06,3.305150,3.428132,3.059185,3.197540,2.847340,2184899
2010-05-07,3.197540,3.328209,3.166795,3.243659,2.888409,1969194
2010-05-10,3.335895,3.382014,3.182168,3.235972,2.881563,1444891
2010-05-11,3.351268,3.474251,3.320523,3.443505,3.066367,2348305
2010-05-12,3.458878,3.458878,3.374327,3.443505,3.066367,1111444
2010-05-13,3.428132,3.528055,3.397387,3.474251,3.093746,1215915
2010-05-14,3.458878,3.543428,3.343582,3.428132,3.052678,1478977
2010-05-17,3.435819,3.512683,3.335895,3.489623,3.107434,1133691
2010-05-18,3.535742,3.620292,3.466564,3.520369,3.134813,2523420
2010-05-19,3.520369,3.612606,3.435819,3.474251,3.093746,1402608
2010-05-20,3.382014,3.435819,3.212913,3.228286,2.874719,2648836
2010-05-21,3.212913,3.420446,3.074558,3.312836,2.950009,2357932
