name,ttm,02/29/2024,02/28/2023,02/28/2022,02/28/2021,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011,02/28/2010,02/28/2009
TotalRevenue,"1,629,187,000","1,490,440,000","1,019,772,000","4,390,907,000","4,495,755,000","3,273,308,000","2,562,984,000","1,715,016,000","1,043,100,000","619,948,777","433,969,569","313,895,205","225,931,095","177,519,672","110,588,299","69,288,547","37,475,583"
	OperatingRevenue,"1,629,187,000","1,490,440,000","1,019,772,000","4,390,907,000","4,495,755,000","3,273,308,000","2,562,984,000","1,715,016,000","1,043,100,000","619,948,777","433,969,569","313,895,205","225,931,095","177,519,672","110,588,299","69,288,547","37,475,583"
CostOfRevenue,"744,811,000","684,316,000","436,358,000","2,203,336,000","2,048,561,000","1,468,569,000","1,164,454,000","882,316,000","522,327,000","303,634,829","203,073,957","151,543,116","115,748,650","95,587,218","56,142,838","37,433,811","18,554,255"
GrossProfit,"884,376,000","806,124,000","583,414,000","2,187,571,000","2,447,194,000","1,804,739,000","1,398,530,000","832,700,000","520,773,000","316,313,948","230,895,612","162,352,089","110,182,445","81,932,454","54,445,461","31,854,736","18,921,328"
OperatingExpense,"913,162,000","875,353,000","674,144,000","2,297,037,000","2,777,883,000","1,638,298,000","1,056,948,000","623,738,000","386,179,000","231,262,085","163,647,498","104,956,158","78,166,863","60,767,923","28,871,415","16,444,783","8,242,381"
	SellingGeneralAndAdministration,"921,328,000","891,798,000","696,827,000","2,317,849,000","2,797,374,000","1,647,765,000","1,063,672,000","628,389,000","389,292,000","234,589,254","164,111,825","106,060,908","78,799,132","60,981,193","29,019,952","16,444,783","8,242,381"
		GeneralAndAdministrativeExpense,"434,706,000","429,947,000","413,791,000","1,199,708,000","1,117,324,000","794,957,000","579,672,000","386,287,000","263,287,000","161,021,637","110,230,010","70,299,742","51,125,534","37,814,962","19,085,014","10,853,565","5,889,370"
			OtherGandA,"434,706,000","429,947,000","413,791,000","1,199,708,000","1,117,324,000","794,957,000","579,672,000","386,287,000","263,287,000","161,021,637","110,230,010","70,299,742","51,125,534","37,814,962","19,085,014","10,853,565","5,889,370"
		SellingAndMarketingExpense,"486,622,000","461,851,000","283,036,000","1,118,141,000","1,680,050,000","852,808,000","484,000,000","242,102,000","126,005,000","73,567,617","53,881,815","35,761,166","27,673,598","23,166,231","9,934,938","5,591,218","2,353,011"
	OtherOperatingExpenses,"-8,166,000","-16,445,000","-22,683,000","-20,812,000","-19,491,000","-9,467,000","-6,724,000","-4,651,000","-3,113,000","-3,327,169","-464,327","-1,104,750","-632,269","-213,270","-148,537",,
OperatingIncome,"-28,786,000","-69,229,000","-90,730,000","-109,466,000","-330,689,000","166,441,000","341,582,000","208,962,000","134,594,000","85,051,863","67,248,114","57,395,931","32,015,582","21,164,531","25,574,046","15,409,953","10,678,947"
NetNonOperatingInterestIncomeExpense,"84,469,000","84,928,000","61,564,000","95,308,000","97,286,000","61,171,000","41,986,000","23,197,000","4,988,000","10,233,556","10,802,368","9,438,263","5,343,445","3,499,926","1,287,072","283,158","76,955"
	InterestIncomeNonOperating,"84,469,000","84,928,000","61,564,000","103,179,000","114,232,000","72,991,000","59,614,000","39,837,000","18,133,000","17,732,879","16,613,656","9,438,263","5,343,445","3,499,926","1,346,284","323,801","119,922"
	InterestExpenseNonOperating,,"0","0","7,871,000","16,946,000","11,820,000","17,628,000","16,640,000","13,145,000","7,499,323","5,811,288","0","0","0","59,212","40,643","42,967"
OtherIncomeExpense,"18,013,000","1,784,000","-80,553,000","-763,972,000","8,780,000","-278,265,000","73,636,000","14,835,000","14,999,000","41,616,781","-808,109","451,332","182,131","3,805,646","142,517","-124,839","-1,456,980"
	GainOnSaleOfSecurity,,,,,,,,,,"1,265,852","1,202,000","52,958",,,"6,429",,
	SpecialIncomeCharges,"-50,749,000","-46,982,000","1,863,000","-780,922,000","-133,064,000","-182,968,000","-58,091,000","-2,571,000","-8,075,000","42,873,182","0","0","-594,162","-375,057","134,370","-124,839","-1,456,980"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,"0",,"-134,370",,
		ImpairmentOfCapitalAssets,,"0","0","505,050,000","107,535,000","28,998,000","0","358,000","0","0",,"0","0","139,660","0","0","1,978,123"
		WriteOff,"50,749,000","46,982,000","7,687,000","275,872,000","24,563,000","153,970,000","58,091,000","2,213,000","8,075,000","7,503,944","0","0","594,162","235,397","0",,
		OtherSpecialCharges,,,,,,,,,,,,,,"-4,393,973",,"124,400","-521,143"
		GainOnSaleOfBusiness,,"0","9,550,000","0","-966,000",,,"0","0","50,377,126","0","0",,,,,
	OtherNonOperatingIncomeExpenses,"68,762,000","48,766,000","-82,416,000","16,950,000","141,844,000","-95,297,000","131,727,000","17,406,000","23,074,000","-2,522,253","-2,010,109","398,374","776,293","4,180,703","1,718",,
PretaxIncome,"73,696,000","17,483,000","-109,719,000","-778,130,000","-224,623,000","-50,653,000","457,204,000","246,994,000","154,581,000","136,902,200","77,242,373","67,285,526","37,541,158","28,470,103","27,003,635","15,568,272","9,298,922"
TaxProvision,"14,155,000","15,379,000","20,011,000","396,992,000","-69,897,000","69,328,000","76,504,000","44,653,000","34,066,000","33,482,744","9,368,541","6,679,754","4,101,092","4,156,450","2,628,090","1,364,635","2,018,253"
EarningsFromEquityInterestNetOfTax,"-7,156,000","-6,242,000","-2,248,000","10,787,000","11,676,000","-7,670,000","-16,186,000","-7,678,000","-8,025,000","-663,256","-729,811","0","0",,,,
