name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012
TotalAssets,"936,365,000","985,174,000","1,197,577,000","1,078,469,000","1,166,814,000","748,744,000","749,369,000","761,834,000","758,119,000","769,057,000","783,149,000","752,820,000","746,678,000"
	CurrentAssets,"230,548,000","230,226,000","260,411,000","203,324,000","242,166,000","164,368,000","154,194,000","162,685,000","146,431,000","156,942,000","164,407,000","157,222,000","159,296,000"
		CashCashEquivalentsAndShortTermInvestments,"21,000,000","6,958,000","14,252,000","17,687,000","67,755,000","7,364,000","8,399,000","10,736,000","13,609,000","24,994,000","18,046,000","25,351,000","51,163,000"
			CashAndCashEquivalents,"21,000,000","6,958,000","14,252,000","17,687,000","67,755,000","7,364,000","8,399,000","10,736,000","13,609,000","24,994,000","18,046,000","25,351,000","51,163,000"
				CashFinancial,"21,000,000","6,958,000","14,252,000","17,687,000","67,755,000","7,364,000","8,399,000","10,736,000","13,609,000","24,994,000","18,046,000","25,351,000",
		Receivables,"27,128,000","26,728,000","31,912,000","29,042,000","29,445,000","26,571,000","25,543,000","27,492,000","29,000,000","26,017,000","32,356,000","25,536,000","20,772,000"
			AccountsReceivable,"22,010,000","25,870,000","19,170,000","18,784,000","20,217,000","16,730,000","15,968,000","15,873,000","14,748,000","13,629,000","16,746,000","15,018,000","20,772,000"
			LoansReceivable,,,"9,308,000","8,445,000","3,326,000","7,244,000","6,939,000","6,531,000","10,630,000","7,892,000","8,003,000","5,853,000",
			TaxesReceivable,"5,118,000","858,000","1,687,000","93,000","4,724,000","1,003,000","15,000","16,000","157,000","1,698,000","83,000",,
			OtherReceivables,,"7,601,000","11,055,000","10,165,000","4,504,000","8,838,000","9,560,000","11,603,000","14,095,000","10,690,000","15,527,000","10,518,000",
		Inventory,"158,434,000","170,637,000","192,783,000","130,619,000","124,207,000","108,650,000","97,362,000","103,120,000","86,435,000","83,724,000","85,595,000","82,443,000","70,626,000"
			RawMaterials,"6,869,000","9,289,000","5,769,000","3,614,000","4,523,000","4,282,000","4,840,000","4,183,000","3,363,000","3,501,000","4,677,000","5,657,000","6,173,000"
