name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011
OperatingCashFlow,"41,667,000","46,789,000","59,305,000","56,990,000","136,659,000","30,489,000","54,896,000","62,176,000","44,639,000","42,307,000","64,625,000","50,605,000","45,846,000","42,203,000","48,764,000"
	CashFlowFromContinuingOperatingActivities,"41,667,000","46,789,000","59,305,000","56,990,000","136,659,000","30,489,000","54,896,000","62,176,000","44,639,000","42,307,000","64,625,000","50,605,000","45,846,000","42,203,000","48,764,000"
		NetIncomeFromContinuingOperations,"-106,182,000","-103,287,000","-158,856,000","81,718,000","58,283,000","14,487,000","21,680,000","19,428,000","14,953,000","5,142,000","22,673,000","8,166,000","-130,000","-30,671,000","-45,053,000"
		OperatingGainsLosses,"224,000","248,000","122,000","-49,000","909,000","-2,000","2,019,000","2,647,000","57,000","61,000","-3,487,000","206,000","88,000","210,000","139,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,"206,000","88,000","210,000","139,000"
		DepreciationAmortizationDepletion,"44,694,000","44,333,000","38,905,000","34,289,000","34,731,000","38,638,000","36,305,000","37,922,000","37,124,000","34,230,000","31,011,000","30,353,000","29,550,000","27,451,000","24,354,000"
			DepreciationAndAmortization,"44,694,000","44,333,000","38,905,000","34,289,000","34,731,000","38,638,000","36,305,000","37,922,000","37,124,000","34,230,000","31,011,000","30,353,000","29,550,000","27,451,000","24,354,000"
		DeferredTax,"-25,110,000","-24,751,000","-351,000","3,621,000","-4,740,000","148,000","-1,563,000","-25,545,000","-96,000","859,000","1,423,000","-5,791,000","-7,906,000","-3,396,000","1,556,000"
			DeferredIncomeTax,"-25,110,000","-24,751,000","-351,000","3,621,000","-4,740,000","148,000","-1,563,000","-25,545,000","-96,000","859,000","1,423,000","-5,791,000","-7,906,000","-3,396,000","1,556,000"
		AssetImpairmentCharge,"98,180,000","97,279,000","197,712,000","0","0",,,,,,"0","0","15,533,000","47,037,000","52,388,000"
		StockBasedCompensation,"1,714,000","1,870,000","3,382,000","4,263,000","7,823,000","3,110,000","2,846,000","2,026,000","1,989,000","1,556,000","1,289,000","15,137,000","283,000","0",
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,"0","4,000","-70,000","0","0",
		OtherNonCashItems,"1,714,000","1,545,000","2,943,000","562,000","2,031,000","2,178,000","2,291,000","2,891,000","1,892,000","2,341,000","1,456,000","2,713,000","6,508,000","1,742,000","1,869,000"
		ChangeInWorkingCapital,"26,433,000","29,552,000","-24,552,000","-67,414,000","37,622,000","-28,070,000","-8,682,000","22,807,000","-11,280,000","-1,882,000","10,260,000","-109,000","1,920,000","-170,000","13,511,000"
			ChangeInReceivables,"-3,159,000","3,565,000","1,836,000","-1,631,000","-1,497,000","-1,002,000","-1,395,000","3,192,000","-5,861,000","-5,338,000","4,137,000","-6,565,000","-4,501,000","-751,000","8,031,000"
				ChangesInAccountReceivables,"-3,159,000","3,565,000","1,836,000","-1,631,000","-1,497,000","-1,002,000","-1,395,000","3,192,000","-5,861,000","-5,338,000","4,137,000","-6,565,000","-4,501,000","-751,000","169,000"
			ChangeInInventory,"13,150,000","12,145,000","20,450,000","-63,533,000","-2,403,000","-17,293,000","-14,688,000","8,406,000","-19,598,000","-1,929,000","-2,668,000","-3,553,000","-10,802,000","-6,491,000","-6,101,000"
