name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalRevenue,"4,948,532,000","4,631,672,000","4,014,919,000","3,463,946,000","2,398,123,000","2,756,163,000","2,457,449,000","2,219,531,000","1,990,714,000","1,807,368,000","1,582,148,000","1,422,585,000","1,263,331,000","1,109,226,000","1,004,993,000","942,331,000","880,461,000","735,089,000","597,131,000","458,784,000","363,011,000","279,519,000","232,836,000","159,912,000"
	OperatingRevenue,"4,948,532,000","4,631,672,000","4,014,919,000","3,463,946,000","2,398,123,000","2,756,163,000","2,457,449,000","2,219,531,000","1,990,714,000","1,807,368,000","1,582,148,000","1,422,585,000","1,263,331,000","1,109,226,000","1,004,993,000","942,331,000","880,461,000","735,089,000","597,131,000","458,784,000","363,011,000","279,519,000","232,836,000","159,912,000"
CostOfRevenue,"4,109,810,000","3,896,590,000","3,361,290,000","2,857,444,000","2,114,537,000","2,259,950,000","2,012,952,000","1,796,604,000","1,605,329,000","1,480,683,000","1,291,776,000","1,157,560,000","1,021,493,000","900,841,000","811,543,000","768,405,000","723,153,000","601,574,000","474,365,000","363,574,000","287,032,000",,,
GrossProfit,"838,722,000","735,082,000","653,629,000","606,502,000","283,586,000","496,213,000","444,497,000","422,927,000","385,385,000","326,685,000","290,372,000","265,025,000","241,838,000","208,385,000","193,450,000","173,926,000","157,308,000","133,515,000","122,766,000","95,210,000","75,979,000",,,
OperatingExpense,"401,464,000","380,818,000","331,832,000","308,576,000","257,479,000","285,089,000","256,430,000","236,067,000","213,306,000","181,146,000","159,287,000","146,711,000","129,756,000","111,945,000","100,828,000","95,065,000","93,106,000","70,302,000","68,397,000","47,914,000","37,297,000","28,834,000","26,305,000",
	SellingGeneralAndAdministration,"208,260,000","198,382,000","172,712,000","157,480,000","119,503,000","149,389,000","136,163,000","123,294,000","110,795,000","92,336,000","81,656,000","77,258,000","70,640,000","57,702,000","52,494,000","53,243,000","55,412,000","38,135,000","47,040,000","33,332,000","26,292,000","17,701,000","14,621,000",
		GeneralAndAdministrativeExpense,"208,260,000","198,382,000","172,712,000","157,480,000","119,503,000","149,389,000","136,163,000","123,294,000","110,795,000","92,336,000","81,656,000","77,258,000","70,640,000","57,702,000","52,494,000",,,,,,,,,
			OtherGandA,"208,260,000","198,382,000","172,712,000","157,480,000","119,503,000","149,389,000","136,163,000","123,294,000","110,795,000","92,336,000","81,656,000","77,258,000","70,640,000","57,702,000","52,494,000",,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"163,970,000","153,202,000","137,237,000","126,761,000","117,877,000","115,544,000","101,216,000","93,499,000","82,964,000","69,694,000","59,179,000","51,562,000","46,717,000","42,709,000","41,283,000","41,822,000","37,694,000","30,446,000","21,357,000","14,582,000","11,005,000","8,562,000","6,876,000",
		DepreciationAndAmortizationInIncomeStatement,"163,970,000","153,202,000","137,237,000","126,761,000","117,877,000","115,544,000","101,216,000","93,499,000","82,964,000","69,694,000","59,179,000","51,562,000","46,717,000","42,709,000","41,283,000","41,822,000","37,694,000","30,446,000","21,357,000","14,582,000","11,005,000","8,562,000","6,876,000",
	OtherOperatingExpenses,,"29,234,000","21,883,000","24,335,000","20,099,000","20,156,000","19,051,000","19,274,000","19,547,000","19,116,000","18,452,000","17,891,000","12,399,000","11,534,000","7,051,000",,"2,175,000","1,721,000",,,,"2,571,000","4,808,000",
OperatingIncome,"437,258,000","354,264,000","321,797,000","297,926,000","26,107,000","211,124,000","188,067,000","186,860,000","172,079,000","145,539,000","131,085,000","118,314,000","112,082,000","96,440,000","92,622,000","78,861,000","64,202,000","63,213,000","54,369,000","47,296,000","38,682,000","279,519,000","206,531,000","159,912,000"
NetNonOperatingInterestIncomeExpense,"3,841,000","2,984,000","-124,000","-3,663,000","-4,091,000","1,514,000","-591,000","-1,577,000","-1,255,000","-1,959,000","-2,084,000","-2,201,000","-2,347,000","-2,413,000","-2,673,000","-3,273,000","-3,844,000",,,,,,,
	InterestIncomeNonOperating,,,,,,"1,514,000",,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,,,"124,000","3,663,000","4,091,000","-1,514,000","591,000","1,577,000","1,255,000","1,959,000","2,084,000","2,201,000","2,347,000","2,413,000","2,673,000","3,273,000","3,844,000",,,,,,,
	TotalOtherFinanceCost,,"-2,984,000","124,000","3,663,000","4,091,000","-1,514,000","591,000","1,577,000","1,255,000","1,959,000","2,084,000","2,201,000","2,347,000","2,413,000","2,673,000",,,,,,,,,
OtherIncomeExpense,"-2,830,000","1,076,000","-361,000","-1,371,000","-2,763,000","1,277,000","1,075,000","834,000","932,000","667,000","966,000","2,114,000","-1,196,000","-835,000","-1,577,000","-3,000,000","-2,175,000","-1,427,000","251,000","130,000","110,000",,,
	EarningsFromEquityInterest,"852,000","1,351,000","1,239,000","-637,000","-500,000","378,000","1,353,000","1,488,000","1,111,000","1,641,000","1,602,000","713,000","428,000","366,000","428,000",,"215,000","294,000","251,000","130,000","110,000",,,
	SpecialIncomeCharges,"-3,682,000","-275,000","-1,600,000","-734,000","-2,263,000","899,000","-278,000","-654,000","-179,000","-974,000","-636,000","1,401,000","-1,624,000","-1,201,000","-2,005,000","-3,000,000","-2,175,000","-1,721,000",,,,"0","0",
		ImpairmentOfCapitalAssets,,"275,000","1,600,000","734,000","2,263,000","-899,000","278,000","654,000","179,000","974,000","636,000","399,000","1,624,000","1,201,000","2,005,000","3,000,000","2,175,000",,,,,,,
		WriteOff,"433,000","275,000","1,600,000","734,000","2,263,000","-899,000","278,000","654,000","179,000","974,000","636,000","399,000","1,624,000","1,201,000","2,005,000",,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,"0","0","1,800,000","0","0",,,,,,,,,,
PretaxIncome,"438,269,000","358,324,000","321,312,000","292,892,000","19,253,000","213,915,000","188,551,000","186,117,000","171,756,000","144,247,000","129,967,000","118,227,000","108,539,000","93,192,000","88,372,000","72,809,000","58,398,000","60,501,000","53,390,000","46,614,000","28,860,000","0",,"7,291,000"
TaxProvision,"58,558,000","44,649,000","43,715,000","39,578,000","-15,672,000","32,397,000","24,257,000","48,581,000","51,183,000","42,986,000","38,990,000","34,140,000","34,738,000","26,765,000","27,683,000","23,491,000","19,389,000","21,176,000","19,381,000","16,292,000","7,159,000","0",,
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,"428,000","221,000","215,000",,,,,,,
NetIncomeCommonStockholders,"369,565,000","304,876,000","269,818,000","245,294,000","31,255,000","174,452,000","158,225,000","131,526,000","115,598,000","96,894,000","87,022,000","80,423,000","71,170,000","63,964,000","58,289,000","47,479,000","38,168,000","39,325,000","34,009,000","30,322,000","21,701,000","23,143,000","16,953,000","7,291,000"
	NetIncome,"369,565,000","304,876,000","269,818,000","245,294,000","31,255,000","174,452,000","158,225,000","131,526,000","115,598,000","96,894,000","87,022,000","80,423,000","71,170,000","63,964,000","58,289,000","47,479,000","38,168,000","39,325,000","34,009,000","30,322,000","21,701,000","23,143,000","16,953,000","7,291,000"
		NetIncomeIncludingNoncontrollingInterests,"379,711,000","313,675,000","277,597,000","253,314,000","34,925,000","181,518,000","164,294,000","137,536,000","120,573,000","101,261,000","90,977,000","84,087,000","73,801,000","66,427,000","60,689,000","49,318,000","39,009,000","40,036,000","34,594,000","30,871,000","26,979,000","23,143,000","11,785,000","7,291,000"
			NetIncomeContinuousOperations,"379,711,000","313,675,000","277,597,000","253,314,000","34,925,000","181,518,000","164,294,000","137,536,000","120,573,000","101,261,000","90,977,000","84,087,000","73,801,000","66,427,000","60,689,000","49,318,000","39,009,000","39,325,000","34,009,000","30,322,000","21,701,000","23,143,000","11,785,000","7,291,000"
		MinorityInterests,"-10,146,000","-8,799,000","-7,779,000","-8,020,000","-3,670,000","-7,066,000","-6,069,000","-6,010,000","-4,975,000","-4,367,000","-3,955,000","-3,664,000","-2,631,000","-2,463,000","-2,400,000","-1,839,000","-841,000","-711,000","-585,000","-549,000","-5,278,000","6,704,000","5,168,000",
DilutedNIAvailtoComStockholders,"369,565,000","304,876,000","269,818,000","245,294,000","31,255,000","174,452,000","158,225,000","131,526,000","115,598,000","96,894,000","87,022,000","80,423,000","71,170,000","63,964,000","58,289,000","47,479,000","38,168,000","39,325,000","34,009,000","30,322,000","21,701,000","23,143,000","16,953,000","7,291,000"
BasicEPS,"5.53","4.56","3.99","3.52","0.45","2.47","2.21","1.85","1.64","1.38","1.25","1.15","1.02","0.9","0.82","0.68","0.53","0.53","0.46","0.44","0.135","0.155","0.235","0.077"
DilutedEPS,"5.51","4.54","3.97","3.5","0.45","2.46","2.2","1.84","1.63","1.37","1.23","1.13","1","0.88","0.8","0.67","0.52","0.51","0.44","0.42","0.12","0.15","0.22","0.07"
BasicAverageShares,"66,802,500","66,893,000","67,643,000","69,709,000","69,438,000","70,509,000","71,467,000","70,989,000","70,396,000","70,032,000","69,719,000","70,089,000","70,026,000","70,829,000","71,432,000","69,967,000","72,672,000","74,611,000","73,876,000","68,677,000","100,132,000","149,309,677","46,668,000","95,120,000"
DilutedAverageShares,"67,057,000","67,149,000","67,920,000","70,098,000","69,893,000","70,916,000","71,964,000","71,527,000","71,052,000","70,747,000","70,608,000","71,362,000","71,485,000","72,278,000","72,929,000","71,298,000","74,079,000","76,832,000","76,520,000","72,565,000","108,544,000","154,286,667","49,376,000","103,532,000"
TotalOperatingIncomeAsReported,"433,576,000","353,989,000","320,197,000","297,192,000","23,844,000","212,023,000","187,789,000","186,206,000","171,900,000","144,565,000","130,449,000","119,715,000","110,458,000","95,239,000","90,617,000","75,861,000","62,027,000","63,213,000","54,369,000","47,296,000","38,682,000","0","26,312,000","13,689,000"
RentExpenseSupplemental,"76,323,000","72,766,000","66,834,000","60,005,000","54,401,000","52,531,000","48,791,000","44,807,000","40,580,000","37,183,000","33,174,000","28,978,000","25,797,000","23,150,000","21,361,000",,,,,,,,,
TotalExpenses,"4,511,274,000","4,277,408,000","3,693,122,000","3,166,020,000","2,372,016,000","2,545,039,000","2,269,382,000","2,032,671,000","1,818,635,000","1,661,829,000","1,451,063,000","1,304,271,000","1,151,249,000","1,012,786,000","912,371,000","863,470,000","816,259,000","671,876,000","542,762,000","411,488,000","324,329,000","28,834,000","26,305,000",
NetIncomeFromContinuingAndDiscontinuedOperation,"369,565,000","304,876,000","269,818,000","245,294,000","31,255,000","174,452,000","158,225,000","131,526,000","115,598,000","96,894,000","87,022,000","80,423,000","71,170,000","63,964,000","58,289,000","47,479,000","38,168,000","39,325,000","34,009,000","30,322,000","21,701,000","23,143,000","16,953,000","7,291,000"
NormalizedIncome,"372,755,040.596","305,116,625","271,200,400","245,928,910","32,906,990","173,688,749","158,467,138","132,009,306","115,723,658","97,577,748","87,467,200","79,426,889","72,274,320","64,820,313","59,648,390","49,511,083.946","39,620,867.821","40,443,631.51","34,009,000","30,322,000","21,701,000","23,143,000","16,953,000","7,291,000"
InterestIncome,,,,,,"1,514,000",,,,,,,,,,,,,,,,,,
InterestExpense,,,"124,000","3,663,000","4,091,000","-1,514,000","591,000","1,577,000","1,255,000","1,959,000","2,084,000","2,201,000","2,347,000","2,413,000","2,673,000","3,273,000","3,844,000",,,,,,,
NetInterestIncome,"3,841,000","2,984,000","-124,000","-3,663,000","-4,091,000","1,514,000","-591,000","-1,577,000","-1,255,000","-1,959,000","-2,084,000","-2,201,000","-2,347,000","-2,413,000","-2,673,000","-3,273,000","-3,844,000",,,,,,,
EBIT,"437,258,000","354,264,000","321,797,000","297,926,000","23,344,000","211,124,000","188,067,000","186,860,000","172,079,000","145,539,000","131,085,000","118,314,000","112,082,000","96,440,000","92,622,000","76,082,000","62,242,000","63,213,000","54,369,000","47,296,000","38,682,000","279,519,000","206,531,000","159,912,000"
EBITDA,"601,228,000","507,466,000","459,034,000","424,687,000","141,221,000","326,668,000","289,283,000","280,359,000","255,043,000","215,233,000","190,264,000","169,876,000","158,799,000","139,149,000","133,905,000","117,904,000","99,936,000","93,659,000","75,726,000","61,878,000","49,687,000","279,519,000","213,407,000","159,912,000"
ReconciledCostOfRevenue,"4,109,810,000","3,896,590,000","3,361,290,000","2,857,444,000","2,114,537,000","2,259,950,000","2,012,952,000","1,796,604,000","1,605,329,000","1,480,683,000","1,291,776,000","1,157,560,000","1,021,493,000","900,841,000","811,543,000","768,405,000","723,153,000","601,574,000","474,365,000","363,574,000","287,032,000",,,
ReconciledDepreciation,"163,970,000","153,202,000","137,237,000","126,761,000","117,877,000","115,544,000","101,216,000","93,499,000","82,964,000","69,694,000","59,179,000","51,562,000","46,717,000","42,709,000","41,283,000","41,822,000","37,694,000","30,446,000","21,357,000","14,582,000","11,005,000","8,562,000","6,876,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"369,565,000","304,876,000","269,818,000","245,294,000","31,255,000","174,452,000","158,225,000","131,526,000","115,598,000","96,894,000","87,022,000","80,423,000","71,170,000","63,964,000","58,289,000","47,479,000","38,168,000","39,325,000","34,009,000","30,322,000","21,701,000","23,143,000","16,953,000","7,291,000"
TotalUnusualItemsExcludingGoodwill,"-3,682,000","-275,000","-1,600,000","-734,000","-2,263,000","899,000","-278,000","-654,000","-179,000","-974,000","-636,000","1,401,000","-1,624,000","-1,201,000","-2,005,000","-3,000,000","-2,175,000","-1,721,000",,,,"0","0",
TotalUnusualItems,"-3,682,000","-275,000","-1,600,000","-734,000","-2,263,000","899,000","-278,000","-654,000","-179,000","-974,000","-636,000","1,401,000","-1,624,000","-1,201,000","-2,005,000","-3,000,000","-2,175,000","-1,721,000",,,,"0","0",
NormalizedEBITDA,"604,910,000","507,741,000","460,634,000","425,421,000","143,484,000","325,769,000","289,561,000","281,013,000","255,222,000","216,207,000","190,900,000","168,475,000","160,423,000","140,350,000","135,910,000","120,904,000","102,111,000","95,380,000","75,726,000","61,878,000","49,687,000","279,519,000","213,407,000","159,912,000"
TaxRateForCalcs,"0.134","0.125","0.136","0.135","0.27","0.151","0.129","0.261","0.298","0.298","0.3","0.289","0.32","0.287","0.322","0.323","0.332","0.35","0.363","0.35","0.248","0","0.4","0.4"
TaxEffectOfUnusualItems,"-491,959.404","-34,375","-217,600","-99,090","-611,010","135,749","-35,862","-170,694","-53,342","-290,252","-190,800","404,889","-519,680","-344,687","-645,610","-967,916.054","-722,132.179","-602,368.49","0","0","0","0","0","0"
