name,ttm,03/31/2024,03/31/2023,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
OperatingCashFlow,"512,952,000","353,970,000","-39,886,000","664,829,000","212,864,000","509,031,000","628,230,000","237,460,000","366,623,000","14,541,000","219,033,000","120,070,000","199,761,000","15,218,000","50,114,000","119,041,000","69,516,000","-14,628,000","10,701,000","15,795,000","-8,851,000","-9,702,000"
	CashFlowFromContinuingOperatingActivities,"512,952,000","353,970,000","-39,886,000","664,829,000","212,864,000","509,031,000","628,230,000","237,460,000","366,623,000","14,541,000","219,033,000","120,070,000","199,761,000","15,218,000","50,114,000","119,041,000","69,516,000","-14,628,000","10,701,000","15,795,000","-8,851,000","-9,702,000"
		NetIncomeFromContinuingOperations,"-83,394,000","232,042,000","374,459,000","360,060,000","-549,177,000","92,139,000","-46,302,000","-48,260,000","256,979,000","232,573,000","208,042,000","162,330,000","128,778,000","96,919,000","68,477,000","46,785,000","38,229,000","52,558,000","38,979,000","19,719,000","16,322,000","5,748,000"
		OperatingGainsLosses,"11,057,000","17,703,000","-5,847,000","81,871,000","-184,873,000","2,567,000","18,279,000","-26,934,000","14,207,000","33,908,000","12,000,000","2,237,000","-1,940,000","4,063,000","1,324,000","37,000","15,000","-2,567,000","276,000","4,385,000","5,201,000",
			GainLossOnSaleOfBusiness,,,"0","0","-179,318,000","0","0",,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"1,597,000","1,623,000","2,616,000","4,468,000","3,740,000","4,640,000","4,256,000","2,313,000","1,580,000","549,000","261,000","332,000","524,000","36,000","44,000","37,000","15,000","0",,,,
			NetForeignCurrencyExchangeGainLoss,"9,460,000","16,080,000","-8,463,000","18,877,000","-9,295,000","-2,073,000","14,023,000","-29,247,000","12,627,000","33,359,000","11,739,000","1,905,000","-2,464,000","4,027,000","1,280,000",,,,,,,
		DepreciationAmortizationDepletion,"140,725,000","142,590,000","135,456,000","141,144,000","164,984,000","186,425,000","181,768,000","173,747,000","144,770,000","100,940,000","72,093,000","50,549,000","43,082,000","36,301,000","31,321,000","28,249,000","21,347,000","14,622,000","9,824,000","6,546,000","3,174,000","1,171,000"
			DepreciationAndAmortization,"140,725,000","142,590,000","135,456,000","141,144,000","164,984,000","186,425,000","181,768,000","173,747,000","144,770,000","100,940,000","72,093,000","50,549,000","43,082,000","36,301,000","31,321,000","28,249,000","21,347,000","14,622,000","9,824,000","6,546,000","3,174,000","1,171,000"
		DeferredTax,"-7,866,000","-23,693,000","-153,143,000","-2,642,000","43,992,000","38,132,000","-38,544,000","55,910,000","-43,004,000","-4,426,000","-17,584,000","-18,832,000","-12,973,000","3,620,000","-10,337,000","-5,212,000","-2,818,000","-4,909,000","-6,721,000","-331,000","-3,341,000","-1,918,000"
			DeferredIncomeTax,"-7,866,000","-23,693,000","-153,143,000","-2,642,000","43,992,000","38,132,000","-38,544,000","55,910,000","-43,004,000","-4,426,000","-17,584,000","-18,832,000","-12,973,000","3,620,000","-10,337,000","-5,212,000","-2,818,000","-4,909,000","-6,721,000","-331,000","-3,341,000","-1,918,000"
		AssetImpairmentCharge,,,,,"470,543,000","39,000,000","9,893,000","71,378,000","0","0",,"0","0","-3,300,000","0",,,,,,,
		ProvisionandWriteOffofAssets,"1,585,000","13,612,000","11,696,000","-25,766,000","10,347,000","-26,096,000","-234,998,000","108,757,000","70,188,000","40,391,000","31,350,000","13,945,000","13,916,000","5,536,000","2,322,000",,,,,,,
