name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2004,01/31/2003
OperatingCashFlow,"1,406,337,000","1,476,266,000","1,481,915,000","1,059,265,000","810,355,000","1,101,293,000","956,127,000","779,366,000","634,385,000","375,874,000","396,592,000","327,725,000","239,001,000","220,887,000","176,543,000","172,827,000","75,203,000","46,906,000","55,630,000","37,601,000",,
	CashFlowFromContinuingOperatingActivities,"1,406,337,000","1,476,266,000","1,481,915,000","1,059,265,000","810,355,000","1,101,293,000","956,127,000","779,366,000","634,385,000","375,874,000","396,592,000","327,725,000","239,001,000","220,887,000","176,543,000","172,827,000","75,203,000","46,906,000","55,630,000","37,601,000",,
		NetIncomeFromContinuingOperations,"1,209,521,000","1,291,005,000","1,242,408,000","985,837,000","175,835,000","705,945,000","658,559,000","555,234,000","409,760,000","320,008,000","257,135,000","202,849,000","172,549,000","120,264,000","71,030,000","39,356,000","25,268,000","25,335,000","22,543,000","15,969,000",,
		OperatingGainsLosses,"12,745,000","11,419,000","6,688,000","5,358,000","6,827,000","5,850,000","2,885,000","7,518,000","9,140,000","3,690,000","4,468,000","3,902,000","1,074,000","1,324,000","-519,000","-51,000","267,000","195,000","3,518,000","1,230,000",,
			GainLossOnSaleOfPPE,"12,745,000","11,419,000","6,688,000","5,358,000","6,827,000","5,850,000","2,885,000","7,518,000","9,140,000","3,690,000","4,468,000","3,902,000","1,074,000","1,324,000","-519,000","-51,000","267,000",,,,,
		DepreciationAmortizationDepletion,"254,031,000","243,840,000","241,372,000","268,460,000","297,772,000","295,599,000","279,472,000","252,713,000","210,295,000","165,049,000","131,764,000","106,283,000","88,233,000","75,931,000","64,936,000","62,166,000","51,445,000","39,503,000","29,736,000","22,285,000","15,411,000","12,522,000"
			DepreciationAndAmortization,"254,031,000","243,840,000","241,372,000","268,460,000","297,772,000","295,599,000","279,472,000","252,713,000","210,295,000","165,049,000","131,764,000","106,283,000","88,233,000","75,931,000","64,936,000","62,166,000","51,445,000","39,503,000","29,736,000","22,285,000","15,411,000","12,522,000"
		DeferredTax,"32,449,000","30,575,000","15,653,000","-25,666,000","-24,008,000","5,503,000","34,080,000","-27,095,000","26,971,000","5,809,000","9,246,000","3,868,000","8,673,000","10,827,000","7,741,000","3,143,000","22,583,000","-3,284,000","-3,080,000","-3,037,000",,
			DeferredIncomeTax,"32,449,000","30,575,000","15,653,000","-25,666,000","-24,008,000","5,503,000","34,080,000","-27,095,000","26,971,000","5,809,000","9,246,000","3,868,000","8,673,000","10,827,000","7,741,000","3,143,000","22,583,000","-3,284,000","-3,080,000","-3,037,000",,
		AssetImpairmentCharge,,,"0","0","72,533,000","0","0",,,,,,,,,,,,,,,
