name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994
TotalAssets,"4,111,209,000","3,682,912,000","3,791,347,000","3,546,345,000","3,315,633,000","2,160,515,000","1,952,780,000","1,902,637,000","1,833,301,000","1,888,741,000","2,221,214,000","1,797,211,000","1,483,708,000","1,794,321,000","1,636,093,000","1,329,009,000","1,142,791,000","899,251,000","769,205,000","556,684,000","384,502,000","279,177,000","195,102,000","168,716,000","153,501,000","133,363,000","107,400,000","89,700,000","71,100,000","56,800,000","43,400,000"
	CurrentAssets,"1,282,503,000","1,237,719,000","1,285,747,000","1,223,332,000","1,053,396,000","1,202,756,000","978,757,000","881,397,000","834,361,000","809,117,000","994,980,000","872,284,000","596,992,000","803,977,000","806,213,000","624,402,000","433,610,000","366,405,000","385,183,000","287,868,000","175,835,000","145,765,000","82,149,000","64,973,000","66,078,000","71,600,000","65,800,000","50,900,000","46,600,000","35,600,000","35,200,000"
		CashCashEquivalentsAndShortTermInvestments,"465,065,000","382,638,000","445,995,000","570,330,000","433,292,000","637,492,000","447,345,000","359,207,000","326,337,000","258,804,000","523,871,000","473,813,000","235,127,000","456,677,000","501,536,000","365,983,000","185,398,000","159,278,000","191,795,000","155,684,000","87,173,000","79,506,000","28,283,000","16,600,000","23,952,000","38,200,000","26,700,000","14,600,000","20,100,000","9,100,000","15,500,000"
			CashAndCashEquivalents,"178,321,000","201,260,000","206,575,000","395,635,000","221,839,000","358,260,000","282,220,000","248,140,000","265,276,000","154,558,000","242,058,000","245,327,000","145,273,000","340,257,000","159,024,000","316,035,000","105,271,000","27,267,000","49,912,000","29,731,000","3,319,000","72,127,000","28,251,000","16,286,000","12,727,000","25,200,000","26,700,000","14,600,000","20,100,000","9,100,000","15,500,000"
			OtherShortTermInvestments,"286,744,000","181,378,000","239,420,000","174,695,000","211,453,000","279,232,000","165,125,000","111,067,000","61,061,000","104,246,000","281,813,000","228,486,000","89,854,000","116,420,000","342,512,000","49,948,000","80,127,000","132,011,000","141,883,000","125,953,000","83,854,000","7,379,000","32,000","314,000","11,225,000","13,000,000",,,,,
		Receivables,"67,008,000","70,339,000","63,760,000","89,952,000","88,288,000","80,461,000","76,962,000","54,505,000","75,723,000","70,458,000","55,161,000","39,519,000","36,673,000","36,502,000","38,405,000","36,390,000","26,365,000","20,871,000","14,324,000","8,364,000","6,711,000","3,262,000","4,129,000","3,444,000","4,825,000","4,800,000","4,500,000","2,800,000","1,600,000","1,200,000","700,000"
			AccountsReceivable,"67,008,000","70,339,000","63,760,000","89,952,000","88,288,000","80,461,000","76,962,000","54,505,000","75,723,000","70,458,000","55,161,000","39,519,000","36,673,000","36,502,000","38,405,000","36,390,000","26,365,000","20,871,000","14,324,000","8,364,000","6,711,000","3,262,000","4,129,000","3,444,000",,,,,,,
				GrossAccountsReceivable,"68,473,000","71,835,000","65,108,000","93,980,000","89,168,000","81,960,000","78,288,000","55,093,000","76,387,000","71,308,000","56,872,000","41,200,000","38,287,000","37,517,000",,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,465,000","-1,496,000","-1,348,000","-4,028,000","-880,000","-1,499,000","-1,326,000","-588,000","-664,000","-850,000","-1,711,000","-1,681,000","-1,614,000","-1,015,000",,,,,,,,,,,,,,,,,
		Inventory,"550,242,000","587,510,000","569,699,000","389,618,000","409,534,000","370,507,000","351,395,000","338,590,000","330,223,000","358,237,000","311,207,000","282,411,000","250,073,000","229,561,000","186,130,000","169,698,000","171,925,000","154,387,000","140,377,000","98,996,000","63,247,000","50,006,000","41,086,000","34,786,000","26,868,000","21,900,000","17,100,000","17,000,000","10,500,000","10,400,000","6,900,000"
