name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"11,612,963,000","13,990,488,000","13,342,208,000","13,754,029,000","11,133,251,000","10,356,785,000","10,311,310,000","9,958,502,000","9,739,287,000","9,639,542,000","9,845,300,000","10,315,443,000","9,633,021,000","9,313,126,000","6,457,556,000","6,473,863,000","6,433,868,000","6,446,685,000","5,465,693,000","5,171,071,000","5,004,278,000","4,245,552,000","3,503,151,000","4,103,016,000","4,358,156,000","4,026,500,000","3,836,700,000","3,322,800,000","3,449,500,000","3,447,100,000","3,335,600,000","2,877,300,000","2,712,400,000","2,126,900,000","1,852,800,000","1,889,800,000","1,759,900,000","1,925,700,000","1,833,800,000","860,200,000"
	CurrentAssets,"4,226,947,000","5,152,709,000","4,588,080,000","4,785,870,000","5,027,016,000","4,673,457,000","4,683,323,000","4,377,764,000","4,293,098,000","4,163,136,000","4,031,569,000","3,882,982,000","3,449,583,000","3,187,944,000","2,826,060,000","2,632,562,000","2,653,010,000","2,645,129,000","2,578,010,000","2,365,376,000","2,378,568,000","2,208,531,000","2,074,540,000","2,031,420,000","2,110,096,000","1,877,400,000","1,848,200,000","1,601,500,000","1,706,300,000","1,667,600,000","1,551,200,000","1,500,200,000","1,365,600,000","1,071,100,000","824,200,000","873,500,000","786,500,000","912,000,000","884,300,000","436,800,000"
		CashCashEquivalentsAndShortTermInvestments,"674,605,000","814,887,000","1,275,943,000","1,414,556,000","1,369,028,000","402,226,000","680,762,000","563,483,000","1,227,862,000","944,423,000","971,895,000","776,403,000","597,461,000","341,228,000","792,239,000","731,549,000","381,844,000","321,863,000","343,224,000","296,557,000","485,507,000","514,785,000","496,367,000","332,049,000","118,891,000","79,900,000","63,200,000","124,100,000","270,600,000","84,100,000","59,700,000","151,600,000","86,300,000","162,300,000","62,000,000","36,200,000","86,700,000","112,100,000","126,100,000","68,500,000"
			CashAndCashEquivalents,"674,605,000","814,887,000","1,275,943,000","815,750,000","1,369,028,000","402,226,000","680,762,000","563,483,000","1,227,862,000","944,423,000","971,895,000","776,403,000","597,461,000","341,228,000","792,239,000","731,549,000","381,844,000","321,863,000","343,224,000","296,557,000","485,507,000","514,785,000","496,367,000","332,049,000","118,891,000","79,900,000","63,200,000","124,100,000","270,600,000","84,100,000","59,700,000","151,600,000","86,300,000","162,300,000","62,000,000","36,200,000","86,700,000","112,100,000","126,100,000","68,500,000"
				CashFinancial,"447,805,000","375,387,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"226,800,000","439,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,"0","598,806,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,273,965,000","1,610,295,000","1,467,842,000","1,298,020,000","1,308,051,000","1,372,625,000","1,408,587,000","1,429,986,000","1,148,797,000","1,289,962,000","1,276,224,000","1,360,443,000","1,222,345,000","1,120,246,000","773,083,000","776,140,000","851,282,000","970,951,000","809,594,000","764,184,000","751,582,000","633,863,000","587,859,000","602,334,000","716,299,000","732,500,000","705,700,000","587,900,000","592,900,000","629,500,000","613,300,000","511,900,000","493,000,000","333,100,000","301,000,000","320,000,000","266,400,000","285,400,000","261,600,000","148,400,000"
			AccountsReceivable,"1,273,965,000","1,610,295,000","1,467,842,000","1,298,020,000","1,308,051,000","1,372,625,000","1,408,587,000","1,429,986,000","1,148,797,000","1,289,962,000","1,276,224,000","1,360,443,000","1,222,345,000","1,120,246,000","773,083,000","776,140,000","851,282,000","970,951,000","809,594,000","764,184,000","751,582,000","633,863,000","587,859,000","602,334,000","716,299,000",,,,,,,,,,,,,,,
				GrossAccountsReceivable,"1,300,334,000","1,638,370,000","1,495,801,000","1,331,674,000","1,345,150,000","1,391,634,000","1,433,580,000","1,456,252,000","1,218,809,000","1,313,237,000","1,302,918,000","1,405,793,000","1,271,343,000","1,174,256,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-26,369,000","-28,075,000","-27,959,000","-33,654,000","-37,099,000","-19,009,000","-24,993,000","-26,266,000","-21,131,000","-23,275,000","-26,694,000","-45,350,000","-48,998,000","-54,010,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,766,366,000","2,292,790,000","1,418,673,000","1,061,839,000","1,293,912,000","1,173,102,000","1,861,441,000","1,706,609,000","1,424,571,000","1,555,360,000","1,482,804,000","1,399,062,000","1,354,158,000","1,453,645,000","1,070,694,000","958,639,000","1,151,895,000","1,138,752,000","958,262,000","1,081,080,000","973,248,000","932,985,000","830,518,000","913,054,000","1,124,438,000","964,000,000","954,000,000","774,800,000","730,800,000","841,900,000","801,300,000","778,800,000","742,500,000","537,000,000","436,700,000","507,500,000","422,800,000","493,000,000","476,200,000","208,700,000"
			RawMaterials,"8,151,000","13,067,000","14,416,000","23,981,000","24,747,000","25,994,000","103,547,000","105,354,000","94,297,000","147,359,000","145,664,000","144,921,000","156,738,000","168,815,000","149,238,000","115,674,000","133,230,000","140,080,000","105,054,000","141,203,000","129,062,000","126,525,000","132,181,000","133,265,000","220,086,000",,,,,,,,,,,,,,,
			WorkInProcess,"39,539,000","39,508,000","50,774,000","54,386,000","67,603,000","59,473,000","103,757,000","110,467,000","97,256,000","94,355,000","104,517,000","94,586,000","98,191,000","86,902,000","78,226,000","70,507,000","87,543,000","87,176,000","69,701,000","86,568,000","99,669,000","91,593,000","110,383,000","155,446,000","194,194,000",,,,,,,,,,,,,,,
			FinishedGoods,"1,718,676,000","2,240,215,000","1,353,483,000","983,472,000","1,201,562,000","1,087,635,000","1,654,137,000","1,490,788,000","1,233,018,000","1,313,646,000","1,232,623,000","1,159,555,000","1,099,229,000","1,197,928,000","843,230,000","772,458,000","931,122,000","911,496,000","783,507,000","853,309,000","744,517,000","714,867,000","587,954,000","624,343,000","710,158,000",,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,"154,285,000","169,321,000","140,515,000","106,717,000","68,220,000","64,959,000","96,339,000","104,489,000","84,519,000","106,774,000","99,338,000","90,955,000","117,214,000","158,110,000",,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,"154,285,000","169,321,000","140,515,000","106,717,000","68,220,000","64,959,000","96,339,000","104,489,000","84,519,000","106,774,000","99,338,000","90,955,000","117,214,000","158,110,000",,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,"0","587,578,000","611,139,000","1,299,892,000","373,580,000","380,700,000","197,980,000","89,176,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"512,011,000","434,737,000","425,622,000","423,877,000","444,886,000","425,612,000","358,953,000","296,986,000","293,888,000","284,215,000","300,646,000","177,753,000","135,104,000","166,108,000","121,824,000","101,275,000","171,650,000","109,074,000","466,930,000","223,555,000","168,231,000","35,943,000","42,582,000","25,873,000","150,468,000","101,000,000","125,300,000","114,700,000","112,000,000","112,100,000","76,900,000","57,900,000","43,800,000","38,700,000","24,500,000","9,800,000","10,600,000","21,500,000","20,400,000","11,200,000"
	TotalNonCurrentAssets,"7,386,016,000","8,837,779,000","8,754,128,000","8,968,159,000","6,106,235,000","5,683,328,000","5,627,987,000","5,580,738,000","5,446,189,000","5,476,406,000","5,813,731,000","6,432,461,000","6,183,438,000","6,125,182,000","3,631,496,000","3,841,301,000","3,780,858,000","3,801,556,000","2,887,683,000","2,805,695,000","2,625,710,000","2,037,021,000","1,428,611,000","2,071,596,000","2,248,060,000","2,149,100,000","1,988,500,000","1,721,300,000","1,743,200,000","1,779,500,000","1,784,400,000","1,377,100,000","1,346,800,000","1,055,800,000","1,028,600,000","1,016,300,000","973,400,000","1,013,700,000","949,500,000","423,400,000"
		NetPPE,"2,154,247,000","2,314,622,000","2,288,833,000","2,450,310,000","2,227,920,000","876,093,000","1,011,617,000","1,014,638,000","895,960,000","945,491,000","942,181,000","932,792,000","828,218,000","737,451,000","602,908,000","614,178,000","642,727,000","651,858,000","593,058,000","564,055,000","572,254,000","591,680,000","566,546,000","654,692,000","776,015,000","804,400,000","776,100,000","706,000,000","721,500,000","749,900,000","767,000,000","712,800,000","711,100,000","577,000,000","537,200,000","513,900,000","482,200,000","507,100,000","460,300,000","315,500,000"
			GrossPPE,"3,288,699,000","3,389,649,000","3,376,158,000","3,510,444,000","3,197,915,000","1,834,574,000","2,474,435,000","2,489,523,000","2,233,656,000","2,311,245,000","2,269,123,000","2,169,980,000","1,983,417,000","1,830,039,000","1,663,299,000","1,601,608,000","1,557,634,000","1,529,015,000","1,455,154,000","1,551,411,000","1,539,490,000","1,559,846,000","1,539,269,000","1,818,397,000","1,865,326,000","1,814,000,000","1,711,100,000","1,569,000,000","1,543,300,000","1,490,400,000","1,403,800,000","1,250,100,000","1,241,600,000","1,041,100,000","954,300,000","877,300,000","792,400,000","769,900,000","658,400,000","472,200,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,
				LandAndImprovements,"65,886,000","69,401,000","91,049,000","78,033,000","83,944,000","84,861,000","103,158,000","104,257,000","85,704,000","93,923,000","57,151,000","56,828,000","54,264,000","53,138,000","48,158,000","47,731,000","47,288,000","49,146,000","44,632,000","50,374,000","52,989,000","52,124,000","48,566,000","57,376,000",,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"886,158,000","896,973,000","965,802,000","949,447,000","858,666,000","890,758,000","1,076,091,000","1,070,884,000","931,190,000","983,666,000","986,679,000","953,931,000","862,288,000","754,391,000","606,532,000","578,861,000","555,407,000","547,316,000","465,273,000","491,382,000","502,369,000","479,725,000","462,792,000","516,163,000",,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"1,006,294,000","1,051,093,000","1,072,251,000","1,008,530,000","981,791,000","858,955,000","1,295,186,000","1,314,382,000","1,216,762,000","1,233,656,000","1,225,293,000","1,159,221,000","1,066,865,000","1,022,510,000","1,008,609,000","975,016,000","954,939,000","932,553,000","945,249,000","1,009,655,000","984,132,000","1,027,997,000","1,027,911,000","1,244,858,000",,,,,,,,,,,,,,,,
				OtherProperties,"1,330,361,000","1,372,182,000","1,247,056,000","1,474,434,000","1,273,514,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-1,134,452,000","-1,075,027,000","-1,087,325,000","-1,060,134,000","-969,995,000","-958,481,000","-1,462,818,000","-1,474,885,000","-1,337,696,000","-1,365,754,000","-1,326,942,000","-1,237,188,000","-1,155,199,000","-1,092,588,000","-1,060,391,000","-987,430,000","-914,907,000","-877,157,000","-862,096,000","-987,356,000","-967,236,000","-968,166,000","-972,723,000","-1,163,705,000","-1,089,311,000","-1,009,600,000","-935,000,000","-863,000,000","-821,800,000","-740,500,000","-636,800,000","-537,300,000","-530,500,000","-464,100,000","-417,100,000","-363,400,000","-310,200,000","-262,800,000","-198,100,000","-156,700,000"
		GoodwillAndOtherIntangibleAssets,"4,389,859,000","4,969,973,000","5,710,840,000","5,719,908,000","3,214,477,000","3,619,562,000","3,813,329,000","4,014,662,000","3,283,280,000","3,914,660,000","4,428,777,000","5,102,588,000","4,997,701,000","5,032,112,000","2,701,121,000","2,944,001,000","2,727,111,000","2,766,262,000","1,849,374,000","1,841,350,000","1,671,114,000","1,019,606,000","473,355,000","1,015,783,000","1,101,876,000","992,500,000","951,600,000","814,300,000","863,900,000","887,600,000","911,300,000","575,300,000","554,700,000","422,100,000","427,300,000","431,800,000","449,900,000","468,500,000","448,400,000","100,300,000"
			Goodwill,"1,460,414,000","1,978,413,000","2,393,807,000","2,425,427,000","1,156,019,000","1,491,684,000","1,693,219,000","1,692,644,000","1,554,667,000","1,788,407,000","1,824,956,000","2,021,750,000","2,009,757,000","2,023,460,000","1,166,638,000","1,367,680,000","1,313,798,000","1,278,163,000","1,030,925,000",,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"2,929,445,000","2,991,560,000","3,317,033,000","3,294,481,000","2,058,458,000","2,127,878,000","2,120,110,000","2,322,018,000","1,728,613,000","2,126,253,000","2,603,821,000","3,080,838,000","2,987,944,000","3,008,652,000","1,534,483,000","1,576,321,000","1,413,313,000","1,488,099,000","818,449,000","1,841,350,000","1,671,114,000","1,019,606,000","473,355,000","1,015,783,000","1,101,876,000","992,500,000","951,600,000","814,300,000","863,900,000","887,600,000","911,300,000","575,300,000","554,700,000","422,100,000","427,300,000","431,800,000","449,900,000","468,500,000","448,400,000","100,300,000"
		InvestmentsAndAdvances,"126,387,000","147,965,000","180,183,000","194,649,000","143,920,000","181,556,000","214,303,000","216,477,000","203,337,000","215,989,000","243,176,000","235,191,000","206,244,000","196,593,000","207,400,000","202,842,000","250,511,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherInvestments,"126,387,000","147,965,000","180,183,000","194,649,000","143,920,000","181,556,000","214,303,000","216,477,000","203,337,000","215,989,000","243,176,000","235,191,000","206,244,000","196,593,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		FinancialAssets,"3,847,000","1,556,000","7,136,000","5,817,000","20,050,000","9,189,000","4,659,000","2,199,000","18,821,000","12,995,000","20,269,000","3,389,000","2,524,000","7,252,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,"42,993,000","1,004,289,000","112,006,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"389,783,000","95,117,000","104,097,000","202,691,000","185,005,000","97,520,000","106,454,000","104,679,000","320,189,000","40,842,000","49,971,000","27,995,000","40,410,000","44,630,000","47,779,000","21,341,000","102,077,000","25,731,000","9,874,000",,"12,476,000",,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"389,783,000","95,117,000","100,980,000","201,237,000","183,336,000","95,399,000","105,493,000","103,601,000","42,171,000","39,246,000","49,431,000","16,537,000","27,170,000","29,304,000","38,523,000","11,182,000","90,947,000","25,731,000","9,874,000",,"12,476,000",,,,,,,,,,,,,,,,,,,
		NonCurrentPrepaidAssets,"36,958,000","42,746,000","46,247,000","52,345,000","47,766,000","45,175,000","45,321,000","45,225,000","33,761,000","36,485,000","33,880,000","33,216,000","30,291,000","31,963,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		DefinedPensionBenefit,"175,110,000","183,929,000","213,820,000","197,484,000","166,955,000","117,405,000","76,671,000","82,296,000","41,281,000","9,273,000","1,491,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"66,832,000","77,582,000","90,966,000","144,955,000","100,142,000","736,828,000","803,041,000","100,562,000","649,560,000","300,671,000","93,986,000","97,290,000","78,050,000","75,181,000","72,288,000","58,939,000","58,432,000","357,705,000","435,377,000","400,290,000","382,342,000","425,735,000","388,710,000","401,121,000","370,169,000","352,200,000","260,800,000","201,000,000","157,800,000","142,000,000","106,100,000","89,000,000","81,000,000","56,700,000","64,100,000","70,600,000","41,300,000","38,100,000","40,800,000","7,600,000"
TotalLiabilitiesNetMinorityInterest,"9,954,598,000","11,079,775,000","9,811,853,000","10,697,865,000","7,775,917,000","6,058,269,000","6,623,214,000","6,238,602,000","4,798,366,000","4,254,704,000","4,214,418,000","4,238,405,000","4,507,396,000","4,787,951,000","2,596,237,000","2,660,578,000","2,876,623,000","2,869,856,000","2,200,521,000","2,362,858,000","2,491,037,000","2,294,245,000","1,845,303,000","1,990,220,000","2,166,343,000","1,825,400,000","1,736,500,000","1,425,900,000","1,449,400,000","1,652,000,000","1,581,900,000","1,314,400,000","1,546,900,000","1,181,000,000","1,026,200,000","1,070,000,000","664,500,000","945,100,000","1,009,700,000","306,000,000"
	CurrentLiabilities,"3,456,979,000","3,545,766,000","3,315,397,000","2,210,477,000","3,023,884,000","2,661,604,000","3,138,829,000","2,744,100,000","1,785,400,000","1,941,713,000","1,614,065,000","1,568,001,000","1,732,212,000","1,666,032,000","1,109,475,000","1,095,789,000","1,012,182,000","1,134,387,000","1,014,848,000","1,152,143,000","1,372,214,000","871,857,000","874,844,000","813,833,000","1,006,200,000","1,113,500,000","1,033,000,000","765,900,000","766,300,000","868,300,000","912,300,000","659,800,000","684,000,000","510,700,000","351,500,000","325,000,000","231,100,000","464,000,000","430,100,000","145,000,000"
		PayablesAndAccruedExpenses,"1,629,061,000","1,974,439,000","1,770,115,000","1,303,079,000","1,097,709,000","1,275,150,000","1,521,431,000","1,504,236,000","1,216,468,000","1,229,960,000","1,309,995,000","1,270,687,000","1,066,766,000","1,131,905,000","907,702,000","716,400,000","926,759,000","997,968,000","778,515,000","979,231,000","928,152,000","830,849,000","800,513,000","735,237,000","745,196,000","332,700,000","341,100,000","301,100,000","320,100,000","276,600,000","291,100,000","246,500,000","248,600,000","169,300,000","72,500,000","73,000,000",,,,
			Payables,"1,075,642,000","1,402,405,000","1,144,136,000","697,205,000","603,763,000","689,445,000","583,004,000","1,051,803,000","817,182,000","863,436,000","931,315,000","864,843,000","717,511,000","749,293,000","593,510,000","468,460,000","537,550,000","509,879,000","385,700,000","451,900,000","369,937,000","315,219,000","298,456,000","251,588,000","340,127,000","332,700,000","341,100,000","301,100,000","320,100,000","276,600,000","291,100,000","246,500,000","248,600,000","169,300,000","72,500,000","73,000,000",,,,
