name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009
OperatingCashFlow,"18,867,000","47,993,000","-13,421,000","39,861,000","20,702,000","20,624,000","43,564,000","42,642,000","65,186,000","43,270,000","103,812,000","87,864,000","51,492,000","51,516,000","58,466,000","66,006,000","50,187,000"
	CashFlowFromContinuingOperatingActivities,"18,867,000","47,993,000","-13,421,000","39,861,000","20,702,000","20,624,000","43,564,000","42,642,000","65,186,000","43,270,000","103,812,000","87,864,000","51,492,000","51,516,000","58,466,000","66,006,000","50,187,000"
		NetIncomeFromContinuingOperations,"848,000","7,838,000","-79,384,000","20,218,000","10,689,000","15,244,000","20,757,000","7,016,000","19,758,000","27,558,000","39,445,000","58,812,000","68,870,000","57,921,000","46,198,000","43,219,000","23,671,000"
		OperatingGainsLosses,,,,,"13,000","-188,000","32,000","162,000","-152,000","141,000","21,000","29,000","37,000","51,000","278,000","1,462,000","28,000"
			GainLossOnSaleOfPPE,,,,,,,,"15,000","14,000","141,000","21,000","29,000","37,000","51,000","278,000","1,462,000","28,000"
			GainLossOnInvestmentSecurities,,,,,"13,000","-188,000","32,000","162,000","-152,000",,,,,,,,
		DepreciationAmortizationDepletion,"30,391,000","31,905,000","33,700,000","32,909,000","43,620,000","45,775,000","16,540,000","19,570,000","19,516,000","19,418,000","14,802,000","15,104,000","10,834,000","9,457,000","8,411,000","10,666,000","7,347,000"
			DepreciationAndAmortization,"30,391,000","31,905,000","33,700,000","32,909,000","43,620,000","45,775,000","16,540,000","19,570,000","19,516,000","19,418,000","14,802,000","15,104,000","10,834,000","9,457,000","8,411,000","10,666,000","7,347,000"
				Depreciation,"27,597,000","28,989,000","30,397,000","29,836,000","34,611,000","40,416,000","16,540,000","19,570,000","19,516,000","19,418,000","14,802,000","15,104,000","10,834,000","9,457,000","8,411,000","10,666,000",
				AmortizationCashFlow,"2,794,000","2,916,000","3,303,000","3,073,000","9,009,000","5,359,000","0","0",,,,,,,,,
					AmortizationOfIntangibles,"2,794,000","2,916,000","3,303,000","3,073,000","9,009,000","5,359,000","0","0",,,,,,,,,
		DeferredTax,"-265,000","1,761,000","-17,685,000","-327,000","4,126,000","-864,000","-1,497,000","8,154,000","-2,176,000","-3,340,000","428,000","-3,241,000","-1,405,000","1,638,000","-5,443,000","0",
			DeferredIncomeTax,"-265,000","1,761,000","-17,685,000","-327,000","4,126,000","-864,000","-1,497,000","8,154,000","-2,176,000","-3,340,000","428,000","-3,241,000","-1,405,000","1,638,000","-5,443,000","0",
		AssetImpairmentCharge,,"5,429,000","70,607,000","85,000","7,446,000","0","0","6,298,000","12,706,000","2,755,000","414,000",,,,,,
		ProvisionandWriteOffofAssets,"336,000","322,000","-77,000","101,000","1,333,000","160,000","184,000","425,000","439,000","515,000","-148,000","-153,000","541,000","553,000","256,000",,
		StockBasedCompensation,"2,717,000","2,942,000","3,241,000","4,930,000","5,651,000","5,940,000","4,927,000","3,071,000","4,032,000","5,027,000","3,513,000","2,950,000","2,763,000","1,591,000","15,889,000","0",
		OtherNonCashItems,"-18,000","7,000","6,000","-37,000","228,000","6,826,000","512,000","103,000","14,000",,,,,"57,921,000","227,000","858,000","358,000"
		ChangeInWorkingCapital,"-20,571,000","-2,211,000","-23,829,000","-18,018,000","-52,404,000","-52,269,000","2,109,000","-2,157,000","11,049,000","-8,804,000","45,337,000","14,363,000","-30,148,000","-19,695,000","-7,350,000","9,801,000","18,783,000"
			ChangeInReceivables,"-1,518,000","4,671,000","-1,347,000","6,761,000","-5,579,000","-1,013,000","438,000","7,322,000","7,542,000","-435,000","-2,052,000","7,933,000","2,409,000","-4,350,000","-3,543,000","-1,230,000","10,644,000"
				ChangesInAccountReceivables,"-1,518,000","4,671,000","-1,347,000","6,761,000","-5,579,000","-1,013,000","438,000","7,322,000","7,542,000","-435,000","-2,052,000","7,933,000","2,409,000","-4,350,000","-3,543,000","-1,230,000","10,644,000"
			ChangeInInventory,"6,254,000","23,997,000","2,606,000","-3,465,000","-17,810,000","-12,645,000","-3,994,000","14,445,000","11,307,000","-15,187,000","38,520,000","-5,682,000","-25,088,000","-10,199,000","-30,182,000","-2,059,000","2,858,000"
			ChangeInPrepaidAssets,"-7,622,000","-833,000","3,882,000","2,215,000","-7,940,000","-4,477,000","-100,000","566,000","-798,000","-2,571,000","1,353,000","1,747,000","-3,579,000",,,,
			ChangeInPayablesAndAccruedExpense,"10,505,000","-8,049,000","-12,210,000","4,772,000","9,726,000","-8,548,000","832,000","-23,620,000","5,007,000","-3,119,000","12,349,000","15,834,000","-9,279,000","-5,283,000","26,768,000","14,896,000","5,834,000"
				ChangeInPayable,"15,299,000","-5,989,000","-10,223,000","3,210,000","7,353,000","-615,000","738,000","-18,214,000","9,001,000","-8,665,000","2,873,000","12,892,000","-12,423,000","-11,041,000","20,801,000","3,150,000","4,541,000"
					ChangeInTaxPayable,,,,,,,,,,,,"-5,469,000","5,389,000","-8,305,000","10,010,000",,
						ChangeInIncomeTaxPayable,,,,,,,,,,,,"-5,469,000","5,389,000","-8,305,000","10,010,000",,
