name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,04/30/1993,04/30/1992,04/30/1991,04/30/1990,04/30/1989,04/30/1988,04/30/1987,04/30/1986
TotalAssets,"5,182,826,000","5,499,344,000","5,101,391,000","5,040,006,000","4,994,529,000","4,292,035,000","4,096,938,000","3,939,314,000","4,108,720,000","4,137,599,000","4,363,040,000","4,303,199,000","4,289,129,000","4,732,654,000","4,975,416,000","4,645,620,000","1,454,567,000","1,560,449,000","2,809,489,000","1,066,973,000","1,042,965,000","967,383,000","868,409,000","1,067,424,000","378,424,000","1,019,600,000","1,004,900,000","831,800,000","1,086,000,000","922,200,000","897,200,000","910,700,000","881,700,000","917,000,000","928,500,000","928,000,000","913,000,000","875,700,000","885,500,000"
	CurrentAssets,"837,653,000","1,058,283,000","592,849,000","687,623,000","554,047,000","665,718,000","404,353,000","452,532,000","616,569,000","562,102,000","922,411,000","709,827,000","735,397,000","754,788,000","878,992,000","380,838,000","170,254,000","391,770,000","1,655,286,000","669,766,000","772,982,000","669,382,000","689,761,000","935,053,000","312,314,000","409,000,000","355,800,000","436,000,000","412,800,000","359,100,000","393,500,000","359,300,000","276,600,000","310,700,000","320,100,000","378,600,000","375,500,000","329,700,000","332,200,000"
		CashCashEquivalentsAndShortTermInvestments,"516,037,000","745,889,000","249,438,000","306,989,000","300,195,000","431,405,000","171,447,000","198,240,000","327,216,000","267,112,000","580,152,000","453,361,000","475,231,000","512,508,000","591,719,000","110,882,000","80,724,000","270,270,000","974,159,000","566,210,000","733,637,000","632,633,000","659,862,000","910,152,000","279,477,000","262,200,000","129,500,000","154,200,000","64,200,000","80,100,000","118,800,000","96,600,000","25,500,000","42,500,000","32,700,000","102,300,000","94,800,000","74,000,000","27,000,000"
			CashAndCashEquivalents,"516,037,000","745,889,000","249,438,000","306,989,000","300,195,000","431,405,000","171,447,000","198,240,000","327,216,000","267,112,000","580,152,000","453,361,000","475,231,000","512,508,000","591,719,000","110,882,000","78,116,000","148,152,000","202,840,000","367,992,000","560,510,000","457,472,000","506,461,000","596,135,000","127,843,000","161,200,000","129,500,000","154,200,000","64,200,000","80,100,000","118,800,000","96,600,000","25,500,000","42,500,000","32,700,000","102,300,000","94,800,000","74,000,000","27,000,000"
				CashFinancial,"150,136,000","185,207,000","249,438,000","231,922,000","185,203,000","209,177,000","171,109,000","192,905,000","281,877,000","205,662,000","174,278,000","188,436,000","471,110,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"365,901,000","560,682,000","0","75,067,000","114,992,000","222,228,000","338,000","5,335,000","45,339,000","61,450,000","405,874,000","264,925,000","4,121,000",,"592,833,000","110,882,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,"2,608,000","122,118,000","771,319,000","198,218,000","173,127,000","175,161,000","153,401,000","314,017,000","151,634,000","101,000,000",,,,,,,,,,,,,
		Receivables,"121,683,000","116,426,000","119,540,000","109,891,000","117,461,000","109,805,000","114,390,000","98,825,000","104,854,000","68,211,000","62,885,000","61,164,000","68,349,000","84,258,000","88,004,000","97,258,000","27,610,000","60,021,000","283,979,000","64,331,000","13,070,000","12,967,000","14,969,000","14,565,000","11,584,000","65,900,000","77,900,000","71,000,000","168,500,000","141,400,000","124,300,000","116,300,000","98,600,000","106,100,000","132,200,000","118,100,000","115,200,000","114,400,000","107,600,000"
			AccountsReceivable,"104,797,000","98,563,000","101,515,000","93,660,000","100,538,000","111,887,000","116,076,000","99,866,000","105,986,000","66,403,000","65,580,000","65,132,000","70,963,000","81,930,000","91,645,000","93,811,000","27,358,000","43,032,000","47,919,000","64,331,000","13,070,000","12,967,000","14,969,000","14,565,000",,,,,,,,,,,,,,,
				GrossAccountsReceivable,"106,335,000","100,270,000","104,744,000","97,399,000","103,852,000","111,887,000","116,076,000","99,866,000","105,986,000","66,403,000","65,580,000","65,132,000","70,963,000","89,251,000",,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,538,000","-1,707,000","-3,229,000","-3,739,000","-3,314,000",,,,,,,,"-4,053,000","-7,321,000",,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,"3,447,000",,"390,000",,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,"16,886,000","17,863,000","18,025,000","16,231,000","16,923,000","2,857,000","2,860,000","2,989,000","2,356,000","4,151,000","864,000","2,353,000","1,439,000","2,328,000","2,899,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,"0",,,,,,"252,000","16,599,000","236,060,000",,"0",,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,"-10,019,000","-4,939,000","-4,546,000","-4,030,000","-3,488,000","-2,343,000","-3,559,000","-6,321,000","-4,053,000","-7,321,000","-6,540,000",,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"6,690,000","7,129,000","5,934,000","4,732,000","3,891,000","3,687,000","3,156,000","2,851,000","4,312,000","6,861,000","10,226,000","13,805,000","12,903,000","22,694,000","23,024,000","24,646,000","11,067,000","10,019,000","11,101,000","2,222,000","2,416,000","2,274,000",,,"61,700,000","46,800,000","57,400,000","39,600,000","118,500,000","105,700,000","108,200,000","98,300,000","140,200,000","126,800,000","121,700,000","125,100,000","133,200,000","121,300,000","135,900,000"
		PrepaidAssets,,,"30,584,000","89,732,000","15,585,000","14,452,000","20,125,000","19,244,000","69,919,000","72,258,000","81,759,000","24,231,000","27,397,000","24,386,000","29,212,000","28,990,000","25,932,000","23,987,000","20,281,000","6,111,000","5,308,000","6,471,000","3,435,000",,,,,,,,,,,,,,,,
		RestrictedCash,"153,603,000","161,876,000","187,353,000","176,279,000","116,915,000","106,369,000","95,235,000","133,372,000","110,268,000","65,308,000","67,183,000","65,777,000","70,547,000",,,,,"9,059,000","344,060,000","16,272,000","7,267,000",,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,"73,661,000","120,206,000","91,489,000","80,970,000","34,389,000","66,557,000","37,923,000","24,921,000","18,414,000","21,706,000","14,620,000","11,284,000","15,037,000","11,495,000",,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,"73,661,000","120,206,000","91,489,000","80,970,000","34,389,000","66,557,000","37,923,000","24,921,000","18,414,000","21,706,000","14,620,000","11,284,000","15,037,000","11,495,000",,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,"8,691,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"39,640,000","26,963,000","30,584,000","89,732,000","15,585,000","14,452,000","20,125,000","19,244,000","69,919,000","72,258,000","81,759,000","24,231,000","27,397,000","76,553,000","80,476,000","81,139,000",,"0","0",,"12,575,000",,,"10,336,000","21,253,000","34,100,000","91,000,000","171,200,000","61,600,000","31,900,000","42,200,000","48,100,000","12,300,000","35,300,000","33,500,000","33,100,000","32,300,000","20,000,000","61,700,000"
	TotalNonCurrentAssets,"4,345,173,000","4,441,061,000","4,508,542,000","4,352,383,000","4,440,482,000","3,626,317,000","3,692,585,000","3,486,782,000","3,492,151,000","3,575,497,000","3,440,629,000","3,593,372,000","3,553,732,000","3,977,866,000","4,096,424,000","4,264,782,000","1,284,313,000","1,168,679,000","1,154,203,000","397,207,000","269,983,000","298,001,000","178,648,000","132,371,000","66,110,000","610,600,000","649,100,000","395,800,000","673,200,000","563,100,000","503,700,000","551,400,000","605,100,000","606,300,000","608,400,000","549,400,000","537,500,000","546,000,000","553,300,000"
