name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
TotalAssets,"4,033,000,000","4,123,000,000","4,269,000,000","4,644,000,000","4,533,000,000","4,976,000,000","2,137,000,000","1,983,000,000"
	CurrentAssets,"373,000,000","545,000,000","720,000,000","900,000,000","499,000,000","851,000,000","334,000,000","255,000,000"
		CashCashEquivalentsAndShortTermInvestments,"66,000,000","161,000,000","171,000,000","493,000,000","94,000,000","366,000,000","57,000,000","28,000,000"
			CashAndCashEquivalents,"66,000,000","161,000,000","171,000,000","493,000,000","94,000,000","366,000,000","57,000,000","28,000,000"
				CashFinancial,,,,,"94,000,000","366,000,000",,
		Receivables,"241,000,000","234,000,000","246,000,000","295,000,000","304,000,000","293,000,000","194,000,000","184,000,000"
			AccountsReceivable,"241,000,000","234,000,000","246,000,000","295,000,000","304,000,000","293,000,000","194,000,000","184,000,000"
				GrossAccountsReceivable,"301,000,000","298,000,000",,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-60,000,000","-64,000,000",,,,,,
		PrepaidAssets,"27,000,000","59,000,000","51,000,000","45,000,000","48,000,000","40,000,000","29,000,000","24,000,000"
		AssetsHeldForSaleCurrent,,"0","154,000,000","0",,,,
		OtherCurrentAssets,"39,000,000","91,000,000","98,000,000","67,000,000","53,000,000","152,000,000","54,000,000","19,000,000"
	TotalNonCurrentAssets,"3,660,000,000","3,579,000,000","3,549,000,000","3,744,000,000","4,034,000,000","4,125,000,000","1,803,000,000","1,728,000,000"
		NetPPE,"88,000,000","99,000,000","106,000,000","278,000,000","307,000,000","326,000,000","250,000,000","277,000,000"
			GrossPPE,"388,000,000","417,000,000","464,000,000","740,000,000","729,000,000","701,000,000","513,000,000","523,000,000"
				Properties,"0","0","0","0","0","0","0","0"
				LandAndImprovements,,,"0","19,000,000","19,000,000","17,000,000","14,000,000","24,000,000"
				BuildingsAndImprovements,,,"30,000,000","215,000,000","214,000,000","212,000,000","171,000,000","182,000,000"
				MachineryFurnitureEquipment,"282,000,000","314,000,000","358,000,000","438,000,000","403,000,000","378,000,000","311,000,000","308,000,000"
				OtherProperties,"64,000,000","64,000,000","64,000,000","65,000,000","72,000,000","72,000,000","5,000,000","4,000,000"
				ConstructionInProgress,"13,000,000","9,000,000","12,000,000","3,000,000","21,000,000","22,000,000","12,000,000","5,000,000"
				Leases,"29,000,000","30,000,000","30,000,000",,"72,000,000","72,000,000","5,000,000","4,000,000"
