name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
OperatingCashFlow,"277,000,000","376,000,000","399,000,000","426,000,000","67,000,000","100,000,000","231,000,000","278,000,000","264,000,000","287,000,000"
	CashFlowFromContinuingOperatingActivities,"277,000,000","376,000,000","399,000,000","426,000,000","67,000,000","100,000,000","231,000,000","278,000,000","264,000,000","287,000,000"
		NetIncomeFromContinuingOperations,"254,000,000","289,000,000","355,000,000","244,000,000","-132,000,000","157,000,000","162,000,000","230,000,000","176,000,000","149,000,000"
		OperatingGainsLosses,"3,000,000","3,000,000","-33,000,000","18,000,000",,,"-23,000,000",,,
			GainLossOnSaleOfBusiness,,,,,"0","0","-23,000,000","0","0",
		DepreciationAmortizationDepletion,"76,000,000","76,000,000","77,000,000","95,000,000","98,000,000","109,000,000","99,000,000","75,000,000","73,000,000","67,000,000"
			DepreciationAndAmortization,"76,000,000","76,000,000","77,000,000","95,000,000","98,000,000","109,000,000","99,000,000","75,000,000","73,000,000","67,000,000"
				Depreciation,,"49,000,000","46,000,000","57,000,000",,,,,,
				AmortizationCashFlow,,"27,000,000","31,000,000","38,000,000",,,,,,
					AmortizationOfIntangibles,,"27,000,000","31,000,000","38,000,000",,,,,,
		DeferredTax,"-19,000,000","-17,000,000","-39,000,000","-1,000,000","-23,000,000","-14,000,000","0","-91,000,000","26,000,000","10,000,000"
			DeferredIncomeTax,"-19,000,000","-17,000,000","-39,000,000","-1,000,000","-23,000,000","-14,000,000","0","-91,000,000","26,000,000","10,000,000"
		AssetImpairmentCharge,"12,000,000","0","0","6,000,000","209,000,000","45,000,000","0","41,000,000","0","7,000,000"
		ProvisionandWriteOffofAssets,"4,000,000","3,000,000","-2,000,000","21,000,000","37,000,000","16,000,000","8,000,000",,,
		StockBasedCompensation,"43,000,000","39,000,000","33,000,000","28,000,000","21,000,000","20,000,000","25,000,000","0","0",
		OtherNonCashItems,"-87,000,000","-55,000,000","-35,000,000","-11,000,000","-9,000,000","-210,000,000","-38,000,000","-1,000,000","2,000,000","10,000,000"
		ChangeInWorkingCapital,"-9,000,000","38,000,000","43,000,000","26,000,000","-134,000,000","-23,000,000","-2,000,000","24,000,000","-13,000,000","44,000,000"
			ChangeInReceivables,"-23,000,000","-10,000,000","16,000,000","25,000,000","-38,000,000","-27,000,000","-63,000,000","-10,000,000","0","-17,000,000"
				ChangesInAccountReceivables,"-23,000,000","-10,000,000","16,000,000","25,000,000","-38,000,000","-27,000,000","-63,000,000","-10,000,000","0","-17,000,000"
