name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994,01/31/1993,01/31/1992,01/31/1991
OperatingCashFlow,"1,438,571,000","1,680,273,000","1,052,822,000","1,371,147,000","1,274,848,000","607,294,000","585,986,000","499,704,000","524,709,000","544,026,000","461,697,000","453,769,000","364,127,000","291,334,000","355,989,000","490,718,000","230,163,000","245,539,000","309,114,000","348,373,000","304,437,000","209,351,000","310,160,000","205,006,000","181,329,000","105,721,000","79,700,000","75,900,000","112,200,000","2,400,000","20,100,000","27,500,000","5,100,000","3,000,000","1,000,000"
	CashFlowFromContinuingOperatingActivities,"1,438,571,000","1,680,273,000","1,052,822,000","1,371,147,000","1,274,848,000","607,294,000","585,986,000","499,704,000","524,709,000","544,026,000","461,697,000","453,769,000","364,127,000","291,334,000","355,989,000","490,718,000","230,163,000","245,539,000","309,114,000","348,373,000","304,437,000","209,351,000","310,160,000","205,006,000","181,329,000","105,721,000","79,700,000","75,900,000","112,200,000","2,400,000","20,100,000","27,500,000","5,100,000","3,000,000","1,000,000"
		NetIncomeFromContinuingOperations,"1,083,135,000","949,762,000","1,127,904,000","1,126,337,000","680,714,000","356,062,000","333,684,000","259,545,000","305,387,000","310,068,000","308,854,000","278,902,000","256,730,000","236,931,000","200,227,000","77,442,000","30,024,000","195,757,000","208,868,000","214,866,000","191,234,000","157,211,000","124,403,000","75,096,000","56,782,000","68,100,000","54,900,000","41,300,000","22,700,000","2,500,000","19,600,000","11,200,000","1,800,000","1,600,000","11,200,000"
		OperatingGainsLosses,"10,647,000","21,869,000","25,116,000","1,015,000","32,365,000","1,755,000","10,209,000","1,889,000","3,806,000","4,339,000","2,410,000","2,764,000","8,388,000","2,880,000","-1,139,000","2,603,000","23,202,000","4,700,000","17,113,000","28,233,000","14,500,000","22,782,000","16,180,000","13,157,000","2,178,000","9,557,000","7,500,000","6,400,000","1,800,000","900,000","600,000","-2,800,000",,"4,200,000","900,000"
			GainLossOnSaleOfPPE,,,,"1,015,000","32,365,000","1,755,000","10,209,000","1,889,000","3,806,000","4,339,000","2,410,000","2,764,000","8,388,000","2,880,000","-1,139,000","2,603,000",,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"235,011,000","232,590,000","214,153,000","196,087,000","188,655,000","187,759,000","188,808,000","183,077,000","173,195,000","167,760,000","162,273,000","149,795,000","134,453,000","130,553,000","144,630,000","151,796,000","148,083,000","140,701,000","106,348,000","98,290,000","89,094,000","80,271,000","82,712,000","71,871,000","51,531,000","36,512,000","26,400,000","24,000,000","20,900,000","14,500,000","10,500,000","11,200,000","10,400,000","8,500,000","6,400,000"
			DepreciationAndAmortization,"235,011,000","232,590,000","214,153,000","196,087,000","188,655,000","187,759,000","188,808,000","183,077,000","173,195,000","167,760,000","162,273,000","149,795,000","134,453,000","130,553,000","144,630,000","151,796,000","148,083,000","140,701,000","106,348,000","98,290,000","89,094,000","80,271,000","82,712,000","71,871,000","51,531,000","36,512,000","26,400,000","24,000,000","20,900,000","14,500,000","10,500,000","11,200,000","10,400,000","8,500,000","6,400,000"
				Depreciation,,,,,,,,,,,,,,,,,,"140,701,000","135,031,000","123,199,000","111,624,000","99,534,000","91,484,000","81,594,000",,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,"-29,400,000","-28,683,000","-24,909,000","-22,530,000","-19,263,000","-8,772,000","-9,723,000",,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,"-29,400,000","-28,683,000","-24,909,000","-22,530,000","-19,263,000","-8,772,000","-9,723,000",,,,,,,,,,,
