name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalAssets,"6,231,000,000","5,846,000,000","5,966,000,000","5,852,000,000","5,231,000,000","4,130,000,000","5,311,000,000","5,453,000,000","8,061,000,000","8,334,000,000","8,695,000,000","9,013,000,000","8,834,000,000","8,316,000,000","7,148,000,000","6,527,000,000","7,242,000,000","6,368,000,000","5,797,000,000","5,696,000,000","5,620,000,000","5,400,000,000","4,425,000,000","4,149,000,000","3,961,000,000","4,531,000,000","5,114,000,000"
	CurrentAssets,"1,609,000,000","1,609,000,000","1,532,000,000","1,689,000,000","1,527,000,000","1,207,000,000","2,507,000,000","1,505,000,000","1,687,000,000","1,553,000,000","1,691,000,000","1,925,000,000","2,321,000,000","2,313,000,000","1,208,000,000","951,000,000","1,481,000,000","901,000,000","855,000,000","747,000,000","806,000,000","730,000,000","628,000,000","688,000,000","486,000,000","625,000,000","686,000,000"
		CashCashEquivalentsAndShortTermInvestments,"512,000,000","367,000,000","486,000,000","730,000,000","605,000,000","292,000,000","1,522,000,000","725,000,000","313,000,000","578,000,000","573,000,000","776,000,000","1,198,000,000","1,426,000,000","353,000,000","216,000,000","789,000,000","319,000,000","201,000,000","116,000,000","207,000,000","157,000,000","145,000,000","196,000,000","137,000,000","121,000,000","268,000,000"
			CashAndCashEquivalents,"512,000,000","367,000,000","486,000,000","730,000,000","605,000,000","292,000,000","1,522,000,000","725,000,000","313,000,000","578,000,000","573,000,000","776,000,000","1,198,000,000","1,426,000,000","353,000,000","216,000,000","789,000,000","319,000,000","158,000,000","62,000,000","192,000,000","130,000,000","110,000,000","133,000,000","89,000,000","121,000,000","268,000,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,"6,000,000","43,000,000","54,000,000","15,000,000","27,000,000","35,000,000","63,000,000","48,000,000",,
		Receivables,"757,000,000","680,000,000","646,000,000","569,000,000","623,000,000","597,000,000","575,000,000","414,000,000","363,000,000","380,000,000","408,000,000","356,000,000","436,000,000","256,000,000","239,000,000","229,000,000","225,000,000","220,000,000","236,000,000","192,000,000","169,000,000","168,000,000","190,000,000","302,000,000","161,000,000","155,000,000","149,000,000"
			AccountsReceivable,"737,000,000","648,000,000","596,000,000","534,000,000","584,000,000","561,000,000","400,000,000","370,000,000","324,000,000","325,000,000","319,000,000","301,000,000","286,000,000",,,,"225,000,000","220,000,000","236,000,000","192,000,000","169,000,000","168,000,000","190,000,000",,"161,000,000",,
				GrossAccountsReceivable,"776,000,000","685,000,000","632,000,000","579,000,000","656,000,000","592,000,000","419,000,000","384,000,000","338,000,000","337,000,000","330,000,000","313,000,000","308,000,000",,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-39,000,000","-37,000,000","-36,000,000","-45,000,000","-72,000,000","-31,000,000","-19,000,000","-14,000,000","-14,000,000","-12,000,000","-11,000,000","-12,000,000","-22,000,000",,,,,,,,,,,,,,
			TaxesReceivable,"20,000,000","32,000,000","50,000,000","35,000,000","39,000,000","36,000,000","175,000,000","44,000,000","39,000,000","55,000,000","89,000,000","55,000,000","150,000,000",,,,,,,,,,,,,,
