name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
OperatingCashFlow,"1,630,000,000","1,603,000,000","1,427,000,000","1,706,000,000","1,305,000,000","1,315,000,000","1,176,000,000","1,030,000,000","1,248,000,000","1,260,000,000","1,217,000,000","2,139,000,000","2,294,000,000","2,170,000,000","1,968,000,000","1,404,000,000","1,521,000,000","1,567,000,000","1,302,000,000","1,272,000,000","1,186,000,000","1,099,000,000","1,088,000,000","832,000,000","491,000,000","565,000,000","674,000,000","810,000,000"
	CashFlowFromContinuingOperatingActivities,"1,630,000,000","1,603,000,000","1,427,000,000","1,706,000,000","1,305,000,000","1,315,000,000","1,176,000,000","1,030,000,000","1,248,000,000","1,260,000,000","1,217,000,000","2,139,000,000","2,294,000,000","2,170,000,000","1,968,000,000","1,404,000,000","1,521,000,000","1,567,000,000","1,302,000,000","1,272,000,000","1,186,000,000","1,099,000,000","1,088,000,000","832,000,000","491,000,000","565,000,000","674,000,000","810,000,000"
		NetIncomeFromContinuingOperations,"1,560,000,000","1,597,000,000","1,325,000,000","1,575,000,000","904,000,000","1,294,000,000","1,542,000,000","1,340,000,000","1,018,000,000","926,000,000","1,006,000,000","1,064,000,000","1,608,000,000","1,335,000,000","1,178,000,000","1,083,000,000","972,000,000","909,000,000","824,000,000","762,000,000","740,000,000","617,000,000","583,000,000","492,000,000","413,000,000","627,000,000","445,000,000","-111,000,000"
		OperatingGainsLosses,"-7,000,000","-36,000,000","-38,000,000","-121,000,000","-108,000,000","30,000,000","-549,000,000","-1,088,000,000","-165,000,000","39,000,000","2,000,000","368,000,000","-47,000,000","199,000,000","102,000,000","-379,000,000","-171,000,000","-22,000,000","-43,000,000","-16,000,000","58,000,000","39,000,000","-6,000,000","-16,000,000","-61,000,000","-205,000,000","-260,000,000","486,000,000"
			GainLossOnSaleOfBusiness,"-27,000,000","-29,000,000","-27,000,000","-35,000,000","-34,000,000","-37,000,000","-540,000,000","-1,083,000,000","-163,000,000","23,000,000","-16,000,000","-100,000,000","-78,000,000","72,000,000","63,000,000","-68,000,000","-100,000,000",,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,"3,000,000","14,000,000","16,000,000","18,000,000","331,000,000","37,000,000","135,000,000","47,000,000",,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,"-86,000,000","-74,000,000","67,000,000","-9,000,000","-5,000,000","-2,000,000","21,000,000","28,000,000","43,000,000","41,000,000","39,000,000","34,000,000",,"41,000,000",,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,"-41,000,000","-30,000,000","-26,000,000","-47,000,000","-47,000,000","-42,000,000","-5,000,000","0",,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,"-15,000,000","-16,000,000","-55,000,000","-41,000,000","-98,000,000","-18,000,000","30,000,000","84,000,000","0","0","-280,000,000","-66,000,000",,,,,,,,,,,
		DepreciationAmortizationDepletion,"162,000,000","153,000,000","146,000,000","164,000,000","146,000,000","112,000,000","137,000,000","253,000,000","310,000,000","319,000,000","328,000,000","721,000,000","665,000,000","637,000,000","589,000,000","580,000,000","556,000,000","542,000,000","479,000,000","469,000,000","448,000,000","401,000,000","370,000,000","354,000,000","354,000,000","386,000,000","417,000,000","536,000,000"
			DepreciationAndAmortization,"162,000,000","153,000,000","146,000,000","164,000,000","146,000,000","112,000,000","137,000,000","253,000,000","310,000,000","319,000,000","328,000,000","721,000,000","665,000,000","637,000,000","589,000,000","580,000,000","556,000,000","542,000,000","479,000,000","469,000,000","448,000,000","401,000,000","370,000,000","354,000,000","354,000,000","386,000,000","417,000,000","536,000,000"
		DeferredTax,"-205,000,000","-290,000,000","-55,000,000","-200,000,000","-65,000,000","-232,000,000","-11,000,000","634,000,000","28,000,000","-101,000,000","-46,000,000","-24,000,000","28,000,000","-137,000,000","-110,000,000","72,000,000","1,000,000","-95,000,000","-30,000,000","-101,000,000","142,000,000","-23,000,000","21,000,000","-72,000,000","-51,000,000","-16,000,000","3,000,000","-138,000,000"
			DeferredIncomeTax,"-205,000,000","-290,000,000","-55,000,000","-200,000,000","-65,000,000","-232,000,000","-11,000,000","634,000,000","28,000,000","-101,000,000","-46,000,000","-24,000,000","28,000,000","-137,000,000","-110,000,000","72,000,000","1,000,000","-95,000,000","-30,000,000","-101,000,000","142,000,000","-23,000,000","21,000,000","-72,000,000","-51,000,000","-16,000,000","3,000,000","-138,000,000"
		AssetImpairmentCharge,,"13,000,000","10,000,000","19,000,000","172,000,000","5,000,000","6,000,000",,,,,,,"135,000,000","47,000,000","103,000,000","43,000,000",,,,,,,,,,,
		StockBasedCompensation,"86,000,000","95,000,000","84,000,000","75,000,000","97,000,000","59,000,000","50,000,000","65,000,000","80,000,000","46,000,000","45,000,000","49,000,000","50,000,000","59,000,000","47,000,000","56,000,000","59,000,000",,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,"-83,000,000","-50,000,000","-40,000,000","-44,000,000","-98,000,000","-66,000,000","-69,000,000","-59,000,000","-44,000,000",,,,,,,,,,,
		OtherNonCashItems,"129,000,000","162,000,000","60,000,000","192,000,000","71,000,000","124,000,000","70,000,000","83,000,000","20,000,000","-23,000,000","55,000,000","108,000,000","-24,000,000","29,000,000","85,000,000","82,000,000","58,000,000","21,000,000","120,000,000","41,000,000",,"32,000,000","36,000,000","15,000,000","43,000,000",,"175,000,000",
		ChangeInWorkingCapital,"-108,000,000","-91,000,000","-105,000,000","2,000,000","88,000,000","-77,000,000","-69,000,000","-257,000,000","-43,000,000","54,000,000","-133,000,000","-103,000,000","112,000,000","114,000,000","146,000,000","-134,000,000","47,000,000","212,000,000","-48,000,000","117,000,000","-202,000,000","65,000,000","84,000,000","59,000,000","-207,000,000","-227,000,000","-106,000,000","37,000,000"
