name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"126,724,000,000","131,738,000,000","157,542,000,000","165,086,000,000","152,768,000,000","140,406,000,000","137,217,000,000","129,819,000,000","118,256,000,000","119,767,000,000","121,307,000,000","131,094,000,000","116,237,000,000","101,039,000,000","84,106,000,000","79,331,000,000","65,805,000,000","59,805,000,000","56,361,000,000","59,326,000,000","50,964,000,000","45,058,000,000","37,860,000,000","37,231,000,000","37,041,000,000","31,222,000,000","29,454,000,000","25,020,400,000","25,338,000,000","20,287,079,000","15,442,000,000","11,901,400,000","10,144,500,000","8,034,800,000","6,515,400,000","6,073,800,000","5,030,500,000","3,302,000,000","2,271,400,000"
	TotalInvestments,"109,254,000,000","113,454,000,000","137,927,000,000","144,612,000,000","133,195,000,000","121,906,000,000","120,168,000,000","111,502,000,000","101,547,000,000","102,683,000,000","105,916,000,000","116,178,000,000","101,213,000,000","86,109,000,000","70,869,000,000","67,609,000,000","55,493,000,000","50,769,000,000","47,692,000,000","48,142,000,000","42,998,000,000","38,071,000,000","31,940,000,000","26,053,000,000","25,463,000,000","21,741,000,000","17,000,000","20,800,000","22,200,000","440,393,000","58,000,000","85,300,000","85,400,000","80,000,000",,,,,
		FixedMaturityInvestments,"17,819,000,000","19,056,000,000","22,000,000,000","24,464,000,000","30,085,000,000","30,318,000,000","31,430,000,000","33,350,000,000","33,459,000,000","34,242,000,000","44,415,000,000","54,426,000,000","47,009,000,000","30,084,000,000","26,687,000,000","24,436,000,000","20,804,000,000","17,473,000,000","15,039,000,000","14,839,000,000","13,049,000,000","12,094,000,000","8,723,000,000",,,,,,,,,,,,,,,,
		EquityInvestments,"1,088,000,000","1,091,000,000","1,603,000,000","1,283,000,000","802,000,000","987,000,000","1,023,000,000",,,,,,"54,036,000,000","55,890,000,000","44,068,000,000","43,086,000,000","34,628,000,000","33,238,000,000","32,596,000,000","33,262,000,000","29,917,000,000","25,647,000,000","23,199,000,000","26,053,000,000","25,463,000,000","21,741,000,000","22,584,144,000","20,464,054,000","19,783,068,000","84,373,000",,,,,,,,,
		NetLoan,"12,527,000,000","13,496,000,000","11,786,000,000","10,554,000,000","9,569,000,000","6,919,000,000",,,,,,,,,,,,,,,,,,,,"9,000,000","17,000,000","20,800,000","22,200,000","25,104,000","58,000,000","85,300,000","85,400,000","80,000,000",,,,,
			LoansReceivable,"4,704,000,000","5,203,000,000","4,523,000,000","3,540,000,000","2,387,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			MortgageAndConsumerloans,"7,823,000,000","8,293,000,000","7,263,000,000","7,014,000,000","7,182,000,000","6,919,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"73,290,000,000","75,741,000,000","98,696,000,000","105,882,000,000","91,262,000,000","82,895,000,000","84,313,000,000","76,702,000,000","67,794,000,000","68,270,000,000","61,038,000,000","61,578,000,000","54,036,000,000","135,000,000","114,000,000","87,000,000","61,000,000",,,,,,,,,"10,000,000","43,344,000","261,680,000","232,201,000","330,916,000",,,,,,,,,
			ShortTermInvestmentsAvailableForSale,"73,290,000,000","75,741,000,000","98,696,000,000","105,882,000,000","91,262,000,000","82,895,000,000","84,313,000,000","76,702,000,000","67,794,000,000","68,270,000,000","61,038,000,000","61,578,000,000","54,036,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			ShortTermInvestmentsHeldToMaturity,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
