name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
OperatingCashFlow,"6,483,000,000","4,228,000,000","5,121,000,000","5,116,000,000","5,491,000,000","5,129,000,000","5,175,000,000","4,314,000,000","3,993,000,000","3,616,000,000","3,236,000,000","4,242,000,000","3,054,000,000","1,929,000,000","3,689,000,000","4,301,000,000","3,910,000,000","5,433,000,000","5,055,000,000","5,605,000,000","5,468,000,000","5,691,000,000","4,418,000,000","2,291,000,000","1,731,000,000","2,267,000,000","2,891,000,000","3,342,000,000","3,036,000,000","2,728,000,000","2,070,000,000","2,625,000,000","813,000,000"
	CashFlowFromContinuingOperatingActivities,"6,483,000,000","4,228,000,000","5,121,000,000","5,116,000,000","5,491,000,000","5,129,000,000","5,175,000,000","4,314,000,000","3,993,000,000","3,616,000,000","3,236,000,000","4,242,000,000","3,054,000,000","1,929,000,000","3,689,000,000","4,301,000,000","3,910,000,000","5,433,000,000","5,055,000,000","5,605,000,000","5,468,000,000","5,691,000,000","4,418,000,000","2,291,000,000","1,731,000,000","2,267,000,000","2,891,000,000","3,342,000,000","3,036,000,000","2,728,000,000","2,070,000,000","2,625,000,000","813,000,000"
		NetIncomeFromContinuingOperations,"3,028,000,000","-213,000,000","-1,342,000,000","1,581,000,000","5,576,000,000","4,847,000,000","2,160,000,000","3,554,000,000","1,877,000,000","2,171,000,000","2,850,000,000","2,280,000,000","2,306,000,000","787,000,000","911,000,000","854,000,000","-1,679,000,000","4,636,000,000","4,993,000,000","1,765,000,000","3,181,000,000","2,705,000,000","1,134,000,000","1,158,000,000","2,211,000,000","2,720,000,000","3,294,000,000","3,105,000,000","2,075,000,000","1,904,000,000","484,000,000","1,302,000,000","-500,000,000"
		OperatingGainsLosses,"473,000,000","225,000,000","2,062,000,000","2,108,000,000","-1,407,000,000","-1,771,000,000","1,339,000,000","-682,000,000","85,000,000","-33,000,000","-620,000,000","94,000,000","-345,000,000","-496,000,000","808,000,000",,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,"0","0","4,031,000,000","0","0","-6,000,000","-20,000,000","-5,000,000","-3,000,000","74,000,000","688,000,000","-18,000,000","7,000,000","-19,000,000",,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"251,000,000","220,000,000","1,755,000,000","-1,279,000,000","-1,356,000,000","-1,885,000,000","877,000,000","-445,000,000","90,000,000","-30,000,000","-694,000,000","-594,000,000","-327,000,000","-503,000,000","827,000,000",,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"131,000,000","-4,000,000","191,000,000","-1,237,000,000","-5,665,000,000","-5,072,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"91,000,000","9,000,000","116,000,000","-644,000,000","-51,000,000","114,000,000","468,000,000","-217,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortization,"605,000,000","704,000,000","847,000,000","1,086,000,000","686,000,000","647,000,000","511,000,000","483,000,000","382,000,000","371,000,000","366,000,000","368,000,000","388,000,000","252,000,000","94,000,000","-91,000,000","-376,000,000","-257,000,000","-188,000,000","-67,000,000","-4,000,000","-3,000,000","-62,000,000","-106,000,000","-47,000,000","-17,000,000","-22,000,000","-22,000,000","-19,000,000","-3,000,000","52,000,000","26,000,000","112,000,000"
			Depreciation,"605,000,000","704,000,000","847,000,000","1,086,000,000","686,000,000","647,000,000","511,000,000","483,000,000","382,000,000","371,000,000","366,000,000","368,000,000","388,000,000","252,000,000","94,000,000",,,,,,,,,,,,,,,,,,
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,"172,000,000","250,000,000","122,000,000","-173,000,000","-143,000,000","-620,000,000"
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,"172,000,000","250,000,000","122,000,000","-173,000,000","-143,000,000","-620,000,000"
