name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalRevenue,"60,302,000,000","57,094,000,000","51,411,000,000","50,601,000,000","41,909,000,000","41,541,000,000","39,815,000,000","39,407,000,000","37,399,000,000","35,653,000,000","35,239,000,000","34,507,000,000","33,315,000,000","32,654,000,000","31,400,000,000","32,013,000,000","29,394,000,000","36,769,000,000","35,796,000,000","35,383,000,000","33,936,000,000","32,149,000,000","29,579,000,000","28,865,000,000","29,134,000,000","26,959,000,000","25,879,000,000","24,949,000,000","24,299,000,000","23,008,000,000","21,464,000,000","20,946,000,000","20,228,000,000"
	TotalPremiumsEarned,"55,373,000,000","52,516,000,000","47,736,000,000","44,052,000,000","38,167,000,000","37,221,000,000","36,513,000,000","34,678,000,000","33,582,000,000","32,467,000,000","31,086,000,000","29,970,000,000","28,978,000,000","28,180,000,000","28,125,000,000","26,194,000,000","28,862,000,000","29,099,000,000","29,333,000,000","29,088,000,000","28,061,000,000","26,981,000,000","25,654,000,000","24,427,000,000","24,076,000,000","21,735,000,000","20,826,000,000","20,106,000,000","19,702,000,000","18,908,000,000","17,861,000,000","17,402,000,000","16,866,000,000"
		NetPremiumsWritten,,"54,856,000,000","50,318,000,000","45,834,000,000","38,752,000,000","38,099,000,000","37,451,000,000","35,120,000,000","33,875,000,000","33,029,000,000","31,771,000,000","30,516,000,000","29,268,000,000","28,218,000,000","28,075,000,000",,,,,,,,,,,,,,,,,,
			GrossPremiumsWritten,,"56,921,000,000","52,179,000,000","47,649,000,000","39,907,000,000","39,230,000,000","38,749,000,000","36,430,000,000","35,245,000,000","34,453,000,000","33,307,000,000","32,284,000,000","31,053,000,000","30,076,000,000","29,985,000,000",,,,,,,,,,,,,,,,,,
			CededPremiums,,"-2,065,000,000","-1,861,000,000","-1,815,000,000","-1,155,000,000","-1,131,000,000","-1,298,000,000","-1,310,000,000","-1,370,000,000","-1,424,000,000","-1,536,000,000","-1,768,000,000","-1,785,000,000","-1,858,000,000","-1,910,000,000",,,,,,,,,,,,,,,,,,
		IncreaseDecreaseInNetUnearnedPremiumReserves,,"-2,340,000,000","-2,582,000,000","-1,782,000,000","-585,000,000","-878,000,000","-938,000,000","-442,000,000","-293,000,000","-562,000,000","-685,000,000","-546,000,000","-290,000,000","-38,000,000","50,000,000",,,,,,,,,,,,,,,,,,
	NetInvestmentIncome,"344,000,000","305,000,000","1,616,000,000","2,057,000,000","376,000,000","1,301,000,000","3,240,000,000","3,251,000,000","2,739,000,000","2,740,000,000","3,214,000,000","3,728,000,000","3,777,000,000","3,375,000,000","3,101,000,000","4,444,000,000","5,622,000,000","6,435,000,000","6,177,000,000","5,746,000,000","5,284,000,000","4,972,000,000","4,849,000,000","4,790,000,000","4,633,000,000","4,112,000,000","3,890,000,000","3,861,000,000","3,813,000,000",,,,
	NetRealizedGainLossOnInvestments,"1,995,000,000","1,873,000,000","-285,000,000","2,320,000,000","2,301,000,000","1,965,000,000","-877,000,000","595,000,000","213,000,000","446,000,000","939,000,000","809,000,000","560,000,000","1,099,000,000","174,000,000","-583,000,000","-5,090,000,000","1,235,000,000","286,000,000","549,000,000","591,000,000","196,000,000","-924,000,000","-352,000,000","425,000,000","1,112,000,000","1,163,000,000","982,000,000","784,000,000",,,,
	FeeRevenueAndOtherIncome,"2,590,000,000","2,400,000,000","2,344,000,000","2,172,000,000","1,065,000,000","1,054,000,000","939,000,000","883,000,000","865,000,000",,,,,,"2,168,000,000","1,958,000,000",,,,,,,,"24,427,000,000",,,,,,"4,100,000,000","3,603,000,000","3,544,000,000","3,362,000,000"
		FeesAndCommissions,,,"2,344,000,000","2,172,000,000","1,065,000,000","1,054,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
