name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
TotalRevenue,"1,032,888,000","975,131,000","993,285,000","1,227,236,000","899,567,000","798,952,000","828,635,000","795,624,000","720,859,000","805,469,000","828,701,000","685,841,000","505,578,000","455,094,000","382,286,000","296,179,174"
	OperatingRevenue,"1,032,888,000","975,131,000","993,285,000","1,227,236,000","899,567,000","798,952,000","828,635,000","795,624,000","720,859,000","805,469,000","828,701,000","685,841,000","505,578,000","455,094,000","382,286,000","296,179,174"
CostOfRevenue,"564,120,000","529,395,000","510,382,000","563,054,000","435,818,000","400,456,000","413,166,000","402,880,000","383,915,000","414,238,000","414,966,000","856,358,000","383,093,000","233,233,000","263,278,000","0"
GrossProfit,"468,768,000","445,736,000","482,903,000","664,182,000","463,749,000","398,496,000","415,469,000","392,744,000","336,944,000","391,231,000","413,735,000","-170,517,000","122,485,000","221,861,000","119,008,000","296,179,174"
OperatingExpense,"145,897,000","142,144,000","138,806,000","123,691,000","105,425,000","115,041,000","110,528,000","106,333,000","102,710,000","108,846,000","106,832,000","90,687,000","75,398,000","67,566,000","53,810,000","223,079,881"
	SellingGeneralAndAdministration,"145,897,000","142,144,000","138,806,000","123,691,000","105,425,000","115,041,000","110,528,000","106,333,000","102,710,000","108,846,000","106,832,000","90,687,000","75,398,000","67,566,000","53,810,000","223,079,881"
		GeneralAndAdministrativeExpense,"121,123,000","118,523,000","114,194,000","91,972,000","81,113,000","91,871,000","83,967,000","76,713,000","70,194,000","65,220,000","57,700,000","52,289,000","46,408,000","41,392,000","30,788,000","205,296,840"
			SalariesAndWages,,,,,,,"0","12,678,000","28,080,000","42,071,000","64,664,000","547,195,000","155,835,000","34,632,000","263,278,099","177,174,057"
			RentAndLandingFees,"29,471,000","28,931,000","28,833,000","21,942,000","21,922,000","23,319,000","18,700,000","14,490,000","13,076,000","12,504,000","11,255,000","10,476,000","9,251,000","8,962,000","8,105,000",
			OtherGandA,"91,652,000","89,592,000","85,361,000","70,030,000","59,191,000","68,552,000","65,267,000","62,223,000","57,118,000","52,716,000","46,445,000","41,813,000","37,157,000","32,430,000","22,683,000","28,122,783"
		SellingAndMarketingExpense,"24,774,000","23,621,000","24,612,000","31,719,000","24,312,000","23,170,000","26,561,000","29,620,000","32,516,000","43,626,000","49,132,000","38,398,000","28,990,000","26,174,000","23,022,000","17,783,041"
	OtherOperatingExpenses,,,"28,833,000","21,942,000","21,922,000","23,319,000","18,700,000","14,490,000","13,076,000","12,504,000","11,255,000","10,476,000","9,251,000","8,962,000","8,105,000",
OperatingIncome,"322,871,000","303,592,000","344,097,000","540,491,000","358,324,000","283,455,000","304,941,000","286,411,000","234,234,000","282,385,000","306,903,000","-261,204,000","47,087,000","154,295,000","65,198,000","73,099,293"
NetNonOperatingInterestIncomeExpense,"-136,000","-2,270,000","-9,579,000","-10,244,000","-10,804,000","-11,054,000","-11,223,000","-11,449,000","-11,653,000","-11,706,000","-11,572,000","-11,869,000","-11,442,000","-18,386,000","-22,961,000","-24,871,139"
	InterestIncomeNonOperating,"8,467,000","6,301,000","333,000","559,000",,,,,,,,,,,"32,334","69,647"
	InterestExpenseNonOperating,"8,603,000","8,571,000","9,912,000","10,803,000","10,804,000","11,054,000","11,223,000","11,449,000","11,653,000","11,706,000","11,572,000","11,869,000","11,442,000","18,386,000","22,961,000","24,940,786"
OtherIncomeExpense,"76,943,000","82,370,000","-22,683,000","21,303,000","21,778,000","-3,135,000","8,070,000","296,283,000","1,903,000","-11,802,000","-3,788,000","65,331,000","7,979,000","-4,775,000","1,571,000",
	GainOnSaleOfSecurity,"76,438,000","81,865,000","-23,596,000","20,945,000","26,452,000","16,422,000","7,819,000","5,364,000","1,253,000","445,000","399,000","54,708,000","740,000","260,000","866,000",
	EarningsFromEquityInterest,,,,,,,,,,,"-3,964,000","10,623,000","8,817,000","-3,102,000",,
	SpecialIncomeCharges,,,,,,,,,,,"0","0","-827,000","0","0","0"
		OtherSpecialCharges,,,,,,,,,,,,,"827,000",,,
	OtherNonOperatingIncomeExpenses,,"505,000","913,000","358,000","-4,674,000","-19,557,000","251,000","290,919,000","650,000","-12,247,000","-4,187,000",,"-751,000","-1,933,000","705,000",
PretaxIncome,"399,678,000","383,692,000","311,835,000","551,550,000","369,298,000","269,266,000","301,788,000","571,245,000","224,484,000","258,877,000","291,543,000","-207,742,000","43,624,000","131,134,000","43,808,000","48,228,154"
TaxProvision,"75,498,000","71,888,000","63,450,000","107,026,000","60,795,000","27,809,000","47,598,000","420,508,000","51,483,000","46,771,000","48,829,000","26,390,000","1,047,000","1,162,000","1,281,000","0"
NetIncomeCommonStockholders,"214,451,000","202,409,000","183,954,000","305,086,000","189,349,000","135,382,000","138,862,000","33,573,000","59,971,000","65,768,000","-10,300,000","-28,165,000","0","0","42,527,000","48,228,154"
