Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,3.693287,3.693287,3.693287,3.693287,1.243388,0
1972-06-02,3.677195,3.677195,3.677195,3.677195,1.237972,0
1972-06-05,3.604777,3.604777,3.604777,3.604777,1.213591,0
1972-06-06,3.411664,3.411664,3.411664,3.411664,1.148577,0
1972-06-07,3.371432,3.371432,3.371432,3.371432,1.135033,0
1972-06-08,3.451896,3.451896,3.451896,3.451896,1.162121,0
1972-06-09,3.427757,3.427757,3.427757,3.427757,1.153994,0
1972-06-12,3.484082,3.484082,3.484082,3.484082,1.172957,0
1972-06-13,3.484082,3.484082,3.484082,3.484082,1.172957,0
1972-06-14,3.443850,3.443850,3.443850,3.443850,1.159412,0
1972-06-15,3.403618,3.403618,3.403618,3.403618,1.145868,0
1972-06-16,3.395571,3.395571,3.395571,3.395571,1.143159,0
1972-06-19,3.363386,3.363386,3.363386,3.363386,1.132324,0
1972-06-20,3.371432,3.371432,3.371432,3.371432,1.135033,0
1972-06-21,3.443850,3.443850,3.443850,3.443850,1.159412,0
1972-06-22,3.508221,3.508221,3.508221,3.508221,1.181084,0
1972-06-23,3.331200,3.331200,3.331200,3.331200,1.121488,0
1972-06-26,3.234644,3.234644,3.234644,3.234644,1.088981,0
1972-06-27,3.371432,3.371432,3.371432,3.371432,1.135033,0
1972-06-28,3.403618,3.403618,3.403618,3.403618,1.145868,0
1972-06-29,3.484082,3.484082,3.484082,3.484082,1.172957,0
1972-06-30,3.588684,3.588684,3.588684,3.588684,1.208173,0
1972-07-03,3.725473,3.725473,3.725473,3.725473,1.254225,0
1972-07-05,3.862261,3.862261,3.862261,3.862261,1.300275,0
1972-07-06,3.862261,3.862261,3.862261,3.862261,1.300275,0
1972-07-07,3.797890,3.797890,3.797890,3.797890,1.278604,0
1972-07-10,3.765705,3.765705,3.765705,3.765705,1.267769,0
1972-07-11,3.773751,3.773751,3.773751,3.773751,1.270478,0
1972-07-12,3.765705,3.765705,3.765705,3.765705,1.267769,0
1972-07-13,3.612824,3.612824,3.612824,3.612824,1.216301,0
1972-07-14,3.636963,3.636963,3.636963,3.636963,1.224426,0
1972-07-17,3.604777,3.604777,3.604777,3.604777,1.213591,0
1972-07-18,3.636963,3.636963,3.636963,3.636963,1.224426,0
1972-07-19,3.636963,3.636963,3.636963,3.636963,1.224426,0
1972-07-20,3.451896,3.451896,3.451896,3.451896,1.162121,0
1972-07-21,3.524313,3.524313,3.524313,3.524313,1.186502,0
1972-07-24,3.588684,3.588684,3.588684,3.588684,1.208173,0
1972-07-25,3.556499,3.556499,3.556499,3.556499,1.197337,0
1972-07-26,3.556499,3.556499,3.556499,3.556499,1.197337,0
1972-07-27,3.548453,3.548453,3.548453,3.548453,1.194629,0
1972-07-28,3.564545,3.564545,3.564545,3.564545,1.200046,0
1972-07-31,3.556499,3.556499,3.556499,3.556499,1.197337,0
1972-08-01,3.645009,3.645009,3.645009,3.645009,1.227135,0
1972-08-02,3.878354,3.878354,3.878354,3.878354,1.305694,0
1972-08-03,3.942725,3.942725,3.942725,3.942725,1.327365,0
1972-08-04,3.950771,3.950771,3.950771,3.950771,1.330073,0
1972-08-07,3.942725,3.942725,3.942725,3.942725,1.327365,0
1972-08-08,3.886400,3.886400,3.886400,3.886400,1.308401,0
1972-08-09,3.886400,3.886400,3.886400,3.886400,1.308401,0
1972-08-10,3.999050,3.999050,3.999050,3.999050,1.346327,0
1972-08-11,4.039282,4.039282,4.039282,4.039282,1.359872,0
1972-08-14,4.007096,4.007096,4.007096,4.007096,1.349036,0
1972-08-15,3.966864,3.966864,3.966864,3.966864,1.335492,0
1972-08-16,3.942725,3.942725,3.942725,3.942725,1.327365,0
1972-08-17,3.862261,3.862261,3.862261,3.862261,1.300275,0
1972-08-18,3.878354,3.878354,3.878354,3.878354,1.305694,0
1972-08-21,3.862261,3.862261,3.862261,3.862261,1.300275,0
1972-08-22,3.805937,3.805937,3.805937,3.805937,1.281313,0
1972-08-23,3.725473,3.725473,3.725473,3.725473,1.254225,0
1972-08-24,3.709380,3.709380,3.709380,3.709380,1.248807,0
1972-08-25,3.709380,3.709380,3.709380,3.709380,1.248807,0
1972-08-28,3.709380,3.709380,3.709380,3.709380,1.248807,0
1972-08-29,3.765705,3.765705,3.765705,3.765705,1.267769,0
1972-08-30,3.862261,3.862261,3.862261,3.862261,1.300275,0
1972-08-31,3.846168,3.846168,3.846168,3.846168,1.294858,0
1972-09-01,3.991003,3.991003,3.991003,3.991003,1.343618,0
1972-09-05,3.918586,3.918586,3.918586,3.918586,1.319239,0
1972-09-06,3.789844,3.789844,3.789844,3.789844,1.275895,0
1972-09-07,3.797890,3.797890,3.797890,3.797890,1.278604,0
1972-09-08,3.717426,3.717426,3.717426,3.717426,1.251515,0
1972-09-11,3.612824,3.612824,3.612824,3.612824,1.216301,0
1972-09-12,3.524313,3.524313,3.524313,3.524313,1.186502,0
1972-09-13,3.604777,3.604777,3.604777,3.604777,1.213591,0
1972-09-14,3.636963,3.636963,3.636963,3.636963,1.224426,0
1972-09-15,3.645009,3.645009,3.645009,3.645009,1.227135,0
1972-09-18,3.693287,3.693287,3.693287,3.693287,1.243388,0
1972-09-19,3.725473,3.725473,3.725473,3.725473,1.254225,0
1972-09-20,3.846168,3.846168,3.846168,3.846168,1.294858,0
1972-09-21,3.765705,3.765705,3.765705,3.765705,1.267769,0
