name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"25,097,000,000","18,559,000,000","21,079,000,000","14,645,000,000","5,591,000,000","13,632,000,000","8,930,000,000","13,540,000,000","8,291,000,000","10,706,000,000","10,990,000,000","8,547,000,000","7,082,000,000","9,768,000,000","8,729,000,000","6,337,000,000","7,773,000,000","8,011,000,000","9,112,000,000","8,045,000,000","9,143,000,000","2,538,000,000","8,674,000,000","5,324,000,000","6,353,000,000","7,385,000,000","4,413,000,000","5,170,000,000","4,939,000,000","3,054,000,000","1,814,000,000","413,000,000","-1,062,000,000","407,000,000","4,584,000,000","5,975,000,000"
	CashFlowFromContinuingOperatingActivities,"25,097,000,000","18,559,000,000","21,079,000,000","14,645,000,000","5,591,000,000","13,632,000,000","8,930,000,000","13,540,000,000","8,291,000,000","10,706,000,000","10,990,000,000","8,547,000,000","7,082,000,000","9,768,000,000","8,729,000,000","6,570,000,000","7,644,000,000","8,140,000,000","9,020,000,000","7,328,000,000","7,710,000,000","2,538,000,000","8,674,000,000","5,324,000,000","6,353,000,000","7,385,000,000","4,413,000,000","5,170,000,000","4,939,000,000","3,054,000,000","1,814,000,000","413,000,000","-1,062,000,000","407,000,000","4,584,000,000","5,975,000,000"
		NetIncomeFromContinuingOperations,"9,836,000,000","8,374,000,000","7,514,000,000","8,060,000,000","3,135,000,000","6,759,000,000","6,921,000,000","2,748,000,000","5,375,000,000","5,163,000,000","5,885,000,000","5,359,000,000","4,482,000,000","4,899,000,000","4,057,000,000","2,137,000,000","2,871,000,000","4,126,000,000","3,625,000,000","3,062,000,000","2,686,000,000","2,987,000,000","2,671,000,000","1,311,000,000","2,810,000,000","2,475,000,000","2,141,000,000","1,991,000,000","1,901,000,000","1,564,000,000","1,380,000,000","1,605,000,000","436,000,000","789,000,000","338,000,000","1,157,000,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,780,000,000","-4,531,000,000","-5,640,000,000","10,187,000,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,780,000,000","-4,531,000,000","-5,640,000,000","10,187,000,000"
		DepreciationAmortizationDepletion,"1,662,000,000","1,651,000,000","1,626,000,000","1,695,000,000","1,543,000,000","1,188,000,000","1,293,000,000","1,321,000,000","1,095,000,000","1,043,000,000","1,012,000,000","1,020,000,000","991,000,000","918,000,000","917,000,000","1,070,000,000","712,000,000","648,000,000","608,000,000","567,000,000","600,000,000","676,000,000","951,000,000","1,196,000,000","393,000,000","13,000,000","-212,000,000","187,000,000","266,000,000","367,000,000","378,000,000","411,000,000","660,000,000","753,000,000","603,000,000","333,000,000"
			DepreciationAndAmortization,"1,662,000,000","1,651,000,000","1,626,000,000","1,695,000,000","1,543,000,000","1,188,000,000","1,293,000,000","1,321,000,000","1,095,000,000","1,043,000,000","1,012,000,000","1,020,000,000","991,000,000","918,000,000","917,000,000","1,070,000,000","712,000,000","648,000,000","608,000,000","567,000,000","600,000,000","676,000,000","951,000,000","1,196,000,000","393,000,000","13,000,000","-212,000,000","187,000,000","266,000,000","367,000,000","378,000,000","411,000,000","660,000,000","753,000,000","603,000,000","333,000,000"
		DeferredTax,"-921,000,000","-1,329,000,000","-1,189,000,000","294,000,000","-939,000,000","-151,000,000","455,000,000","782,000,000","-1,066,000,000","507,000,000","-941,000,000","-5,000,000","496,000,000","818,000,000","1,135,000,000","-1,429,000,000","442,000,000","-851,000,000","-378,000,000","-266,000,000","934,000,000","120,000,000",,,,,,,,,,,,,,
			DeferredIncomeTax,"-921,000,000","-1,329,000,000","-1,189,000,000","294,000,000","-939,000,000","-151,000,000","455,000,000","782,000,000","-1,066,000,000","507,000,000","-941,000,000","-5,000,000","496,000,000","818,000,000","1,135,000,000","-1,429,000,000","442,000,000","-851,000,000","-378,000,000","-266,000,000","934,000,000","120,000,000",,,,,,,,,,,,,,
		OtherNonCashItems,"-304,000,000","669,000,000","365,000,000","-772,000,000","683,000,000","577,000,000",,,,,,,,,,,"6,820,000,000","4,788,000,000","3,306,000,000","2,898,000,000","2,687,000,000","2,462,000,000","2,974,000,000","3,883,000,000","2,697,000,000","2,392,000,000","2,491,000,000","2,307,000,000","2,212,000,000","2,953,000,000","-1,258,000,000","11,000,000","7,760,000,000","2,987,000,000","10,946,000,000","-6,942,000,000"
		StockBasedCompensation,"482,000,000","450,000,000","375,000,000","330,000,000","249,000,000","283,000,000","283,000,000","282,000,000","254,000,000","234,000,000","290,000,000","350,000,000","297,000,000","301,000,000","287,000,000","230,000,000","256,000,000","276,000,000","275,000,000","232,000,000","183,000,000",,,,,,,,,,,,,,,
		ProvisionForLoanLeaseAndOtherLosses,"5,207,000,000","4,923,000,000","2,182,000,000","-1,419,000,000","4,730,000,000","3,573,000,000","3,352,000,000","2,760,000,000","2,027,000,000","1,988,000,000","2,044,000,000","1,832,000,000","1,712,000,000","1,112,000,000","2,207,000,000","5,313,000,000","5,798,000,000","4,103,000,000","3,021,000,000","2,771,000,000","2,399,000,000",,,,,,,,,,,,,,,
		ChangeInWorkingCapital,"9,135,000,000","3,821,000,000","10,206,000,000","6,457,000,000","-3,810,000,000","1,403,000,000","-3,374,000,000","5,647,000,000","606,000,000","1,771,000,000","2,700,000,000","-9,000,000","-896,000,000","1,720,000,000","126,000,000","-751,000,000","-2,435,000,000","-162,000,000","1,869,000,000","962,000,000","908,000,000","-3,707,000,000","2,078,000,000","-1,066,000,000","453,000,000","2,505,000,000","-7,000,000","685,000,000","560,000,000","-1,830,000,000","1,314,000,000","-1,614,000,000","-5,138,000,000","409,000,000","-1,663,000,000","1,240,000,000"
			ChangeInReceivables,,,,,,,"248,000,000","473,000,000","-332,000,000","-714,000,000","-56,000,000","-73,000,000","153,000,000","663,000,000","-498,000,000","-730,000,000","101,000,000","-927,000,000","-295,000,000","-682,000,000","-716,000,000",,,,,,,,,,,,,,,
				ChangesInAccountReceivables,,,,,,,,,,,,,,,,,,"-912,000,000","-309,000,000","-682,000,000","-716,000,000",,,,,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"9,753,000,000","5,065,000,000","8,815,000,000","5,389,000,000","-2,025,000,000","1,771,000,000","-4,365,000,000","5,249,000,000","1,180,000,000","794,000,000","2,594,000,000","88,000,000","-358,000,000","2,186,000,000","1,531,000,000","-98,000,000","490,000,000","1,013,000,000","2,608,000,000","1,190,000,000","854,000,000",,,,,,,,,,,,,,,
				ChangeInPayable,"9,753,000,000","5,065,000,000","8,815,000,000","5,389,000,000","-2,025,000,000","1,771,000,000","-4,365,000,000","5,249,000,000","1,180,000,000","794,000,000","2,594,000,000","88,000,000","-358,000,000","2,186,000,000","1,531,000,000","-98,000,000","490,000,000","1,013,000,000","2,608,000,000","1,190,000,000","854,000,000",,,,,,,,,,,,,,,
					ChangeInAccountPayable,"9,753,000,000","5,065,000,000","8,815,000,000","5,389,000,000","-2,025,000,000","1,771,000,000","-4,365,000,000","5,249,000,000","1,180,000,000","794,000,000","2,594,000,000","88,000,000","-358,000,000","2,186,000,000","1,531,000,000","-98,000,000","490,000,000","1,013,000,000","2,608,000,000","1,190,000,000","854,000,000",,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,"-618,000,000","-1,244,000,000","1,391,000,000","1,068,000,000","-1,785,000,000","-368,000,000","991,000,000","398,000,000","206,000,000","2,058,000,000","650,000,000","335,000,000","390,000,000","-635,000,000","-590,000,000","526,000,000","-2,256,000,000","-226,000,000","-491,000,000","533,000,000","302,000,000",,,,,,,,,,,,,,,
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,"0","0","-541,000,000","0","0","-449,000,000","-770,000,000",,,,,,,,,,,,,,,,,,,
			ChangeInOtherWorkingCapital,,,,,,,"-244,000,000","-257,000,000","-448,000,000","-367,000,000","-488,000,000","-359,000,000","-540,000,000","-494,000,000","-317,000,000","-449,000,000","-770,000,000","-22,000,000","47,000,000","-79,000,000","468,000,000",,,,,,,,,,,,,,,
