name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalAssets,"3,180,151,000,000","3,051,375,000,000","3,169,495,000,000","2,819,627,000,000","2,434,079,000,000","2,354,507,000,000","2,281,234,000,000","2,188,067,000,000","2,144,287,000,000","2,104,534,000,000","2,102,273,000,000","2,209,974,000,000","2,129,046,000,000","2,264,909,000,000","2,230,232,000,000","1,817,943,000,000","1,715,746,000,000","1,459,737,000,000","1,291,803,000,000","1,110,457,000,000","736,445,000,000","660,951,000,000","621,764,000,000","642,191,000,000","632,574,000,000","617,679,000,000","570,983,000,000","185,794,000,000","187,298,000,000","169,604,000,000","157,686,000,000","118,059,000,000"
	CashCashEquivalentsAndFederalFundsSold,"622,043,000,000","505,036,000,000","606,085,000,000","691,067,000,000","443,264,000,000","446,029,000,000","381,334,000,000","355,823,000,000","359,579,000,000","337,922,000,000","333,190,000,000","349,370,000,000","357,289,000,000","344,476,000,000","335,474,000,000","124,905,000,000","183,856,000,000","185,859,000,000","199,584,000,000","132,657,000,000","111,627,000,000","76,664,000,000","60,877,000,000","61,016,000,000","69,755,000,000","62,173,000,000","57,029,000,000","17,735,000,000","15,974,000,000","22,853,000,000","16,172,000,000","12,363,000,000"
		CashAndCashEquivalents,"341,419,000,000","237,462,000,000","355,365,000,000","387,009,000,000","168,667,000,000","184,898,000,000","168,587,000,000","157,599,000,000","167,097,000,000","146,099,000,000","142,862,000,000","129,446,000,000","146,106,000,000","134,860,000,000","145,541,000,000","42,427,000,000","54,304,000,000","50,381,000,000","49,799,000,000","41,297,000,000","35,135,000,000","31,786,000,000","32,769,000,000","32,961,000,000","31,827,000,000","35,027,000,000","36,829,000,000","10,776,000,000","9,744,000,000","11,741,000,000","9,128,000,000","9,765,000,000"
			CashFinancial,"27,892,000,000","30,334,000,000","29,222,000,000","36,430,000,000","30,152,000,000","29,063,000,000","29,480,000,000","30,719,000,000","31,265,000,000","33,118,000,000","36,852,000,000",,,,,,,,,,,,,,,,,,,,,
			CashEquivalents,,,,,,,,,,,,,"120,102,000,000","108,427,000,000","121,339,000,000","32,857,000,000","42,531,000,000","36,429,000,000","36,999,000,000","28,936,000,000","27,084,000,000","24,973,000,000","26,837,000,000","27,513,000,000","26,989,000,000","28,277,000,000","28,466,000,000","8,933,000,000","8,448,000,000","9,582,000,000","7,649,000,000","7,771,000,000"
			CashAndDueFromBanks,"305,181,000,000","199,869,000,000","318,999,000,000","344,033,000,000","131,408,000,000","148,341,000,000","127,954,000,000","117,019,000,000","128,088,000,000","105,471,000,000","94,470,000,000","110,752,000,000","120,102,000,000","108,427,000,000","121,339,000,000","32,857,000,000","42,531,000,000","36,429,000,000","36,999,000,000","12,361,000,000","8,051,000,000","6,813,000,000","5,932,000,000","5,448,000,000","4,838,000,000","6,750,000,000","8,363,000,000","1,843,000,000","1,296,000,000","2,159,000,000","1,479,000,000","1,994,000,000"
			InterestBearingDepositsAssets,"8,346,000,000","7,259,000,000","7,144,000,000","6,546,000,000","7,107,000,000","7,494,000,000","11,153,000,000","9,861,000,000","7,744,000,000","7,510,000,000","11,540,000,000","18,694,000,000","26,004,000,000","26,433,000,000","24,202,000,000","9,570,000,000","11,773,000,000","13,952,000,000","12,800,000,000",,,,,,,,,,,,,
		MoneyMarketInvestments,"280,624,000,000","267,574,000,000","250,720,000,000","304,058,000,000","274,597,000,000","261,131,000,000","212,747,000,000","198,224,000,000","192,482,000,000","191,823,000,000","190,328,000,000","219,924,000,000","211,183,000,000","209,616,000,000","189,933,000,000","82,478,000,000","129,552,000,000","135,478,000,000","149,785,000,000","91,360,000,000","76,492,000,000","44,878,000,000","28,108,000,000","28,055,000,000","37,928,000,000","27,146,000,000","20,200,000,000","6,959,000,000","6,230,000,000","11,112,000,000","7,044,000,000","2,598,000,000"
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,"211,183,000,000","209,616,000,000","189,933,000,000","82,478,000,000","129,552,000,000","135,478,000,000","149,785,000,000","91,360,000,000","76,492,000,000","44,878,000,000","28,108,000,000","28,055,000,000","37,928,000,000","27,146,000,000","20,200,000,000","6,959,000,000","6,230,000,000","11,112,000,000","7,044,000,000","2,598,000,000"
	CustomerAcceptances,,,,,,,,,,,,,,,,,,,,,,,,"1,972,000,000","1,869,000,000","2,671,000,000","4,891,000,000","858,000,000","918,000,000","684,000,000","708,000,000","658,000,000"
	SecuritiesAndInvestments,"1,017,946,000,000","1,043,422,000,000","1,126,273,000,000","792,194,000,000","611,077,000,000","536,738,000,000","543,214,000,000","504,883,000,000","475,639,000,000","461,626,000,000","413,121,000,000","588,106,000,000","480,735,000,000","532,725,000,000","493,647,000,000","411,904,000,000","376,120,000,000","345,898,000,000","353,310,000,000","318,895,000,000","136,787,000,000","133,144,000,000","132,843,000,000","108,879,000,000","121,529,000,000","120,189,000,000","102,968,000,000","33,076,000,000","42,714,000,000","35,766,000,000","39,664,000,000","26,247,000,000"
		TradingSecurities,"146,539,000,000","180,603,000,000","143,646,000,000","107,344,000,000","138,880,000,000","94,985,000,000","103,084,000,000","74,152,000,000","68,751,000,000","81,165,000,000","89,176,000,000","227,775,000,000","169,319,000,000","194,671,000,000","182,206,000,000","134,315,000,000","162,064,000,000","153,052,000,000","131,707,000,000","93,587,000,000","68,547,000,000","63,996,000,000","47,344,000,000","43,041,000,000","38,460,000,000","39,602,000,000","35,937,000,000","18,689,000,000","18,867,000,000","9,941,000,000","10,610,000,000","1,518,000,000"
		AvailableForSaleSecurities,"10,203,000,000","9,206,000,000","8,895,000,000","12,110,000,000","10,828,000,000","8,735,000,000","12,486,000,000","19,720,000,000","16,607,000,000","36,421,000,000","32,844,000,000","310,850,000,000","276,151,000,000","337,627,000,000","301,601,000,000","276,904,000,000","214,056,000,000","192,846,000,000","221,603,000,000","225,308,000,000","68,240,000,000","69,148,000,000","85,499,000,000","65,838,000,000","83,069,000,000","80,587,000,000","67,031,000,000","14,387,000,000","23,847,000,000","25,825,000,000","29,054,000,000","24,729,000,000"
		HeldToMaturitySecurities,"594,555,000,000","632,825,000,000","674,554,000,000","438,249,000,000","215,730,000,000","203,652,000,000","125,013,000,000","117,071,000,000","84,508,000,000","59,766,000,000","55,150,000,000","49,481,000,000","35,265,000,000","427,000,000","9,840,000,000","685,000,000","726,000,000","40,000,000","47,000,000",,,,,,,,,,,,,
		OtherShortTermInvestments,"266,649,000,000","220,788,000,000","299,178,000,000","234,491,000,000","245,639,000,000","229,366,000,000","302,631,000,000","293,940,000,000","305,773,000,000","284,274,000,000","235,951,000,000","310,850,000,000","276,151,000,000","337,627,000,000","301,601,000,000","276,904,000,000","213,330,000,000","192,806,000,000","221,556,000,000",,,,,,,,,,,,,
	DerivativeAssets,"39,323,000,000","48,642,000,000","35,344,000,000","47,179,000,000","40,485,000,000","43,725,000,000","37,762,000,000","42,512,000,000","49,990,000,000","52,682,000,000","47,495,000,000","53,497,000,000","73,023,000,000","73,000,000,000","87,622,000,000","62,252,000,000","34,662,000,000","23,439,000,000","23,712,000,000",,,,,,,,,,,,,
	NetLoan,"1,031,576,000,000","1,026,344,000,000","967,615,000,000","901,366,000,000","963,447,000,000","925,281,000,000","915,829,000,000","882,032,000,000","871,604,000,000","855,095,000,000","897,086,000,000","879,288,000,000","886,552,000,000","913,080,000,000","885,883,000,000","918,310,000,000","876,816,000,000","675,827,000,000","545,273,000,000","513,211,000,000","365,300,000,000","336,397,000,000","322,278,000,000","385,355,000,000","363,834,000,000","350,206,000,000","335,362,000,000","121,530,000,000","116,533,000,000","101,503,000,000","91,535,000,000","71,260,000,000"
		GrossLoan,"1,044,880,000,000","1,038,974,000,000","979,934,000,000","920,006,000,000","972,704,000,000","934,728,000,000","926,063,000,000","893,374,000,000","883,084,000,000","869,361,000,000","914,396,000,000","903,389,000,000","917,973,000,000","953,556,000,000","921,803,000,000","940,500,000,000","888,186,000,000","684,626,000,000","553,086,000,000","521,837,000,000","371,463,000,000","342,755,000,000","329,153,000,000","392,193,000,000","370,662,000,000","357,328,000,000","342,140,000,000","123,845,000,000","118,696,000,000","103,689,000,000","94,959,000,000","73,450,000,000"
			LoansHeldForSale,"6,002,000,000","6,871,000,000","15,635,000,000","9,243,000,000","9,158,000,000","10,367,000,000","11,430,000,000","9,066,000,000","7,453,000,000","12,836,000,000","11,362,000,000","19,413,000,000","13,762,000,000","35,058,000,000","43,874,000,000","31,454,000,000","34,424,000,000",,,,,,,,,,,,,,,
			CommercialLoan,"506,035,000,000","505,952,000,000","465,586,000,000","421,603,000,000","435,088,000,000","416,285,000,000","401,059,000,000","378,796,000,000","362,263,000,000","320,273,000,000","323,191,000,000","291,900,000,000","255,231,000,000","225,655,000,000","230,918,000,000","255,666,000,000","241,263,000,000","182,663,000,000","161,863,000,000",,,,,,,,,,,,,
			ConsumerLoan,"205,792,000,000","199,813,000,000","185,188,000,000","170,195,000,000","188,798,000,000","189,706,000,000","192,793,000,000","188,866,000,000","190,439,000,000","184,571,000,000","188,048,000,000","191,365,000,000","209,110,000,000","234,388,000,000","171,455,000,000","168,152,000,000","161,432,000,000","136,631,000,000","52,215,000,000",,,,,,,,,,,,,
			MortgageLoan,"327,051,000,000","326,338,000,000","313,525,000,000","318,965,000,000","339,660,000,000","318,370,000,000","320,781,000,000","316,646,000,000","322,929,000,000","351,681,000,000","391,795,000,000","400,711,000,000","439,870,000,000","458,455,000,000","475,556,000,000","485,228,000,000","451,067,000,000","365,332,000,000","339,008,000,000",,,,,,,,,,,,,
			OtherLoanAssets,,,,,,,,,,,,,,,,"931,446,000,000","910,768,000,000","706,490,000,000","573,791,000,000","521,837,000,000","371,463,000,000","342,755,000,000","329,153,000,000","392,193,000,000","370,662,000,000","357,328,000,000","342,140,000,000","123,845,000,000","118,696,000,000","103,689,000,000","94,959,000,000","73,450,000,000"
		AllowanceForLoansAndLeaseLosses,"13,304,000,000","12,630,000,000","12,319,000,000","18,640,000,000","9,257,000,000","9,447,000,000","10,234,000,000","11,342,000,000","11,480,000,000","14,266,000,000","17,310,000,000","24,101,000,000","31,421,000,000","40,476,000,000","35,920,000,000","22,190,000,000","11,370,000,000","8,799,000,000","7,813,000,000","8,626,000,000","6,163,000,000","6,358,000,000","6,875,000,000","6,838,000,000","6,828,000,000","7,122,000,000","6,778,000,000","2,315,000,000","2,163,000,000","2,186,000,000","2,169,000,000","1,454,000,000"
		UnearnedIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,255,000,000","-736,000,000"
	Receivables,"96,697,000,000","81,135,000,000","87,020,000,000","81,157,000,000","75,658,000,000","88,194,000,000","83,580,000,000","80,996,000,000","78,910,000,000","86,558,000,000","84,529,000,000","95,232,000,000","88,896,000,000","107,520,000,000","103,904,000,000","59,785,000,000","22,364,000,000","21,647,000,000","20,473,000,000",,,,"2,800,000,000","4,432,000,000","3,777,000,000","3,734,000,000","3,584,000,000","1,159,000,000","1,597,000,000","1,408,000,000","1,117,000,000","856,000,000"
		AccountsReceivable,"81,881,000,000","67,543,000,000","72,263,000,000","64,221,000,000","55,937,000,000","65,814,000,000","61,623,000,000","58,759,000,000","58,312,000,000","61,845,000,000","59,448,000,000","71,467,000,000","66,999,000,000","85,704,000,000","81,996,000,000","37,608,000,000",,,,,,,"2,800,000,000","4,432,000,000","3,777,000,000","3,734,000,000","3,584,000,000","1,159,000,000","1,597,000,000","1,408,000,000","1,117,000,000","856,000,000"
			GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,"2,800,000,000","4,432,000,000","3,777,000,000","3,734,000,000","3,584,000,000","1,159,000,000","1,597,000,000","1,408,000,000","1,117,000,000","856,000,000"
		OtherReceivables,"14,816,000,000","13,592,000,000","14,757,000,000","16,936,000,000","19,721,000,000","22,380,000,000","21,957,000,000","22,237,000,000","20,598,000,000","24,713,000,000","25,081,000,000","23,765,000,000","21,897,000,000","21,816,000,000","21,908,000,000","22,177,000,000","22,364,000,000","21,647,000,000","20,473,000,000",,,,,,,,,,,,,
	NetPPE,"11,855,000,000","11,510,000,000","10,833,000,000","11,000,000,000","10,561,000,000","9,906,000,000","9,247,000,000","9,139,000,000","9,485,000,000","10,049,000,000","10,475,000,000","11,858,000,000","13,637,000,000","14,306,000,000","15,500,000,000","13,161,000,000","11,240,000,000","9,255,000,000","7,786,000,000","7,517,000,000","6,036,000,000","6,717,000,000","6,414,000,000","6,433,000,000","6,713,000,000","7,289,000,000","8,123,000,000","2,712,000,000","2,508,000,000","2,439,000,000","2,259,000,000","2,200,000,000"
	GoodwillAndOtherIntangibleAssets,"69,021,000,000","69,022,000,000","69,022,000,000","68,951,000,000","68,951,000,000","68,951,000,000","68,951,000,000","71,716,000,000","76,616,000,000","77,919,000,000","80,470,000,000","82,511,000,000","85,498,000,000","98,961,000,000","118,114,000,000","103,525,000,000","91,173,000,000","78,129,000,000","51,354,000,000","49,149,000,000","12,363,000,000","12,484,000,000","12,148,000,000","13,142,000,000","13,992,000,000","14,708,000,000","17,794,000,000","2,030,000,000","1,514,000,000","1,712,000,000","1,367,000,000","900,000,000"
		Goodwill,"69,021,000,000","69,022,000,000","69,022,000,000","68,951,000,000","68,951,000,000","68,951,000,000","68,951,000,000","68,969,000,000","69,761,000,000","69,777,000,000","69,844,000,000","69,976,000,000","69,967,000,000","73,861,000,000","86,314,000,000","81,934,000,000","77,530,000,000","65,662,000,000","45,354,000,000",,,,,,,,,,,,,
		OtherIntangibleAssets,,,,,,,"2,302,000,000","2,747,000,000","6,855,000,000","8,142,000,000","10,626,000,000","12,535,000,000","15,531,000,000","25,100,000,000","31,800,000,000","21,591,000,000","13,643,000,000","12,467,000,000","6,000,000,000",,,,,,,,,,,,,
	AssetsHeldForSale,,,,,,,"0","10,913,000,000","0",,,"-2,084,000,000","-2,270,000,000","-1,283,000,000","-989,000,000","-658,000,000",,,,,,,,,,,,,,,,
