name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
OperatingCashFlow,"47,053,000,000","44,982,000,000","-6,327,000,000","-7,193,000,000","37,993,000,000","61,777,000,000","39,520,000,000","9,864,000,000","17,277,000,000","28,397,000,000","30,795,000,000","92,817,000,000","-16,056,000,000","64,448,000,000","82,541,000,000","129,731,000,000","4,034,000,000","11,036,000,000","14,509,000,000","-12,223,000,000","-3,522,000,000","24,313,000,000","-12,007,000,000","-12,826,000,000","5,265,000,000","12,065,000,000","13,517,000,000","1,425,000,000","3,880,000,000","-4,933,000,000","9,118,000,000","2,137,000,000","7,801,000,000"
	CashFlowFromContinuingOperatingActivities,"47,053,000,000","44,982,000,000","-6,327,000,000","-7,193,000,000","37,993,000,000","61,777,000,000","39,520,000,000","9,864,000,000","17,277,000,000","28,397,000,000","30,795,000,000","92,817,000,000","-16,056,000,000","64,448,000,000","82,541,000,000","129,731,000,000","4,034,000,000","11,036,000,000","14,509,000,000","-12,223,000,000","-3,522,000,000","24,313,000,000","-12,007,000,000","-12,826,000,000","5,265,000,000","12,065,000,000","13,517,000,000","1,425,000,000","3,880,000,000","-4,933,000,000","9,118,000,000","2,137,000,000","7,801,000,000"
		NetIncomeFromContinuingOperations,"24,517,000,000","26,515,000,000","27,528,000,000","31,978,000,000","17,894,000,000","27,430,000,000","28,147,000,000","18,232,000,000","17,822,000,000","15,910,000,000","5,520,000,000","11,431,000,000","4,188,000,000","1,446,000,000","-2,238,000,000","6,276,000,000","4,008,000,000","14,982,000,000","21,133,000,000","16,465,000,000","13,947,000,000","10,810,000,000","9,249,000,000","6,792,000,000","7,517,000,000","7,882,000,000","5,165,000,000","6,542,000,000","5,813,000,000","1,950,000,000","1,690,000,000","1,301,000,000","1,145,000,000"
		OperatingGainsLosses,"-13,000,000","405,000,000","-32,000,000","-22,000,000","-411,000,000","-217,000,000","-154,000,000","-255,000,000","-490,000,000","-1,138,000,000","-1,481,000,000","-1,271,000,000","-1,662,000,000","-3,374,000,000","-2,526,000,000","-4,723,000,000","-1,124,000,000","-180,000,000","443,000,000","-1,084,000,000","-1,724,000,000","-941,000,000","-630,000,000","-475,000,000","-25,000,000","-240,000,000","-1,017,000,000","-271,000,000","-147,000,000","-29,000,000","13,000,000","-84,000,000","-249,000,000"
			GainLossOnInvestmentSecurities,"-13,000,000","405,000,000","-32,000,000","-22,000,000","-411,000,000","-217,000,000","-154,000,000","-255,000,000","-490,000,000","-1,138,000,000","-1,481,000,000","-1,271,000,000","-1,662,000,000","-3,374,000,000","-2,526,000,000","-4,723,000,000","-1,124,000,000","-180,000,000","443,000,000","-1,084,000,000","-1,724,000,000","-941,000,000","-630,000,000","-475,000,000","-25,000,000","-240,000,000","-1,017,000,000","-271,000,000","-147,000,000","-29,000,000","13,000,000","-84,000,000","-249,000,000"
		DepreciationAmortizationDepletion,"2,125,000,000","2,057,000,000","1,978,000,000","1,898,000,000","1,843,000,000","1,729,000,000","2,063,000,000","2,103,000,000","2,241,000,000","2,389,000,000","2,522,000,000","2,683,000,000","3,038,000,000","3,485,000,000","3,912,000,000","4,314,000,000","3,319,000,000","2,844,000,000","2,869,000,000","1,768,000,000","1,636,000,000","1,107,000,000","1,104,000,000","1,732,000,000","1,784,000,000","1,917,000,000","1,998,000,000","1,963,000,000","1,527,000,000","399,000,000","406,000,000","352,000,000","339,000,000"
			DepreciationAndAmortization,"2,125,000,000","2,057,000,000","1,978,000,000","1,898,000,000","1,843,000,000","1,729,000,000","2,063,000,000","2,103,000,000","2,241,000,000","2,389,000,000","2,522,000,000","2,683,000,000","3,038,000,000","3,485,000,000","3,912,000,000","4,314,000,000","3,319,000,000","2,844,000,000","2,869,000,000","1,768,000,000","1,636,000,000","1,107,000,000","1,104,000,000","1,732,000,000","1,784,000,000","1,917,000,000","1,998,000,000","1,963,000,000","1,527,000,000","399,000,000","406,000,000","352,000,000","339,000,000"
				Depreciation,,,,,,,"1,525,000,000","1,482,000,000","1,511,000,000","1,555,000,000","1,586,000,000","1,597,000,000","1,774,000,000","1,976,000,000","2,181,000,000","2,336,000,000","1,485,000,000","1,168,000,000","1,114,000,000","959,000,000","972,000,000",,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,"538,000,000","621,000,000","730,000,000","834,000,000","936,000,000","1,086,000,000","1,264,000,000","1,509,000,000","1,731,000,000","1,978,000,000","1,834,000,000","1,676,000,000","1,755,000,000","809,000,000","664,000,000",,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,"538,000,000","621,000,000","730,000,000","834,000,000","936,000,000","1,086,000,000","1,264,000,000","1,509,000,000","1,731,000,000","1,978,000,000","1,834,000,000","1,676,000,000","1,755,000,000","809,000,000","664,000,000",,,,,,,,,,,,
		DeferredTax,"-2,282,000,000","-2,011,000,000","739,000,000","-838,000,000","-1,737,000,000","2,435,000,000","3,041,000,000","8,175,000,000","5,793,000,000","2,967,000,000","1,147,000,000","3,262,000,000","-2,735,000,000","-1,949,000,000","608,000,000","370,000,000","-5,801,000,000","-753,000,000","1,850,000,000","1,695,000,000","-519,000,000","-263,000,000","-377,000,000","-563,000,000","648,000,000","2,098,000,000","216,000,000","971,000,000","965,000,000","159,000,000","235,000,000","223,000,000","9,000,000"
			DeferredIncomeTax,"-2,282,000,000","-2,011,000,000","739,000,000","-838,000,000","-1,737,000,000","2,435,000,000","3,041,000,000","8,175,000,000","5,793,000,000","2,967,000,000","1,147,000,000","3,262,000,000","-2,735,000,000","-1,949,000,000","608,000,000","370,000,000","-5,801,000,000","-753,000,000","1,850,000,000","1,695,000,000","-519,000,000","-263,000,000","-377,000,000","-563,000,000","648,000,000","2,098,000,000","216,000,000","971,000,000","965,000,000","159,000,000","235,000,000","223,000,000","9,000,000"
		OtherNonCashItems,"6,592,000,000","8,349,000,000","7,927,000,000","-4,300,000,000","3,278,000,000","7,528,000,000","-1,669,000,000","4,393,000,000","586,000,000","-3,341,000,000","-2,427,000,000","15,474,000,000","5,335,000,000","17,558,000,000","1,893,000,000","3,150,000,000","9,056,000,000","5,531,000,000","-373,000,000","-7,861,000,000","1,647,000,000","3,000,000,000","9,229,000,000","3,763,000,000","4,245,000,000","127,000,000","6,165,000,000","-7,417,000,000","-4,367,000,000","-7,438,000,000","6,705,000,000","293,000,000","6,383,000,000"
		AmortizationOfFinancingCostsAndDiscounts,"-855,000,000","-397,000,000","2,072,000,000","5,837,000,000","4,101,000,000","2,066,000,000","1,824,000,000","2,251,000,000","3,134,000,000","2,613,000,000","1,699,000,000","1,577,000,000","2,580,000,000","2,046,000,000",,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,,,,"0","0","2,072,000,000","0","0",,,,"0","0","3,184,000,000","12,400,000,000","0","0",,,,,,,,,,,,,,,,
		StockBasedCompensation,"3,026,000,000","2,942,000,000","2,862,000,000","2,768,000,000","2,031,000,000","1,974,000,000","1,729,000,000","1,649,000,000","1,367,000,000","-89,000,000","78,000,000",,,,,,,,,,,,,,,,,,,,,,
		ProvisionForLoanLeaseAndOtherLosses,"5,165,000,000","4,394,000,000","2,543,000,000","-4,594,000,000","11,320,000,000","3,590,000,000","3,282,000,000","3,396,000,000","3,597,000,000","3,161,000,000","2,275,000,000","3,556,000,000","8,169,000,000","13,410,000,000","28,435,000,000","48,570,000,000","26,825,000,000","8,385,000,000","5,010,000,000","4,014,000,000","2,769,000,000",,,,,,,,,,,,
		ChangeInWorkingCapital,"8,778,000,000","2,728,000,000","-51,944,000,000","-39,920,000,000","-326,000,000","13,170,000,000","1,257,000,000","-30,080,000,000","-16,773,000,000","5,925,000,000","21,462,000,000","56,105,000,000","-34,969,000,000","28,642,000,000","40,057,000,000","71,774,000,000","-32,249,000,000","-19,773,000,000","-16,423,000,000","-27,220,000,000","-21,278,000,000","10,600,000,000","-30,582,000,000","-24,075,000,000","-8,904,000,000","281,000,000","990,000,000","-363,000,000","89,000,000","26,000,000","69,000,000","52,000,000","174,000,000"
			ChangeInPayablesAndAccruedExpense,"6,913,000,000","-17,719,000,000","23,029,000,000","16,639,000,000","-4,385,000,000","16,363,000,000","13,010,000,000","4,673,000,000","-35,000,000","730,000,000","9,702,000,000","-12,919,000,000","24,061,000,000","-18,124,000,000","14,069,000,000","-16,601,000,000","-8,885,000,000","4,190,000,000","4,517,000,000","-8,205,000,000","4,594,000,000",,,,,,,,,,,,
				ChangeInAccruedExpense,"6,913,000,000","-17,719,000,000","23,029,000,000","16,639,000,000","-4,385,000,000","16,363,000,000","13,010,000,000","4,673,000,000","-35,000,000","730,000,000","9,702,000,000","-12,919,000,000","24,061,000,000","-18,124,000,000","14,069,000,000","-16,601,000,000","-8,885,000,000","4,190,000,000","4,517,000,000","-8,205,000,000","4,594,000,000",,,,,,,,,,,,
			ChangeInOtherCurrentAssets,"-15,991,000,000","-23,944,000,000","20,799,000,000","-34,455,000,000","-12,883,000,000","-11,113,000,000","11,920,000,000","-20,090,000,000","-14,103,000,000","2,645,000,000","5,894,000,000","35,154,000,000","-11,424,000,000","21,285,000,000","5,213,000,000","28,553,000,000","-6,391,000,000","-15,855,000,000","-17,070,000,000","-104,000,000","-11,928,000,000",,,,,,,,,,,,
			ChangeInOtherWorkingCapital,"17,856,000,000","44,391,000,000","-95,772,000,000","-22,104,000,000","16,942,000,000","7,920,000,000","-23,673,000,000","-14,663,000,000","-2,635,000,000","2,550,000,000","5,866,000,000","33,870,000,000","-47,606,000,000","25,481,000,000","20,775,000,000","59,822,000,000","-16,973,000,000","-8,108,000,000","-3,870,000,000","-18,911,000,000","-13,944,000,000",,,,,,,,,,,,
InvestingCashFlow,"-196,962,000,000","-35,387,000,000","-2,529,000,000","-313,291,000,000","-177,665,000,000","-80,630,000,000","-71,468,000,000","-51,541,000,000","-62,285,000,000","-55,571,000,000","-8,260,000,000","25,058,000,000","-34,979,000,000","52,429,000,000","-30,347,000,000","157,925,000,000","-2,930,000,000","-108,480,000,000","-68,304,000,000","-150,445,000,000","-127,554,000,000","-73,425,000,000","-10,081,000,000","37,552,000,000","2,890,000,000","-31,321,000,000","-49,869,000,000","-23,483,000,000","3,537,000,000","-6,182,000,000","-9,002,000,000","-10,600,000,000","-14,421,000,000"
	CashFlowFromContinuingInvestingActivities,"-196,962,000,000","-35,387,000,000","-2,529,000,000","-313,291,000,000","-177,665,000,000","-80,630,000,000","-71,468,000,000","-51,541,000,000","-62,285,000,000","-55,571,000,000","-8,260,000,000","25,058,000,000","-34,979,000,000","52,429,000,000","-30,347,000,000","157,925,000,000","-2,930,000,000","-108,480,000,000","-68,304,000,000","-150,445,000,000","-127,554,000,000","-73,425,000,000","-10,081,000,000","37,552,000,000","2,890,000,000","-31,321,000,000","-49,869,000,000","-23,483,000,000","3,537,000,000","-6,182,000,000","-9,002,000,000","-10,600,000,000","-14,421,000,000"
		ProceedsPaymentFederalFundsSoldAndSecuritiesPurchasedUnderAgreementToResell,"-58,971,000,000","-13,050,000,000","-16,854,000,000","53,338,000,000","-29,461,000,000","-13,466,000,000","-48,384,000,000","-14,523,000,000","-5,742,000,000","-659,000,000","-1,495,000,000","29,596,000,000","-8,741,000,000","-1,567,000,000","-19,683,000,000","31,369,000,000","53,723,000,000","6,294,000,000","13,020,000,000","-58,425,000,000","-3,880,000,000",,,,,,,,,,,,
		ProceedsPaymentInInterestBearingDepositsInBank,"-388,000,000","-1,087,000,000","-115,000,000","-598,000,000","561,000,000","387,000,000","3,659,000,000","-1,292,000,000","-2,117,000,000","50,000,000","4,030,000,000","7,154,000,000","7,310,000,000","105,000,000","-2,154,000,000","19,081,000,000","2,203,000,000","2,191,000,000","-3,053,000,000","-439,000,000","-1,147,000,000",,,,,,,,,,,,
			DecreaseinInterestBearingDepositsinBank,,,,,,,,,,,,,,"105,000,000","-2,154,000,000","19,081,000,000","2,203,000,000",,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"-122,318,000,000","-4,238,000,000","84,103,000,000","-309,745,000,000","-189,969,000,000","-24,007,000,000","-10,201,000,000","-8,183,000,000","-30,144,000,000","-13,048,000,000","-45,607,000,000","27,455,000,000","-31,248,000,000","57,211,000,000","-17,477,000,000","37,816,000,000","-37,291,000,000","19,640,000,000","34,965,000,000","-30,184,000,000","-98,775,000,000","-29,277,000,000","1,742,000,000","10,617,000,000","31,487,000,000","-8,909,000,000","-16,385,000,000","-14,760,000,000","17,333,000,000","13,643,000,000","3,298,000,000","10,528,000,000","-2,330,000,000"
			PurchaseOfInvestment,"-491,475,000,000","-291,057,000,000","-159,058,000,000","-601,134,000,000","-452,412,000,000","-189,897,000,000","-112,620,000,000","-192,063,000,000","-228,960,000,000","-255,987,000,000","-261,176,000,000","-175,132,000,000","-185,482,000,000","-135,088,000,000","-199,259,000,000","-189,059,000,000","-185,072,000,000","-28,330,000,000","-40,905,000,000","-204,476,000,000","-243,573,000,000","-228,720,000,000","-162,780,000,000","-127,074,000,000","-19,817,000,000","-59,699,000,000","-100,413,000,000","-60,926,000,000","-26,874,000,000","-28,139,000,000","-30,823,000,000","-26,708,000,000","-14,197,000,000"
			SaleOfInvestment,"369,157,000,000","286,819,000,000","243,161,000,000","291,389,000,000","262,443,000,000","165,890,000,000","102,419,000,000","183,880,000,000","198,816,000,000","242,939,000,000","215,569,000,000","202,587,000,000","154,234,000,000","192,299,000,000","181,782,000,000","226,875,000,000","147,781,000,000","47,970,000,000","75,870,000,000","174,292,000,000","144,798,000,000","199,443,000,000","164,522,000,000","137,691,000,000","51,304,000,000","50,790,000,000","84,028,000,000","46,166,000,000","44,207,000,000","41,782,000,000","34,121,000,000","37,236,000,000","11,867,000,000"
		NetInvestmentPropertiesPurchaseAndSale,,,,,,,,,,,"855,000,000","1,099,000,000","2,799,000,000","2,532,000,000","3,107,000,000","1,997,000,000","1,187,000,000","104,000,000","93,000,000","132,000,000","198,000,000",,,,,,,,,,,,
			SaleOfInvestmentProperties,,,,,,,,,,,"855,000,000","1,099,000,000","2,799,000,000","2,532,000,000","3,107,000,000","1,997,000,000","1,187,000,000","104,000,000","93,000,000","132,000,000","198,000,000",,,,,,,,,,,,
		NetProceedsPaymentForLoan,"-10,709,000,000","-11,754,000,000","-65,051,000,000","-52,807,000,000","44,693,000,000","-40,570,000,000","-14,556,000,000","-35,954,000,000","-24,690,000,000","-42,208,000,000","37,316,000,000","-38,659,000,000","-4,784,000,000","-3,650,000,000","5,496,000,000","28,849,000,000","-17,119,000,000","-119,790,000,000","-107,967,000,000","-56,620,000,000","-27,934,000,000",,,,,,,,,,,,
			ProceedsFromLoans,"10,151,000,000","11,081,000,000","26,757,000,000","10,396,000,000","49,922,000,000","12,201,000,000","21,365,000,000","11,996,000,000","18,787,000,000","22,316,000,000","47,925,000,000","12,331,000,000","1,837,000,000","3,124,000,000","8,046,000,000","28,849,000,000","-17,119,000,000","-119,790,000,000","-107,967,000,000","-56,620,000,000",,,,,,,,,,,,,
			PaymentForLoans,"-20,860,000,000","-22,835,000,000","-91,808,000,000","-63,203,000,000","-5,229,000,000","-52,771,000,000","-35,921,000,000","-47,950,000,000","-43,477,000,000","-64,524,000,000","-10,609,000,000","-50,990,000,000","-6,621,000,000","-6,774,000,000","-2,550,000,000",,"-69,574,000,000","-177,665,000,000","-107,967,000,000",,"-27,934,000,000",,,,,,,,,,,,
		NetPPEPurchaseAndSale,,,,,,,,,,,"-1,160,000,000","-521,000,000","5,000,000","-1,307,000,000","-987,000,000","-2,240,000,000","-2,098,000,000","-2,143,000,000","-748,000,000","-1,228,000,000","-863,000,000","-209,000,000","-939,000,000","-835,000,000","-642,000,000","-465,000,000","-437,000,000","-888,000,000","-1,183,000,000","-307,000,000","-327,000,000","-4,671,000,000","-287,000,000"
			PurchaseOfPPE,,,,,,,,,,,,,,,,"-2,240,000,000",,"-2,143,000,000",,,,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,,,,,,,,,,,,,,"0","0","31,804,000,000","6,650,000,000","-19,816,000,000","-2,388,000,000","-49,000,000","4,936,000,000","-140,000,000","-110,000,000","-417,000,000",,,,,,,,,
			SaleOfBusiness,,,,,,,,,,,,,,,,"31,804,000,000","6,650,000,000",,,,,,,,,,,,,,,,
		NetOtherInvestingChanges,"-4,576,000,000","-5,258,000,000","-4,612,000,000","-3,479,000,000","-3,489,000,000","-2,974,000,000","-1,986,000,000","8,411,000,000","408,000,000","294,000,000","-2,504,000,000","-488,000,000","-320,000,000","-895,000,000","1,351,000,000","9,249,000,000","-10,185,000,000","5,040,000,000","-2,226,000,000","-3,632,000,000","-89,000,000","-43,799,000,000","-10,774,000,000","28,187,000,000","-27,955,000,000","-21,947,000,000","-33,047,000,000","-7,835,000,000","-12,613,000,000","-19,518,000,000","-11,973,000,000","-16,457,000,000","-11,804,000,000"
FinancingCashFlow,"99,277,000,000","93,345,000,000","-106,039,000,000","291,650,000,000","355,819,000,000","3,377,000,000","53,118,000,000","49,268,000,000","33,153,000,000","48,535,000,000","-12,201,000,000","-95,442,000,000","42,416,000,000","-104,654,000,000","-65,334,000,000","-199,568,000,000","-10,695,000,000","103,412,000,000","53,133,000,000","170,817,000,000","132,864,000,000","51,048,000,000","20,209,000,000","-25,345,000,000","-7,566,000,000","17,913,000,000","36,131,000,000","21,851,000,000","-4,929,000,000","9,981,000,000","1,817,000,000","8,341,000,000","7,136,000,000"
	CashFlowFromContinuingFinancingActivities,"99,277,000,000","93,345,000,000","-106,039,000,000","291,650,000,000","355,819,000,000","3,377,000,000","53,118,000,000","49,268,000,000","33,153,000,000","48,535,000,000","-12,201,000,000","-95,442,000,000","42,416,000,000","-104,654,000,000","-65,334,000,000","-199,568,000,000","-10,695,000,000","103,412,000,000","53,133,000,000","170,817,000,000","132,864,000,000","51,048,000,000","20,209,000,000","-25,345,000,000","-7,566,000,000","17,913,000,000","36,131,000,000","21,851,000,000","-4,929,000,000","9,981,000,000","1,817,000,000","8,341,000,000","7,136,000,000"
		ChangeInFederalFundsAndSecuritiesSoldForRepurchase,"79,479,000,000","88,252,000,000","3,306,000,000","22,006,000,000","5,214,000,000","-21,879,000,000","10,070,000,000","7,024,000,000","-4,000,000,000","-26,986,000,000","3,171,000,000","-95,153,000,000","78,395,000,000","-30,495,000,000","-9,826,000,000","-62,993,000,000","-34,529,000,000","-1,448,000,000","-22,454,000,000","120,914,000,000","35,752,000,000",,,,,,,,,,,,
		NetIssuancePaymentsOfDebt,"6,023,000,000","25,987,000,000","35,034,000,000","34,281,000,000","4,172,000,000","5,630,000,000","-1,246,000,000","12,544,000,000","-20,100,000,000","231,000,000","-17,003,000,000","-3,935,000,000","-107,206,000,000","-100,077,000,000","-90,402,000,000","-159,889,000,000","-24,323,000,000","71,268,000,000","55,405,000,000","44,522,000,000","41,822,000,000","33,542,000,000","15,855,000,000","-27,431,000,000","-18,153,000,000","33,099,000,000","23,166,000,000","26,323,000,000","-3,590,000,000","10,997,000,000","-1,890,000,000","5,678,000,000","3,105,000,000"
			NetLongTermDebtIssuance,"6,615,000,000","20,825,000,000","31,855,000,000","29,849,000,000","9,065,000,000","1,626,000,000","11,232,000,000","4,006,000,000","-16,086,000,000","3,305,000,000","-2,176,000,000","-19,944,000,000","-102,189,000,000","-75,813,000,000","-58,704,000,000","-33,463,000,000","8,710,000,000","38,428,000,000","31,696,000,000","6,851,000,000","4,385,000,000","7,681,000,000","-4,514,000,000","-5,766,000,000","12,373,000,000","9,867,000,000","3,357,000,000","1,083,000,000","4,927,000,000","12,241,000,000","-2,381,000,000","3,720,000,000","221,000,000"
				LongTermDebtIssuance,"65,060,000,000","65,396,000,000","65,910,000,000","76,675,000,000","57,013,000,000","52,420,000,000","64,278,000,000","53,486,000,000","35,537,000,000","43,670,000,000","51,573,000,000","45,658,000,000","22,200,000,000","26,001,000,000","52,215,000,000","67,744,000,000","43,782,000,000","67,370,000,000","49,464,000,000","21,958,000,000","21,289,000,000","16,963,000,000","10,850,000,000","14,853,000,000","23,451,000,000","17,630,000,000","12,166,000,000","7,823,000,000","11,199,000,000","14,302,000,000","1,198,000,000","4,125,000,000","349,000,000"
