name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"1,477,487,000,000","1,513,699,000,000","1,384,285,000,000","1,349,514,000,000","1,140,229,000,000","1,133,283,000,000","1,133,248,000,000","1,213,126,000,000","1,120,012,000,000","1,357,906,000,000","1,343,628,000,000","1,512,351,000,000","1,561,650,000,000","1,489,645,000,000","1,378,929,000,000","2,052,980,000,000","1,227,361,000,000","996,787,000,000","924,357,000,000","521,854,770,640","442,785,840,000","403,268,150,700","357,433,626,960","316,526,961,840","254,493,381,200","219,442,593,235","232,230,602,760","186,001,473,896","169,676,809,488","162,568,808,541","166,041,373,152","148,902,559,736","137,983,449,618","134,887,000,000","127,616,000,000","104,645,000,000","87,855,000,000","79,002,000,000","65,104,000,000"
	CashCashEquivalentsAndFederalFundsSold,"376,359,000,000","421,808,000,000","386,815,000,000","337,774,000,000","250,524,000,000","298,418,000,000","283,668,000,000","115,807,000,000","78,909,000,000","177,894,000,000","233,748,000,000","264,186,000,000","261,832,000,000","312,345,000,000","226,507,000,000","162,068,000,000","190,712,000,000","183,843,000,000","166,205,000,000","10,178,511,280","10,894,800,000","12,018,414,300","3,732,959,520","3,756,007,200","3,653,943,760","4,589,946,060","749,374,896","29,520,911,518","20,933,943,384","27,972,491,049","20,024,034,384","23,288,326,796","24,020,308,530","23,720,000,000","20,900,000,000","17,911,000,000","16,189,000,000","14,381,000,000","11,198,000,000"
		CashAndCashEquivalents,"224,634,000,000","256,351,000,000","238,574,000,000","191,127,000,000","150,258,000,000","177,069,000,000","171,082,000,000","102,353,000,000","50,722,000,000","40,905,000,000","46,969,000,000","87,664,000,000","108,802,000,000","99,014,000,000","83,076,000,000","31,714,000,000","7,637,000,000","9,753,000,000","5,807,000,000","3,523,350,880","3,727,360,000","4,369,542,300","3,732,959,520","3,756,007,200","3,653,943,760","4,589,946,060","749,374,896","29,520,911,518","20,933,943,384","27,972,491,049","20,024,034,384","23,288,326,796","24,020,308,530","23,720,000,000","20,900,000,000","17,911,000,000","16,189,000,000","14,381,000,000","11,198,000,000"
			CashFinancial,,,,"191,127,000,000","150,258,000,000","177,069,000,000","171,082,000,000","102,353,000,000","49,711,000,000","39,695,000,000","45,687,000,000","86,191,000,000","106,990,000,000","97,630,000,000","81,483,000,000","30,019,000,000","5,801,000,000","7,345,000,000","3,906,000,000",,,,,,,,,,,,,,,,,,,,
			CashEquivalents,,,,,,,,,"49,711,000,000","39,695,000,000",,,"106,894,000,000","97,630,000,000",,"29,838,687,520","5,806,943,000","7,342,758,260","3,904,814,040","1,752,290,960","1,723,680,000","2,033,283,750","1,283,548,950","1,244,637,680","1,164,613,440","2,115,503,175","1,717,549,356","27,870,930,654","18,942,955,644","25,318,794,105","17,199,471,660","11,497,396,540","22,730,485,860",,,,,,
			CashAndDueFromBanks,"224,634,000,000","256,351,000,000","238,574,000,000","191,127,000,000","150,258,000,000","177,069,000,000","171,082,000,000","102,353,000,000","1,011,000,000","1,210,000,000","1,282,000,000","1,473,000,000","1,812,000,000","1,384,000,000","1,593,000,000","1,695,000,000","1,836,000,000","2,408,000,000","1,901,000,000","1,771,059,920","2,003,680,000","2,336,258,550","2,449,410,570","2,511,369,520","2,489,330,320","2,474,442,885","749,374,896","1,649,980,864","1,990,987,740","2,653,696,944","2,824,562,724","11,790,930,256","1,289,822,670","23,720,000,000","20,900,000,000","17,911,000,000","16,189,000,000","14,381,000,000","11,198,000,000"
		RestrictedCashAndInvestments,,,,"101,367,000,000","83,256,000,000","77,222,000,000","77,168,000,000","90,135,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		MoneyMarketInvestments,"151,725,000,000","165,457,000,000","148,241,000,000","146,647,000,000","100,266,000,000","121,349,000,000","112,586,000,000","13,454,000,000","28,187,000,000","136,989,000,000","186,779,000,000","176,522,000,000","153,030,000,000","213,331,000,000","143,431,000,000","130,354,000,000","183,075,000,000","174,090,000,000","160,398,000,000","6,655,160,400","7,167,440,000","7,648,872,000",,,,,,,,,,,,,,,,,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"151,725,000,000","165,457,000,000","148,241,000,000","146,647,000,000","100,266,000,000","121,349,000,000","112,586,000,000","13,454,000,000","28,187,000,000","136,989,000,000","186,779,000,000","176,522,000,000","153,030,000,000","213,331,000,000","143,431,000,000","130,354,000,000","183,075,000,000","174,090,000,000","160,398,000,000","6,655,160,400","7,167,440,000","7,648,872,000",,,,,,,,,,,,,,,,,
				SecurityAgreeToBeResell,"151,725,000,000","165,457,000,000","148,241,000,000","146,647,000,000","100,266,000,000","121,349,000,000","112,586,000,000","13,454,000,000","28,187,000,000","136,989,000,000","186,779,000,000","176,522,000,000","153,030,000,000","213,331,000,000","143,431,000,000","130,354,000,000","183,075,000,000","174,090,000,000","160,398,000,000",,,,,,,,,,,,,,,,,,,,
