name,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalAssets,"30,121,200,000","28,060,600,000","24,168,400,000","21,684,500,000","14,532,200,000","14,383,500,000","17,534,000,000","16,098,800,000","16,335,700,000","16,357,100,000","15,390,300,000","14,751,500,000","13,775,800,000","10,708,088,000","9,468,463,000","9,176,520,000","9,932,272,000","9,499,859,000","8,893,927,000","8,227,768,000","6,970,749,000","6,422,700,000","6,265,650,000","4,042,443,000","3,666,790,000","3,480,049,000","3,095,200,000","2,374,167,000","2,244,681,000","1,968,758,000","1,581,534,000","834,300,000","578,600,000","478,500,000","394,000,000","177,200,000","137,900,000","88,200,000","32,500,000"
	CurrentAssets,"5,750,800,000","6,047,300,000","6,075,400,000","5,222,900,000","6,796,600,000","7,758,500,000","9,751,600,000","9,277,600,000","9,206,100,000","8,546,000,000","7,591,700,000","7,156,000,000","8,543,600,000","6,362,793,000","5,244,420,000","4,849,632,000","5,456,726,000","6,118,494,000","4,620,588,000","4,043,845,000","3,887,252,000","3,414,031,000","3,055,238,000","1,955,856,000","1,703,667,000","1,470,756,000","1,210,475,000","1,249,861,000","1,107,267,000","920,318,000","775,331,000",,"556,200,000","461,100,000",,,,,
		CashCashEquivalentsAndShortTermInvestments,"4,402,400,000","4,782,500,000","4,647,200,000","3,989,800,000","5,957,600,000","6,910,600,000","8,749,700,000","8,483,300,000","8,368,100,000","7,596,000,000","6,323,100,000","6,051,400,000","7,621,000,000","5,553,211,000","4,564,385,000","4,108,029,000","4,509,514,000","4,719,031,000","3,949,494,000","3,504,178,000","2,934,015,000","2,533,696,000","1,976,950,000","1,402,675,000","1,231,750,000","1,047,955,000","656,647,000","701,670,000","493,832,000","390,013,000","512,048,000","617,300,000","433,400,000","5,000,000",,,,,
			CashAndCashEquivalents,"4,402,400,000","4,782,500,000","4,647,200,000","3,989,800,000","5,957,600,000","6,910,600,000","8,749,700,000","8,483,300,000","8,368,100,000","7,596,000,000","6,323,100,000","6,051,400,000","5,198,600,000","3,985,312,000","2,982,539,000","2,314,818,000","3,304,495,000","3,613,135,000","3,076,318,000","2,814,184,000","1,053,695,000","980,604,000","596,207,000","740,005,000","819,244,000","556,043,000","442,741,000","502,189,000","261,699,000","210,376,000","302,952,000","0","4,000,000","5,000,000",,,,,
				CashFinancial,,,,,,"6,910,600,000","8,749,700,000","8,483,300,000","8,368,100,000","7,596,000,000","6,323,100,000","341,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,,,,,"6,046,700,000","5,709,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,"2,583,800,000","2,422,400,000","1,567,899,000","1,581,846,000","1,793,211,000","1,205,019,000","1,105,896,000","873,176,000","689,994,000","1,880,320,000","1,553,092,000","1,380,743,000","662,670,000","412,506,000","491,912,000","213,906,000","199,481,000","232,133,000","179,637,000","209,096,000","617,300,000","429,400,000",,,,,,
		Receivables,"1,348,400,000","1,264,800,000","1,428,200,000","1,233,100,000","839,000,000","847,900,000","1,001,900,000","794,300,000","838,000,000","950,000,000","1,268,600,000","1,104,600,000","922,600,000","684,223,000","581,810,000","690,351,000","865,128,000","628,812,000","549,203,000","406,247,000","338,292,000","292,325,000","296,165,000","268,387,000","444,495,000","395,673,000","530,050,000","533,579,000","599,392,000","516,785,000","248,301,000",,"118,500,000","83,000,000",,,,,
			AccountsReceivable,"1,348,400,000","1,264,800,000","1,428,200,000","1,233,100,000","839,000,000","847,900,000","1,001,900,000","794,300,000","838,000,000","950,000,000","1,038,900,000","850,200,000","773,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,"2,500,000","229,700,000","254,400,000","149,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,,,,,,,,,,,,,"34,646,000","36,117,000","30,452,000","33,944,000",,,,,"91,579,000","97,783,000","108,895,000","18,017,000","24,257,000","22,137,000","20,039,000","9,952,000","7,167,000","8,230,000","11,783,000",,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,"107,898,000","89,242,000","67,773,000","17,308,000","82,084,000","95,980,000","121,891,000","133,420,000","91,579,000",,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,"107,898,000","89,242,000","67,773,000","17,308,000","82,084,000","95,980,000","121,891,000","133,420,000","91,579,000",,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,"908,267,000","674,671,000",,"456,970,000","523,366,000","490,227,000","673,228,000","266,777,000","3,165,000","4,991,000","3,739,000","4,660,000","6,876,000","5,290,000","3,199,000",,"4,300,000","373,100,000",,,,,
