name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990
OperatingCashFlow,"1,227,100,000","1,138,700,000","1,956,700,000","1,245,400,000","1,083,300,000","268,500,000","2,229,700,000","1,135,400,000","1,727,700,000","2,252,000,000","2,138,000,000","2,035,700,000","1,066,200,000","1,621,800,000","1,651,000,000","641,402,000","1,409,241,000","1,673,633,000","1,277,890,000","849,988,000","929,665,000","536,414,000","735,200,000","553,187,000","701,713,000","584,467,000","693,663,000","428,529,000","359,583,000","296,454,000","274,807,000","199,379,000","70,700,000","69,700,000","100,700,000"
	CashFlowFromContinuingOperatingActivities,"1,227,100,000","1,138,700,000","1,956,700,000","1,245,400,000","1,083,300,000","268,500,000","2,229,700,000","1,135,400,000","1,727,700,000","2,252,000,000","2,138,000,000","2,035,700,000","1,066,200,000","1,621,800,000","1,651,000,000","641,402,000","1,409,241,000","1,673,633,000","1,277,890,000","849,988,000","929,665,000","536,414,000","735,200,000","553,187,000","701,713,000","584,467,000","693,663,000","428,529,000","359,583,000","296,454,000","274,807,000","199,379,000","70,700,000","69,700,000","100,700,000"
		NetIncomeFromContinuingOperations,"1,079,700,000","1,103,400,000","1,333,200,000","2,094,600,000","787,100,000","1,205,500,000","742,700,000","1,789,700,000","1,757,700,000","2,104,700,000","2,411,700,000","2,170,700,000","1,915,500,000","1,820,800,000","1,451,500,000","904,291,000","1,588,213,000","1,772,938,000","1,267,568,000","1,057,631,000","706,664,000","502,830,000","432,723,000","484,721,000","562,089,000","426,711,000","500,450,000","434,063,000","314,730,000","268,945,000","251,308,000","175,522,000","124,100,000","98,200,000","89,400,000"
		OperatingGainsLosses,"-172,600,000","-42,200,000","134,300,000","-546,200,000","150,400,000","46,400,000","10,600,000","-226,100,000","-37,000,000","2,700,000","-144,700,000","-154,600,000","-86,700,000","-66,700,000","-37,400,000","-16,062,000","-64,771,000","-160,371,000",,,,,,,,,,,"-17,300,000","-2,600,000","-1,400,000",,,,"3,600,000"
			GainLossOnInvestmentSecurities,"29,300,000","80,900,000","170,500,000","-391,900,000","52,300,000","36,000,000","55,000,000","-118,200,000","19,700,000","-28,900,000","-16,900,000","-29,400,000","16,500,000","86,838,000",,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-201,900,000","-123,100,000","-36,200,000","-154,300,000","98,100,000","10,400,000","-44,400,000","-107,900,000","-56,700,000","63,200,000","-68,100,000","-74,000,000","-68,600,000","1,100,000","-19,900,000","-17,727,000","-28,353,000","-63,566,000",,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"453,400,000","445,400,000","377,800,000","310,600,000","128,500,000","93,400,000","76,400,000","80,300,000","87,100,000","97,400,000","94,600,000","93,500,000","82,100,000","88,400,000","267,400,000","181,272,000","215,222,000","198,619,000","215,271,000","212,173,000","183,437,000","177,420,000","183,121,000","223,846,000","199,639,000","200,014,000","191,374,000","123,908,000","64,728,000","40,940,000","36,693,000","24,286,000","4,300,000","-4,700,000","-4,400,000"
			DepreciationAndAmortization,"453,400,000","445,400,000","377,800,000","310,600,000","128,500,000","93,400,000","76,400,000","80,300,000","87,100,000","97,400,000","94,600,000","93,500,000","82,100,000","88,400,000","267,400,000","181,272,000","215,222,000","198,619,000","215,271,000","212,173,000","183,437,000","177,420,000","183,121,000","223,846,000","199,639,000","200,014,000","191,374,000","123,908,000","64,728,000","40,940,000","36,693,000","24,286,000","4,300,000","-4,700,000","-4,400,000"
				Depreciation,"112,500,000","104,300,000","95,800,000","78,600,000","74,500,000","78,700,000","74,600,000",,,,,,,,,,,,,,,,,,,,,,"40,491,000","40,940,000","36,693,000","-24,300,000",,"-4,700,000","-4,400,000"
				AmortizationCashFlow,"340,900,000","341,100,000","282,000,000","232,000,000","54,000,000","14,700,000","1,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
