name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalAssets,"123,211,000,000","117,628,000,000","152,648,000,000","176,982,000,000","168,622,000,000","159,573,000,000","220,241,000,000","220,177,000,000","225,261,000,000","239,792,000,000","219,873,000,000","200,451,000,000","179,896,000,000","178,459,000,000","178,124,000,000","19,924,000,000","22,561,000,000","20,469,492,000","1,848,000,000","1,145,235,000","967,223,000","864,188,000","684,478,000","537,003,000","447,582,000","440,784,000"
	CurrentAssets,"19,173,000,000","17,867,000,000","20,193,000,000","28,706,000,000","23,474,000,000","29,800,000,000","35,420,000,000","37,090,000,000","40,834,000,000","45,095,000,000","30,911,000,000","32,438,000,000","28,219,000,000","5,705,000,000","6,615,000,000","3,242,000,000","3,067,000,000","2,415,096,000",,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"10,607,000,000","8,747,000,000","9,323,000,000","8,664,000,000","4,829,000,000","6,488,000,000","7,038,000,000","6,175,000,000","6,231,000,000","6,001,000,000","4,551,000,000","4,903,000,000","3,560,000,000","3,460,000,000","4,708,000,000","2,032,000,000","1,656,000,000","1,160,304,000","782,891,000","457,673,000","315,941,000","255,234,000","186,451,000","192,590,000","157,129,000","115,950,000"
			CashAndCashEquivalents,"8,736,000,000","7,416,000,000","9,323,000,000","8,664,000,000","4,829,000,000","6,488,000,000","7,038,000,000","6,175,000,000","6,231,000,000","6,001,000,000","4,551,000,000","4,903,000,000","3,560,000,000","3,460,000,000","4,708,000,000","2,032,000,000","1,656,000,000","1,160,304,000","484,223,000","457,673,000","315,941,000","255,234,000","186,451,000","192,590,000","157,129,000","113,450,000"
			OtherShortTermInvestments,"1,871,000,000","1,331,000,000",,,,,,,,,,,,,,,,"2,097,574,000","298,668,000","227,497,000","234,923,000","208,743,000","139,126,000","13,316,000","2,255,000","2,500,000"
		Receivables,"3,916,000,000","3,264,000,000","3,789,000,000","3,535,000,000","3,179,000,000","2,657,000,000","4,192,000,000","3,123,000,000","3,267,000,000","5,440,000,000","4,572,000,000","4,514,000,000","3,741,000,000","2,245,000,000","1,907,000,000","1,210,000,000","1,411,000,000","1,077,550,000","339,578,000","154,944,000","127,316,000","114,070,000","96,659,000","83,284,000","65,837,000","446,000"
			AccountsReceivable,"3,916,000,000","3,264,000,000","3,789,000,000","3,535,000,000","3,179,000,000","2,657,000,000","2,699,000,000","2,115,000,000","2,237,000,000","2,120,000,000","2,247,000,000","2,250,000,000","1,960,000,000","2,095,000,000","1,718,000,000","901,000,000","1,236,000,000","964,366,000","310,423,000","154,944,000","127,316,000","114,070,000","96,659,000","83,284,000","65,837,000","446,000"
			LoansReceivable,,,,,,"2,680,000,000","1,493,000,000","1,008,000,000","1,030,000,000","3,320,000,000","2,325,000,000","2,264,000,000","1,639,000,000",,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,"77,000,000","142,000,000","150,000,000","189,000,000","309,000,000","175,000,000","113,184,000",,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,"150,000,000","189,000,000",,,"113,184,000","29,155,000",,,,,,,
		RestrictedCash,"4,650,000,000","5,856,000,000","7,081,000,000","16,507,000,000","15,466,000,000","20,655,000,000","24,190,000,000","27,792,000,000","31,336,000,000","33,654,000,000","21,788,000,000","23,021,000,000","20,918,000,000",,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,"174,849,000","177,242,000",,,,,,,,
	TotalNonCurrentAssets,"104,038,000,000","99,761,000,000","132,455,000,000","148,276,000,000","145,148,000,000","129,773,000,000","184,821,000,000","183,087,000,000","184,427,000,000","194,697,000,000","188,962,000,000","168,013,000,000","151,677,000,000","172,754,000,000","171,509,000,000","16,682,000,000","19,494,000,000","18,054,396,000",,,,,,,,
		NetPPE,"2,533,000,000","2,547,000,000","2,383,000,000","1,330,000,000","715,000,000","643,000,000","592,000,000","559,000,000","581,000,000","467,000,000","525,000,000","557,000,000","537,000,000","428,000,000","443,000,000","260,000,000","266,000,000","214,784,000","129,451,000","93,701,000","87,006,000","93,923,000","70,510,000","45,598,000","22,677,000","12,252,000"
