name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalAssets,"40,287,530,000","42,524,227,000","41,196,408,000","26,269,252,000","32,585,506,000","28,924,650,000","34,415,919,000","26,403,337,000","22,526,080,000","31,497,097,000","29,678,606,000","28,931,552,000","21,909,129,000","18,844,605,000","9,409,024,000","9,489,057,000","13,174,200,000","33,891,044,000","21,121,124,000","21,253,939,000","14,937,386,000","10,348,829,000"
	CashCashEquivalentsAndFederalFundsSold,"3,272,063,000","4,493,715,000","2,199,732,000","2,064,456,000","2,523,651,000","2,545,161,000","3,922,028,000","2,842,414,000","2,424,456,000","3,220,564,000","1,877,880,000","2,113,913,000","1,479,506,000","1,379,020,000","1,038,180,000","1,411,061,000","1,032,325,000","940,168,000",,,,
		CashAndCashEquivalents,"2,955,866,000","4,252,003,000","2,119,738,000","1,999,484,000","2,172,441,000","2,207,841,000","1,992,497,000","1,837,253,000","1,837,324,000","1,412,472,000","831,998,000","709,502,000","754,744,000","588,621,000","952,096,000","503,737,000","868,629,000","129,443,000","0",,,
		RestrictedCashAndInvestments,"316,197,000","241,712,000","79,994,000","64,972,000","351,210,000","337,320,000","1,929,531,000","1,005,161,000","587,132,000","1,808,092,000","1,045,882,000","1,404,411,000","724,762,000","790,399,000","86,084,000","907,324,000","163,696,000","810,725,000",,,,
	LongTermEquityInvestment,"16,699,630,000","17,891,103,000","28,665,043,000","15,617,142,000","22,281,682,000","20,377,031,000","24,434,049,000","17,694,975,000","14,324,097,000","22,765,589,000","21,729,523,000","20,847,270,000","15,128,299,000","11,974,472,000","3,565,483,000","2,830,942,000","7,145,156,000","31,263,573,000",,,,
	DerivativeAssets,"190,079,000","277,603,000","145,401,000","126,022,000","54,396,000","44,918,000","4,443,000","3,393,000","4,619,000","3,813,000","75,815,000","55,344,000",,,,,,,,,,
	Receivables,"4,659,886,000","4,609,611,000","5,293,483,000","4,087,673,000","3,569,948,000","2,630,361,000","2,903,155,000","2,215,073,000","1,853,950,000","1,687,729,000","2,080,400,000","1,758,231,000","1,266,654,000","1,291,288,000","1,066,214,000","1,400,371,000","1,881,190,000","1,311,586,000",,,,
		AccountsReceivable,,,,,,,,,,,,,"406,140,000","495,893,000","306,307,000","312,067,000","1,025,336,000","594,498,000",,,,
		OtherReceivables,,,,,,,,,,,,,,,,"861,434,000","855,854,000","717,088,000",,,,
	PrepaidAssets,"207,886,000","165,079,000","92,359,000","105,248,000","159,333,000","110,732,000","78,723,000","96,888,000","190,241,000","102,503,000","61,226,000","81,498,000","81,701,000","80,878,000","31,232,000","36,533,000","63,024,000","280,917,000",,,,
