name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
OperatingCashFlow,"4,077,009,000","4,056,906,000","6,336,253,000","3,985,988,000","1,935,945,000","1,963,107,000","45,742,000","-1,626,395,000","-88,591,000","2,397,043,000","1,654,989,000","3,547,941,000","583,155,000","1,099,613,000","-371,885,000","411,509,000","1,890,435,000","-850,296,000","-4,396,614,000","2,709,258,000"
	CashFlowFromContinuingOperatingActivities,,,,,,,,,,,,,,"1,099,613,000","-371,885,000","411,509,000","1,890,435,000","-850,296,000","-4,396,614,000","2,709,258,000"
		NetIncomeFromContinuingOperations,"3,574,211,000","2,444,253,000","2,988,909,000","12,374,995,000","2,261,506,000","3,865,967,000","3,263,551,000","3,374,942,000","2,249,242,000","1,624,350,000","3,695,553,000","2,892,919,000","829,882,000","-268,453,000","-607,323,000","-2,390,696,000","-5,594,154,000","5,660,743,000","2,266,206,000","1,330,663,000"
		OperatingGainsLosses,,,,,,,,,,,,,,"-540,353,000","-798,382,000","151,221,000","164,726,000","-33,655,862,000","10,862,334,000","2,608,412,000"
			GainLossOnInvestmentSecurities,"-905,727,000","-127,022,000","493,762,000","-4,166,923,000","-352,082,000","-459,306,000","-2,079,245,000","-5,484,918,000","-2,867,884,000","-714,867,000","-1,022,899,000","-11,337,654,000","-8,796,893,000","-6,422,680,000","-6,247,757,000","-1,086,072,000","-7,506,267,000","-8,051,118,000","-9,416,875,000","-2,196,018,000"
		DepreciationAmortizationDepletion,,,,,,,,,,,,,,"207,591,000","162,051,000","158,048,000","153,237,000","117,607,000",,
			DepreciationAndAmortization,"35,976,000","40,075,000","67,097,000","74,871,000","71,053,000","70,999,000","59,021,000","46,776,000","82,943,000","101,437,000","101,915,000","95,671,000","139,174,000","207,591,000","162,051,000","158,048,000","153,237,000","117,607,000","0","0"
				Depreciation,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				AmortizationCashFlow,"35,976,000","40,075,000","67,097,000","74,871,000","71,053,000","70,999,000","59,021,000","46,776,000","82,943,000","101,437,000","101,915,000","95,671,000","139,174,000","207,591,000","162,051,000","158,048,000","153,237,000","117,607,000","0","0"
					AmortizationOfIntangibles,,,,,,,,,,,,,,"207,591,000","162,051,000","158,048,000","153,237,000","117,607,000","0","0"
		OtherNonCashItems,"2,002,560,000","2,317,351,000","3,871,633,000","-1,956,125,000","1,597,175,000","76,974,000","904,531,000","2,299,102,000","903,890,000","2,730,805,000","824,337,000","1,330,817,000","1,116,520,000","1,162,304,000","2,438,545,000","2,803,120,000","4,205,912,000","1,589,339,000","3,908,735,000","3,578,752,000"
		StockBasedCompensation,,,,,,,,,,,,,,"1,396,062,000","2,440,148,000","3,048,108,000","3,302,617,000","1,765,188,000",,
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,,,"-116,183,000",,"15,978,000","624,061,000","-13,630,000",,
		ChangeInWorkingCapital,"-630,011,000","-617,751,000","-1,085,148,000","-2,340,830,000","-1,641,707,000","-1,591,527,000","-2,102,116,000","-1,862,297,000","-456,782,000","-1,274,364,000","-1,918,271,000","10,571,957,000","7,294,472,000","6,420,851,000","3,882,599,000","927,109,000","10,631,707,000","-166,867,000","-1,154,680,000","-4,139,000"
			ChangeInReceivables,"545,642,000","569,246,000","832,122,000","-836,361,000","-332,435,000","-689,053,000","-237,637,000","-16,475,000","29,167,000","-311,193,000","459,168,000","190,589,000","-134,005,000","85,311,000","-176,923,000","502,499,000","-140,840,000","-631,231,000","-905,940,000","153,543,000"
				ChangesInAccountReceivables,,,,,,,,,,,,,,"116,714,000","-108,162,000","35,050,000","45,281,000","-1,339,956,000","-1,374,260,000","62,873,000"
			ChangeInPayablesAndAccruedExpense,,,,,,,,,,,,,,"-480,139,000","-22,884,000","-1,343,857,000","1,136,515,000","1,143,715,000","106,392,000","-67,012,000"
				ChangeInPayable,"143,083,000","45,450,000","275,238,000","192,885,000","152,321,000","-329,608,000","-283,474,000","-764,884,000","-175,688,000","-577,499,000","-270,474,000","-532,753,000","-496,681,000","-206,858,000","15,821,000","-1,248,926,000","978,987,000","1,079,075,000","199,323,000","-97,945,000"
					ChangeInAccountPayable,,,,,,,,,,,,,,,,,,"1,151,374,000","219,580,000","-67,012,000"
				ChangeInAccruedExpense,"-1,043,314,000","-1,071,559,000","-2,197,446,000","-1,692,562,000","-1,077,195,000","-382,120,000","-729,109,000","-1,177,852,000","-572,814,000","-917,428,000","-836,852,000","-454,724,000","-119,862,000","-273,281,000","-101,377,000","-94,931,000","133,916,000","95,059,000","20,257,000","11,355,000"
			ChangeInOtherCurrentAssets,"-275,422,000","-160,888,000","4,938,000","-4,792,000","-280,248,000","-50,017,000","-945,133,000","116,128,000","185,506,000","423,964,000","-800,531,000","11,337,168,000","7,916,129,000","6,754,095,000","3,967,723,000","1,769,166,000","10,531,236,000","-709,770,000","-468,320,000","-71,092,000"
			ChangeInOtherCurrentLiabilities,"0","0","0","0","-104,150,000","-140,729,000","93,237,000","-19,214,000","77,047,000","107,792,000","-469,582,000","31,677,000","128,891,000","61,584,000","177,355,000","-699,000","-871,592,000","0","0","0"
			ChangeInOtherWorkingCapital,,,,,,,,,,,,,,"929,261,000","1,461,294,000","2,002,917,000","1,200,793,000","-1,994,105,000",,
		TaxesRefundPaid,,,,,,,,"0","0","-70,318,000","-25,646,000","-5,769,000","0","0",,,,,,
InvestingCashFlow,"-124,131,000","-229,651,000","-235,497,000","-64,316,000","-166,820,000","-60,280,000","-116,596,000","-193,260,000","-21,826,000","-53,404,000","-24,425,000","-165,904,000","-222,981,000","-59,898,000","-76,189,000","-18,826,000","-381,680,000","-55,599,000","-24,190,000","-7,353,000"
	CashFlowFromContinuingInvestingActivities,,,,,,,,,,,,,,"-59,898,000","-76,189,000","-18,826,000","-381,680,000","-55,599,000","-24,190,000","-7,353,000"
		NetPPEPurchaseAndSale,"-124,131,000","-224,231,000","-235,497,000","-64,316,000","-111,650,000","-60,280,000","-18,377,000","-24,347,000","-21,826,000","-59,247,000","-30,271,000","-25,637,000","-37,020,000","-36,484,000","-54,160,000","-23,627,000","-50,113,000","-32,307,000","-24,190,000","-7,353,000"
			PurchaseOfPPE,"-124,131,000","-224,231,000","-235,497,000","-64,316,000","-111,650,000","-60,280,000","-18,377,000","-24,347,000","-21,826,000","-59,247,000","-30,271,000","-25,637,000","-37,020,000","-36,484,000","-54,160,000","-23,627,000","-50,113,000","-32,307,000","-24,190,000","-7,353,000"
		NetBusinessPurchaseAndSale,"0","-5,420,000","0","0","-55,170,000","0","-98,219,000","-168,913,000","0","0","0","-146,117,000","-188,306,000","-23,744,000","-21,886,000","0","-336,571,000","0","0",
			PurchaseOfBusiness,"0","-5,420,000","0","0","-55,170,000","0","-98,219,000","-168,913,000","0","0","0","-146,117,000","-188,306,000","-23,744,000","-21,886,000","0","-336,571,000","0","0",
		NetOtherInvestingChanges,,,,,,,,"5,052,000","-7,150,000","5,843,000","5,846,000","5,850,000","2,345,000","330,000","-143,000","4,801,000","5,004,000","-23,292,000",,
FinancingCashFlow,"-4,845,359,000","-5,053,895,000","-3,794,455,000","-3,776,590,000","-2,244,036,000","-1,921,379,000","-1,330,186,000","2,771,339,000","570,170,000","-1,919,402,000","-1,049,907,000","-3,259,614,000","-405,411,000","-873,515,000","84,624,000","55,676,000","-1,873,647,000","1,644,442,000","4,463,315,000","-2,738,350,000"
	CashFlowFromContinuingFinancingActivities,,,,,,,,,,,,,,"-873,515,000","84,624,000","55,676,000","-1,873,647,000","1,644,442,000","4,463,315,000","-2,738,350,000"
		NetIssuancePaymentsOfDebt,"361,422,000","-7,485,000","3,240,776,000","2,222,544,000","886,747,000","1,146,331,000","2,209,045,000","5,834,024,000","2,900,367,000","1,905,985,000","818,256,000","-2,042,167,000","-280,586,000","-709,171,000","561,607,000","269,996,000","192,074,000","-242,326,000","134,929,000","-313,497,000"
			NetLongTermDebtIssuance,"361,422,000","-7,485,000","3,240,776,000","2,222,544,000","886,747,000","1,146,331,000","2,209,045,000","5,834,024,000","2,900,367,000","1,905,985,000","818,256,000","-2,042,167,000","-280,586,000","-709,171,000","561,607,000","269,996,000","192,074,000","-242,326,000","134,929,000","-313,497,000"
				LongTermDebtIssuance,,"494,975,000","3,521,544,000","2,222,544,000","888,636,000","1,549,732,000","3,218,399,000","7,600,153,000","3,321,081,000","2,423,614,000","2,635,540,000","65,284,000","651,562,000","355,434,000","807,899,000","593,989,000","1,172,236,000","5,254,787,000","7,634,786,000","2,623,231,000"
				LongTermDebtPayments,"-133,553,000","-502,460,000","-280,768,000","0","-1,889,000","-403,401,000","-1,009,354,000","-1,766,129,000","-420,714,000","-517,629,000","-1,817,284,000","-2,107,451,000","-932,148,000","-1,064,605,000","-246,292,000","-323,993,000","-980,162,000","-5,497,113,000","-7,499,857,000","-2,936,728,000"
		NetCommonStockIssuance,"-603,654,000","-418,024,000","-465,956,000","-1,272,774,000","-504,912,000","-585,340,000","-567,161,000","-30,192,000","-27,623,000","-61,031,000","-36,252,000","-24,140,000","-22,364,000","-36,711,000","-25,154,000","-56,685,000","-31,863,000","7,485,195,000","0","0"
			CommonStockIssuance,,,,,,,,,,,,,,,,"0","0","7,501,240,000","0","0"
			CommonStockPayments,"-603,654,000","-418,024,000","-465,956,000","-1,272,774,000","-504,912,000","-585,340,000","-567,161,000","-30,192,000","-27,623,000","-61,031,000","-36,252,000","-24,140,000","-22,364,000","-36,711,000","-25,154,000","-56,685,000","-31,863,000","-16,045,000","0","0"
		CashDividendsPaid,"-4,342,977,000","-4,268,447,000","-6,518,785,000","-4,602,574,000","-2,385,576,000","-2,396,744,000","-3,046,404,000","-2,842,582,000","-2,018,669,000","-3,497,346,000","-2,348,596,000","-1,469,479,000","-614,530,000","-702,832,000","-599,390,000","-260,629,000","-319,897,000","-78,794,000","0","0"
			CommonStockDividendPaid,"-4,342,977,000","-4,268,447,000","-6,518,785,000","-4,602,574,000","-2,385,576,000","-2,396,744,000","-3,046,404,000","-2,842,582,000","-2,018,669,000","-3,497,346,000","-2,348,596,000","-1,469,479,000","-614,530,000","-702,832,000","-599,390,000","-260,629,000","-319,897,000","-78,794,000","0","0"
		NetOtherFinancingCharges,"-260,150,000","-359,939,000","-50,490,000","-123,786,000","-240,295,000","-85,626,000","74,334,000","-189,911,000","-283,905,000","-267,010,000","516,685,000","276,172,000","512,069,000","575,199,000","147,561,000","102,994,000","-1,713,961,000","-5,519,633,000","4,328,386,000","-2,424,853,000"
EndCashPosition,"2,603,167,000","3,272,063,000","4,493,715,000","2,199,732,000","2,064,456,000","2,523,651,000","2,545,161,000","3,936,489,000","2,860,955,000","1,837,324,000","1,412,472,000","831,998,000","709,502,000","754,744,000","588,621,000","952,096,000","503,737,000","868,629,000","129,443,000","86,414,000"
	ChangesInCash,"-892,481,000","-1,226,640,000","2,306,301,000","145,082,000","-474,911,000","-18,552,000","-1,401,040,000","951,684,000","459,753,000","424,237,000","580,657,000","122,423,000","-45,237,000","166,200,000","-363,450,000","448,359,000","-364,892,000","738,547,000","42,511,000","-36,445,000"
	EffectOfExchangeRateChanges,"-2,338,000","4,988,000","-12,318,000","-9,806,000","15,716,000","-2,958,000","9,712,000","123,850,000","-34,059,000","615,000","-183,000","73,000","-5,000","-77,000","-25,000","0","0","639,000","518,000","-2,832,000"
	BeginningCashPosition,"3,495,648,000","4,493,715,000","2,199,732,000","2,064,456,000","2,523,651,000","2,545,161,000","3,936,489,000","2,860,955,000","2,435,261,000","1,412,472,000","831,998,000","709,502,000","754,744,000","588,621,000","952,096,000","503,737,000","868,629,000","129,443,000","86,414,000","125,691,000"
IncomeTaxPaidSupplementalData,,,,,,,,,,,,,,"43,945,000","57,672,000","52,035,000","46,880,000","75,899,000",,
InterestPaidSupplementalData,,,,,,,,,,,,,,"81,407,000","3,554,000","5,097,000","22,038,000","60,326,000",,
CapitalExpenditure,"-124,131,000","-224,231,000","-235,497,000","-64,316,000","-111,650,000","-60,280,000","-18,377,000","-24,347,000","-21,826,000","-59,247,000","-30,271,000","-25,637,000","-37,020,000","-36,484,000","-54,160,000","-23,627,000","-50,113,000","-32,307,000","-24,190,000","-7,353,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,,"0","0","7,501,240,000","0","0"
IssuanceOfDebt,,"494,975,000","3,521,544,000","2,222,544,000","888,636,000","1,549,732,000","3,218,399,000","7,600,153,000","3,321,081,000","2,423,614,000","2,635,540,000","65,284,000","651,562,000","355,434,000","807,899,000","593,989,000","1,172,236,000","5,254,787,000","7,634,786,000","2,623,231,000"
RepaymentOfDebt,"-133,553,000","-502,460,000","-280,768,000","0","-1,889,000","-403,401,000","-1,009,354,000","-1,766,129,000","-420,714,000","-517,629,000","-1,817,284,000","-2,107,451,000","-932,148,000","-1,064,605,000","-246,292,000","-323,993,000","-980,162,000","-5,497,113,000","-7,499,857,000","-2,936,728,000"
