name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalRevenue,"8,582,991,000","7,006,649,000","7,132,632,000","16,652,351,000","5,233,168,000","6,173,924,000","5,796,257,000","5,778,088,000","4,310,817,000","4,197,289,000","6,526,378,000","5,662,941,000","3,784,684,000","2,928,127,000","3,344,051,000","1,938,089,000","-1,042,254,000","8,441,200,000","8,670,642,000","5,432,844,000","503,463,000","1,094,423,000","318,123,000"
	NetInterestIncome,"44,195,000","84,629,000","-45,613,000","-37,625,000","-40,931,000","-17,250,000","7,957,000","-57,790,000","-56,930,000","1,079,446,000","2,908,611,000","1,834,588,000","871,064,000","808,468,000","460,898,000","9,296,000","7,871,000","-32,080,000","-36,932,000","-23,830,000",,,
		InterestIncome,"480,345,000","516,497,000","271,612,000","160,643,000","125,231,000","182,398,000","171,947,000","139,696,000","95,724,000","1,705,073,000","4,224,815,000","3,166,479,000","1,361,966,000","1,147,852,000","738,183,000","22,680,000","30,879,000","0","0","0",,,
		InterestExpense,"436,150,000","431,868,000","317,225,000","198,268,000","166,162,000","199,648,000","163,990,000","197,486,000","152,654,000","625,627,000","1,316,204,000","1,331,891,000","490,902,000","339,384,000","277,285,000","13,384,000","23,008,000","32,080,000","36,932,000","23,830,000",,,
	NonInterestIncome,"8,538,796,000","6,922,020,000","7,178,245,000","16,689,976,000","5,274,099,000","6,191,174,000","5,788,300,000","5,835,878,000","4,367,747,000","3,117,843,000","3,617,767,000","3,828,353,000","2,913,620,000","2,119,659,000","2,883,153,000","1,928,793,000","-1,050,125,000","8,473,280,000","8,707,574,000","5,456,674,000",,,
		FeesAndCommissions,"6,474,719,000","6,838,908,000","5,865,768,000","-763,455,000","3,498,071,000","2,354,539,000","2,020,602,000","1,502,798,000","1,746,640,000","2,542,505,000","2,497,252,000","2,193,985,000","2,030,693,000","1,811,750,000","1,584,748,000","1,483,306,000","1,678,808,000","2,692,687,000","2,344,903,000","1,177,210,000",,,
			FeesandCommissionIncome,"7,584,894,000","7,366,431,000","6,828,442,000","5,424,698,000","4,231,210,000","3,602,066,000","3,085,336,000","2,993,836,000","2,614,218,000","2,542,505,000","2,497,252,000","2,193,985,000","2,030,693,000","1,811,750,000","1,584,748,000","1,482,226,000","1,476,357,000","2,692,687,000","2,344,903,000","1,359,814,000",,,
			FeesandCommissionExpense,"1,110,175,000","527,523,000","962,674,000","6,188,153,000","733,139,000","1,247,527,000","1,064,734,000","1,491,038,000","867,578,000",,,,,"316,713,000","356,963,000","-1,080,000","-202,451,000","2,256,647,000",,"182,604,000",,,
SpecialIncomeCharges,,,,,,,,,,,,,,"197,816,000",,"176,694,000","-872,336,000","1,363,911,000","1,730,951,000",,,,
PretaxIncome,"4,360,645,000","2,957,714,000","3,461,789,000","13,559,396,000","2,617,520,000","3,818,015,000","3,512,941,000","4,118,089,000","2,381,604,000","1,814,748,000","3,986,726,000","3,148,561,000","1,014,905,000","77,258,000","-522,654,000","-2,291,466,000","-5,608,299,000","5,708,436,000","8,154,485,000","5,277,459,000","1,539,435,000","953,026,000","48,565,000"
TaxProvision,"786,434,000","513,461,000","472,880,000","1,184,401,000","356,014,000","-47,952,000","249,390,000","743,147,000","132,362,000","190,398,000","291,173,000","255,642,000","185,023,000","345,711,000","84,669,000","99,230,000","-14,145,000","25,978,000","31,934,000","12,260,000","16,120,000","11,949,000","9,119,000"
NetIncomeCommonStockholders,"1,995,594,000","1,390,880,000","1,747,631,000","5,857,397,000","1,045,363,000","2,049,682,000","1,541,788,000","1,471,374,000","1,039,014,000","709,789,000","1,584,589,000","1,171,202,000","218,598,000","-168,303,000","-370,028,000","-715,291,000","-1,163,032,000","1,623,237,000","2,266,206,000","1,330,663,000","1,523,314,000","941,077,000","39,446,000"
