name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"-16,663,000,000","-73,416,000,000","25,069,000,000","47,090,000,000","-23,488,000,000","-12,837,000,000","36,952,000,000","-8,774,000,000","53,733,000,000","39,737,000,000","46,343,000,000","63,244,000,000","-10,362,000,000","64,795,000,000","35,686,000,000","-54,610,000,000","97,686,000,000","-71,551,000,000","-165,000,000","32,042,000,000","-2,109,000,000","-14,854,000,000","29,885,000,000","26,578,000,000","2,673,000,000","11,223,000,000","6,739,000,000","7,753,000,000","10,395,000,000","2,367,000,000","518,000,000","334,000,000","460,100,000","577,300,000","697,300,000","814,800,000"
	CashFlowFromContinuingOperatingActivities,"-16,663,000,000","-73,416,000,000","25,069,000,000","47,090,000,000","-23,488,000,000","-12,837,000,000","36,952,000,000","-8,774,000,000","53,733,000,000","39,737,000,000","46,343,000,000","63,244,000,000","-10,362,000,000","64,795,000,000","35,686,000,000","-54,610,000,000","97,686,000,000","-71,551,000,000","-165,000,000","32,042,000,000","-2,109,000,000","-14,854,000,000","29,885,000,000","26,578,000,000","2,673,000,000","11,223,000,000","6,739,000,000","7,753,000,000","10,395,000,000","2,367,000,000","518,000,000","334,000,000","460,100,000","577,300,000","697,300,000","814,800,000"
		NetIncomeFromContinuingOperations,"8,295,000,000","9,229,000,000","15,076,000,000","21,945,000,000","11,067,000,000","19,405,000,000","18,053,000,000","-6,687,000,000","14,970,000,000","17,296,000,000","7,312,000,000","13,389,000,000","7,599,000,000","10,999,000,000","10,670,000,000","-1,161,000,000","-31,686,000,000","2,909,000,000","20,451,000,000","19,806,000,000","16,054,000,000","17,853,000,000","13,448,000,000","14,126,000,000","13,519,000,000","11,370,000,000","6,950,000,000","6,705,000,000","7,073,000,000","2,141,000,000","1,326,000,000","951,000,000","756,200,000","478,800,000","372,900,000","289,000,000"
		OperatingGainsLosses,"-395,000,000","-1,327,000,000","-330,000,000","241,000,000","-1,591,000,000","-1,442,000,000","-536,000,000","-1,289,000,000","-731,000,000","-3,574,000,000","-596,000,000","-213,000,000","1,720,000,000","257,000,000","-1,000,000,000","-1,996,000,000","-679,000,000","-1,168,000,000","-1,791,000,000","-1,962,000,000","-833,000,000","-510,000,000","485,000,000","39,256,000,000","24,006,000,000","-6,799,000,000","-26,783,000,000","7,687,000,000","-23,786,000,000","-3,083,000,000",,,,,,
			GainLossOnSaleOfBusiness,"-403,000,000","-1,462,000,000","-762,000,000","700,000,000","0","0","-247,000,000","-602,000,000","-404,000,000","-3,210,000,000","-452,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-205,000,000","-188,000,000","-67,000,000","-665,000,000","-1,756,000,000","-1,474,000,000","-421,000,000","-778,000,000","-948,000,000","-682,000,000","-570,000,000","-748,000,000","-3,251,000,000","-1,997,000,000","-2,411,000,000","-1,996,000,000","-679,000,000","-1,168,000,000","-1,791,000,000","-1,962,000,000","-833,000,000",,,"39,834,000,000","24,812,000,000","-6,258,000,000","-25,942,000,000","7,687,000,000","-23,786,000,000","-3,083,000,000",,,,,,
		DepreciationAmortizationDepletion,"4,524,000,000","4,560,000,000","4,262,000,000","3,964,000,000","3,937,000,000","3,905,000,000","3,754,000,000","3,659,000,000","3,720,000,000","3,506,000,000","3,589,000,000","3,303,000,000","2,507,000,000","2,872,000,000","2,664,000,000","2,853,000,000","2,466,000,000","2,421,000,000","2,503,000,000","2,318,000,000","2,056,000,000","2,120,000,000","1,926,000,000","4,479,000,000","4,324,000,000","3,839,000,000","3,319,000,000","2,642,000,000","2,374,000,000","416,000,000","349,000,000","125,000,000","97,100,000","120,400,000","124,100,000","102,500,000"
			DepreciationAndAmortization,"4,524,000,000","4,560,000,000","4,262,000,000","3,964,000,000","3,937,000,000","3,905,000,000","3,754,000,000","3,659,000,000","3,720,000,000","3,506,000,000","3,589,000,000","3,303,000,000","2,507,000,000","2,872,000,000","2,664,000,000","2,853,000,000","2,466,000,000","2,421,000,000","2,503,000,000","2,318,000,000","2,056,000,000","2,120,000,000","1,926,000,000","4,479,000,000","4,324,000,000","3,839,000,000","3,319,000,000","2,642,000,000","2,374,000,000","416,000,000","349,000,000","125,000,000","97,100,000","120,400,000","124,100,000","102,500,000"
		DeferredTax,"-2,517,000,000","-2,416,000,000","-1,141,000,000","1,413,000,000","-2,333,000,000","-610,000,000","-51,000,000","24,877,000,000","1,459,000,000","2,794,000,000","3,347,000,000","2,699,000,000","-4,091,000,000","-74,000,000","-964,000,000","-7,709,000,000","-20,535,000,000","-3,927,000,000","102,000,000","-181,000,000","-1,209,000,000","566,000,000","-204,000,000","1,014,000,000","1,537,000,000","598,000,000","-210,000,000","-1,430,000,000","475,000,000","-289,000,000",,,,,,
			DeferredIncomeTax,"-2,517,000,000","-2,416,000,000","-1,141,000,000","1,413,000,000","-2,333,000,000","-610,000,000","-51,000,000","24,877,000,000","1,459,000,000","2,794,000,000","3,347,000,000","2,699,000,000","-4,091,000,000","-74,000,000","-964,000,000","-7,709,000,000","-20,535,000,000","-3,927,000,000","102,000,000","-181,000,000","-1,209,000,000","566,000,000","-204,000,000","1,014,000,000","1,537,000,000","598,000,000","-210,000,000","-1,430,000,000","475,000,000","-289,000,000",,,,,,
