name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
OperatingCashFlow,"-2,992,000,000","5,606,000,000","-2,113,000,000","-2,952,000,000","30,736,000,000","-40,449,000,000","-54,172,000,000","39,576,000,000","70,610,000,000","67,252,000,000","2,052,000,000","7,184,000,000","-23,954,000,000","7,802,000,000","-3,676,000,000","-13,786,000,000","37,117,000,000","16,790,000,000","11,164,000,000","-63,960,000,000","-28,097,000,000","-8,803,410,610","-783,341,340","-13,234,040,250","-33,428,577,040"
	CashFlowFromContinuingOperatingActivities,"-2,990,000,000","5,608,000,000","-2,114,000,000","-2,953,000,000","30,734,000,000","-40,449,000,000","-54,172,000,000","39,576,000,000","70,611,000,000","67,252,000,000","2,052,000,000","7,184,000,000","-23,953,000,000","7,802,000,000","-3,676,000,000","-13,786,000,000","37,117,000,000","16,790,000,000","11,164,000,000","-63,960,000,000","-28,097,000,000","-8,803,410,610","-783,341,340","-13,234,040,250","-33,428,577,040"
		NetIncomeFromContinuingOperations,"4,134,000,000","4,892,000,000","5,659,000,000","2,510,000,000","624,000,000","-5,265,000,000","341,000,000","-735,000,000","-1,356,000,000","-6,772,000,000","1,691,000,000","681,000,000","316,000,000","4,326,000,000","2,330,000,000","4,958,000,000","-3,896,000,000","6,510,000,000","6,079,000,000","3,529,000,000","2,472,000,000","1,362,555,480","396,435,520","167,462,590","13,550,945,980"
		OperatingGainsLosses,"-33,000,000","23,000,000","-1,000,000","-473,000,000","-768,000,000","-381,000,000","-748,000,000","-716,000,000","-1,081,000,000","-1,138,000,000","-960,000,000","-926,000,000","-1,024,000,000","-1,063,000,000","-820,000,000","-845,000,000","-1,785,000,000","-2,265,000,000","-1,120,000,000","-1,827,000,000","-758,000,000","-200,889,590","-4,931,619,750","-2,810,898,910","-4,172,716,060"
			GainLossOnInvestmentSecurities,"-74,000,000","-84,000,000","128,000,000","-276,000,000","-665,000,000","-277,000,000","-619,000,000","-575,000,000","-898,000,000","-430,000,000","-391,000,000","-493,000,000","-627,000,000","-841,000,000","-363,000,000","-656,000,000","-1,732,000,000","-1,907,000,000","-913,000,000","-1,494,000,000","-476,000,000","-200,889,590","-4,931,619,750","-2,810,898,910","-4,172,716,060"
			EarningsLossesFromEquityInvestments,"41,000,000","107,000,000","-129,000,000","-197,000,000","-103,000,000","-104,000,000","-129,000,000","-141,000,000","-183,000,000","-708,000,000","-569,000,000","-433,000,000","-397,000,000","-222,000,000","-457,000,000","-189,000,000","-53,000,000","-358,000,000","-207,000,000","-333,000,000","-282,000,000",,,,
		DepreciationAmortizationDepletion,,,,,,,,,,,,,,"3,697,000,000","4,255,000,000","1,782,000,000","3,054,381,680","1,733,879,360","1,557,052,950","1,472,476,640","1,774,858,080","3,066,543,860","2,847,474,360","4,894,628,050","3,329,441,980"
			DepreciationAndAmortization,,,,,,,,,,,,,,"3,697,000,000","4,255,000,000","1,782,000,000","3,054,381,680","1,733,879,360","1,557,052,950","1,472,476,640","1,774,858,080","3,066,543,860","2,847,474,360","4,894,628,050","3,329,441,980"
		DeferredTax,"-683,000,000","-553,000,000","-852,000,000","19,000,000","-296,000,000","1,868,000,000","276,000,000","1,234,000,000","-312,000,000","-987,000,000","673,000,000","-179,000,000","723,000,000","-387,000,000","315,000,000","-296,000,000","-1,525,000,000","-918,000,000","165,000,000","964,000,000","838,000,000","268,382,140","2,481,533,880","-159,595,220","-8,355,014,780"
			DeferredIncomeTax,"-683,000,000","-553,000,000","-852,000,000","19,000,000","-296,000,000","1,868,000,000","276,000,000","1,234,000,000","-312,000,000","-987,000,000","673,000,000","-179,000,000","723,000,000","-387,000,000","315,000,000","-296,000,000","-1,525,000,000","-918,000,000","165,000,000","964,000,000","838,000,000","268,382,140","2,481,533,880","-159,595,220","-8,355,014,780"
		OtherNonCashItems,"39,000,000","218,000,000","-117,000,000","262,000,000","487,000,000","644,000,000","360,000,000","447,000,000","483,000,000","710,000,000","133,000,000","399,000,000","393,000,000",,,,"-1,741,974,500","-13,000,000","30,000,000","145,000,000","230,000,000","890,901,660","3,394,479,140","3,221,126,060","3,348,607,300"
		AssetImpairmentCharge,"3,272,000,000","3,111,000,000","3,529,000,000","3,568,000,000","2,192,000,000","3,993,000,000","2,391,000,000","2,159,000,000","3,745,000,000","8,908,000,000","4,567,000,000","2,443,000,000","3,236,000,000","3,697,000,000","4,255,000,000","1,782,000,000","3,047,000,000","1,731,000,000","1,355,000,000","1,474,000,000","1,776,000,000",,,,
		ProvisionForLoanLeaseAndOtherLosses,"1,648,000,000","1,505,000,000","1,226,000,000","515,000,000","1,792,000,000","723,000,000","525,000,000","525,000,000","1,383,000,000","956,000,000","1,134,000,000","2,065,000,000","1,721,000,000","1,839,000,000","1,274,000,000","2,630,000,000","1,076,000,000","612,000,000","352,000,000","374,000,000","372,000,000",,,,
		ChangeInWorkingCapital,"-11,369,000,000","-3,590,000,000","-11,557,000,000","-9,353,000,000","26,705,000,000","-42,031,000,000","-57,317,000,000","36,662,000,000","67,748,000,000","65,575,000,000","-5,186,000,000","2,701,000,000","-29,319,000,000","-610,000,000","-11,030,000,000","-22,015,000,000","40,200,000,000","11,133,000,000","4,303,000,000","-68,619,000,000","-33,027,000,000","-14,190,904,160","-4,971,644,490","-18,546,762,820","-41,129,841,460"
			ChangeInLoans,"-20,529,000,000","381,000,000","-24,288,000,000","-50,489,000,000","16,912,000,000","-59,801,000,000","-12,516,000,000","-3,616,000,000","55,688,000,000","-27,856,000,000","-27,982,000,000","-27,391,000,000","2,381,000,000","-6,974,000,000","-2,112,000,000","-32,192,000,000","-112,074,000,000","81,499,000,000","11,090,000,000",,,,,,
			ChangeInOtherCurrentAssets,"-26,203,000,000","-1,384,000,000","-459,000,000","8,046,000,000","-11,743,000,000","7,464,000,000","6,284,000,000","21,970,000,000","-7,847,000,000","26,756,000,000","-28,812,000,000","12,048,000,000","32,249,000,000","-17,962,000,000","-5,894,000,000","21,960,000,000","38,573,000,000","-42,674,000,000","-30,083,000,000","-26,908,000,000","-15,566,000,000",,,,
			ChangeInOtherCurrentLiabilities,"22,951,000,000","777,000,000","12,377,000,000","-17,823,000,000","7,030,000,000","-16,563,000,000","-19,119,000,000","-23,107,000,000","-12,888,000,000","-14,177,000,000","22,183,000,000","-17,625,000,000","-11,483,000,000","21,476,000,000","2,851,000,000","-15,645,000,000","-15,482,000,000","21,133,000,000","30,079,000,000","10,699,000,000","7,538,000,000",,,,
			ChangeInOtherWorkingCapital,"12,412,000,000","-3,364,000,000","813,000,000","50,913,000,000","14,506,000,000","26,869,000,000","-31,966,000,000","41,415,000,000","32,795,000,000","80,852,000,000","29,425,000,000","35,669,000,000","-52,466,000,000","2,850,000,000","-5,875,000,000","3,862,000,000","129,183,000,000","-48,825,000,000","-6,783,000,000","-52,410,000,000","-24,999,000,000",,,,
