name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2003
TotalAssets,"151,522,000,000","131,706,000,000","110,242,000,000","112,889,000,000","113,996,000,000","109,553,000,000","100,087,000,000","92,308,000,000","86,799,000,000","83,126,000,000","79,340,000,000","73,491,000,000","75,283,000,000","69,117,000,000","60,784,968,000","46,020,987,000","39,892,382,000","37,376,105,000","29,067,242,000","26,943,923,000","24,032,743,000"
	CashCashEquivalentsAndFederalFundsSold,"11,728,000,000","8,897,000,000","11,332,000,000","13,589,000,000","6,964,000,000","15,145,000,000","13,387,000,000","12,009,000,000","9,671,000,000","7,390,000,000","6,736,000,000","2,874,000,000","6,270,000,000","4,136,000,000","6,462,491,000","13,664,030,000","10,171,143,000","8,085,467,000","874,357,000","557,170,000",
		CashAndCashEquivalents,"11,685,000,000","8,856,000,000","8,750,000,000","13,564,000,000","6,924,000,000","13,299,000,000","13,306,000,000","11,914,000,000","9,572,000,000","7,284,000,000","6,554,000,000","2,584,000,000","3,926,000,000","2,850,000,000","5,098,733,000","13,020,719,000","10,171,143,000","1,814,867,000","349,357,000","307,170,000",
			CashFinancial,,,,,,,,,,,,,,,,,"793,585,000","362,697,000","334,035,000","292,453,000",
			CashEquivalents,,,,,,,,,,,,,,,,,"0","11,191,000","15,322,000","13,029,000",
			CashAndDueFromBanks,"11,685,000,000","8,856,000,000","8,750,000,000","13,564,000,000","6,924,000,000","13,299,000,000","13,306,000,000","11,914,000,000","9,572,000,000","7,284,000,000","6,554,000,000","2,584,000,000","3,926,000,000","2,850,000,000","5,098,733,000","13,020,719,000","10,171,143,000","1,440,979,000","334,035,000","555,482,000",
			InterestBearingDepositsAssets,,,,,,,,,,,,,,,,,,,,"1,688,000",
		RestrictedCashAndInvestments,"43,000,000","41,000,000","2,582,000,000","25,000,000","40,000,000","1,846,000,000","81,000,000","95,000,000","99,000,000","106,000,000","182,000,000","290,000,000","2,344,000,000","1,286,000,000","1,363,758,000","643,311,000","0",,,,
			RestrictedCashAndCashEquivalents,"43,000,000","41,000,000","2,582,000,000","25,000,000","40,000,000","1,846,000,000","81,000,000","95,000,000","99,000,000","106,000,000","182,000,000","290,000,000","2,344,000,000","1,286,000,000","1,363,758,000","643,311,000","0",,,,
		MoneyMarketInvestments,,,,,,,,,,,,,,,,,"1,050,000,000","6,270,600,000","525,000,000","250,000,000",
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,,,,"1,050,000,000","6,270,600,000","525,000,000","250,000,000",
				FederalFundsSold,,,,,,,,,,,,,,,,,"1,050,000,000","6,270,600,000","525,000,000","250,000,000",
	SecuritiesAndInvestments,"13,655,000,000","12,208,000,000","6,904,000,000","12,114,000,000","10,595,000,000","3,370,000,000","1,568,000,000","1,757,000,000","3,084,000,000","3,949,000,000","4,991,000,000","6,232,000,000","6,221,000,000","6,206,000,000","5,450,395,000","6,385,297,000","1,227,944,000","525,439,000","84,411,000","16,719,000",
		AvailableForSaleSecurities,"11,309,000,000","11,987,000,000","6,700,000,000","11,854,000,000","10,323,000,000","3,133,000,000","1,395,000,000","1,605,000,000","2,963,000,000","3,847,000,000","3,703,000,000","6,145,000,000","5,085,000,000","6,108,000,000","5,002,579,000","2,645,481,000","1,127,119,000","3,041,215,000","3,169,895,000","2,784,852,000",
		HeldToMaturitySecurities,"253,000,000","221,000,000","204,000,000","260,000,000","272,000,000","237,000,000","173,000,000","152,000,000","121,000,000","102,000,000","59,000,000","87,000,000","86,000,000","98,000,000","72,816,000","2,389,816,000","100,825,000","104,602,000","82,097,000","14,357,000",
