name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003
OperatingCashFlow,"9,686,000,000","8,563,000,000","7,140,000,000","6,019,000,000","6,196,000,000","6,196,000,000","5,191,000,000","5,208,000,000","4,425,000,000","3,854,000,000","3,826,000,000","3,517,000,000","3,041,000,000","3,598,000,000","4,218,000,000","3,597,892,000","4,504,159,000","2,038,025,000","1,720,787,000","1,636,074,000","1,587,959,000",
	CashFlowFromContinuingOperatingActivities,"9,686,000,000","8,563,000,000","7,140,000,000","6,019,000,000","6,196,000,000","6,196,000,000","5,191,000,000","5,208,000,000","4,425,000,000","3,854,000,000","3,826,000,000","3,517,000,000","3,041,000,000","3,598,000,000","4,218,000,000","3,597,892,000","4,504,159,000","2,038,025,000","1,720,787,000","1,636,074,000","1,587,959,000",
		NetIncomeFromContinuingOperations,"2,909,000,000","2,940,000,000","4,374,000,000","5,422,000,000","1,141,000,000","2,957,000,000","2,742,000,000","2,099,000,000","2,393,000,000","2,297,000,000","2,323,000,000","2,470,000,000","2,345,000,000","2,227,000,000","765,000,000","1,276,185,000","927,750,000","588,630,000","1,076,616,000","577,915,000","776,253,000",
		OperatingGainsLosses,"44,000,000","50,000,000","261,000,000","-382,000,000","-26,000,000","37,000,000","45,000,000","55,000,000","57,000,000","-26,000,000","-56,000,000","-123,000,000","-119,000,000","684,000","6,000,000","15,675,000","177,097,000","117,419,000","213,574,000","124,739,000","245,592,000",
			GainLossOnSaleOfBusiness,,,,,,,,,,,"21,000,000","0","0","-7,000,000","0","0","165,694,000",,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,"0","8,000,000","0","3,000,000","2,000,000","6,436,000","0",,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,"8,923,000","-19,131,000","9,239,000","50,294,000","11,404,000",,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,"29,000,000","18,000,000","11,000,000","5,000,000","0","0",,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,"0","0","-38,891,000","0",,,,
			RealizedGainLossOnSaleOfLoansAndLease,,,,,,,,"55,000,000","57,000,000","-26,000,000","-56,000,000","-123,000,000","-104,000,000","-5,000,000","23,000,000","0","0","106,010,000","213,545,000","124,739,000","245,592,000",
		DepreciationAmortizationDepletion,"388,000,000","458,000,000","561,000,000","531,000,000","485,000,000","436,000,000","435,000,000","393,000,000","351,000,000","391,000,000","369,000,000","334,000,000","267,000,000","246,000,000","172,000,000","203,492,000","231,398,000","257,131,000","222,798,000","214,311,000","193,130,000",
			DepreciationAndAmortization,"388,000,000","458,000,000","561,000,000","531,000,000","485,000,000","436,000,000","435,000,000","393,000,000","351,000,000","391,000,000","369,000,000","334,000,000","267,000,000","246,000,000","172,000,000","203,492,000","231,398,000","257,131,000","222,798,000","214,311,000","193,130,000",
				Depreciation,,,,,,,,,,,"369,000,000","334,000,000","267,000,000","246,000,000","172,000,000",,,,,,,
		DeferredTax,"-414,000,000","-626,000,000","-433,000,000","318,000,000","-672,000,000","-133,000,000","-190,000,000",,,,"-11,000,000","322,000,000","146,000,000","232,000,000","113,000,000","-61,995,000","-262,354,000","-218,215,000","76,285,000","-43,608,000","-25,367,000",
			DeferredIncomeTax,"-414,000,000","-626,000,000","-433,000,000","318,000,000","-672,000,000","-133,000,000","-190,000,000",,,,"-11,000,000","322,000,000","146,000,000","232,000,000","113,000,000","-61,995,000","-262,354,000","-218,215,000","76,285,000","-43,608,000","-25,367,000",
		OtherNonCashItems,"-391,000,000","-358,000,000","-240,000,000","-38,000,000","-120,000,000","82,000,000","83,000,000","361,000,000","113,000,000","187,000,000","386,000,000","736,000,000","-730,000,000","-480,000,000","-194,000,000","-133,384,000","-84,174,000","-124,747,000","-241,208,000","-151,094,000","-244,456,000",
		AmortizationOfFinancingCostsAndDiscounts,,,,"-295,000,000","-320,000,000","-421,000,000","-403,000,000","-399,000,000","-395,000,000","-432,000,000","-474,000,000","-465,000,000",,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,"-254,654,000","-194,567,000","-133,384,000","-84,174,000",,"-26,150,000","-28,998,000","-31,951,000",
		AssetImpairmentCharge,,,,,,,,,,,"27,000,000",,"0",,,,"0","391,119,000","0",,,
		StockBasedCompensation,,,,,,,,,,,"60,000,000","59,000,000","47,000,000","44,000,000","37,000,000","44,249,000","92,558,000","35,710,000","0","0",,
		ProvisionForLoanLeaseAndOtherLosses,"5,847,000,000","6,018,000,000","2,359,000,000","218,000,000","5,134,000,000","3,231,000,000","3,035,000,000","2,579,000,000","1,859,000,000","1,512,000,000","1,443,000,000","1,086,000,000","848,000,000","1,013,000,000","3,207,000,000","2,362,405,000","1,615,625,000","950,165,000","755,637,000","878,486,000","925,549,000","1,266,113,000"
		ChangeInWorkingCapital,"1,303,000,000","81,000,000","258,000,000","-50,000,000","254,000,000","7,000,000","-556,000,000","120,000,000","47,000,000","-75,000,000","-165,000,000","-521,000,000","237,000,000","316,000,000","112,000,000","-108,735,000","1,806,259,000","40,813,000","-382,915,000","35,325,000","-282,742,000",
			ChangeInReceivables,,,,,,,,,,,,,,,"0","541,549,000","805,292,000",,"-377,273,000","91,106,000","127,269,000",
				ChangesInAccountReceivables,,,,,,,,,,,,,,,"0","541,549,000","805,292,000",,,,,
			ChangeInPayablesAndAccruedExpense,"2,266,000,000","739,000,000","1,104,000,000","446,000,000","136,000,000","209,000,000","-549,000,000","622,000,000","234,000,000","162,000,000","73,000,000","-269,000,000","349,000,000","338,000,000","313,000,000","-545,560,000","1,172,768,000","90,955,000","46,929,000","-21,899,000","-516,559,000",
				ChangeInAccruedExpense,"2,266,000,000","739,000,000","1,104,000,000","446,000,000","136,000,000","209,000,000","-549,000,000","622,000,000","234,000,000","162,000,000","73,000,000","-269,000,000","349,000,000","338,000,000","313,000,000","-545,560,000","1,172,768,000","90,955,000","46,929,000","-21,899,000","-516,559,000",
			ChangeInOtherCurrentAssets,"-963,000,000","-658,000,000","-846,000,000","-496,000,000","118,000,000","-202,000,000","-7,000,000","-502,000,000","-187,000,000","-237,000,000","-238,000,000","-252,000,000","-112,000,000","-22,000,000","-201,000,000","436,825,000","633,491,000","-50,142,000","-429,844,000","57,224,000","233,817,000",
InvestingCashFlow,"-14,790,000,000","-21,491,000,000","-25,637,000,000","40,000,000","1,514,000,000","-15,274,000,000","-10,579,000,000","-8,791,000,000","-4,898,000,000","-2,868,000,000","-4,197,000,000","-3,163,000,000","-5,693,000,000","-8,110,000,000","-5,068,000,000","-6,160,780,000","-6,130,962,000","-1,595,145,000","-2,023,830,000","-4,309,817,000","-1,763,234,000",
	CashFlowFromContinuingInvestingActivities,"-14,790,000,000","-21,491,000,000","-25,637,000,000","40,000,000","1,514,000,000","-15,274,000,000","-10,579,000,000","-8,791,000,000","-4,898,000,000","-2,868,000,000","-4,197,000,000","-3,163,000,000","-5,693,000,000","-8,110,000,000","-5,068,000,000","-6,160,780,000","-6,130,962,000","-1,595,145,000","-2,023,830,000","-4,309,817,000","-1,763,234,000",
		NetInvestmentPurchaseAndSale,"108,000,000","-1,254,000,000","-5,449,000,000","4,808,000,000","-1,270,000,000","-7,146,000,000","-1,845,000,000","128,000,000","1,259,000,000","769,000,000","967,000,000","1,011,000,000","-138,000,000","-791,000,000","-3,566,000,000","-1,603,949,000","-82,121,000","-142,519,000","-66,103,000","-5,107,000","-643,000",
			PurchaseOfInvestment,"-1,921,000,000","-3,145,000,000","-7,901,000,000","-207,000,000","-8,275,000,000","-8,317,000,000","-2,701,000,000","-105,000,000","-107,000,000","-765,000,000","-503,000,000","-441,000,000","-1,932,000,000","-2,511,000,000","-5,661,000,000","-2,954,949,000","-119,321,000","-153,075,000","-73,055,000","-10,529,000","-6,283,000",
			SaleOfInvestment,"2,029,000,000","1,891,000,000","2,452,000,000","5,015,000,000","7,005,000,000","1,171,000,000","856,000,000","233,000,000","1,366,000,000","1,534,000,000","1,470,000,000","1,452,000,000","1,794,000,000","1,720,000,000","2,095,000,000","1,351,000,000","37,200,000","10,556,000","6,952,000","5,422,000","5,640,000",
		NetProceedsPaymentForLoan,"-14,677,000,000","-19,934,000,000","-19,961,000,000","-4,574,000,000","3,045,000,000","-7,844,000,000","-8,480,000,000","-8,701,000,000","-5,978,000,000","-3,479,000,000","-5,095,000,000","-3,915,000,000","-3,816,000,000","-3,929,000,000","-1,965,000,000","-3,860,976,000","-5,864,560,000","-1,329,361,000","110,915,000","-3,883,321,000","-1,663,879,000",
			ProceedsFromLoans,,,,,"3,045,000,000",,,,,,"0","0","269,000,000","29,000,000","1,469,000,000","3,542,850,000","5,562,195,000","8,434,488,000","8,949,961,000","7,324,055,000","3,714,735,000",
			PaymentForLoans,,,"-19,961,000,000","-4,574,000,000",,"-7,844,000,000","-8,480,000,000","-8,701,000,000","-5,978,000,000","-3,479,000,000","-5,095,000,000","-3,915,000,000","-4,085,000,000","-3,958,000,000","-3,434,000,000","-7,403,826,000","-11,426,755,000","-9,763,849,000","-8,839,046,000","-11,207,376,000","-5,378,614,000",
		NetPPEPurchaseAndSale,"-222,000,000","-303,000,000","-227,000,000","-194,000,000","-261,000,000","-284,000,000","-254,000,000","-218,000,000","-179,000,000","-167,000,000","-145,000,000","-231,000,000","-143,000,000","-108,000,000","-55,000,000","-52,544,000","-93,532,000","-118,265,000","-144,151,000","-97,963,000","-98,712,000",
			PurchaseOfPPE,"-281,000,000","-303,000,000","-236,000,000","-194,000,000","-261,000,000","-284,000,000","-254,000,000","-218,000,000","-179,000,000","-167,000,000","-145,000,000","-231,000,000","-144,000,000","-111,000,000","-55,000,000","-53,793,000","-93,532,000","-118,265,000","-144,151,000","-97,963,000","-98,712,000",
			SaleOfPPE,"59,000,000","0","9,000,000","0","0",,,,"0","1,000,000","0","0","1,000,000","3,000,000","0","1,249,000","0",,,,,
		NetBusinessPurchaseAndSale,,,,,,,,"0","0","2,000,000","0","0","-49,000,000","-401,000,000","0","0","-90,749,000","-5,000,000","-1,924,491,000","-323,426,000","0",
			PurchaseOfBusiness,,,,,,,,,,,"0","0","-49,000,000","-401,000,000","0","0","-160,278,000","-5,000,000","-1,924,491,000","-323,426,000",,
			SaleOfBusiness,,,,,,,,"0","0","2,000,000","0","0",,,"0",,"69,529,000",,,,,
		NetOtherInvestingChanges,,,,,,,,"14,000,000","4,000,000","7,000,000","76,000,000","-28,000,000","-1,547,000,000","-2,881,000,000","518,000,000","-643,311,000","-5,864,560,000","-9,763,849,000","-8,839,046,000","7,324,055,000","3,714,735,000",
FinancingCashFlow,"7,357,000,000","15,759,000,000","16,062,000,000","-8,316,000,000","-1,085,000,000","897,000,000","7,146,000,000","4,961,000,000","2,811,000,000","1,302,000,000","1,101,000,000","3,616,000,000","3,728,000,000","2,263,000,000","-7,072,000,000","5,412,464,000","3,035,443,000","7,458,993,000","621,255,000","2,426,196,000","-278,466,000",
	CashFlowFromContinuingFinancingActivities,"7,357,000,000","15,759,000,000","16,062,000,000","-8,316,000,000","-1,085,000,000","897,000,000","7,146,000,000","4,961,000,000","2,811,000,000","1,302,000,000","1,101,000,000","3,616,000,000","3,728,000,000","2,263,000,000","-7,072,000,000","5,412,464,000","3,035,443,000","7,458,993,000","621,255,000","2,426,196,000","-278,466,000",
		NetIssuancePaymentsOfDebt,"-1,146,000,000","1,187,000,000","-94,000,000","-896,000,000","-4,792,000,000","-1,714,000,000","796,000,000","823,000,000","773,000,000","2,017,000,000","1,990,000,000","2,525,000,000","2,319,000,000","-2,356,000,000","-7,144,000,000","193,983,000","-656,920,000","-3,278,920,000","3,851,978,000","-701,415,000","-286,478,000",
			NetLongTermDebtIssuance,"-1,146,000,000","437,000,000","1,656,000,000","-2,646,000,000","-4,792,000,000","-1,714,000,000","796,000,000","823,000,000","773,000,000","2,130,000,000","2,017,000,000","2,756,000,000","2,085,000,000","-2,406,000,000","-7,144,000,000","693,983,000","-397,606,000","616,680,000","593,070,000","-321,242,000","236,428,000",
				LongTermDebtIssuance,"2,034,000,000","4,271,000,000","6,885,000,000","1,727,000,000","494,000,000","4,859,000,000","6,999,000,000","6,186,000,000","4,192,000,000","5,764,000,000","6,695,000,000","6,394,000,000","5,850,000,000","3,700,000,000","2,803,000,000","1,098,194,000","0","2,102,951,000","638,691,000",,"340,879,000",
