name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003
TotalRevenue,"16,988,000,000","15,860,000,000","13,293,000,000","12,051,000,000","11,088,000,000","11,459,000,000","10,709,000,000","9,897,000,000","9,099,000,000","8,739,000,000","8,477,000,000","8,224,000,000",,"7,653,000,000","7,065,000,000","6,658,000,000","4,842,693,000","4,805,383,000","5,877,298,000","5,815,679,000","5,866,585,000","6,351,498,000","1,259,028,000"
	NetInterestIncome,"13,801,000,000","13,099,000,000","10,999,000,000","9,517,000,000","9,230,000,000","9,463,000,000","8,754,000,000","8,000,000,000","7,218,000,000","6,682,000,000","6,462,000,000","5,918,000,000",,"5,372,000,000","4,860,000,000","4,563,000,000","1,893,796,000","1,404,559,000","3,637,546,000","3,589,907,000","3,903,300,000","4,361,929,000","1,259,028,000"
		InterestIncome,"19,397,000,000","17,845,000,000","12,864,000,000","10,651,000,000","11,095,000,000","11,993,000,000","10,893,000,000","9,648,000,000","8,616,000,000","7,945,000,000","7,596,000,000","7,064,000,000",,"6,703,000,000","6,345,000,000","6,146,000,000","3,145,080,000","2,692,563,000","6,378,674,000","5,750,499,000","5,704,397,000","5,701,095,000","2,048,695,000"
			InterestIncomeFromLoansAndLease,"18,334,000,000","16,953,000,000","12,502,000,000","10,451,000,000","10,802,000,000","11,561,000,000","10,561,000,000","9,467,000,000","8,516,000,000","7,869,000,000","7,510,000,000","6,975,000,000",,"6,607,000,000","6,273,000,000","6,090,000,000","3,004,284,000","2,325,414,000","5,934,902,000","5,558,545,000","5,575,023,000","5,646,201,000",
				InterestIncomeFromLoans,"18,334,000,000","16,953,000,000","12,502,000,000","10,451,000,000","10,802,000,000","11,561,000,000","10,561,000,000","9,467,000,000","8,516,000,000","7,869,000,000","7,510,000,000","6,975,000,000",,"6,607,000,000","6,273,000,000","6,090,000,000","3,004,284,000","2,325,414,000","5,934,902,000","5,558,545,000","5,575,023,000","5,646,201,000",
			InterestIncomeFromSecurities,"491,000,000","449,000,000","179,000,000","182,000,000","252,000,000","179,000,000","40,000,000","27,000,000","38,000,000","49,000,000","67,000,000","74,000,000",,"80,000,000","59,000,000","26,000,000","68,694,000","51,345,000","10,502,000","3,721,000","1,108,000","931,000",
			InterestIncomeFromDeposits,,,,,,,,,,,,,,,,,,"123,445,000","25,114,000","42,000","30,000","2,000",
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,,,,,"97,222,000","241,727,000","16,055,000","17,771,000","3,902,000",
			OtherInterestIncome,"572,000,000","443,000,000","183,000,000","18,000,000","41,000,000","253,000,000","292,000,000","154,000,000","62,000,000","27,000,000","19,000,000","15,000,000",,"16,000,000","13,000,000","30,000,000","72,102,000","315,804,000","433,270,000","172,136,000","110,465,000","50,059,000",
		InterestExpense,"5,596,000,000","4,746,000,000","1,865,000,000","1,134,000,000","1,865,000,000","2,530,000,000","2,139,000,000","1,648,000,000","1,398,000,000","1,263,000,000","1,134,000,000","1,146,000,000",,"1,331,000,000","1,485,000,000","1,583,000,000","1,251,284,000","1,288,004,000","2,741,128,000","2,160,592,000","1,801,097,000","1,339,166,000","789,667,000"
			InterestExpenseForDeposit,"4,634,000,000","3,886,000,000","1,257,000,000","661,000,000","1,231,000,000","1,587,000,000","1,238,000,000","846,000,000","687,000,000","623,000,000","614,000,000","698,000,000",,"845,000,000","987,000,000","1,151,000,000","1,187,084,000","1,199,436,000","1,044,574,000","670,326,000","611,283,000","514,943,000",
			InterestExpenseForShortTermDebt,"11,000,000","5,000,000","2,000,000","0","32,000,000","0","0","0","0","1,000,000","2,000,000","3,000,000",,"1,000,000","0","0","2,538,000","343,000","89,319,000","117,462,000","107,485,000","76,631,000",
			InterestExpenseForLongTermDebtAndCapitalSecurities,"951,000,000","855,000,000","606,000,000","473,000,000","602,000,000","943,000,000","901,000,000","802,000,000","711,000,000","639,000,000","518,000,000","445,000,000",,"485,000,000","498,000,000","432,000,000","61,662,000","88,225,000","89,377,000","48,492,000","57,711,000","56,048,000",
			OtherInterestExpense,,,,,,,,,,,,,,,,,"397,136,000","1,068,915,000","1,517,858,000","1,324,312,000","1,024,618,000","691,544,000",
	NonInterestIncome,"3,187,000,000","2,761,000,000","2,294,000,000","2,534,000,000","1,858,000,000","1,996,000,000","1,955,000,000","1,897,000,000","1,881,000,000","2,057,000,000","2,015,000,000","2,306,000,000",,"2,281,000,000","2,205,000,000","2,095,000,000","2,948,897,000","3,400,824,000","2,239,752,000","2,225,772,000","1,963,285,000","1,989,569,000","0"
		TotalPremiumsEarned,,,,,,,,,,,,,,,,,,,"202,164,000","188,160,000","168,791,000","145,728,000",
