name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
TotalAssets,"27,742,629,000","26,635,375,000","25,940,645,000","18,504,206,000","13,683,999,000","12,115,484,000","9,706,349,000","9,450,600,000","9,089,232,000","8,306,507,000","7,884,350,000","7,747,440,000","7,187,906,000","6,759,287,000","6,191,795,000","5,553,970,000","4,817,330,000","4,471,298,000","3,706,344,000","3,010,737,000","2,739,633,000","2,281,344,000","2,085,747,000","1,056,712,000","974,001,000","705,966,000","648,700,000","546,000,000","388,100,000","339,800,000","288,000,000","268,100,000","197,200,000"
	CashCashEquivalentsAndFederalFundsSold,"1,354,342,000","401,995,000","437,686,000","633,142,000","330,961,000","203,790,000","200,004,000","152,541,000","193,253,000","442,409,000","155,657,000","187,040,000","128,032,000","105,091,000","210,575,000","135,255,000","227,609,000","173,017,000","134,694,000","142,110,000","132,783,000","122,241,000","134,433,000","69,884,000","68,966,000","55,768,000","45,500,000","35,700,000","23,300,000","17,500,000","20,700,000","16,700,000","10,200,000"
		CashAndCashEquivalents,"1,354,342,000","401,995,000","437,686,000","633,142,000","330,961,000","203,790,000","200,004,000","152,541,000","187,173,000","441,384,000","145,130,000","187,040,000","128,032,000","105,091,000","123,420,000","128,775,000","227,474,000","166,892,000","127,157,000","92,307,000","86,140,000","79,377,000","97,426,000","51,786,000","52,301,000","42,183,000","34,200,000","27,100,000","16,100,000","11,700,000","16,400,000","14,000,000","10,200,000"
			CashFinancial,"246,525,000","300,194,000","198,087,000","227,108,000","198,639,000","161,782,000","139,948,000","135,268,000","117,137,000","122,834,000","109,995,000","123,270,000","104,674,000","71,465,000",,,,,,,,,,,,,,,,,,,
			CashEquivalents,,,,,,,,,,,,,,,,"125,123,000","145,697,000","136,591,000","111,418,000","79,300,000","77,093,000","74,624,000","73,456,000","41,456,000","50,590,000",,,,,,,,
			CashAndDueFromBanks,"1,107,817,000","101,801,000","239,599,000","406,034,000","132,322,000","42,008,000","60,056,000","17,273,000","70,036,000","318,550,000","35,135,000","63,770,000","23,358,000","33,626,000","123,420,000","128,775,000","81,777,000","30,301,000","15,739,000","13,007,000","9,047,000","4,753,000","23,970,000","10,330,000","1,711,000","42,183,000","34,200,000","27,100,000","16,100,000","11,700,000","16,400,000","14,000,000","10,200,000"
		MoneyMarketInvestments,,,,,,,,,"6,080,000","1,025,000","10,527,000",,,,"87,155,000","6,480,000","135,000","6,125,000","7,537,000","49,803,000","46,643,000","42,864,000","37,007,000","18,098,000","16,665,000","13,585,000","11,300,000","8,600,000","7,200,000","5,800,000","4,300,000","2,700,000",
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,"0","6,080,000","1,025,000","10,527,000","0",,,"87,155,000","6,480,000","135,000","6,125,000","7,537,000","49,803,000","46,643,000","42,864,000","37,007,000","18,098,000","16,665,000","13,585,000","11,300,000","8,600,000","7,200,000","5,800,000","4,300,000","2,700,000",
				FederalFundsSold,,,,,,,,"0","6,080,000","1,025,000","10,527,000","0",,"0","87,155,000","6,480,000",,,,,,,,,,,,,,,,,
	ForeclosedAssets,"1,503,000","32,000","18,000","1,744,000","5,142,000","7,480,000","14,269,000","20,954,000","26,815,000","27,804,000","26,860,000","45,115,000","78,354,000",,,,,,,,,,,,,,,,,,,,
	OtherRealEstateOwned,,,,,"5,142,000","7,480,000","14,269,000","20,954,000","26,815,000","27,804,000","26,860,000","45,115,000","78,354,000","73,485,000","57,320,000","11,539,000",,,,,,,,,,,,,,,,,
	BankOwnedLifeInsurance,"171,101,000","169,068,000","167,671,000","123,763,000","109,428,000","82,320,000","59,351,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	SecuritiesAndInvestments,"8,300,885,000","9,104,374,000","10,380,033,000","5,537,673,000","2,811,486,000","2,897,449,000","2,456,440,000","3,126,701,000","3,340,327,000","2,961,293,000","3,275,021,000","3,731,817,000","3,176,437,000","2,460,887,000","1,506,394,000","990,092,000","700,324,000","825,637,000","967,970,000","1,035,823,000","1,050,311,000","739,961,000","508,578,000","211,888,000","209,312,000","105,486,000","115,500,000","105,500,000","72,900,000","53,600,000","41,300,000","54,200,000","41,900,000"
		AvailableForSaleSecurities,"12,755,000","82,015,000","10,020,000","10,023,000","11,623,000","27,871,000","29,884,000","25,550,000","27,495,000","52,868,000","52,192,000","48,812,000","49,694,000","2,460,887,000","1,506,394,000","990,092,000","700,324,000","825,637,000","967,970,000","1,035,823,000","1,050,311,000","739,961,000","508,578,000","211,888,000","209,312,000","105,486,000","115,500,000","105,500,000","72,900,000","53,600,000","41,300,000","54,200,000","41,900,000"
		HeldToMaturitySecurities,"3,502,411,000","3,715,052,000","1,199,164,000","189,836,000","224,611,000","297,915,000","648,313,000","675,674,000","702,072,000","520,997,000","0",,,,,,,,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"4,785,719,000","5,307,307,000","9,170,849,000","5,337,814,000","2,575,252,000","2,571,663,000","1,778,243,000","2,425,477,000","2,610,760,000","2,387,428,000","3,222,829,000","3,683,005,000","3,126,743,000",,,,,,,,,,,,,,,,,,,,
	NetLoan,"16,021,016,000","15,076,843,000","13,320,163,000","11,131,025,000","9,457,514,000","8,189,466,000","6,487,089,000","5,627,818,000","5,005,498,000","4,405,068,000","3,979,225,000","3,412,072,000","3,424,076,000","3,688,395,000","3,987,318,000","4,053,454,000","3,557,122,000","3,165,524,000","2,397,187,000","1,701,805,000","1,430,365,000","1,300,653,000","1,322,327,000","733,561,000","652,208,000","518,208,000","466,900,000","386,600,000","281,000,000","258,200,000","217,400,000","188,800,000","137,700,000"
		GrossLoan,"16,213,773,000","15,259,126,000","13,492,828,000","11,289,268,000","9,582,004,000","8,320,705,000","6,616,657,000","5,757,390,000","5,135,195,000","4,534,821,000","4,109,576,000","3,542,926,000","3,561,592,000","3,825,502,000","4,130,245,000","4,130,193,000","3,611,535,000","3,204,179,000","2,435,842,000","1,728,297,000","1,456,630,000","1,323,596,000","1,342,992,000","741,360,000","658,930,000","523,341,000","470,900,000","389,900,000","283,100,000","263,200,000","222,600,000","188,800,000","137,700,000"
			LoansHeldForSale,"15,691,000","12,314,000","60,797,000","166,572,000","69,194,000","33,156,000","38,833,000","72,927,000","56,514,000","46,726,000","46,738,000","145,501,000","95,457,000","76,213,000","66,330,000","54,976,000",,,,,,,,,,,,,,,,,
			CommercialLoan,"2,901,863,000","2,799,668,000","2,664,190,000","3,054,817,000","2,094,254,000","1,911,171,000","1,579,353,000","1,342,250,000","1,099,564,000","925,900,000","852,036,000","623,397,000","623,868,000","2,451,091,000",,,,,,,,,,,,,,,,,,,
