name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
OperatingCashFlow,"287,131,000","500,715,000","470,660,000","572,049,000","189,545,000","226,649,000","280,711,000","254,741,000","193,087,000","176,771,000","182,734,000","334,095,000","183,793,000","186,843,000","193,943,000","96,737,000","87,215,000","88,460,000","67,722,000","76,984,000","69,790,000","95,286,000","16,616,000","-27,984,000","38,246,000","36,769,000","18,496,000","16,080,000","11,100,000","12,000,000","5,500,000","5,700,000","3,600,000","4,100,000"
	CashFlowFromContinuingOperatingActivities,"287,131,000","500,715,000","470,660,000","572,049,000","189,545,000","226,649,000","280,711,000","254,741,000","193,087,000","176,771,000","182,734,000","334,095,000","183,793,000","186,843,000","193,943,000","96,737,000","87,215,000","88,460,000","67,722,000","76,984,000","69,790,000","95,286,000","16,616,000","-27,984,000","38,246,000","36,769,000","18,496,000","16,080,000","11,100,000","12,000,000","5,500,000","5,700,000","3,600,000","4,100,000"
		NetIncomeFromContinuingOperations,"184,096,000","222,927,000","303,202,000","284,757,000","266,400,000","210,544,000","181,878,000","116,377,000","121,131,000","116,127,000","112,755,000","95,644,000","75,516,000","17,471,000","42,330,000","34,374,000","65,657,000","68,603,000","61,131,000","52,373,000","44,616,000","38,008,000","32,402,000","21,689,000","14,003,000","12,352,000","11,375,000","10,236,000","8,200,000","8,000,000","5,100,000","5,100,000","4,100,000","2,900,000"
		OperatingGainsLosses,"-15,956,000","-13,712,000","-20,652,000","-62,425,000","-100,589,000","-48,479,000","-26,021,000","-29,779,000","-32,143,000","-26,408,000","-19,609,000","-28,218,000","-32,227,000","-21,495,000","27,385,000","-15,154,000","-7,359,000","-13,275,000","-10,816,000","-11,048,000","-8,015,000","-11,927,000","-5,694,000","-4,707,000","-2,298,000","-3,131,000","-3,924,000","-196,000","-100,000",,,"-100,000",,
			GainLossOnInvestmentSecurities,"-1,651,000","-1,510,000","-620,000","638,000","-1,139,000","-14,415,000","1,113,000","660,000","1,463,000","-19,000","188,000","299,000","0","-346,000","-4,822,000","-5,995,000","7,345,000","8,000","3,000",,,"-1,253,000","-238,000",,,,,"-200,000","-100,000",,,"-100,000",,
			RealizedGainLossOnSaleOfLoansAndLease,"-14,305,000","-12,202,000","-20,032,000","-63,063,000","-99,450,000","-34,064,000","-27,134,000","-30,439,000","-33,606,000","-26,389,000","-19,797,000","-28,517,000","-32,227,000","-21,132,000","1,102,359,000","1,228,509,000","660,427,000",,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"38,754,000","37,143,000","36,488,000","32,039,000","30,790,000","27,077,000","22,289,000","17,252,000","18,264,000","17,329,000","14,919,000","12,886,000","12,725,000","12,916,000","13,988,000","13,566,000","14,265,000","14,447,000","13,623,000","15,665,000","16,904,000","19,886,000","11,257,000","10,129,000","3,019,000","2,384,000","1,565,000","1,361,000","1,100,000","1,300,000","900,000","800,000","300,000","200,000"
			DepreciationAndAmortization,"38,754,000","37,143,000","36,488,000","32,039,000","30,790,000","27,077,000","22,289,000","17,252,000","18,264,000","17,329,000","14,919,000","12,886,000","12,725,000","12,916,000","13,988,000","13,566,000","14,265,000","14,447,000","13,623,000","15,665,000","16,904,000","19,886,000","11,257,000","10,129,000","3,019,000","2,384,000","1,565,000","1,361,000","1,100,000","1,300,000","900,000","800,000","300,000","200,000"
				Depreciation,"28,122,000","27,412,000","25,830,000","21,768,000","20,420,000","18,592,000","16,019,000","14,758,000","15,294,000","14,365,000","12,108,000","10,485,000","10,615,000","10,443,000","10,808,000","10,450,000","9,814,000",,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"10,632,000","9,731,000","10,658,000","10,271,000","10,370,000","8,485,000","6,270,000","2,494,000","2,970,000","2,964,000","2,811,000","2,401,000","2,110,000","2,473,000","3,180,000","3,116,000","4,451,000",,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"10,632,000","9,731,000","10,658,000","10,271,000","10,370,000","8,485,000","6,270,000","2,494,000","2,970,000","2,964,000","2,811,000","2,401,000","2,110,000","2,473,000","3,180,000","3,116,000","4,451,000",,,,,,,,,,,,,,,,,
		DeferredTax,,"507,000","2,177,000","-9,095,000","-6,863,000","-356,000","6,861,000","25,887,000","-82,000","-4,080,000","5,931,000","4,633,000","837,000","-13,308,000","138,000","-29,755,000","-11,032,000","1,569,000","-931,000","-2,204,000","284,000","721,000","1,466,000","593,000","-139,000","-207,000","-99,000","-317,000","-100,000",,"-300,000","600,000","600,000","-100,000"
