name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999
OperatingCashFlow,"-75,810,000,000","-12,587,000,000","8,708,000,000","6,298,000,000","-18,535,000,000","23,868,000,000","16,564,000,000","-20,489,000,000","6,494,000,000","9,481,000,000","-7,932,000,000","4,543,000,000","12,879,000,000","22,501,000,000","-5,357,000,000","48,875,000,000","1,894,000,000","-69,447,000,000","-52,447,000,000","-12,413,000,000","-33,391,000,000","-16,739,000,000","-10,077,000,000","2,865,000,000","1,607,000,000","-12,589,000,000"
	CashFlowFromContinuingOperatingActivities,"-75,810,000,000","-12,587,000,000","8,708,000,000","6,298,000,000","-18,535,000,000","23,868,000,000","16,564,000,000","-20,489,000,000","6,494,000,000","9,481,000,000","-7,932,000,000","4,543,000,000","12,879,000,000","22,501,000,000","-5,357,000,000","48,875,000,000","1,894,000,000","-69,447,000,000","-52,447,000,000","-12,413,000,000","-33,391,000,000","-16,739,000,000","-10,077,000,000","2,865,000,000","1,607,000,000","-12,589,000,000"
		NetIncomeFromContinuingOperations,"11,241,000,000","8,516,000,000","11,261,000,000","21,635,000,000","9,459,000,000","8,466,000,000","10,459,000,000","4,286,000,000","7,398,000,000","6,083,000,000","8,477,000,000","8,040,000,000","7,475,000,000","4,442,000,000","8,354,000,000","13,385,000,000","2,322,000,000","11,599,000,000","9,537,000,000","5,626,000,000","4,553,000,000","3,005,000,000","2,114,000,000","2,310,000,000","3,067,000,000","2,708,000,000"
		OperatingGainsLosses,,,,,"-1,000,000","-20,000,000","-160,000,000","-114,000,000","3,000,000","-34,000,000","-289,000,000","-211,000,000","-494,000,000",,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,"0","-211,000,000","0","0",,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,"0","0","-494,000,000","0","0",,,,,,,,,,,
		DepreciationAmortizationDepletion,"3,565,000,000","4,856,000,000","2,455,000,000","2,015,000,000","1,902,000,000","1,704,000,000","1,328,000,000","1,152,000,000","998,000,000","991,000,000","1,337,000,000","1,322,000,000","1,738,000,000","1,869,000,000","1,904,000,000","1,943,000,000","1,625,000,000","1,167,000,000","995,000,000","854,000,000","845,000,000","1,145,000,000","744,000,000","873,000,000","486,000,000","337,000,000"
			DepreciationAndAmortization,"3,565,000,000","4,856,000,000","2,455,000,000","2,015,000,000","1,902,000,000","1,704,000,000","1,328,000,000","1,152,000,000","998,000,000","991,000,000","1,337,000,000","1,322,000,000","1,738,000,000","1,869,000,000","1,904,000,000","1,943,000,000","1,625,000,000","1,167,000,000","995,000,000","854,000,000","845,000,000","1,145,000,000","744,000,000","873,000,000","486,000,000","337,000,000"
				Depreciation,,,,,,,,,,,,,,,,,"1,385,000,000","916,000,000","749,000,000","689,000,000","720,000,000",,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,"240,000,000","251,000,000","246,000,000","165,000,000","125,000,000",,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,"240,000,000","251,000,000","246,000,000","165,000,000","125,000,000",,,,,
		DeferredTax,"-1,454,000,000","-1,360,000,000","-2,412,000,000","5,000,000","-833,000,000","-334,000,000","-2,645,000,000","5,458,000,000","551,000,000","425,000,000","495,000,000","29,000,000","-356,000,000","726,000,000","1,339,000,000","-431,000,000","-1,763,000,000","129,000,000","-1,505,000,000","-450,000,000","1,040,000,000","93,000,000","230,000,000","52,000,000","-352,000,000","-1,387,000,000"
			DeferredIncomeTax,"-1,454,000,000","-1,360,000,000","-2,412,000,000","5,000,000","-833,000,000","-334,000,000","-2,645,000,000","5,458,000,000","551,000,000","425,000,000","495,000,000","29,000,000","-356,000,000","726,000,000","1,339,000,000","-431,000,000","-1,763,000,000","129,000,000","-1,505,000,000","-450,000,000","1,040,000,000","93,000,000","230,000,000","52,000,000","-352,000,000","-1,387,000,000"
		OtherNonCashItems,,,,,,,,,,,,,,,,,"-19,375,000,000","12,427,000,000","-12,231,000,000","30,433,000,000","-34,348,000,000","-6,663,000,000","-921,000,000","-722,000,000","2,212,000,000","-11,710,000,000"
		StockBasedCompensation,"2,744,000,000","2,085,000,000","4,083,000,000","2,348,000,000","1,920,000,000","2,018,000,000","1,831,000,000","1,769,000,000","2,111,000,000","2,272,000,000","2,085,000,000","2,015,000,000","1,319,000,000","2,849,000,000","4,035,000,000","2,009,000,000","1,611,000,000","4,465,000,000","3,654,000,000","1,756,000,000","1,224,000,000",,,,,
		ProvisionForLoanLeaseAndOtherLosses,"1,184,000,000","1,028,000,000","2,715,000,000","357,000,000","3,098,000,000","1,065,000,000","674,000,000","657,000,000","182,000,000",,,,,,,,,,,,,,,,,
		ChangeInWorkingCapital,"-93,090,000,000","-27,712,000,000","-9,394,000,000","-20,062,000,000","-34,080,000,000","10,969,000,000","5,077,000,000","-33,697,000,000","-4,749,000,000","-256,000,000","-20,037,000,000","-6,652,000,000","3,197,000,000","12,615,000,000","-20,989,000,000","31,969,000,000","-1,901,000,000","-86,807,000,000","-65,128,000,000","-20,199,000,000","-41,053,000,000","-14,319,000,000","-12,244,000,000","352,000,000","-3,806,000,000","-2,537,000,000"
			ChangeInReceivables,,,,,,,,"-30,082,000,000","-15,813,000,000","19,132,000,000","12,328,000,000","-3,682,000,000","-20,499,000,000","-3,780,000,000","201,000,000","6,265,000,000","-6,587,000,000","-3,811,000,000","-1,794,000,000","1,322,000,000","-776,000,000",,,,,
			ChangeInPayablesAndAccruedExpense,,,,,,,,,,,,"1,631,000,000","-17,661,000,000","13,883,000,000","-4,637,000,000","-47,414,000,000","-50,000,000","53,857,000,000","9,823,000,000","2,953,000,000","36,669,000,000",,,,,
				ChangeInPayable,,,,,,,,,,,,"1,631,000,000","-17,661,000,000","13,883,000,000","-4,637,000,000","-47,414,000,000","-50,000,000","53,857,000,000","9,823,000,000","2,953,000,000","36,669,000,000",,,,,
					ChangeInAccountPayable,,,,,,,,,,,,"1,631,000,000","-17,661,000,000","13,883,000,000","-4,637,000,000","-47,414,000,000","-50,000,000","53,857,000,000","9,823,000,000","2,953,000,000","36,669,000,000",,,,,
			ChangeInLoans,"17,681,000,000","161,862,000,000","-97,835,000,000","-75,614,000,000","-11,187,000,000","93,533,000,000","28,589,000,000","7,640,000,000","78,000,000","-14,825,000,000","-52,793,000,000","-51,669,000,000","76,558,000,000","9,062,000,000","9,546,000,000","-139,774,000,000","-45,945,000,000","-44,810,000,000","-22,841,000,000","29,492,000,000","-37,014,000,000",,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,"-5,123,000,000","-2,046,000,000","-143,000,000","10,817,000,000","-10,532,000,000","-17,094,000,000","76,531,000,000","12,995,000,000","-39,079,000,000","-21,044,000,000","-3,226,000,000","-18,437,000,000",,,,,
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,"4,243,000,000","11,602,000,000","-57,010,000,000","-39,051,000,000",,,,,,,,,
			ChangeInOtherWorkingCapital,"-110,771,000,000","-189,574,000,000","88,441,000,000","55,552,000,000","-22,893,000,000","-82,564,000,000","-23,512,000,000","-41,337,000,000","-4,827,000,000","-4,563,000,000","20,428,000,000","48,842,000,000","-63,679,000,000","3,982,000,000","-9,005,000,000","136,361,000,000","37,686,000,000","-52,964,000,000","-29,272,000,000","-50,740,000,000","-21,495,000,000",,,,,
InvestingCashFlow,"-24,598,000,000","-17,312,000,000","-75,960,000,000","-30,465,000,000","-34,356,000,000","-24,236,000,000","-18,820,000,000","-26,377,000,000","9,675,000,000","-18,574,000,000","-14,909,000,000","-8,728,000,000","-3,734,000,000","629,000,000","-985,000,000","-1,561,000,000","-4,337,000,000","396,000,000","-9,748,000,000","-1,064,000,000","-1,084,000,000","-1,577,000,000","-1,103,000,000","-1,909,000,000","-3,656,000,000","-654,000,000"
	CashFlowFromContinuingInvestingActivities,"-24,598,000,000","-17,312,000,000","-75,960,000,000","-30,465,000,000","-34,356,000,000","-24,236,000,000","-18,820,000,000","-26,377,000,000","9,675,000,000","-18,574,000,000","-14,909,000,000","-8,728,000,000","-3,734,000,000","629,000,000","-985,000,000","-1,561,000,000","-4,337,000,000","396,000,000","-9,748,000,000","-1,064,000,000","-1,084,000,000","-1,577,000,000","-1,103,000,000","-1,909,000,000","-3,656,000,000","-654,000,000"
		NetInvestmentPurchaseAndSale,"-19,298,000,000","-13,408,000,000","-47,575,000,000","5,789,000,000","-19,613,000,000","-11,961,000,000","-1,323,000,000","-4,350,000,000","1,517,000,000","1,019,000,000","1,514,000,000","2,582,000,000","512,000,000","3,022,000,000","1,774,000,000","134,000,000","182,000,000","4,333,000,000","-6,412,000,000","274,000,000","0",,,,,
			PurchaseOfInvestment,"-67,887,000,000","-40,256,000,000","-60,536,000,000","-39,912,000,000","-48,670,000,000","-29,773,000,000","-9,418,000,000","-17,381,000,000","0","0","0","-738,000,000","-5,220,000,000","-2,752,000,000","-1,885,000,000","-2,722,000,000","-3,851,000,000","-872,000,000","-12,922,000,000","0","0",,,,,
			SaleOfInvestment,"48,589,000,000","26,848,000,000","12,961,000,000","45,701,000,000","29,057,000,000","17,812,000,000","8,095,000,000","13,031,000,000","1,517,000,000","1,019,000,000","1,514,000,000","3,320,000,000","5,732,000,000","5,774,000,000","3,659,000,000","2,856,000,000","4,033,000,000","5,205,000,000","6,510,000,000","274,000,000","0",,,,,
		NetProceedsPaymentForLoan,"-10,788,000,000","-5,353,000,000","-25,228,000,000","-35,520,000,000","-11,173,000,000","-9,661,000,000","-13,064,000,000","-17,034,000,000","-4,280,000,000","-16,180,000,000","-14,043,000,000","-8,392,000,000","-2,741,000,000","-856,000,000","-800,000,000",,,,,,,,,,,
			PaymentForLoans,,,,,"-11,173,000,000","-9,661,000,000","-14,865,000,000","-17,034,000,000","-4,280,000,000","-16,180,000,000","-14,043,000,000","-8,392,000,000","-2,741,000,000","-856,000,000","-800,000,000",,,,,,,,,,,
		NetPPEPurchaseAndSale,"1,371,000,000","962,000,000","-1,042,000,000","-734,000,000","-3,339,000,000","-1,811,000,000","-4,271,000,000","-2,610,000,000","-2,484,000,000","-1,605,000,000","-648,000,000","-644,000,000","-912,000,000","-1,106,000,000","-1,155,000,000","-1,474,000,000","-1,906,000,000","-2,037,000,000","-1,675,000,000","-782,000,000","-829,000,000","-856,000,000","-1,008,000,000","-1,370,000,000","-3,540,000,000","-843,000,000"
