name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999
TotalRevenue,"50,079,000,000","46,254,000,000","47,365,000,000","59,339,000,000","44,559,000,000","36,526,000,000","36,456,000,000","29,740,000,000","27,967,000,000","31,210,000,000","32,027,000,000","31,865,000,000","31,955,000,000","26,348,000,000","36,880,000,000","42,875,000,000","19,224,000,000","43,229,000,000","35,680,000,000","23,822,000,000","19,779,000,000","16,023,000,000","13,986,000,000","15,811,000,000","16,590,000,000","13,345,000,000"
	NetInterestIncome,"6,736,000,000","6,351,000,000","7,678,000,000","6,470,000,000","4,751,000,000","4,362,000,000","3,767,000,000","2,932,000,000","2,587,000,000","3,064,000,000","4,047,000,000","3,392,000,000","3,880,000,000","5,192,000,000","5,503,000,000","7,407,000,000","4,276,000,000","3,987,000,000","3,498,000,000","3,097,000,000","3,026,000,000","3,151,000,000","2,401,000,000","1,293,000,000","986,000,000","704,000,000"
		InterestIncome,"76,736,000,000","68,515,000,000","29,024,000,000","12,120,000,000","13,689,000,000","21,738,000,000","19,679,000,000","13,113,000,000","9,691,000,000","8,452,000,000","9,604,000,000","10,060,000,000","11,381,000,000","13,174,000,000","12,309,000,000","13,907,000,000","35,633,000,000","45,968,000,000","35,186,000,000","21,250,000,000","11,914,000,000","10,751,000,000","11,269,000,000","16,620,000,000","17,396,000,000","12,722,000,000"
			InterestIncomeFromLoansAndLease,"15,676,000,000","14,905,000,000","9,059,000,000","5,319,000,000","4,883,000,000","5,411,000,000","4,689,000,000","3,222,000,000","1,843,000,000","1,191,000,000","708,000,000","296,000,000","150,000,000",,,,,,,,,,,,,
				InterestIncomeFromLoans,"15,676,000,000","14,905,000,000","9,059,000,000","5,319,000,000","4,883,000,000","5,411,000,000","4,689,000,000","3,222,000,000","1,843,000,000","1,191,000,000","708,000,000","296,000,000","150,000,000",,,,,,,,,,,,,
			InterestIncomeFromSecurities,"15,694,000,000","12,316,000,000","7,286,000,000","6,305,000,000","6,837,000,000","7,356,000,000","6,372,000,000","5,371,000,000","5,444,000,000","5,862,000,000","7,537,000,000","8,159,000,000","9,817,000,000","10,718,000,000","10,346,000,000","11,106,000,000","13,150,000,000","13,120,000,000","10,717,000,000",,,,,,,
			InterestIncomeFromDeposits,"10,918,000,000","10,949,000,000","3,233,000,000","-24,000,000","245,000,000","1,211,000,000","1,418,000,000","819,000,000","452,000,000","241,000,000","227,000,000","186,000,000","156,000,000","125,000,000","86,000,000","65,000,000","188,000,000","119,000,000","159,000,000",,,,,,,
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"18,861,000,000","16,405,000,000","4,468,000,000","-980,000,000","282,000,000","4,397,000,000","3,852,000,000","1,661,000,000","691,000,000","17,000,000","-78,000,000","43,000,000","-77,000,000","666,000,000","540,000,000","951,000,000","11,746,000,000","18,013,000,000","9,850,000,000",,,,,,,
			OtherInterestIncome,"15,587,000,000","13,940,000,000","4,978,000,000","1,500,000,000","1,442,000,000","3,363,000,000","3,348,000,000","2,040,000,000","1,261,000,000","1,141,000,000","1,210,000,000","1,376,000,000","1,335,000,000","1,665,000,000","1,337,000,000","1,785,000,000","10,549,000,000","14,716,000,000","14,460,000,000",,,,,,,
		InterestExpense,"70,000,000,000","62,164,000,000","21,346,000,000","5,650,000,000","8,938,000,000","17,376,000,000","15,912,000,000","10,181,000,000","7,104,000,000","5,388,000,000","5,557,000,000","6,668,000,000","7,501,000,000","7,982,000,000","6,806,000,000","6,500,000,000","31,357,000,000","41,981,000,000","31,688,000,000","18,153,000,000","8,888,000,000","7,600,000,000","8,868,000,000","15,327,000,000","16,410,000,000","12,018,000,000"
			InterestExpenseForDeposit,"19,740,000,000","17,010,000,000","5,823,000,000","1,303,000,000","2,386,000,000","3,568,000,000","2,606,000,000","1,380,000,000","878,000,000","408,000,000","333,000,000","387,000,000","399,000,000","280,000,000","304,000,000","415,000,000","756,000,000","677,000,000","146,000,000",,,,,,,
			InterestExpenseForShortTermDebt,"1,830,000,000","1,322,000,000","541,000,000","527,000,000","542,000,000","668,000,000","695,000,000","698,000,000","446,000,000","429,000,000","447,000,000","394,000,000","581,000,000","526,000,000","453,000,000","623,000,000","1,864,000,000","3,398,000,000","2,905,000,000",,,,,,,
			InterestExpenseForLongTermDebtAndCapitalSecurities,"11,210,000,000","11,084,000,000","5,716,000,000","3,231,000,000","4,153,000,000","5,359,000,000","5,555,000,000","4,599,000,000","4,242,000,000","3,878,000,000","3,460,000,000","3,752,000,000","3,736,000,000","3,439,000,000","3,155,000,000","2,585,000,000","6,975,000,000","14,147,000,000","9,777,000,000",,,,,,,
			InterestExpenseForFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"15,722,000,000","12,705,000,000","2,808,000,000","0","599,000,000","2,658,000,000","2,051,000,000","863,000,000","442,000,000","330,000,000","431,000,000","576,000,000","822,000,000","905,000,000","708,000,000","1,317,000,000","10,203,000,000","16,478,000,000","12,650,000,000",,,,,,,
