name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalAssets,"136,084,000,000","194,338,000,000","193,502,000,000","126,200,000,000","94,493,000,000","92,791,000,000","78,264,000,000","82,003,000,000","77,987,000,000","68,254,000,000","64,422,000,000","37,215,000,000","36,147,864,000","26,642,259,000","21,884,875,000","14,959,581,000","2,796,345,000","493,211,000","265,770,000","207,518,000","214,879,000","170,053,000","134,957,000","22,357,000"
	CurrentAssets,"84,973,000,000","156,947,000,000","154,300,000,000","87,219,000,000","67,979,000,000","66,692,000,000","53,562,000,000","57,133,000,000","53,313,000,000","50,232,000,000","44,269,000,000","33,750,000,000","32,605,391,000","23,575,778,000","19,459,851,000","12,552,588,000","1,142,094,000","340,917,000","164,015,000","100,042,000","105,893,000","60,841,000","46,814,000","13,234,000"
		CashCashEquivalentsAndShortTermInvestments,"1,129,000,000","4,415,000,000","607,000,000","583,000,000","841,000,000","724,000,000","535,000,000","430,000,000","656,000,000","1,852,000,000","1,035,000,000","1,612,000,000","822,949,000","621,792,000","554,470,000","286,941,000","260,552,000","281,611,000","131,183,000","66,899,000","44,913,000","33,627,000","25,610,000","9,485,000"
			CashAndCashEquivalents,"899,000,000","1,799,000,000","607,000,000","583,000,000","841,000,000","724,000,000","535,000,000","407,000,000","627,000,000","652,000,000","961,000,000","1,612,000,000","822,949,000","621,792,000","552,465,000","283,522,000","119,597,000","204,257,000","20,002,000","61,199,000","44,913,000","33,627,000","25,610,000","9,485,000"
			OtherShortTermInvestments,"230,000,000","2,616,000,000",,,,,"16,000,000","23,000,000","29,000,000","1,200,000,000","74,000,000","0",,"1,999,000","2,005,000","3,419,000","140,955,000","77,354,000","111,181,000","5,700,000",,,,
		Receivables,"2,950,000,000","3,935,000,000","1,208,000,000","1,230,000,000","988,000,000","953,000,000","903,000,000","777,000,000","700,000,000","508,000,000","546,000,000","127,000,000","136,331,000","114,456,000","109,068,000","81,248,000","52,018,000","32,121,000","14,773,000","9,608,000","7,940,000",,,
			AccountsReceivable,"1,366,000,000","1,169,000,000","1,208,000,000","1,230,000,000","988,000,000","953,000,000","903,000,000","777,000,000","700,000,000","508,000,000","546,000,000","127,000,000","136,331,000","114,456,000","109,068,000","81,248,000","51,241,000","31,673,000","14,773,000","9,608,000","7,940,000",,,
				GrossAccountsReceivable,"1,387,000,000","1,191,000,000","1,232,000,000","1,257,000,000","996,000,000","960,000,000","909,000,000","784,000,000","702,000,000","509,000,000","547,000,000","128,000,000","138,888,000","116,313,000",,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-21,000,000","-22,000,000","-24,000,000","-27,000,000","-8,000,000","-7,000,000","-6,000,000","-7,000,000","-2,000,000","-1,000,000","-1,000,000","-1,000,000","-2,557,000","-1,857,000",,,,,,,,,,
			OtherReceivables,"1,584,000,000","2,766,000,000",,,,,,,,,,,,,,,"777,000","448,000",,,,,,
		PrepaidAssets,,"2,616,000,000","3,164,000,000","1,775,000,000","220,000,000","242,000,000","133,000,000","97,000,000","131,000,000","85,000,000","195,000,000","41,000,000","37,298,000","52,136,000","24,105,000","35,855,000","12,940,000","7,294,000","5,481,000","4,688,000","3,898,000",,,
		RestrictedCash,"80,191,000,000","148,139,000,000","146,971,000,000","82,628,000,000","65,930,000,000","64,773,000,000","51,991,000,000","55,829,000,000","51,826,000,000","47,787,000,000","42,493,000,000","31,970,000,000","31,608,813,000","22,787,394,000","81,970,000","30,724,000","19,624,000","16,193,000","12,578,000","18,421,000",,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,"4,908,000",,,"426,000","345,000",,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,"4,908,000",,,"426,000","345,000",,,
		OtherCurrentAssets,"703,000,000","458,000,000","2,350,000,000","1,003,000,000","220,000,000","242,000,000","133,000,000","97,000,000","131,000,000","85,000,000","195,000,000","41,000,000","37,298,000","52,136,000","18,690,238,000","12,117,820,000","792,052,000","3,698,000",,,"48,797,000","27,214,000","21,204,000","3,749,000"
	TotalNonCurrentAssets,"51,111,000,000","37,391,000,000","39,202,000,000","38,981,000,000","26,514,000,000","26,099,000,000","24,702,000,000","24,870,000,000","24,674,000,000","18,022,000,000","20,153,000,000","3,465,000,000","3,542,473,000","3,066,481,000","2,425,024,000","2,406,993,000","1,654,251,000","152,294,000","101,755,000","107,476,000","108,986,000","109,212,000","88,143,000","9,123,000"
		NetPPE,"1,923,000,000","1,767,000,000","1,699,000,000","1,713,000,000","1,536,000,000","1,241,000,000","1,246,000,000","1,129,000,000","1,037,000,000","874,000,000","889,000,000","144,000,000","130,962,000","94,503,000","91,735,000","88,952,000","63,524,000","26,280,000","20,348,000","19,364,000","25,625,000","32,843,000","18,567,000","9,104,000"
			GrossPPE,"4,269,000,000","3,865,000,000","3,632,000,000","3,464,000,000","3,042,000,000","2,507,000,000","2,276,000,000","1,936,000,000","1,623,000,000","1,301,000,000","1,175,000,000","387,000,000","344,793,000","297,551,000","246,455,000","198,989,000","142,928,000","85,489,000","76,571,000","68,127,000","25,625,000","32,843,000","18,567,000","9,104,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,
				LandAndImprovements,"180,000,000","155,000,000","156,000,000","146,000,000","146,000,000","145,000,000","137,000,000","136,000,000","138,000,000","138,000,000","167,000,000","0",,,,,,,"3,437,000","3,832,000",,,,
				BuildingsAndImprovements,"389,000,000","352,000,000","342,000,000","322,000,000","309,000,000","294,000,000","289,000,000","259,000,000","188,000,000","150,000,000","118,000,000","0",,,,"27,028,000","14,492,000","2,906,000","1,498,000","2,010,000",,,,
				MachineryFurnitureEquipment,"3,023,000,000","2,744,000,000","2,534,000,000","2,343,000,000","2,031,000,000","1,826,000,000","1,616,000,000","1,325,000,000","1,081,000,000","811,000,000","717,000,000","345,000,000","307,625,000","263,033,000","217,306,000","171,961,000","58,100,000","29,954,000","28,076,000","25,227,000",,,,
				OtherProperties,"305,000,000","278,000,000","278,000,000","339,000,000","287,000,000","225,000,000","275,000,000","242,000,000","197,000,000","187,000,000","229,000,000","49,000,000","49,562,000","18,266,000",,"94,733,000","70,336,000","52,629,000","43,560,000","37,058,000",,,,
				Leases,"372,000,000","336,000,000","322,000,000","314,000,000","269,000,000","242,000,000","234,000,000","216,000,000","216,000,000","202,000,000","173,000,000","42,000,000","37,168,000","34,518,000","29,149,000","27,028,000",,,,,,,,
			AccumulatedDepreciation,"-2,346,000,000","-2,098,000,000","-1,933,000,000","-1,751,000,000","-1,506,000,000","-1,266,000,000","-1,030,000,000","-807,000,000","-586,000,000","-427,000,000","-286,000,000","-243,000,000","-213,831,000","-203,048,000","-154,720,000","-110,037,000","-79,404,000","-59,209,000","-56,223,000","-48,763,000",,,,
		GoodwillAndOtherIntangibleAssets,"47,870,000,000","34,201,000,000","34,859,000,000","35,699,000,000","23,600,000,000","23,547,000,000","22,485,000,000","22,711,000,000","22,837,000,000","16,315,000,000","18,512,000,000","2,737,000,000","2,757,358,000","2,806,873,000","2,168,291,000","2,163,671,000","1,547,409,000","81,126,000","76,054,000","86,075,000","81,448,000",,,
			Goodwill,"30,553,000,000","21,111,000,000","21,123,000,000","21,291,000,000","13,342,000,000","13,085,000,000","12,216,000,000","12,291,000,000","12,079,000,000","8,535,000,000","9,189,000,000","1,938,000,000","1,902,984,000","1,916,055,000","1,465,831,000","1,434,816,000","1,009,687,000","79,575,000",,,"76,799,000",,,
