name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
OperatingCashFlow,"3,942,000,000","3,542,000,000","3,554,000,000","3,123,000,000","2,881,000,000","2,659,000,000","2,533,000,000","2,085,000,000","2,149,000,000","1,311,000,000","1,514,000,000","735,000,000","733,000,000","713,000,000","533,758,000","486,593,000","375,112,000","287,781,000","145,924,000","49,812,000","40,161,000","27,093,000"
	CashFlowFromContinuingOperatingActivities,"3,942,000,000","3,542,000,000","3,554,000,000","3,123,000,000","2,881,000,000","2,659,000,000","2,533,000,000","2,085,000,000","2,149,000,000","1,311,000,000","1,463,000,000","714,000,000","733,000,000","713,000,000","533,758,000","486,593,000","375,112,000","287,781,000","145,924,000","49,812,000","40,161,000","27,093,000"
		NetIncomeFromContinuingOperations,"2,371,000,000","2,438,000,000","1,498,000,000","4,069,000,000","2,108,000,000","1,960,000,000","2,020,000,000","2,554,000,000","1,457,000,000","1,295,000,000","1,005,000,000","320,000,000","562,000,000","522,000,000","407,767,000","314,154,000","300,972,000","240,612,000","143,268,000","40,410,000","21,949,000","13,377,000"
		OperatingGainsLosses,"109,000,000","126,000,000","1,299,000,000","-2,638,000,000","-126,000,000","-62,000,000","-110,000,000","-224,000,000",,,,"49,000,000",,"-2,000,000","15,080,000","-727,000","-47,000","-9,439,000","-158,000","133,000","-165,000",
			GainLossOnSaleOfBusiness,,"0","0","-1,419,000,000","0","0","0","-110,000,000","0",,,,,,"0","-719,000","0",,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,"15,080,000",,,,,,,
			GainLossOnInvestmentSecurities,,"4,000,000","-41,000,000","-1,261,000,000","-55,000,000",,,"-114,000,000",,,,,,,"15,080,000","-8,000","-47,000",,,,,
			EarningsLossesFromEquityInvestments,"102,000,000","122,000,000","1,340,000,000","42,000,000","-71,000,000","-62,000,000","0",,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,450,000,000","1,215,000,000","1,031,000,000","1,009,000,000","751,000,000","662,000,000","586,000,000","535,000,000","610,000,000","374,000,000","333,000,000","156,000,000","131,000,000","132,000,000","121,209,000","111,357,000","62,247,000","33,399,000","13,861,000","16,846,000","17,406,000","19,346,000"
			DepreciationAndAmortization,"1,450,000,000","1,215,000,000","1,031,000,000","1,009,000,000","751,000,000","662,000,000","586,000,000","535,000,000","610,000,000","374,000,000","333,000,000","156,000,000","131,000,000","132,000,000","121,209,000","111,357,000","62,247,000","33,399,000","13,861,000","16,846,000","17,406,000","19,346,000"
				Depreciation,,"466,000,000","421,000,000","387,000,000","363,000,000",,,,,,,,,,,,"62,247,000","32,701,000","13,714,000","15,083,000","17,024,000","19,341,000"
				AmortizationCashFlow,,"749,000,000","610,000,000","622,000,000","388,000,000",,,,,,,,,,,,"1,644,000","698,000","147,000","1,763,000","382,000","5,000"
					AmortizationOfIntangibles,,"749,000,000","610,000,000","622,000,000","388,000,000",,,,,,,,,,,,"1,644,000","698,000","147,000","1,763,000","382,000","5,000"
		DeferredTax,"-206,000,000","-329,000,000","-593,000,000","537,000,000","92,000,000","-33,000,000","27,000,000","-654,000,000","120,000,000","-108,000,000","21,000,000","-35,000,000","-24,000,000","-3,000,000","-22,800,000","-11,536,000","-16,986,000","-3,222,000","-5,345,000","-2,356,000","-579,000","-462,000"
			DeferredIncomeTax,"-206,000,000","-329,000,000","-593,000,000","537,000,000","92,000,000","-33,000,000","27,000,000","-654,000,000","120,000,000","-108,000,000","21,000,000","-35,000,000","-24,000,000","-3,000,000","-22,800,000","-11,536,000","-16,986,000","-3,222,000","-5,345,000","-2,356,000","-579,000","-462,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,"5,986,000","5,570,000","1,644,000",,,,,
		AssetImpairmentCharge,,,,,,,,,,"0","0","190,000,000","0","0","0","599,000","15,700,000",,,,,
		StockBasedCompensation,"286,000,000","257,000,000","155,000,000","188,000,000","139,000,000","139,000,000","130,000,000","135,000,000","124,000,000","111,000,000","97,000,000","64,000,000","52,000,000","53,000,000","49,320,000","53,171,000","36,382,000",,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,"-8,000,000","-8,525,000","-4,000,000","-7,977,000","-8,286,000","-44,080,000",,,,,
		OtherNonCashItems,"228,000,000","223,000,000","41,000,000","45,000,000","46,000,000","22,000,000","-134,000,000","-22,000,000","-6,000,000","-40,000,000","-101,000,000","44,000,000","-4,000,000","6,000,000","4,410,000","5,752,000","530,000","-37,832,000","-32,171,000",,,"322,000"
		ChangeInWorkingCapital,"-296,000,000","-388,000,000","123,000,000","-87,000,000","-129,000,000","-29,000,000","-96,000,000","-239,000,000","-156,000,000","-321,000,000","108,000,000","-25,000,000","16,000,000","7,000,000","-33,251,000","21,981,000","18,750,000","64,263,000","26,469,000","-5,221,000","1,550,000","-5,490,000"
			ChangeInReceivables,"-83,000,000","-71,000,000","20,000,000","-5,000,000","-149,000,000","-30,000,000","-44,000,000","-135,000,000","-65,000,000","-45,000,000","-43,000,000","-35,000,000","10,000,000","-22,000,000","-2,669,000","-27,427,000","-14,382,000","-5,248,000","-18,072,000","-5,735,000","-1,364,000","-2,689,000"
				ChangesInAccountReceivables,"-83,000,000","-71,000,000","20,000,000","-5,000,000","-149,000,000","-30,000,000","-44,000,000","-135,000,000","-65,000,000","-45,000,000","-43,000,000","-35,000,000","10,000,000","-22,000,000","-2,669,000","-27,427,000","-14,382,000",,,,,
			ChangeInPrepaidAssets,,,,,,,,,,,,,"1,057,000","-6,782,000","-6,554,000","5,659,000","-2,996,000","-2,359,000","-4,310,000","-2,778,000","-2,629,000","-1,999,000"
			ChangeInPayablesAndAccruedExpense,"30,000,000","-144,000,000","166,000,000","-150,000,000","69,000,000","34,000,000","-33,000,000","-2,000,000","14,000,000","-298,000,000","52,000,000","32,000,000","0","43,000,000","-25,338,000","43,433,000","35,099,000","-3,400,000","-290,000","951,000","253,000","-802,000"
				ChangeInPayable,"30,000,000","-144,000,000","166,000,000","-150,000,000","69,000,000","34,000,000","-33,000,000","-2,000,000","14,000,000","-298,000,000","52,000,000","32,000,000","4,132,000","43,000,000","-25,338,000","43,433,000","35,099,000",,,,,"-802,000"
					ChangeInTaxPayable,,,,,,,,,,,,"-15,000,000","15,007,000","43,000,000","-29,636,000","23,867,000","58,023,000",,,,,"3,968,000"
						ChangeInIncomeTaxPayable,,,,,,,,,,,,"-15,000,000","15,007,000","43,000,000","-29,636,000","23,867,000","58,023,000",,,,,"3,968,000"
					ChangeInAccountPayable,,"-144,000,000","166,000,000","-150,000,000","69,000,000","34,000,000","-33,000,000","-2,000,000","14,000,000","-298,000,000","52,000,000","32,000,000","0","-6,855,000","4,298,000","19,566,000",,,,,,
			ChangeInOtherCurrentAssets,"-26,000,000","-41,000,000","-196,000,000","-100,000,000","-83,000,000","-17,000,000","-45,000,000","-24,000,000","7,000,000","-5,000,000","22,000,000","7,000,000","2,000,000","-9,000,000",,,,,,,,
			ChangeInOtherCurrentLiabilities,"-218,000,000","-116,000,000","160,000,000","134,000,000","32,000,000","2,000,000","25,000,000","-86,000,000","-140,000,000","-277,000,000","19,000,000","2,000,000","8,000,000","-5,000,000",,,"58,023,000","74,003,000","49,651,000","3,661,000","5,187,000",
			ChangeInOtherWorkingCapital,"1,000,000","-16,000,000","-27,000,000","34,000,000","2,000,000","-18,000,000","1,000,000","8,000,000","28,000,000","27,000,000","58,000,000","-31,000,000","-4,000,000","-2,517,000","1,310,000","316,000","1,029,000","1,267,000","-510,000","-1,320,000","103,000",
	CashFromDiscontinuedOperatingActivities,,,,,,,,,"0","0","51,000,000","21,000,000","0",,,,,,,,,
InvestingCashFlow,"-9,869,000,000","-8,797,000,000","677,000,000","-786,000,000","-10,361,000,000","-1,740,000,000","-1,755,000,000","92,000,000","-860,000,000","-3,004,000,000","-468,000,000","-2,523,000,000","-118,000,000","-615,000,000","-633,082,000","-142,275,000","-69,746,000","-637,388,000","-27,628,000","-117,120,000","-4,777,000","-18,131,000"
	CashFlowFromContinuingInvestingActivities,"-9,869,000,000","-8,797,000,000","677,000,000","-786,000,000","-10,361,000,000","-1,740,000,000","-1,755,000,000","92,000,000","-860,000,000","-3,004,000,000","36,000,000","-2,521,000,000","-118,000,000","-615,000,000","-633,082,000","-142,275,000","-69,746,000","-637,388,000","-27,628,000","-117,120,000","-4,777,000","-18,131,000"
		CapitalExpenditureReported,"-596,000,000","-489,000,000","-482,000,000","-452,000,000","-410,000,000","-305,000,000","-280,000,000","-357,000,000","-365,000,000","-277,000,000","-250,000,000","-179,000,000","-68,000,000","-87,000,000","-47,768,000","-44,742,000","-30,484,000",,,,,"-1,606,000"
		NetPPEPurchaseAndSale,,,,,,,,,,,,,,,"-25,994,000",,"-48,812,000","-104,365,000","-19,815,000","-8,610,000","-1,703,000",
			PurchaseOfPPE,,,,,,,,,,,,,,,"-25,994,000",,"-48,812,000","-104,365,000","-19,815,000","-8,610,000","-1,703,000",
		NetIntangiblesPurchaseAndSale,,,,,,,,,,,,,,,,"-20,332,000","-18,328,000",,,,,"-5,176,000"
			PurchaseOfIntangibles,,,,,,,,,,,,,,,,"-20,332,000","-18,328,000",,,,,"-5,176,000"
		NetBusinessPurchaseAndSale,"-10,213,000,000","-10,198,000,000","-59,000,000","-66,000,000","-9,446,000,000","-292,000,000","-1,246,000,000","776,000,000","-425,000,000","-3,811,000,000","1,697,000,000","-2,241,000,000","-18,000,000","-14,000,000","-552,981,000","-37,792,000","-46,816,000","-480,114,000",,,,
			PurchaseOfBusiness,"-10,213,000,000","-10,198,000,000","-59,000,000","-66,000,000","-9,446,000,000","-352,000,000","-1,246,000,000","-423,000,000","-425,000,000","-3,811,000,000","-577,000,000","-2,241,000,000","-18,000,000","-14,000,000","-552,981,000","-39,372,000","-46,816,000",,,,,
			SaleOfBusiness,,,,"1,237,000,000","0","60,000,000","0","1,199,000,000","0","0","2,274,000,000","0","0","0","0","1,580,000","0",,,,,
		NetInvestmentPurchaseAndSale,"250,000,000","175,000,000","670,000,000","1,121,000,000","4,000,000","9,000,000","-229,000,000","-327,000,000","-70,000,000","1,089,000,000","-1,250,000,000","-26,000,000","0","-512,000,000","-13,765,000","3,901,000","25,882,000","-59,586,000","36,863,000","-107,820,000","6,463,000","-7,904,000"
			PurchaseOfInvestment,,"-12,000,000","-73,000,000","-117,000,000","0","0","-306,000,000","-327,000,000","-70,000,000","-5,000,000","-1,304,000,000","-42,000,000","0","-514,000,000","-33,306,000","-28,089,000","-211,053,000","-332,357,000","-309,227,000","-166,575,000","-24,000,000","-19,000,000"
			SaleOfInvestment,"262,000,000","187,000,000","743,000,000","1,238,000,000","4,000,000","9,000,000","77,000,000","0","0","1,089,000,000","54,000,000","16,000,000","0","2,000,000","19,541,000","31,990,000","236,935,000","272,771,000","346,090,000","58,755,000","30,463,000","11,096,000"
		NetOtherInvestingChanges,"690,000,000","1,715,000,000","548,000,000","-1,389,000,000","-509,000,000","-1,152,000,000",,,"-108,000,000","-5,000,000","-161,000,000","-75,000,000","-32,000,000","-2,000,000","-18,568,000","-63,642,000","-108,486,000","6,677,000","-44,676,000","-690,000","-9,537,000","-3,445,000"
	CashFromDiscontinuedInvestingActivities,,,,,,,,,"0","0","-504,000,000","-2,000,000","0",,,,,,,,,
FinancingCashFlow,"-6,845,000,000","-64,345,000,000","-1,841,000,000","62,026,000,000","26,000,000,000","-424,000,000","-463,000,000","-1,971,000,000","-1,462,000,000","1,976,000,000","-1,334,000,000","1,119,000,000","172,000,000","105,000,000","169,520,000","-75,112,000","-141,119,000","264,759,000","63,104,000","30,329,000","-20,324,000","-1,324,000"
	CashFlowFromContinuingFinancingActivities,"-6,845,000,000","-64,345,000,000","-1,841,000,000","62,026,000,000","26,000,000,000","-424,000,000","-463,000,000","-1,971,000,000","-1,462,000,000","1,976,000,000","-1,673,000,000","1,119,000,000","172,000,000","105,000,000","169,520,000","-75,112,000","-141,119,000","264,759,000","63,104,000","30,329,000","-20,324,000","-1,324,000"
		NetIssuancePaymentsOfDebt,"1,244,000,000","2,068,000,000","4,174,000,000","-2,639,000,000","8,696,000,000","370,000,000","1,330,000,000","-275,000,000","-949,000,000","3,130,000,000","-552,000,000","1,369,000,000","245,000,000","309,000,000","271,000,000","-71,875,000","155,599,000","221,875,000",,"-25,482,000","23,162,000","-1,870,000"
			NetLongTermDebtIssuance,"-743,000,000","114,000,000","5,186,000,000","-1,246,000,000","7,602,000,000","10,000,000","1,613,000,000","134,000,000","0","1,444,000,000","-377,000,000","289,000,000","295,000,000","309,000,000","271,000,000","-71,875,000","-382,000",,,,,"-1,870,000"
				LongTermDebtIssuance,"3,139,000,000","2,400,000,000","7,891,000,000","0","9,606,000,000","10,000,000","2,213,000,000","984,000,000","0","2,472,000,000","0","2,753,000,000","295,000,000","1,301,000,000","620,000,000","200,000,000",,,,,,
				LongTermDebtPayments,"-3,882,000,000","-2,286,000,000","-2,705,000,000","-1,246,000,000","-2,004,000,000","0","-600,000,000","-850,000,000","0","-1,028,000,000","-377,000,000","-2,464,000,000","0","-992,000,000","-349,000,000","-271,875,000","-382,000",,,,,"-1,870,000"
			NetShortTermDebtIssuance,"1,987,000,000","1,954,000,000","-1,012,000,000","-1,393,000,000","1,094,000,000","370,000,000","-283,000,000","-409,000,000","-949,000,000","1,686,000,000","-175,000,000","1,080,000,000","-50,000,000",,"271,000,000","-82,181,000","155,981,000",,,,,"0"
				ShortTermDebtIssuance,,,"7,891,000,000","0","1,094,000,000","370,000,000",,"0","0","1,686,000,000","0","1,080,000,000",,,"620,000,000","5,000,000","195,000,000",,,,,"0"
				ShortTermDebtPayments,,,"-1,012,000,000","-2,639,000,000","-2,004,000,000","0","-283,000,000","-409,000,000","-949,000,000","0","-175,000,000","0","-50,000,000",,"-349,000,000","-87,181,000","-39,019,000",,,,,
		NetCommonStockIssuance,"-101,000,000","-78,000,000","-705,000,000","-320,000,000","-1,321,000,000","-1,525,000,000","-1,278,000,000","-1,037,000,000","-104,000,000","-705,000,000","-690,000,000","-77,000,000","-72,000,000","-190,000,000","-104,202,000","-12,070,000","-300,000,000","-15,553,000","22,108,000","56,005,000","-43,486,000","546,000"
			CommonStockIssuance,,,,,,,,,,,,,,,,,"5,210,000","9,931,000","22,108,000","56,005,000","14,000","546,000"
			CommonStockPayments,"-101,000,000","-78,000,000","-705,000,000","-320,000,000","-1,321,000,000","-1,525,000,000","-1,278,000,000","-1,037,000,000","-104,000,000","-705,000,000","-690,000,000","-77,000,000","-72,000,000","-190,000,000","-104,202,000","-12,070,000","-300,000,000","-25,484,000",,,"-43,500,000","0"
		CashDividendsPaid,"-1,002,000,000","-955,000,000","-853,000,000","-747,000,000","-669,000,000","-621,000,000","-555,000,000","-476,000,000","-409,000,000","-331,000,000","-299,000,000","-75,000,000","0","0",,,"-3,447,000",,,,,
			CommonStockDividendPaid,"-1,002,000,000","-955,000,000","-853,000,000","-747,000,000","-669,000,000","-621,000,000","-555,000,000","-476,000,000","-409,000,000","-331,000,000","-299,000,000","-75,000,000","0","0",,,,,,,,
		ProceedsFromStockOptionExercised,,,,,,,,,,"19,000,000","13,000,000","13,000,000","7,000,000","9,000,000","12,768,000","12,704,000","-40,798,000",,,,,
		NetOtherFinancingCharges,"-6,986,000,000","-65,380,000,000","-4,457,000,000","65,732,000,000","19,294,000,000","1,352,000,000","40,000,000","-183,000,000",,"-118,000,000","-132,000,000","-111,000,000","-8,000,000","-23,000,000","-10,046,000","-3,871,000","44,080,000","58,437,000","40,996,000","-194,000",,
	CashFromDiscontinuedFinancingActivities,,,,,,,,,"0","0","339,000,000","0","0",,,,,,,,,
EndCashPosition,"82,640,000,000","80,750,000,000","150,343,000,000","147,976,000,000","83,619,000,000","65,091,000,000","1,872,000,000","1,568,000,000","1,350,000,000","1,547,000,000","652,000,000","961,000,000","1,612,000,000","823,000,000","621,792,000","552,465,000","283,522,000","119,597,000","204,257,000","20,002,000","61,199,000","44,913,000"
	ChangesInCash,"-12,772,000,000","-69,600,000,000","2,390,000,000","64,363,000,000","18,520,000,000","495,000,000","315,000,000","206,000,000","-173,000,000","283,000,000","-288,000,000","-669,000,000","787,000,000","203,000,000","70,196,000","269,206,000","164,247,000","-84,848,000","181,400,000","-36,979,000","15,060,000","7,638,000"
