name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"-10,339,000,000","12,974,000,000","107,119,000,000","78,084,000,000","-79,910,000,000","4,092,000,000","15,614,000,000","-10,827,000,000","21,884,000,000","73,466,000,000","36,593,000,000","107,953,000,000","25,079,000,000","95,932,000,000","-3,752,000,000","122,797,000,000","23,930,000,000","-110,560,000,000","-49,579,000,000","-30,236,000,000","-15,147,000,000","14,601,000,000","-25,134,000,000","-3,107,000,000","-13,676,000,000","50,000,000","3,592,000,000","5,461,000,000","-983,000,000","-356,000,000","2,350,000,000","-8,486,000,000","5,757,000,000","137,000,000","609,000,000","1,101,000,000"
	CashFlowFromContinuingOperatingActivities,"-10,339,000,000","12,974,000,000","107,119,000,000","78,084,000,000","-79,910,000,000","4,092,000,000","15,614,000,000","-10,827,000,000","21,884,000,000","73,466,000,000","36,593,000,000","107,953,000,000","25,079,000,000","95,932,000,000","-3,752,000,000","122,797,000,000","23,930,000,000","-110,560,000,000","-49,579,000,000","-30,236,000,000","-15,147,000,000","14,601,000,000","-25,134,000,000","-3,107,000,000","-13,676,000,000","50,000,000","3,592,000,000","5,461,000,000","-983,000,000","-356,000,000","2,350,000,000","-8,486,000,000","5,757,000,000","137,000,000","609,000,000","1,101,000,000"
		NetIncomeFromContinuingOperations,"54,026,000,000","49,552,000,000","37,676,000,000","48,334,000,000","29,131,000,000","36,431,000,000","32,474,000,000","24,441,000,000","24,733,000,000","24,442,000,000","21,745,000,000","17,886,000,000","21,284,000,000","18,976,000,000","17,370,000,000","11,728,000,000","5,605,000,000","15,365,000,000","14,444,000,000","8,483,000,000","4,466,000,000","6,719,000,000","1,663,000,000","1,694,000,000","5,727,000,000","7,501,000,000","3,782,000,000","3,708,000,000","2,461,000,000","2,970,000,000","1,294,000,000","1,569,000,000","1,086,000,000","154,000,000","291,200,000","-482,200,000"
		OperatingGainsLosses,,"-2,775,000,000",,,,,,,,,"-77,000,000","-667,000,000","-2,110,000,000","-1,593,000,000","-2,965,000,000","-1,110,000,000","-3,100,000,000","-164,000,000","-593,000,000","82,000,000","-1,121,000,000",,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,"-2,775,000,000","0","0",,,,,,,,,,,,,"-199,000,000","0","-1,136,000,000","-1,254,000,000","-17,000,000",,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,"-77,000,000","-667,000,000","-2,110,000,000","-1,593,000,000","-2,965,000,000","-1,110,000,000","-1,560,000,000","-164,000,000","543,000,000","1,336,000,000","-338,000,000",,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,"-404,000,000","55,000,000","-766,000,000",,,,,,,,,,,,,,,
			RealizedGainLossOnSaleOfLoansAndLease,,,,,,,,,,,,,,"1,531,000,000","3,070,000,000","11,485,000,000","3,134,000,000",,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"9,362,000,000","7,512,000,000","7,051,000,000","7,932,000,000","8,614,000,000","8,368,000,000","7,791,000,000","6,179,000,000","5,478,000,000","4,940,000,000","4,759,000,000","5,306,000,000","5,147,000,000","5,105,000,000","4,965,000,000","4,358,000,000","4,528,000,000","3,821,000,000","3,577,000,000","4,318,000,000","3,835,000,000","3,101,000,000","3,426,000,000","2,891,000,000","2,545,000,000","1,945,000,000","1,170,000,000","951,000,000","869,000,000","866,000,000","377,000,000","333,000,000","319,000,000","192,000,000","236,000,000","209,000,000"
			DepreciationAndAmortization,"9,362,000,000","7,512,000,000","7,051,000,000","7,932,000,000","8,614,000,000","8,368,000,000","7,791,000,000","6,179,000,000","5,478,000,000","4,940,000,000","4,759,000,000","5,306,000,000","5,147,000,000","5,105,000,000","4,965,000,000","4,358,000,000","4,528,000,000","3,821,000,000","3,577,000,000","4,318,000,000","3,835,000,000","3,101,000,000","3,426,000,000","2,891,000,000","2,545,000,000","1,945,000,000","1,170,000,000","951,000,000","869,000,000","866,000,000","377,000,000","333,000,000","319,000,000","192,000,000","236,000,000","209,000,000"
