name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalAssets,"188,281,000,000","189,813,000,000","186,346,000,000","170,336,000,000","144,988,000,000","139,613,000,000","137,698,000,000","136,453,000,000","95,131,000,000","93,821,000,000","92,934,000,000","89,236,000,000","88,785,000,000","91,843,000,000","93,287,000,000","104,531,000,000","98,228,000,000","92,337,000,000","93,126,000,000","90,747,000,000","84,487,000,000","85,202,000,000","80,938,000,000","87,270,000,000","83,395,000,000","80,020,000,000","73,699,000,000","67,621,000,000","66,339,000,000","66,798,100,000","27,007,300,000","24,978,300,000","15,404,500,000","15,110,200,000","10,903,300,000"
	CashCashEquivalentsAndFederalFundsSold,"941,000,000","887,000,000","913,000,000","1,091,000,000","732,000,000","678,000,000","671,000,000","677,000,000","607,000,000","653,000,000","617,000,000","584,000,000","694,000,000","278,000,000","471,000,000","1,245,000,000","1,814,000,000","2,264,000,000","3,108,000,000","2,454,000,000","2,712,000,000","3,364,000,000","2,891,000,000","3,189,000,000","2,816,000,000","3,296,000,000","3,651,000,000","3,444,000,000","3,444,000,000","3,511,400,000","1,375,600,000","2,120,900,000","1,610,000,000","1,321,000,000","1,591,400,000"
		CashAndCashEquivalents,"941,000,000","887,000,000","913,000,000","1,091,000,000","732,000,000","678,000,000","671,000,000","677,000,000","607,000,000","653,000,000","617,000,000","584,000,000","694,000,000","278,000,000","471,000,000","1,245,000,000","1,814,000,000","2,264,000,000","3,108,000,000","2,454,000,000","2,712,000,000","3,364,000,000","2,891,000,000","3,189,000,000","2,816,000,000","3,296,000,000","3,651,000,000","3,444,000,000","3,444,000,000","3,511,400,000","1,375,600,000","2,022,900,000","1,529,000,000","1,298,500,000","1,580,700,000"
			CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,345,100,000","850,300,000","999,500,000","783,200,000"
			CashAndDueFromBanks,"941,000,000","887,000,000","913,000,000","1,091,000,000","732,000,000","678,000,000","671,000,000","677,000,000","607,000,000","653,000,000","617,000,000","584,000,000","694,000,000","278,000,000","471,000,000","1,245,000,000","1,814,000,000","2,264,000,000","3,108,000,000","2,454,000,000","2,712,000,000","3,364,000,000","2,891,000,000","3,189,000,000","2,816,000,000","3,296,000,000","3,651,000,000","3,444,000,000","3,444,000,000","3,511,400,000","1,375,600,000","677,800,000","678,700,000","299,000,000","797,500,000"
		RestrictedCashAndInvestments,,,,,,,,,,,,,"1,163,000,000","1,358,000,000","1,488,000,000","1,526,000,000",,,,,,,,,,,,,,,,,,,
		MoneyMarketInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,000,000","81,000,000","22,500,000","10,700,000"
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,000,000","81,000,000","22,500,000","10,700,000"
	CustomerAcceptances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,400,000","65,200,000","49,500,000","31,700,000"
	BankOwnedLifeInsurance,"4,383,000,000","4,369,000,000","4,327,000,000","4,286,000,000","4,233,000,000","4,171,000,000","4,132,000,000","4,068,000,000","3,541,000,000","3,479,000,000","3,408,000,000","3,333,000,000","3,256,000,000","3,167,000,000","3,071,000,000","2,970,000,000","2,872,000,000","2,782,000,000","2,690,000,000",,,,,,,,,,,,,,,,
	SecuritiesAndInvestments,"58,960,000,000","52,382,000,000","65,235,000,000","52,683,000,000","34,782,000,000","34,999,000,000","35,963,000,000","34,806,000,000","23,259,000,000","24,152,000,000","24,396,000,000","21,625,000,000","23,426,000,000","25,626,000,000","21,082,000,000","16,298,000,000","10,998,000,000","10,627,000,000","10,284,000,000","10,415,000,000","10,432,000,000","11,178,000,000","8,363,000,000","10,411,000,000","9,511,000,000","8,228,000,000","10,866,000,000","10,025,000,000","10,430,000,000","13,821,900,000","6,391,300,000","5,609,600,000","3,564,600,000","3,190,100,000","1,906,300,000"
		TradingSecurities,"1,139,000,000","815,000,000","683,000,000","717,000,000","995,000,000","824,000,000","821,000,000","849,000,000","782,000,000","748,000,000","735,000,000","596,000,000","623,000,000","974,000,000","1,186,000,000","1,280,000,000","1,056,000,000","912,000,000",,,,,,,,,,,,,,"3,000,000","1,600,000","25,100,000","38,200,000"
