name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"5,965,000,000","6,215,000,000","7,026,000,000","7,038,000,000","6,490,000,000","6,180,000,000","6,157,000,000","6,063,000,000","4,755,000,000","4,069,000,000","3,934,000,000","3,928,000,000","3,930,000,000","3,772,000,000","4,289,000,000","4,231,000,000","4,025,000,000","4,813,000,000","4,808,000,000","4,597,000,000","4,254,000,000","4,485,000,000","4,518,000,000","4,550,000,000","4,924,000,000","5,102,000,000","4,324,000,000","4,100,000,000","3,804,000,000","3,569,000,000","3,575,800,000","1,708,800,000","1,631,900,000","911,900,000","862,800,000","587,300,000",,,,
	NetInterestIncome,"3,598,000,000","3,913,000,000","4,527,000,000","4,071,000,000","4,034,000,000","3,909,000,000","3,909,000,000","3,777,000,000","2,919,000,000","2,348,000,000","2,293,000,000","2,325,000,000","2,264,000,000","2,267,000,000","2,511,000,000","2,380,000,000","2,316,000,000","2,686,000,000","2,815,000,000","2,656,000,000","2,456,000,000","2,725,000,000","2,749,000,000","2,825,000,000","2,730,000,000","2,787,000,000","2,749,000,000","2,794,000,000","2,717,000,000","2,636,000,000","2,693,200,000","1,199,000,000","1,130,400,000","686,800,000","624,300,000","425,800,000",,,,
		InterestIncome,"8,213,000,000","7,927,000,000","5,412,000,000","4,367,000,000","4,685,000,000","5,235,000,000","4,878,000,000","4,390,000,000","3,319,000,000","2,622,000,000","2,554,000,000","2,620,000,000","2,705,000,000","2,889,000,000","3,408,000,000","3,795,000,000","4,353,000,000","5,336,000,000","5,380,000,000","4,383,000,000","3,562,000,000","3,970,000,000","4,366,000,000","5,627,000,000","6,277,000,000","5,695,000,000","5,525,000,000","5,262,000,000","4,951,000,000","5,121,000,000","4,490,100,000","1,871,300,000","1,903,400,000","1,384,100,000","1,486,900,000","987,100,000",,,,
			InterestIncomeFromLoansAndLease,"6,282,000,000","6,280,000,000","4,297,000,000","3,582,000,000","3,935,000,000","4,330,000,000","4,089,000,000","3,729,000,000","2,807,000,000","2,186,000,000","2,131,000,000","2,171,000,000","2,175,000,000","2,220,000,000","2,670,000,000","3,223,000,000","3,808,000,000","4,827,000,000","4,886,000,000","3,947,000,000","3,160,000,000","3,550,000,000","3,913,000,000","5,067,000,000","5,699,000,000","5,146,000,000","4,935,000,000","4,618,000,000","4,339,000,000","4,335,000,000","3,659,600,000","1,432,800,000","1,415,500,000","1,014,500,000","1,157,200,000","763,900,000",,,,
				InterestIncomeFromLoans,"6,282,000,000","6,280,000,000","4,297,000,000","3,582,000,000","3,935,000,000","4,330,000,000","4,089,000,000","3,729,000,000","2,807,000,000","2,186,000,000","2,131,000,000","2,171,000,000","2,175,000,000","2,220,000,000","2,670,000,000","3,223,000,000","3,808,000,000","4,827,000,000","4,886,000,000","3,947,000,000","3,160,000,000","3,550,000,000","3,913,000,000","5,067,000,000","5,699,000,000","5,146,000,000","4,935,000,000","4,618,000,000","4,339,000,000","4,335,000,000","3,659,600,000","1,432,800,000","1,415,500,000","1,014,500,000","1,157,200,000","763,900,000",,,,
			InterestIncomeFromSecurities,"1,931,000,000","1,647,000,000","1,115,000,000","785,000,000","750,000,000","905,000,000","789,000,000","661,000,000","512,000,000","436,000,000","423,000,000","449,000,000","530,000,000","669,000,000","738,000,000","572,000,000","545,000,000","509,000,000","494,000,000","436,000,000","402,000,000","420,000,000","453,000,000","560,000,000","578,000,000","549,000,000","590,000,000","644,000,000","612,000,000","786,000,000","830,400,000","438,500,000","463,500,000","336,300,000","277,100,000","150,900,000",,,,
			InterestIncomeFromDeposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,900,000","32,500,000","44,400,000","57,800,000",,,,
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,500,000","800,000","3,500,000","10,200,000",,,,
			OtherInterestIncome,,,,,,"13,000,000","21,000,000","17,000,000","16,000,000","18,000,000","22,000,000","29,000,000","38,000,000","42,000,000","49,000,000",,,,,,,,,,,,,,,"15,300,000","100,000",,,,"4,700,000","4,300,000",,,,
		InterestExpense,"4,615,000,000","4,014,000,000","885,000,000","296,000,000","651,000,000","1,326,000,000","969,000,000","613,000,000","400,000,000","274,000,000","261,000,000","295,000,000","441,000,000","622,000,000","897,000,000","1,415,000,000","2,037,000,000","2,650,000,000","2,565,000,000","1,727,000,000","1,106,000,000","1,245,000,000","1,617,000,000","2,802,000,000","3,547,000,000","2,908,000,000","2,776,000,000","2,468,000,000","2,234,000,000","2,485,000,000","1,796,900,000","672,300,000","773,000,000","697,300,000","862,600,000","561,300,000",,,,
