name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalAssets,"317,294,194,000","275,346,636,000","264,285,440,000","79,806,502,000","60,899,319,000","50,743,375,000","45,834,719,000","39,002,897,000","71,042,339,000","65,872,745,000","51,427,201,000","44,426,353,000","40,377,645,000","38,391,157,000","30,221,111,000","22,441,030,000"
	CurrentAssets,"61,375,103,000","43,645,263,000","39,657,494,000","9,032,750,000","4,387,979,000","4,158,523,000","5,543,836,000","6,098,016,000","3,856,830,000","3,969,321,000","3,190,517,000","3,055,979,000","2,604,721,000",,,
		CashCashEquivalentsAndShortTermInvestments,"20,348,567,000","12,823,556,000","10,091,602,000","6,507,874,000","3,163,154,000","2,445,147,000","3,679,059,000","4,133,660,000","2,519,860,000","2,290,855,000","1,747,191,000","1,817,638,000","1,774,147,000","1,434,595,000","828,830,000","1,163,965,000"
			CashAndCashEquivalents,"20,348,567,000","12,823,556,000","10,091,602,000","6,507,874,000","3,163,154,000","2,445,147,000","3,679,059,000","4,133,660,000","2,519,860,000","2,290,855,000","1,747,191,000","1,817,638,000","1,774,147,000","1,434,595,000","828,830,000","1,163,965,000"
		Receivables,"40,255,895,000","30,120,702,000","29,008,604,000","1,935,886,000","1,051,505,000","1,424,295,000","1,699,427,000","1,687,444,000","1,031,319,000","1,535,396,000","1,348,804,000","1,138,635,000","730,037,000","136,556,000","123,988,000","29,889,000"
			AccountsReceivable,"243,738,000","167,670,000","167,657,000","75,697,000","26,893,000","27,258,000","138,109,000","49,279,000","78,297,000","55,876,000","19,455,000","267,126,000","30,060,000",,,
			AccruedInterestReceivable,"351,999,000","223,660,000","144,221,000","145,532,000","156,026,000","241,547,000","189,785,000","158,511,000","372,699,000","594,288,000","380,099,000","469,456,000","319,402,000",,,
			TaxesReceivable,,"22,851,000","103,954,000","0",,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,"1,446,852,000","1,663,303,000","1,224,283,000","872,994,000","717,399,000","657,189,000","554,349,000","250,452,000","139,783,000","147,056,000","143,908,000","122,185,000","149,605,000",,,
			OtherReceivables,"38,213,306,000","28,066,069,000","27,368,489,000","841,663,000","151,187,000","498,301,000","817,184,000","1,229,202,000","440,540,000","738,176,000","805,342,000","279,868,000","230,970,000",,,
		PrepaidAssets,"311,088,000","139,191,000","122,586,000","103,407,000","99,058,000","92,716,000","109,048,000","64,757,000","38,023,000","40,079,000","36,747,000","12,079,000","10,709,000",,,
		RestrictedCash,"459,553,000","561,814,000","434,702,000","485,583,000","74,262,000","196,365,000","56,302,000","212,155,000","267,628,000","102,991,000","57,775,000","87,627,000","89,828,000",,,
	TotalNonCurrentAssets,"255,919,091,000","231,701,373,000","224,627,946,000","70,773,752,000","56,511,340,000","46,584,852,000","40,290,883,000","32,904,881,000","67,185,509,000","61,903,424,000","48,236,684,000","41,370,374,000","37,772,924,000",,,
		NetPPE,"1,394,735,000","1,376,960,000","1,209,394,000","951,364,000","969,369,000","676,462,000","616,574,000","559,956,000","581,877,000","536,905,000","268,013,000","79,570,000","59,619,000",,,
			GrossPPE,"1,652,135,000","1,565,760,000","1,209,394,000","1,102,664,000","1,102,069,000","789,962,000","773,433,000","701,867,000","717,364,000","659,813,000","368,737,000","172,037,000","140,120,000",,,
				OtherProperties,"1,652,135,000","1,565,760,000","1,209,394,000","1,102,664,000","1,102,069,000","789,962,000","773,433,000","701,867,000","717,364,000","659,813,000","368,737,000","172,037,000","140,120,000",,,
			AccumulatedDepreciation,"-257,400,000","-188,800,000","-141,600,000","-151,300,000","-132,700,000","-113,500,000","-156,859,000","-141,911,000","-135,487,000","-122,908,000","-100,724,000","-92,467,000","-80,501,000",,,
		GoodwillAndOtherIntangibleAssets,"7,393,776,000","5,451,327,000","2,291,544,000","83,500,000","83,500,000","83,500,000","212,678,000","224,024,000","265,987,000","298,202,000","266,545,000","286,484,000","24,310,000",,,
			Goodwill,"1,059,775,000","1,095,766,000","584,996,000","83,500,000","83,500,000","83,500,000","83,500,000","89,000,000","89,000,000","89,000,000","89,000,000","89,000,000","0",,,
			OtherIntangibleAssets,"6,334,001,000","4,355,561,000","1,706,548,000",,,"9,863,000","129,178,000","135,024,000","176,987,000","209,202,000","177,545,000","197,484,000","24,310,000",,,
		InvestmentsAndAdvances,"240,005,124,000","216,574,639,000","212,539,189,000","69,274,715,000","54,936,268,000","44,907,982,000","39,013,934,000","31,409,765,000","65,305,931,000","60,167,626,000","47,383,697,000","40,697,848,000","37,495,360,000",,,
			LongTermEquityInvestment,,,,,,,,,,,,,"34,637,901,000","34,642,166,000","27,950,840,000","20,230,405,000"
		FinancialAssets,"315,107,000","1,400,625,000","1,887,078,000","258,237,000","211,711,000","218,259,000","181,658,000","322,220,000","640,886,000","528,985,000","94,170,000","142,778,000","114,224,000",,,
		NonCurrentDeferredAssets,"2,341,550,000","2,343,304,000","859,599,000","106,632,000","170,948,000","552,032,000","139,478,000","315,143,000","376,038,000","299,021,000","202,272,000","141,205,000","60,803,000",,,
			NonCurrentDeferredTaxesAssets,"2,322,337,000","2,326,922,000","841,646,000","83,822,000","158,574,000","538,161,000","131,944,000","286,948,000","275,391,000","237,982,000","165,699,000","105,654,000","34,125,000",,,
		NonCurrentPrepaidAssets,,,,,,"7,299,000","16,330,000",,,,"6,924,000","7,428,000","8,242,000",,,
		OtherNonCurrentAssets,"4,468,799,000","4,554,518,000","5,841,142,000","99,304,000","139,544,000","146,617,000","110,231,000","73,773,000","14,790,000","72,685,000","21,987,000","15,061,000","10,366,000",,,
TotalLiabilitiesNetMinorityInterest,"258,915,282,000","219,975,946,000","206,146,220,000","39,006,586,000","30,396,945,000","25,360,766,000","25,171,919,000","21,884,814,000","21,574,754,000","14,168,684,000","4,842,383,000","3,020,899,000","2,692,995,000","2,391,115,000","2,859,630,000","2,590,673,000"
