name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalAssets,"4,635,781,000","5,852,561,000","7,147,181,000","5,971,861,000","5,639,581,000","4,997,241,000","4,928,677,000","4,556,508,000","4,477,774,000","3,332,236,000","3,011,137,000","2,986,893,000","3,081,936,000","3,422,532,000","3,147,762,000","2,862,931,000","3,840,413,000","3,208,665,000","1,910,897,000","3,499,224,000","3,257,229,000","2,460,725,000","3,569,362,000"
	CurrentAssets,"2,290,426,000","3,583,671,000","4,523,259,000","3,544,970,000","3,295,441,000","3,155,486,000","3,182,176,000","2,362,888,000","2,213,841,000","2,020,546,000","1,874,243,000","1,909,101,000","2,091,186,000",,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"1,190,892,000","2,014,019,000","2,812,566,000","2,524,339,000","2,412,279,000","2,253,506,000","2,419,267,000","1,578,453,000","1,521,944,000","1,274,340,000","1,086,361,000","1,142,684,000","1,289,828,000","1,566,234,000","1,061,107,000","909,707,000","1,055,844,000","969,483,000","492,309,000","273,668,000",,,
			CashAndCashEquivalents,"971,316,000","1,234,773,000","1,465,022,000","1,389,876,000","1,231,593,000","1,246,537,000","1,483,836,000","1,158,785,000","1,132,083,000","1,066,580,000","841,482,000","850,190,000","1,003,791,000","1,566,234,000","1,061,107,000","909,707,000","1,055,844,000","969,483,000","492,309,000","273,668,000",,,
				CashFinancial,,,,,"1,231,593,000","1,246,537,000","1,483,836,000","1,158,785,000","1,132,083,000","1,066,580,000","841,482,000","850,190,000","1,003,791,000",,,,,,,,,,
				CashEquivalents,,,,,"2,412,279,000","2,253,506,000","2,419,267,000","1,578,453,000","1,521,944,000","1,274,340,000","1,086,361,000","1,142,684,000","1,289,828,000","1,209,695,000","917,329,000",,,,,,,,
			OtherShortTermInvestments,"219,576,000","779,246,000","1,347,544,000","1,134,463,000","1,180,686,000","1,006,969,000","935,431,000","419,668,000","389,861,000","207,760,000","244,879,000","292,494,000","286,037,000",,,,,,,,,,
		Receivables,"832,019,000","726,430,000","855,087,000","792,288,000","722,186,000","720,973,000","610,420,000","670,049,000","527,892,000","591,715,000","622,689,000","615,437,000","633,709,000","568,704,000","525,697,000","712,526,000","1,097,178,000","1,234,896,000","771,378,000","891,524,000",,,
			AccountsReceivable,"762,319,000","652,758,000","805,809,000","743,141,000","663,138,000","685,534,000","571,616,000","638,282,000","497,213,000","557,596,000","504,755,000","454,242,000","485,954,000",,,,,,,,,,
				GrossAccountsReceivable,"790,822,000","670,496,000","839,766,000","779,790,000","690,268,000","725,698,000","595,362,000","654,668,000","510,095,000","581,136,000","504,755,000","454,242,000","485,954,000",,,,,,,,,,
