name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"79,197,000,000","75,567,000,000","81,626,000,000","80,236,000,000","82,243,000,000","78,316,000,000","79,586,000,000","76,594,000,000","76,006,000,000","78,367,000,000","79,939,000,000","80,021,000,000","75,268,000,000","76,277,000,000","74,070,000,000","69,870,000,000","76,115,000,000","76,880,900,000","70,675,600,000","73,749,500,000","77,674,000,000","70,515,600,000","74,732,900,000","71,588,700,000","69,463,700,000","70,979,400,000","69,983,100,000","67,402,900,000","65,516,900,000","50,336,000,000","45,849,752,000","40,492,100,000","39,195,400,000","34,735,900,000","32,451,300,000","25,829,500,000","22,209,200,000","19,024,300,000","16,119,800,000"
	TotalInvestments,"49,369,000,000","46,768,000,000","53,938,000,000","53,844,000,000","51,250,000,000","48,186,000,000","52,226,000,000","50,711,000,000","49,400,000,000","52,032,000,000","52,945,000,000","53,048,000,000","49,028,000,000","48,907,000,000","46,034,000,000","38,450,000,000","46,669,000,000","51,700,900,000","43,595,000,000","42,473,000,000","40,934,100,000","38,715,900,000","39,571,800,000","39,027,100,000","39,265,700,000","41,582,200,000","40,640,700,000","38,919,500,000","38,818,300,000","30,904,100,000","27,096,919,000","330,100,000",,,,,,,
		EquityInvestments,"1,050,000,000","1,139,000,000","1,674,000,000","1,561,000,000","1,306,000,000","1,293,000,000","1,224,000,000","549,000,000","752,000,000","728,000,000","871,000,000","898,000,000","927,000,000","38,900,000,000","36,823,000,000","30,636,000,000","36,010,000,000","38,878,500,000","34,488,400,000","34,166,200,000","29,669,500,000","28,554,200,000","32,837,000,000","29,926,800,000","31,947,900,000","33,790,100,000","31,886,500,000","30,614,600,000","31,681,300,000","22,290,200,000","18,898,112,000",,,,,,,,
		TradingAssets,"201,000,000","70,000,000","7,000,000","42,000,000","53,000,000","157,000,000","649,000,000","601,000,000","120,000,000","120,000,000","123,000,000","161,000,000","109,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		NetLoan,"1,123,000,000","1,124,000,000","1,091,000,000","1,165,000,000","1,072,000,000","901,000,000","945,000,000","683,000,000","824,000,000","731,000,000","562,000,000","460,000,000","245,000,000",,,,,,,,,,,,,,,,"177,200,000","176,300,000","173,606,000","330,100,000",,,,,,,
			MortgageAndConsumerloans,"1,123,000,000","1,124,000,000","1,091,000,000","1,165,000,000","1,072,000,000","901,000,000","945,000,000","683,000,000","824,000,000","731,000,000","562,000,000","460,000,000","245,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		LongTermEquityInvestment,"2,174,000,000","1,954,000,000","1,933,000,000","1,798,000,000","2,004,000,000","2,424,000,000","3,278,000,000","3,220,000,000","3,313,000,000","3,674,000,000","3,420,000,000","3,090,000,000","2,711,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentsInOtherVenturesUnderEquityMethod,"2,174,000,000","1,954,000,000","1,933,000,000","1,798,000,000","2,004,000,000","2,424,000,000","3,278,000,000","3,220,000,000","3,313,000,000","3,674,000,000","3,420,000,000","3,090,000,000","2,711,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"44,821,000,000","42,481,000,000","49,233,000,000","49,278,000,000","46,815,000,000","43,411,000,000","46,130,000,000","45,658,000,000","44,391,000,000","46,779,000,000","47,969,000,000","48,439,000,000","45,036,000,000","7,080,000,000","7,215,000,000","6,033,000,000","8,230,000,000","12,822,400,000","9,106,600,000","8,306,800,000","11,264,600,000","10,161,700,000","6,734,800,000","9,100,300,000","7,317,800,000","7,792,100,000","8,754,200,000","8,304,900,000","7,137,000,000","8,437,600,000","8,025,201,000",,,,,,,,
			ShortTermInvestmentsAvailableForSale,"44,821,000,000","42,481,000,000","49,233,000,000","49,278,000,000","46,815,000,000","43,411,000,000","46,130,000,000","45,658,000,000","44,391,000,000","46,779,000,000","47,969,000,000","48,439,000,000","45,036,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
