name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"2,904,000,000","3,907,000,000","3,314,000,000","2,623,000,000","1,745,000,000","1,741,000,000","4,222,000,000","2,590,000,000","2,253,000,000","3,547,000,000","2,990,000,000","2,096,000,000","2,854,000,000","3,965,000,000","43,000,000","4,591,000,000","3,371,000,000","5,671,000,000","1,714,700,000","3,367,100,000","2,821,100,000","2,783,800,000","1,788,200,000","539,000,000","-438,800,000","-2,068,400,000","-236,200,000","243,800,000","943,700,000","1,295,900,000","1,499,300,000","1,660,678,000","1,687,400,000","2,715,300,000","2,310,100,000","1,907,500,000"
	CashFlowFromContinuingOperatingActivities,"2,904,000,000","3,907,000,000","3,314,000,000","2,623,000,000","1,745,000,000","1,741,000,000","4,222,000,000","2,590,000,000","2,253,000,000","3,547,000,000","2,990,000,000","2,096,000,000","2,854,000,000","3,965,000,000","43,000,000","4,614,000,000","3,229,000,000","4,775,000,000","1,714,700,000","3,367,100,000","2,821,100,000","2,783,800,000","1,788,200,000","539,000,000","-438,800,000","-2,068,400,000","-236,200,000","243,800,000","943,700,000","1,295,900,000","1,499,300,000","1,660,678,000","1,687,400,000","2,715,300,000","2,310,100,000","1,907,500,000"
		NetIncomeFromContinuingOperations,"1,633,000,000","1,545,000,000","891,000,000","1,685,000,000","-1,291,000,000","871,000,000","706,000,000","1,412,000,000","716,000,000","287,000,000","962,000,000","1,069,000,000","1,110,000,000","1,694,000,000","2,008,000,000","1,385,000,000","580,000,000","1,587,000,000","2,517,000,000","1,192,900,000","1,231,300,000","-667,400,000","912,000,000","-587,100,000","1,848,600,000","363,200,000","464,800,000","793,600,000","1,383,900,000","1,765,700,000","267,800,000","594,121,000","-22,100,000","904,300,000","804,700,000","907,100,000"
		OperatingGainsLosses,,"71,000,000","435,000,000","-734,000,000","1,348,000,000","-29,000,000","629,000,000","-97,000,000","171,000,000","253,000,000","468,000,000","-406,000,000","-57,000,000","52,000,000","-56,000,000","853,000,000",,"132,000,000","-2,023,600,000","-125,700,000","100,800,000","149,900,000","-305,200,000","312,500,000","-157,500,000","-759,000,000",,"-682,400,000","-247,200,000",,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,"451,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"53,000,000","199,000,000","-660,000,000","1,246,000,000","-49,000,000","57,000,000","-122,000,000","-50,000,000","71,000,000","-47,000,000","-26,000,000","-57,000,000","52,000,000","-56,000,000","853,000,000",,"132,000,000","-2,023,600,000","-125,700,000","100,800,000","149,900,000","-305,200,000","312,500,000","-157,500,000","-759,000,000",,"-682,400,000","-247,200,000",,,,,,,
			EarningsLossesFromEquityInvestments,,"18,000,000","236,000,000","-74,000,000","102,000,000","20,000,000","572,000,000","25,000,000","221,000,000","182,000,000","64,000,000","-380,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortization,,"538,000,000","509,000,000","515,000,000","734,000,000","943,000,000","912,000,000","874,000,000","841,000,000","955,000,000","899,000,000","871,000,000","905,000,000","833,000,000","816,000,000","784,000,000","393,000,000","205,000,000","-8,000,000","174,500,000","329,300,000","192,000,000","139,000,000","58,700,000","-13,900,000","395,300,000","437,000,000","341,700,000","285,000,000","225,800,000","160,700,000","135,101,000","11,000,000","-45,000,000","-24,800,000","-235,500,000"
			Depreciation,,,,,,,,,"841,000,000",,"899,000,000",,,,,,,"511,000,000","399,500,000","382,100,000","350,800,000","325,100,000","325,600,000","374,700,000","356,600,000","696,500,000","654,300,000","456,900,000","462,600,000","367,200,000","280,700,000","230,363,000",,,,
			AmortizationCashFlow,,,,,,,,,,,,,,,,,,"-290,000,000","-407,500,000","-207,600,000","-21,500,000","-133,100,000","-186,600,000","-316,000,000","-370,500,000","-301,200,000","-217,300,000","-115,200,000","-177,600,000","-141,400,000","-120,000,000","-95,262,000",,,,
