name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"16,459,000,000","15,678,000,000","14,050,000,000","13,727,000,000","13,667,000,000","14,727,000,000","14,044,000,000","13,735,000,000","13,105,000,000","13,415,000,000","14,325,000,000","14,613,000,000","14,072,000,000","14,129,000,000","14,615,000,000","14,117,000,000","13,247,000,000","14,302,000,000","17,911,000,000","16,017,800,000","15,242,300,000","16,293,000,000","17,463,900,000","18,736,200,000","20,633,000,000","21,465,200,000","21,296,000,000","20,138,800,000","20,442,400,000","18,677,400,000","13,515,200,000","13,686,777,000","13,691,500,000","13,620,300,000","12,636,900,000","11,436,700,000","10,865,300,000","9,323,700,000","8,626,000,000","6,322,100,000"
	TotalPremiumsEarned,"9,824,000,000","9,480,000,000","8,667,000,000","8,175,000,000","7,649,000,000","7,428,000,000","7,312,000,000","6,988,000,000","6,924,000,000","6,921,000,000","7,212,000,000","7,271,000,000","6,881,000,000","6,603,000,000","6,515,000,000","6,721,000,000","7,150,000,000","7,482,000,000","7,603,100,000","7,568,600,000","8,205,000,000","9,209,800,000","10,209,900,000","9,285,100,000","11,385,500,000","13,276,700,000","13,530,100,000","13,477,600,000","13,474,200,000","11,730,300,000","9,453,600,000","8,665,681,000","8,744,900,000","8,923,200,000","8,376,700,000","7,431,100,000",,,,
		NetPremiumsWritten,,,,,,,"7,312,000,000","6,988,000,000","6,924,000,000","6,921,000,000","7,212,000,000","7,271,000,000","6,881,000,000","6,603,000,000","6,515,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
			GrossPremiumsWritten,,,,,,,"11,692,000,000","11,303,000,000","11,194,000,000","10,675,000,000","10,285,000,000","9,880,000,000","9,110,000,000","8,579,000,000","8,425,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
			CededPremiums,,,,,,,"-4,380,000,000","-4,315,000,000","-4,270,000,000","-3,754,000,000","-3,073,000,000","-2,609,000,000","-2,229,000,000","-1,976,000,000","-1,910,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
	NetInvestmentIncome,"2,318,000,000","2,217,000,000","1,872,000,000","1,890,000,000","1,858,000,000","2,140,000,000","1,804,000,000","2,168,000,000","2,054,000,000","1,710,000,000","2,086,000,000","2,349,000,000","2,027,000,000","1,847,000,000","2,276,000,000","2,499,000,000","1,581,000,000","2,785,000,000","2,911,100,000","2,098,800,000","1,869,300,000","1,732,100,000","1,866,900,000","2,144,900,000","2,387,900,000","2,332,500,000","2,408,300,000","2,442,000,000","2,477,700,000","2,211,500,000","1,671,300,000","1,377,754,000","1,991,600,000",,,,,,,
	NetRealizedGainLossOnInvestments,"-63,000,000","-98,000,000","-263,000,000","99,000,000","-25,000,000","60,000,000","-66,000,000","136,000,000","131,000,000","85,000,000","131,000,000","92,000,000","198,000,000","164,000,000","288,000,000","-853,000,000","-1,296,000,000","-276,000,000","91,500,000","-13,200,000","-256,000,000","581,900,000","-208,700,000","1,393,700,000","1,313,900,000","-158,200,000","135,700,000","-237,900,000","489,900,000","1,387,100,000","-447,000,000","862,797,000",,,,,,,,
	FeeRevenueAndOtherIncome,"4,380,000,000","4,079,000,000","3,774,000,000","3,563,000,000","4,185,000,000","5,099,000,000","4,994,000,000","4,443,000,000","3,996,000,000","4,699,000,000","4,896,000,000","4,901,000,000","4,966,000,000","5,515,000,000","5,536,000,000","5,750,000,000","5,812,000,000","4,311,000,000","7,305,300,000","6,363,600,000","5,424,000,000","4,937,200,000","7,254,000,000","9,451,100,000","9,247,500,000","6,014,200,000","5,221,900,000","4,457,100,000","4,000,600,000","3,348,500,000","2,837,300,000","2,780,545,000","2,955,000,000","4,697,100,000","4,260,200,000","4,005,600,000",,,,
		FeesAndCommissions,,,,,,,,,,,,,,"3,254,000,000","3,230,000,000","3,537,000,000","3,476,000,000","2,506,000,000",,,,,,,,,,,,,,,,,,,,,,
		OtherIncomeExpense,"4,380,000,000","4,079,000,000","3,774,000,000","3,563,000,000","4,185,000,000","5,099,000,000","4,994,000,000","4,443,000,000","3,996,000,000","4,699,000,000","4,896,000,000","4,901,000,000","4,966,000,000","5,515,000,000","5,536,000,000","2,213,000,000","5,812,000,000","1,805,000,000","7,305,300,000","6,363,600,000","5,424,000,000","4,937,200,000","7,254,000,000","9,451,100,000","9,247,500,000","6,014,200,000","5,221,900,000","4,457,100,000","4,000,600,000","3,348,500,000","2,837,300,000","2,780,545,000","2,955,000,000","4,697,100,000","4,260,200,000","4,005,600,000",,,,
