name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1998
TotalAssets,"42,448,000,000","38,724,000,000","37,669,000,000","33,584,000,000","29,236,000,000","24,860,000,000","21,329,000,000","18,675,000,000","16,250,000,000","15,329,000,000","14,242,000,000","12,462,000,000","10,693,000,000","8,837,000,000","7,470,000,000","6,475,849,000","6,260,041,000","5,082,470,000","3,700,544,000","3,264,670,000","2,900,905,000","2,260,875,000","1,486,305,000","1,187,060,000","871,643,000"
	CurrentAssets,"18,961,000,000","16,606,000,000","16,949,000,000","19,113,000,000","16,902,000,000","16,171,000,000","13,797,000,000","13,228,000,000","10,984,000,000","10,997,000,000","10,950,000,000","9,357,000,000","7,741,000,000","6,454,000,000","5,003,000,000","4,311,507,000","4,591,741,000","3,577,229,000","2,227,898,000","1,902,796,000","1,609,850,000","1,455,638,000","1,117,963,000",,
		CashCashEquivalentsAndShortTermInvestments,"9,180,000,000","7,408,000,000","7,894,000,000","10,596,000,000","7,676,000,000","8,378,000,000","7,782,000,000","8,335,000,000","6,738,000,000","6,375,000,000","6,295,000,000","5,003,000,000","4,949,000,000","4,198,000,000","2,879,000,000","2,247,255,000","2,969,982,000","2,483,921,000","1,281,892,000","1,137,889,000","910,510,000","871,924,000","176,143,000",,
			CashAndCashEquivalents,"8,588,000,000","7,008,000,000","7,421,000,000","10,113,000,000","6,988,000,000","6,682,000,000","5,933,000,000","6,721,000,000","5,747,000,000","5,137,000,000","3,599,000,000","2,052,000,000","3,734,000,000","3,067,000,000","2,055,000,000","1,505,160,000","1,659,295,000","1,185,080,000","545,273,000","328,996,000","374,169,000","336,474,000","176,143,000",,
			OtherShortTermInvestments,"592,000,000","400,000,000","473,000,000","483,000,000","688,000,000","1,696,000,000","1,849,000,000","1,614,000,000","991,000,000","1,238,000,000","2,696,000,000","2,951,000,000","1,215,000,000","1,131,000,000","824,000,000","742,095,000","1,310,687,000","1,298,841,000","736,619,000","808,893,000","536,341,000","535,450,000",,,
		Receivables,"4,060,000,000","3,425,000,000","3,006,000,000","4,352,000,000","5,509,000,000","4,728,000,000","3,344,000,000","2,509,000,000","2,147,000,000","2,161,000,000","2,317,000,000","2,042,000,000","1,444,000,000","1,147,000,000","995,000,000","1,350,981,000","1,245,191,000","763,214,000","347,754,000","293,292,000","259,429,000","198,855,000","180,510,000",,
			AccountsReceivable,"4,060,000,000","3,425,000,000","3,006,000,000","2,646,000,000","2,514,000,000","2,276,000,000","1,969,000,000","1,416,000,000","1,079,000,000","1,109,000,000","966,000,000","925,000,000","808,000,000","1,147,000,000","995,000,000","1,152,673,000","532,633,000","451,261,000","347,754,000","293,292,000","259,429,000","198,855,000","180,510,000",,
			TaxesReceivable,,,,,,,,,,,,"163,000,000","35,000,000",,"0","198,308,000",,,,,,,,,
			OtherReceivables,,,"1,319,000,000","1,706,000,000","2,995,000,000","2,452,000,000","1,375,000,000","1,093,000,000","1,068,000,000","1,052,000,000","1,351,000,000","1,117,000,000","601,000,000",,,,"712,558,000","311,953,000",,,,,,,
		PrepaidAssets,,"34,000,000","92,000,000","78,000,000","105,000,000","51,000,000","77,000,000","118,000,000","663,000,000","671,000,000","36,000,000","681,000,000","35,000,000","315,000,000","313,000,000","213,612,000","156,258,000","130,849,000","167,209,000","120,374,000","92,189,000","67,283,000","65,994,000",,
		RestrictedCash,"1,845,000,000","2,157,000,000","2,459,000,000","2,282,000,000","1,954,000,000","1,633,000,000","1,631,000,000","1,534,000,000","1,436,000,000","1,490,000,000","1,634,000,000","1,503,000,000","636,000,000","493,000,000","446,000,000","183,245,000","142,052,000","109,897,000",,,"60,524,000","58,088,000",,,
		CurrentDeferredAssets,,,,,,,,,"0","300,000,000","233,000,000","128,000,000","343,000,000","216,000,000","244,000,000","283,795,000",,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,"0","300,000,000","233,000,000","128,000,000","343,000,000","216,000,000","244,000,000","283,795,000",,,,,,,,,
		OtherCurrentAssets,"3,876,000,000","3,616,000,000","3,498,000,000","1,805,000,000","1,658,000,000","1,381,000,000","963,000,000","732,000,000","663,000,000","671,000,000","435,000,000","681,000,000","334,000,000","85,000,000","126,000,000","32,619,000","78,258,000","89,348,000","431,043,000","351,241,000","287,198,000","259,488,000","695,316,000",,
	TotalNonCurrentAssets,"23,487,000,000","22,118,000,000","20,720,000,000","14,471,000,000","12,334,000,000","8,689,000,000","7,532,000,000","5,447,000,000","5,266,000,000","4,332,000,000","3,292,000,000","3,105,000,000","2,952,000,000","2,383,000,000","2,467,000,000","2,164,342,000","1,668,300,000","1,505,241,000","1,472,646,000","1,361,874,000","1,291,055,000","805,237,000","368,342,000",,
		NetPPE,"2,061,000,000","2,006,000,000","1,907,000,000","1,902,000,000","1,828,000,000","921,000,000","829,000,000","733,000,000","675,000,000","615,000,000","526,000,000","472,000,000","449,000,000","439,000,000","449,000,000","306,798,000","290,200,000","252,731,000","230,614,000","242,358,000","258,520,000","226,720,000","159,742,000",,
			GrossPPE,"4,298,000,000","3,910,000,000","3,521,000,000","3,292,000,000","2,928,000,000","1,768,000,000","1,543,000,000","1,336,000,000","1,166,000,000","1,052,000,000","920,000,000","858,000,000","819,000,000","771,000,000","753,000,000","585,067,000","541,088,000","473,451,000","603,933,000","572,235,000","546,779,000","484,836,000","159,742,000",,
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,
				BuildingsAndImprovements,"678,000,000","652,000,000","615,000,000","522,000,000","505,000,000","481,000,000","455,000,000","534,000,000","503,000,000","510,000,000","451,000,000","419,000,000","413,000,000","402,000,000","392,000,000","216,670,000","262,711,000","233,461,000","208,027,000","202,544,000","169,803,000","130,028,000",,,
				MachineryFurnitureEquipment,"90,000,000","96,000,000","96,000,000","99,000,000","92,000,000","85,000,000","81,000,000","63,000,000","54,000,000","53,000,000","48,000,000","54,000,000","53,000,000","315,000,000","307,000,000","301,519,000","278,377,000","239,990,000","395,906,000","369,691,000","351,980,000","329,027,000",,,
				OtherProperties,"3,132,000,000","2,786,000,000","2,439,000,000","2,291,000,000","2,028,000,000","987,000,000","841,000,000","606,000,000","497,000,000","398,000,000","344,000,000","314,000,000","298,000,000",,,,,,,,,,,,
				Leases,"398,000,000","376,000,000","371,000,000","380,000,000","303,000,000","215,000,000","166,000,000","133,000,000","112,000,000","91,000,000","77,000,000","71,000,000","55,000,000","54,000,000","54,000,000","66,878,000",,,,,"24,996,000","25,781,000",,,
			AccumulatedDepreciation,"-2,237,000,000","-1,904,000,000","-1,614,000,000","-1,390,000,000","-1,100,000,000","-847,000,000","-714,000,000","-603,000,000","-491,000,000","-437,000,000","-394,000,000","-386,000,000","-370,000,000","-332,000,000","-304,000,000","-278,269,000","-250,888,000","-220,720,000","-373,319,000","-329,877,000","-288,259,000","-258,116,000",,,
		GoodwillAndOtherIntangibleAssets,"11,746,000,000","11,381,000,000","11,333,000,000","6,713,000,000","5,438,000,000","3,895,000,000","4,155,000,000","2,478,000,000","2,694,000,000","2,236,000,000","1,794,000,000","1,764,000,000","1,679,000,000","1,207,000,000","724,000,000","692,275,000","560,384,000","488,386,000","470,555,000","546,638,000","515,511,000","438,644,000","91,254,000",,
			Goodwill,"7,660,000,000","7,522,000,000","7,662,000,000","4,960,000,000","4,021,000,000","2,904,000,000","3,035,000,000","1,756,000,000","1,891,000,000","1,522,000,000","1,122,000,000","1,092,000,000","1,014,000,000","677,000,000","309,000,000","297,993,000","239,626,000","217,013,000","196,701,000","217,654,000","187,881,000","152,941,000","7,141,000",,
			OtherIntangibleAssets,"4,086,000,000","3,859,000,000","3,671,000,000","1,753,000,000","1,417,000,000","991,000,000","1,120,000,000","722,000,000","803,000,000","714,000,000","672,000,000","672,000,000","665,000,000","530,000,000","415,000,000","394,282,000","320,758,000","271,373,000","273,854,000","328,984,000","327,630,000","285,703,000","84,113,000",,
		InvestmentsAndAdvances,"1,729,000,000","1,730,000,000","1,834,000,000","1,172,000,000","914,000,000","337,000,000","249,000,000","132,000,000","166,000,000","245,000,000","229,000,000","281,000,000","266,000,000","142,000,000","518,000,000","229,210,000",,,,,"196,141,000","6,563,000",,,
			LongTermEquityInvestment,,,,,"914,000,000","337,000,000","249,000,000","132,000,000","166,000,000","245,000,000","229,000,000","249,000,000","160,000,000",,,,,,,,,,,,
			InvestmentinFinancialAssets,"1,729,000,000","1,730,000,000","1,834,000,000","1,172,000,000","914,000,000","337,000,000","249,000,000","132,000,000","166,000,000","245,000,000","229,000,000","281,000,000","266,000,000",,,,,,,,"196,141,000","6,563,000",,,
				AvailableForSaleSecurities,"1,729,000,000","1,730,000,000","1,834,000,000","1,172,000,000","914,000,000","337,000,000","249,000,000","132,000,000","166,000,000","245,000,000","229,000,000","281,000,000","230,000,000",,,,,,,,,,,,
				HeldToMaturitySecurities,,,,,,,,,,,,"0","36,000,000",,,,,,,,"196,141,000","6,563,000",,,
		NonCurrentAccountsReceivable,"783,000,000","633,000,000","645,000,000","553,000,000","460,000,000","298,000,000","178,000,000","175,000,000","160,000,000","89,000,000","78,000,000","72,000,000","15,000,000",,,,,,,,,,,,
		NonCurrentDeferredAssets,"1,355,000,000","1,151,000,000","486,000,000","491,000,000","543,000,000","570,000,000","250,000,000","307,000,000","317,000,000","96,000,000","70,000,000","60,000,000","88,000,000","5,000,000","264,000,000","567,567,000","263,143,000","216,782,000","225,034,000","235,023,000","223,908,000","41,337,000","66,535,000",,
			NonCurrentDeferredTaxesAssets,"1,355,000,000","1,151,000,000","486,000,000","491,000,000","543,000,000","570,000,000","250,000,000","307,000,000","317,000,000","96,000,000","70,000,000","60,000,000","88,000,000","5,000,000","264,000,000","567,567,000","263,143,000","216,782,000","225,034,000","235,023,000","223,908,000","41,337,000","66,535,000",,
		NonCurrentPrepaidAssets,,,,,,"0","352,000,000","325,000,000","352,000,000","407,000,000","0",,,"365,000,000","328,000,000","302,095,000",,,,,,,,,
		OtherNonCurrentAssets,"5,813,000,000","5,217,000,000","4,515,000,000","3,640,000,000","3,151,000,000","2,668,000,000","1,519,000,000","1,297,000,000","902,000,000","644,000,000","595,000,000","456,000,000","455,000,000","225,000,000","184,000,000","66,397,000","554,573,000","547,342,000","546,443,000","337,855,000","96,975,000","91,973,000","50,811,000",,
TotalLiabilitiesNetMinorityInterest,"35,451,000,000","32,347,000,000","30,257,000,000","27,067,000,000","23,245,000,000","19,371,000,000","15,761,000,000","12,991,000,000","10,188,000,000","8,505,000,000","6,747,000,000","5,533,000,000","4,816,000,000","3,621,000,000","3,958,000,000","4,543,874,000","3,228,114,000","2,713,491,000","2,526,776,000","2,285,098,000","2,197,564,000","1,236,825,000","879,644,000","724,652,000","614,395,000"
	CurrentLiabilities,"16,264,000,000","14,171,000,000","13,162,000,000","11,847,000,000","11,904,000,000","11,593,000,000","8,793,000,000","7,206,000,000","6,269,000,000","6,222,000,000","6,032,000,000","4,906,000,000","4,217,000,000","3,143,000,000","3,167,000,000","2,990,451,000","2,363,342,000","1,811,590,000","1,556,703,000","1,301,362,000","1,188,858,000","929,744,000","649,971,000",,
		PayablesAndAccruedExpenses,"10,074,000,000","9,821,000,000","8,220,000,000","8,274,000,000","9,606,000,000","9,064,000,000","6,916,000,000","5,595,000,000","4,810,000,000","4,771,000,000","4,758,000,000","3,895,000,000","3,439,000,000","2,223,000,000","1,993,000,000","1,826,640,000","1,323,948,000","1,215,083,000","1,035,678,000","835,054,000","757,769,000","658,678,000","464,101,000",,
			Payables,"1,320,000,000","1,205,000,000","1,075,000,000","2,210,000,000","3,535,000,000","2,884,000,000","2,470,000,000","1,716,000,000","1,481,000,000","1,666,000,000","1,866,000,000","1,515,000,000","1,141,000,000","908,000,000","768,000,000","794,579,000","252,391,000","278,656,000","185,021,000","187,035,000","202,604,000","172,242,000","110,907,000",,
