name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1998
TotalRevenue,"26,390,000,000","25,098,000,000","22,237,000,000","18,884,000,000","15,301,000,000","16,883,000,000","14,950,000,000","12,497,000,000","10,776,000,000","9,667,000,000","9,441,000,000","8,312,000,000","7,391,000,000","6,714,000,000","5,539,000,000","5,099,000,000","4,991,600,000","4,067,599,000","3,326,074,000","2,937,628,000","2,593,330,000","2,230,851,000","1,891,811,000","1,611,334,000","1,445,409,000","1,089,712,000"
	OperatingRevenue,"26,390,000,000","25,098,000,000","22,237,000,000","18,884,000,000","18,899,000,000","20,856,000,000","18,483,000,000","15,492,000,000","13,122,000,000","11,656,000,000","9,441,000,000","8,312,000,000","8,854,000,000","7,859,000,000","6,767,000,000","5,099,000,000","4,991,600,000","4,067,599,000","3,326,074,000","2,937,628,000","2,593,330,000","2,230,851,000","1,891,811,000","1,611,334,000","1,445,409,000","1,089,712,000"
CostOfRevenue,"6,222,000,000","6,022,000,000","5,263,000,000","4,489,000,000","3,787,000,000","3,537,000,000","3,214,000,000","2,687,000,000","2,225,000,000","2,105,000,000","2,064,000,000","1,739,000,000","1,565,000,000","1,453,000,000","1,219,000,000","0","0",,,,,,,,,
GrossProfit,"20,168,000,000","19,076,000,000","16,974,000,000","14,395,000,000","11,514,000,000","13,346,000,000","11,736,000,000","9,810,000,000","8,551,000,000","7,562,000,000","7,377,000,000","6,573,000,000","5,826,000,000","5,261,000,000","4,320,000,000","5,099,000,000","4,991,600,000",,,,,,,,,
OperatingExpense,"4,704,000,000","4,446,000,000","4,252,000,000","4,168,000,000","3,351,000,000","3,650,000,000","3,362,000,000","3,067,000,000","2,639,000,000","2,505,000,000","2,301,000,000","1,973,000,000","1,842,000,000","1,791,000,000","1,565,000,000","2,832,000,000","3,043,260,000","2,959,487,000","3,096,579,000","2,544,444,000","2,246,658,000","2,832,713,000","1,749,814,000","1,389,632,000","1,267,389,000","1,071,458,000"
	SellingGeneralAndAdministration,"3,847,000,000","3,647,000,000","3,502,000,000","3,442,000,000","2,771,000,000","3,128,000,000","2,903,000,000","2,631,000,000","2,266,000,000","2,139,000,000","1,980,000,000","1,715,000,000","1,612,000,000","1,597,000,000","1,417,000,000","2,691,000,000","2,931,254,000","2,838,445,000","2,557,055,000","2,359,350,000","2,101,688,000","2,713,162,000","1,659,309,000","1,319,659,000",,
		GeneralAndAdministrativeExpense,"3,090,000,000","2,822,000,000","2,713,000,000","2,547,000,000","2,114,000,000","2,194,000,000","1,996,000,000","1,860,000,000","1,568,000,000","1,318,000,000","1,118,000,000","874,000,000","837,000,000","756,000,000","635,000,000","1,935,000,000","1,996,512,000","1,758,388,000","1,505,185,000","1,351,082,000","1,185,837,000","1,862,012,000","965,299,000","813,927,000",,
			SalariesAndWages,,,,,,"3,537,000,000","3,214,000,000","2,687,000,000","2,225,000,000","2,105,000,000","2,064,000,000","1,739,000,000","1,565,000,000","1,453,000,000","1,219,000,000",,,,,,,,,,,
			OtherGandA,"3,090,000,000","2,822,000,000","2,713,000,000","2,547,000,000","2,114,000,000","2,194,000,000","1,996,000,000","1,860,000,000","1,568,000,000","1,318,000,000","1,118,000,000","874,000,000","837,000,000","756,000,000","635,000,000","1,935,000,000","1,996,512,000","1,758,388,000","1,505,185,000","1,351,082,000","1,185,837,000","1,862,012,000","965,299,000","813,927,000",,
		SellingAndMarketingExpense,"757,000,000","825,000,000","789,000,000","895,000,000","657,000,000","934,000,000","907,000,000","771,000,000","698,000,000","821,000,000","862,000,000","841,000,000","775,000,000","841,000,000","782,000,000","756,000,000","934,742,000","1,080,057,000","1,051,870,000","1,008,268,000","915,851,000","851,150,000","694,010,000","505,732,000",,
	DepreciationAmortizationDepletionIncomeStatement,"857,000,000","799,000,000","750,000,000","726,000,000","580,000,000","522,000,000","459,000,000","436,000,000","373,000,000","366,000,000","321,000,000","258,000,000","230,000,000","194,000,000","148,000,000","141,000,000","112,006,000","97,642,000","99,782,000","109,936,000","123,317,000","119,551,000","90,505,000","69,973,000",,
