name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalAssets,,"14,349,000,000","14,680,000,000","12,409,000,000","10,265,000,000","9,526,000,000","8,594,200,000","5,327,300,000","5,103,000,000","4,669,000,000","4,395,100,000","3,960,900,000","2,876,100,000","2,540,300,000","2,003,300,000","1,773,400,000","1,714,600,000","1,497,700,000","1,457,200,000","1,389,300,000","952,300,000","630,800,000","505,400,000","398,300,000","274,800,000","1,789,200,000"
	CurrentAssets,,"4,094,000,000","4,011,000,000","4,509,000,000","3,679,000,000","3,387,000,000","2,580,600,000","3,253,100,000","3,243,100,000","2,686,400,000","2,968,800,000","2,525,700,000","1,424,400,000","1,343,000,000","1,012,900,000","809,100,000","989,100,000","1,001,900,000","1,051,800,000","1,035,900,000","579,900,000","272,300,000","371,200,000","277,600,000","172,700,000","764,000,000"
		CashCashEquivalentsAndShortTermInvestments,,"1,859,000,000","1,902,000,000","2,696,000,000","1,930,000,000","1,818,000,000","1,183,300,000","2,224,900,000","2,232,200,000","1,677,600,000","2,106,300,000","1,773,300,000","774,800,000","672,300,000","483,900,000","253,000,000","441,000,000","483,500,000","580,500,000","613,400,000","269,100,000","39,900,000","163,200,000","119,100,000","3,400,000","90,600,000"
			CashAndCashEquivalents,,"1,769,000,000","1,811,000,000","2,597,000,000","1,832,000,000","1,685,000,000","1,071,500,000","2,051,500,000","1,757,400,000","1,219,500,000","1,919,500,000","1,755,400,000","760,000,000","659,600,000","473,900,000","245,900,000","426,300,000","408,100,000","486,000,000","606,100,000","269,100,000","39,900,000","163,200,000","119,100,000","3,400,000","90,600,000"
			OtherShortTermInvestments,,"90,000,000","91,000,000","99,000,000","98,000,000","133,000,000","111,800,000","173,400,000","474,800,000","458,100,000","186,800,000","17,900,000","14,800,000","12,700,000","10,000,000","7,100,000","14,700,000","75,400,000","94,500,000","7,300,000",,,,,,
		Receivables,"1,659,000,000","1,652,000,000","1,720,000,000","1,430,000,000","1,419,000,000","1,287,000,000","1,147,200,000","887,400,000","802,000,000","792,400,000","694,200,000","621,800,000","489,800,000","497,500,000","444,900,000","421,800,000","443,600,000","475,400,000","421,800,000","371,700,000","270,300,000","178,100,000","148,400,000","101,000,000","84,400,000","445,200,000"
			AccountsReceivable,,"1,652,000,000","1,720,000,000","1,430,000,000","1,419,000,000","1,287,000,000","1,147,200,000","887,400,000","802,000,000","792,400,000","694,200,000","621,800,000","489,800,000","497,500,000","444,900,000","421,800,000","443,600,000","475,400,000","421,800,000","371,700,000","270,300,000","178,100,000","148,400,000",,,
				GrossAccountsReceivable,,"1,692,000,000","1,752,000,000","1,464,000,000","1,439,000,000","1,330,000,000","1,183,800,000","913,100,000","829,500,000","821,800,000","723,100,000","650,900,000","517,800,000","530,500,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-40,000,000","-32,000,000","-34,000,000","-20,000,000","-43,000,000","-36,600,000","-25,700,000","-27,500,000","-29,400,000","-28,900,000","-29,100,000","-28,000,000","-33,000,000",,,,,,,,,,,,
		PrepaidAssets,,"354,000,000","211,000,000","185,000,000","150,000,000","167,000,000","186,600,000","112,700,000","150,200,000","125,300,000","88,100,000","79,100,000","72,200,000","122,100,000","46,800,000","62,700,000",,,,,,,,,,
