name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
OperatingCashFlow,"2,400,000,000",,"1,474,000,000","2,005,000,000","2,146,000,000","1,675,000,000","1,461,000,000","755,000,000","1,259,200,000","1,198,100,000","1,018,600,000","926,800,000","823,100,000","803,300,000","653,300,000","643,800,000","539,700,000","984,000,000","752,500,000","707,900,000","519,700,000","468,400,000","334,800,000","306,300,000","67,600,000","197,700,000","167,600,000"
	CashFlowFromContinuingOperatingActivities,"2,400,000,000",,"1,474,000,000","2,005,000,000","2,146,000,000","1,675,000,000","1,461,000,000","755,000,000","1,259,200,000","1,198,100,000","1,018,600,000","926,800,000","823,100,000","803,300,000","653,300,000","643,800,000","539,700,000","984,000,000","752,500,000","707,900,000","519,700,000","468,400,000","334,800,000","306,300,000","67,600,000","197,700,000","167,600,000"
		NetIncomeFromContinuingOperations,"1,860,000,000",,"1,374,000,000","2,214,000,000","1,777,000,000","1,429,000,000","1,320,000,000","1,008,000,000","275,800,000","949,600,000","1,006,000,000","815,900,000","699,700,000","578,000,000","513,400,000","407,100,000","461,600,000","701,500,000","753,900,000","560,800,000","425,100,000","363,900,000","288,900,000","212,200,000","158,500,000","155,600,000","142,000,000"
		OperatingGainsLosses,,,"-50,000,000","13,000,000","33,000,000","26,000,000",,"-171,000,000","-36,600,000",,,,,"-6,400,000",,,"-7,800,000","-52,300,000","-159,400,000","127,200,000","85,300,000","44,700,000","29,900,000","4,000,000","300,000","-9,200,000","-12,300,000"
			GainLossOnSaleOfBusiness,,,"0","0","9,000,000","14,000,000","0","-60,000,000","-36,600,000","0","0",,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,"20,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,"-111,000,000",,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"402,000,000",,"331,000,000","257,000,000","220,000,000","200,000,000","192,000,000","158,000,000","126,700,000","113,500,000","95,600,000","93,400,000","93,500,000","79,200,000","66,300,000","64,100,000","75,100,000","42,900,000","39,500,000","35,200,000","34,100,000","32,600,000","24,600,000","17,000,000","16,600,000","13,000,000","15,400,000"
			DepreciationAndAmortization,"402,000,000",,"331,000,000","257,000,000","220,000,000","200,000,000","192,000,000","158,000,000","126,700,000","113,500,000","95,600,000","93,400,000","93,500,000","79,200,000","66,300,000","64,100,000","75,100,000","42,900,000","39,500,000","35,200,000","34,100,000","32,600,000","24,600,000","17,000,000","16,600,000","13,000,000","15,400,000"
		DeferredTax,"-34,000,000",,"48,000,000","-218,000,000","-44,000,000","-38,000,000","-99,000,000","88,000,000","-154,700,000","11,700,000","23,500,000","-46,400,000","23,300,000","3,900,000","-10,600,000","16,500,000","-17,300,000","-76,400,000","-27,200,000","-20,200,000","-9,600,000","-400,000","-3,600,000","-800,000","-2,300,000","7,300,000","-6,800,000"
			DeferredIncomeTax,"-34,000,000",,"48,000,000","-218,000,000","-44,000,000","-38,000,000","-99,000,000","88,000,000","-154,700,000","11,700,000","23,500,000","-46,400,000","23,300,000","3,900,000","-10,600,000","16,500,000","-17,300,000","-76,400,000","-27,200,000","-20,200,000","-9,600,000","-400,000","-3,600,000","-800,000","-2,300,000","7,300,000","-6,800,000"
		AssetImpairmentCharge,,,"29,000,000","0","36,000,000","38,000,000","0","0",,,"0","0","12,200,000","0","0",,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"23,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"205,000,000",,"169,000,000","175,000,000","154,000,000","136,000,000","130,000,000","123,000,000","98,100,000","87,200,000","80,400,000","67,100,000","64,500,000","56,700,000","56,600,000","57,400,000","63,200,000",,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,"-33,100,000","-44,500,000","-58,700,000","-38,800,000","-15,700,000","-7,400,000","-7,000,000","-5,000,000","-7,500,000",,,,,,,,,,
		OtherNonCashItems,,"-4,000,000",,"-36,000,000","-68,000,000",,,,,,"-102,800,000",,,,,,"55,700,000","45,000,000","-26,100,000",,,,,,,"9,300,000",
		ChangeInWorkingCapital,"-87,000,000",,"-452,000,000","-413,000,000","38,000,000","-116,000,000","-82,000,000","-451,000,000","949,900,000","36,100,000","-25,400,000","35,600,000","-54,400,000","92,900,000","34,600,000","103,700,000","-27,600,000","323,300,000","171,800,000","4,900,000","-15,200,000","27,600,000","-5,000,000","73,900,000","-105,500,000","31,000,000","29,300,000"
			ChangeInReceivables,"-188,000,000",,"9,000,000","-270,000,000","31,000,000","-134,000,000","-136,000,000","-148,000,000","-104,800,000","-25,400,000","-98,300,000","-67,000,000","-128,200,000","17,100,000","-54,400,000","-14,900,000","26,200,000","36,700,000","-42,400,000","-53,100,000","-87,300,000","-91,800,000","-16,600,000","-47,600,000","-14,600,000","13,700,000","-4,000,000"
				ChangesInAccountReceivables,"-188,000,000",,"9,000,000","-270,000,000","31,000,000","-134,000,000","-136,000,000","-148,000,000","-104,800,000","-25,400,000","-98,300,000","-67,000,000","-128,200,000","17,100,000","-54,400,000","-14,900,000","26,200,000",,,,,,,,,,
			ChangeInPrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,"-2,100,000","-3,400,000",,,
			ChangeInPayablesAndAccruedExpense,"80,000,000",,"-161,000,000","80,000,000","247,000,000","65,000,000","-99,000,000","-638,000,000","902,400,000","51,400,000","59,200,000","-2,900,000","101,700,000","23,900,000","83,500,000","50,400,000","-118,400,000","53,900,000","141,400,000","-16,000,000","36,500,000","30,600,000","-66,800,000","101,600,000","-138,600,000","20,700,000","56,800,000"
			ChangeInOtherCurrentAssets,"-11,000,000",,"-271,000,000","-38,000,000","-87,000,000","-157,000,000","-26,000,000","-58,000,000","43,600,000","-42,000,000","-42,700,000","-22,400,000","-9,000,000","61,000,000","-69,800,000","55,300,000","-23,100,000","-58,300,000","8,900,000","-5,700,000","-16,100,000","-1,500,000","-2,600,000","-6,600,000","25,100,000","-8,500,000","-30,400,000"
			ChangeInOtherCurrentLiabilities,"-15,000,000",,"-49,000,000","-250,000,000","-124,000,000","34,000,000","40,000,000","320,000,000","33,800,000","20,500,000","18,000,000","61,800,000","-39,800,000","-17,900,000","43,700,000","20,500,000","54,100,000","33,100,000",,"79,700,000","30,300,000","90,300,000","83,100,000","29,900,000","22,600,000","5,100,000","6,900,000"
			ChangeInOtherWorkingCapital,"47,000,000",,"20,000,000","65,000,000","-29,000,000","76,000,000","139,000,000","73,000,000","74,900,000","31,600,000","38,400,000","66,100,000","20,900,000","8,800,000","31,600,000","-7,600,000","33,600,000","257,900,000","63,900,000",,"21,400,000",,,,,"-43,900,000",
	CashFromDiscontinuedOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,700,000"
InvestingCashFlow,"-335,000,000",,"-262,000,000","-2,619,000,000","-1,077,000,000","36,000,000","-406,000,000","-3,420,000,000","102,000,000","-92,000,000","-564,900,000","-261,900,000","-50,200,000","-267,600,000","-228,800,000","-93,800,000","-319,300,000","-124,700,000","116,100,000","-150,400,000","-24,800,000","-17,100,000","-223,600,000","-30,000,000","-33,600,000","-12,000,000","13,100,000"
	CashFlowFromContinuingInvestingActivities,"-335,000,000",,"-262,000,000","-2,619,000,000","-1,077,000,000","36,000,000","-406,000,000","-3,420,000,000","102,000,000","-92,000,000","-564,900,000","-261,900,000","-50,200,000","-267,600,000","-228,800,000","-93,800,000","-319,300,000","-124,700,000","116,100,000","-150,400,000","-24,800,000","-17,100,000","-223,600,000","-30,000,000","-33,600,000","-12,000,000","13,100,000"
		CapitalExpenditureReported,"-315,000,000",,"-283,000,000","-139,000,000","-103,000,000","-69,000,000","-91,000,000","-91,000,000","-115,200,000","-89,000,000","-74,600,000","-42,300,000","-45,000,000","-67,700,000","-79,000,000","-90,700,000","-84,400,000",,,,,,,,,,
		NetPPEPurchaseAndSale,,,,,,,,,,,,,,,,,"-84,400,000","-181,800,000","132,800,000","-31,300,000","-21,300,000","-17,900,000","-18,100,000","-14,800,000","-12,300,000","-11,400,000","15,200,000"
			PurchaseOfPPE,,,,,,,,,,,,,,,,,"-84,400,000","-181,800,000","-31,100,000","-31,300,000","-21,300,000","-17,900,000","-18,100,000","-14,800,000","-12,300,000","-11,400,000","-11,300,000"
			SaleOfPPE,,,,,,,,,,,,,,,,,,,"163,900,000",,,,,,,,"26,500,000"
		NetBusinessPurchaseAndSale,"-5,000,000",,"-169,000,000","-2,443,000,000","-897,000,000","64,000,000","-283,000,000","-3,511,000,000","-79,300,000","-7,600,000","-239,700,000","-50,700,000","-3,500,000","-197,500,000","-148,600,000","-900,000","-241,400,000","-4,400,000","-39,200,000",,,,"-205,700,000","-15,200,000","-17,400,000",,"-1,500,000"
			PurchaseOfBusiness,"-17,000,000",,"-171,000,000","-2,445,000,000","-897,000,000","-162,000,000","-289,000,000","-3,511,000,000","-80,800,000","-7,600,000","-239,700,000","-50,700,000","-3,500,000","-197,500,000","-148,600,000","-900,000","-241,400,000",,,,,,,,,,
			SaleOfBusiness,"12,000,000",,,"2,000,000","0","226,000,000","6,000,000","0","1,500,000","0","0",,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"-15,000,000",,"190,000,000","-37,000,000","-77,000,000","41,000,000","-32,000,000","182,000,000","296,500,000","4,600,000","-250,600,000","-168,900,000","-1,700,000","-2,400,000","-1,200,000","-2,200,000","5,600,000","61,500,000","22,500,000","-88,900,000",,,,,,"700,000","500,000"
			PurchaseOfInvestment,"-177,000,000",,"-246,000,000","-219,000,000","-183,000,000","-145,000,000","-193,000,000","-170,000,000","-406,800,000","-688,200,000","-406,300,000","-225,900,000","-56,200,000","-43,300,000","-26,200,000","-17,600,000","-10,300,000","-191,400,000","-414,000,000","-324,400,000",,,,,,"-21,800,000","-50,400,000"
			SaleOfInvestment,"162,000,000",,"436,000,000","182,000,000","106,000,000","186,000,000","161,000,000","352,000,000","703,300,000","692,800,000","155,700,000","57,000,000","54,500,000","40,900,000","25,000,000","15,400,000","15,900,000","252,900,000","436,500,000","235,500,000",,,,,,"22,500,000","50,900,000"
		NetOtherInvestingChanges,,,,,,,,,,,,,,,,,"900,000",,,"-30,200,000","-3,500,000","800,000","200,000",,"-3,900,000","-600,000","-600,000"
	CashFromDiscontinuedInvestingActivities,,,,,,,,,,,,,,,,,"900,000",,,,,,,,,,
FinancingCashFlow,"-1,691,000,000",,"-1,208,000,000","-122,000,000","-351,000,000","-1,563,000,000","-412,000,000","1,600,000,000","-1,042,900,000","-505,500,000","-1,064,500,000","-498,800,000","202,600,000","-417,700,000","-241,300,000","-348,800,000","-349,800,000","-861,500,000","-965,200,000","-666,500,000","-162,300,000","-227,700,000","-236,600,000","-233,000,000","81,600,000","-186,400,000","-182,000,000"
	CashFlowFromContinuingFinancingActivities,"-1,691,000,000",,"-1,208,000,000","-122,000,000","-351,000,000","-1,563,000,000","-412,000,000","1,600,000,000","-1,042,900,000","-505,500,000","-1,064,500,000","-498,800,000","202,600,000","-417,700,000","-241,300,000","-348,800,000","-349,800,000","-861,500,000","-965,200,000","-666,500,000","-162,300,000","-227,700,000","-236,600,000","-233,000,000","81,600,000","-186,400,000","-182,000,000"
