name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalRevenue,"6,555,000,000",,"5,468,000,000","6,218,000,000","5,371,000,000","4,829,000,000","4,443,000,000","4,204,000,000","3,604,200,000","3,484,500,000","3,334,300,000","2,972,500,000","2,730,300,000","2,280,700,000","2,032,000,000","1,797,200,000","1,755,400,000","2,259,000,000","2,037,100,000","1,731,600,000","1,438,300,000","1,246,600,000","1,023,300,000","796,700,000","602,300,000","564,200,000","513,900,000"
	OperatingRevenue,"6,555,000,000",,"5,468,000,000","6,218,000,000","5,371,000,000","4,829,000,000","4,443,000,000","4,204,000,000","3,604,200,000","3,484,500,000","3,334,300,000","2,972,500,000","2,730,300,000","2,280,700,000","2,032,000,000","1,797,200,000","1,755,400,000","2,259,000,000","2,037,100,000","1,731,600,000","1,438,300,000","1,246,600,000","1,023,300,000","796,700,000","602,300,000","564,200,000","513,900,000"
CostOfRevenue,,,"1,613,000,000","1,637,000,000","1,475,000,000","1,387,000,000","1,246,000,000","1,216,000,000","1,019,600,000","976,300,000","930,300,000","822,400,000","795,000,000","683,500,000","604,800,000","532,400,000","493,300,000","584,000,000","539,400,000","452,900,000","375,400,000","347,300,000","285,300,000","239,600,000","189,600,000","183,600,000","177,300,000"
GrossProfit,,,"3,855,000,000","4,581,000,000","3,896,000,000","3,442,000,000","3,197,000,000","2,988,000,000","2,584,600,000","2,508,200,000","2,404,000,000","2,150,100,000","1,935,300,000","1,597,200,000","1,427,200,000","1,264,800,000","1,262,100,000","1,675,000,000","1,497,700,000","1,278,700,000","1,062,900,000","899,300,000","738,000,000","557,100,000","412,700,000","380,600,000","336,600,000"
OperatingExpense,"3,828,000,000","3,657,000,000","3,447,000,000","3,365,000,000","2,924,000,000","2,736,000,000","2,508,000,000","2,352,000,000","2,068,600,000","1,028,400,000","958,500,000","896,300,000","832,900,000","1,385,900,000","1,259,100,000","559,800,000","516,400,000","494,000,000","238,200,000","339,100,000","276,500,000","236,200,000","199,900,000","158,600,000","124,200,000","110,200,000","111,100,000"
	SellingGeneralAndAdministration,"1,657,000,000","1,597,000,000","1,503,000,000","1,471,000,000","1,229,000,000","1,149,000,000","1,070,000,000","978,000,000","923,900,000","921,300,000","869,300,000","822,100,000","752,200,000","629,600,000","588,000,000","495,700,000","441,300,000","451,100,000","359,300,000","303,900,000","242,400,000","203,600,000","175,300,000","141,600,000","107,600,000","97,200,000","95,700,000"
		GeneralAndAdministrativeExpense,"1,657,000,000","1,597,000,000","1,503,000,000","1,471,000,000","1,229,000,000","1,149,000,000","1,070,000,000","978,000,000","923,900,000","921,300,000","869,300,000","822,100,000","752,200,000","629,600,000","588,000,000",,,,,,,,,,,,
			SalariesAndWages,"-33,000,000","-35,000,000","-24,000,000","-9,000,000","-13,000,000","-18,000,000","-10,000,000","-8,000,000","-7,300,000",,,,,,,,,,,,,,,,,,
			OtherGandA,"1,690,000,000","1,632,000,000","1,527,000,000","1,480,000,000","1,229,000,000","1,167,000,000","1,080,000,000","986,000,000","931,200,000","921,300,000","869,300,000","822,100,000","752,200,000","629,600,000","588,000,000",,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"402,000,000",,"331,000,000","257,000,000","220,000,000","200,000,000","192,000,000","158,000,000","126,700,000","113,500,000","95,600,000","93,400,000","93,500,000","79,200,000","66,300,000","64,100,000","75,100,000","42,900,000","39,500,000","35,200,000","34,100,000","32,600,000","24,600,000","17,000,000","16,600,000","13,000,000","15,400,000"
