name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalAssets,"687,584,000,000","663,072,000,000","759,708,000,000","795,146,000,000","740,463,000,000","687,538,000,000","719,892,000,000","898,764,000,000","877,933,000,000","902,337,000,000","885,296,000,000","836,781,000,000","796,226,000,000","730,906,000,000","539,314,000,000","501,678,000,000","559,149,000,000","527,715,000,000","481,645,000,000","356,808,000,000","326,841,000,000","277,426,000,000","256,970,000,000","254,162,000,000","225,232,000,000","215,346,000,000"
	TotalInvestments,"446,137,000,000","433,293,000,000","494,821,000,000","508,519,000,000","473,795,000,000","436,210,000,000","444,067,000,000","420,911,000,000","495,459,000,000","505,995,000,000","488,779,000,000","517,052,000,000","511,379,000,000","471,062,000,000","334,463,000,000","305,897,000,000","324,815,000,000","60,270,000,000","47,171,000,000","41,305,000,000","34,998,000,000","33,666,000,000","31,893,000,000","30,109,000,000",,
		EquityInvestments,"11,088,000,000","11,352,000,000","13,411,000,000","14,398,000,000","14,444,000,000","14,056,000,000","19,258,000,000","292,457,000,000","354,723,000,000","369,056,000,000","353,589,000,000","377,157,000,000","353,294,000,000","330,890,000,000","230,726,000,000","191,448,000,000","238,247,000,000","5,094,000,000","233,388,000,000","178,951,000,000","169,350,000,000","141,901,000,000","118,461,000,000","115,172,000,000",,
		TradingAssets,,,,,,,,,"404,000,000","654,000,000","662,000,000","659,000,000","473,000,000","18,589,000,000","2,384,000,000","946,000,000","779,000,000",,,,,,,,,
		NetLoan,"101,294,000,000","92,637,000,000","88,464,000,000","93,412,000,000","90,209,000,000","85,451,000,000","78,400,000,000","74,678,000,000","78,360,000,000","71,736,000,000","69,470,000,000","68,890,000,000","83,985,000,000","74,290,000,000","60,970,000,000","61,166,000,000","55,480,000,000","52,467,000,000","47,171,000,000","41,305,000,000","34,998,000,000","33,666,000,000","31,893,000,000","30,109,000,000",,
			MortgageAndConsumerloans,"92,506,000,000","83,763,000,000","79,353,000,000","83,919,000,000","80,529,000,000","75,752,000,000","68,731,000,000","65,167,000,000","67,102,000,000","60,118,000,000","57,706,000,000","57,006,000,000","72,093,000,000","62,376,000,000","50,909,000,000","51,364,000,000","46,154,000,000",,,,,,,,,
			PolicyLoans,"8,788,000,000","8,874,000,000","9,111,000,000","9,493,000,000","9,680,000,000","9,699,000,000","9,669,000,000","9,511,000,000","11,258,000,000","11,618,000,000","11,764,000,000","11,884,000,000","11,892,000,000","11,914,000,000","10,061,000,000","9,802,000,000","9,326,000,000",,,,,,,,,
		DerivativeAssets,,,,,,,"16,745,000,000","13,923,000,000","15,024,000,000","16,035,000,000","16,761,000,000","15,689,000,000","17,795,000,000",,,,,,,,,,,,,
		LongTermEquityInvestment,"14,764,000,000","14,414,000,000","14,625,000,000","9,470,000,000","7,716,000,000","6,613,000,000","5,708,000,000","5,136,000,000","7,096,000,000","8,085,000,000","7,401,000,000","6,688,000,000","6,378,000,000",,,,,,,,,,,,,
			InvestmentsInOtherVenturesUnderEquityMethod,"14,764,000,000","14,414,000,000","14,625,000,000","9,470,000,000","7,716,000,000","6,613,000,000","5,708,000,000","5,136,000,000","7,096,000,000","8,085,000,000","7,401,000,000","6,688,000,000","6,378,000,000",,,,,,,,,,,,,
		OtherShortTermInvestments,"287,457,000,000","281,715,000,000","347,450,000,000","358,713,000,000","331,670,000,000","302,202,000,000","313,801,000,000","298,980,000,000","364,022,000,000","377,677,000,000","367,544,000,000","394,063,000,000","370,604,000,000","9,387,000,000","8,374,000,000","13,878,000,000","2,544,000,000","2,709,000,000","3,306,000,000","2,663,000,000","1,826,000,000","1,921,000,000","1,203,000,000","1,269,000,000",,
			ShortTermInvestmentsAvailableForSale,"287,457,000,000","281,715,000,000","347,450,000,000","358,713,000,000","331,670,000,000","302,202,000,000","313,801,000,000","298,980,000,000","364,022,000,000","377,677,000,000","367,544,000,000","394,063,000,000","370,604,000,000",,,,,,,,,,,,,
		OtherInvestedAssets,"31,534,000,000","33,175,000,000","30,871,000,000","32,526,000,000","29,756,000,000","27,888,000,000","26,900,000,000","28,194,000,000","30,957,000,000","31,808,000,000","26,941,000,000","31,063,000,000","32,144,000,000","37,906,000,000","32,009,000,000","38,459,000,000","27,765,000,000",,,,,,,,,
	CashAndCashEquivalents,"20,639,000,000","20,195,000,000","20,047,000,000","19,795,000,000","16,598,000,000","15,821,000,000","12,701,000,000","12,651,000,000","12,752,000,000","10,808,000,000","7,585,000,000","15,738,000,000","10,461,000,000","13,046,000,000","10,112,000,000","24,207,000,000","9,961,000,000","7,107,000,000","4,018,000,000","4,051,000,000","3,733,000,000","2,323,000,000","7,473,000,000","3,434,000,000",,
	Receivables,"29,161,000,000","17,406,000,000","17,333,000,000","17,870,000,000","20,443,000,000","19,644,000,000","18,423,000,000","15,465,000,000","22,863,000,000","22,244,000,000","21,859,000,000","21,634,000,000","22,481,000,000","19,830,000,000","17,068,000,000","16,973,000,000","13,373,000,000","14,490,000,000","12,186,000,000","6,696,000,000","7,047,000,000","7,669,000,000","6,437,000,000","8,343,000,000",,
		AccountsReceivable,"28,971,000,000","17,364,000,000","17,149,000,000","17,870,000,000","20,443,000,000","19,644,000,000","18,423,000,000","15,445,000,000","22,702,000,000","22,244,000,000","21,859,000,000","21,634,000,000","22,481,000,000","19,830,000,000","16,752,000,000","16,973,000,000","13,373,000,000","14,490,000,000","12,186,000,000","6,696,000,000","7,047,000,000","7,669,000,000","6,437,000,000","8,343,000,000",,
		TaxesReceivable,"190,000,000","42,000,000","184,000,000","0",,,"0","20,000,000","161,000,000",,,,,"0","316,000,000","0",,,,,,,,,,
	AccruedInvestmentIncome,"3,589,000,000","3,446,000,000","3,185,000,000","3,388,000,000","3,523,000,000","3,582,000,000","3,524,000,000","3,308,000,000","3,988,000,000","4,120,000,000","4,255,000,000","4,374,000,000","4,344,000,000","4,381,000,000","3,173,000,000","3,061,000,000","3,545,000,000","3,347,000,000","3,036,000,000","2,338,000,000","2,186,000,000","2,088,000,000","2,062,000,000","2,050,000,000",,
	DeferredPolicyAcquisitionCosts,"20,151,000,000","19,653,000,000","16,061,000,000","16,389,000,000","17,833,000,000","18,895,000,000","18,419,000,000","17,590,000,000","24,130,000,000","24,442,000,000","26,706,000,000","24,761,000,000","24,619,000,000","27,307,000,000","19,256,000,000","20,144,000,000","17,810,000,000","20,838,000,000","19,641,000,000","14,327,000,000","12,943,000,000","11,727,000,000","11,167,000,000","10,618,000,000",,
	DeferredTaxAssets,"2,612,000,000","2,439,000,000","189,000,000",,,,,,,,,,,"0","1,228,000,000","4,927,000,000","0",,,,,,,"0",,
	GoodwillAndOtherIntangibleAssets,"9,236,000,000","9,297,000,000","9,535,000,000","10,112,000,000","9,308,000,000","9,422,000,000","9,590,000,000","9,220,000,000","9,477,000,000","9,872,000,000","10,542,000,000","9,953,000,000","11,935,000,000","11,781,000,000","5,047,000,000","5,008,000,000","4,814,000,000","4,897,000,000","4,797,000,000",,,,,,,
		Goodwill,"9,236,000,000","9,297,000,000","9,535,000,000","10,112,000,000","9,308,000,000","9,422,000,000","9,590,000,000","9,220,000,000","9,477,000,000","9,872,000,000","10,542,000,000","9,953,000,000","11,935,000,000","11,781,000,000","5,047,000,000","5,008,000,000","4,814,000,000","4,897,000,000","4,797,000,000",,,,,,,
		OtherIntangibleAssets,,,,,,,,,,,,,,,,,,,"4,797,000,000",,,,,,,
	SeparateAccountAssets,"144,634,000,000","146,038,000,000","179,873,000,000","199,970,000,000","188,445,000,000","175,556,000,000","205,001,000,000","195,578,000,000","301,598,000,000","316,994,000,000","317,201,000,000","235,393,000,000","203,023,000,000","183,337,000,000","149,041,000,000","120,839,000,000","160,142,000,000","144,365,000,000","127,869,000,000","86,769,000,000","75,756,000,000","59,693,000,000","62,714,000,000","70,250,000,000",,
