name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
OperatingCashFlow,"14,475,000,000","13,721,000,000","13,044,000,000","12,347,000,000","11,639,000,000","13,786,000,000","11,738,000,000","12,283,000,000","14,774,000,000","14,052,000,000","16,376,000,000","16,131,000,000","17,160,000,000","10,273,000,000","7,985,000,000","3,803,000,000","10,702,000,000","9,902,000,000","3,915,000,000","4,899,000,000","6,510,000,000","7,030,000,000","4,180,000,000","4,258,000,000","3,277,000,000"
	CashFlowFromContinuingOperatingActivities,,"13,721,000,000","13,044,000,000","12,347,000,000","11,639,000,000","13,786,000,000","11,738,000,000","12,283,000,000","14,774,000,000","14,052,000,000","16,376,000,000","16,131,000,000","17,160,000,000","10,273,000,000","7,985,000,000","3,803,000,000","10,702,000,000","9,902,000,000","3,915,000,000","4,899,000,000","6,510,000,000","7,030,000,000","4,180,000,000","4,258,000,000","3,277,000,000"
		NetIncomeFromContinuingOperations,,"1,602,000,000","5,302,000,000","6,876,000,000","5,418,000,000","5,909,000,000","5,128,000,000","4,020,000,000","854,000,000","5,385,000,000","6,336,000,000","3,393,000,000","1,362,000,000","6,415,000,000","2,663,000,000","-2,278,000,000","3,278,000,000","4,317,000,000","6,293,000,000","4,714,000,000","2,758,000,000","2,217,000,000","1,605,000,000","473,000,000","953,000,000"
		OperatingGainsLosses,,"3,890,000,000","1,765,000,000","-4,594,000,000","186,000,000","-190,000,000","549,000,000","557,000,000","292,000,000","-79,000,000","529,000,000","-56,000,000","440,000,000","-2,866,000,000","902,000,000","1,118,000,000","-448,000,000","13,000,000",,,,,,"737,000,000","444,000,000"
			GainLossOnInvestmentSecurities,,"2,800,000,000","1,260,000,000","-1,543,000,000","110,000,000","-444,000,000","298,000,000","363,000,000","-183,000,000","-560,000,000","202,000,000","-155,000,000","332,000,000","-3,181,000,000","854,000,000","7,715,000,000","-1,127,000,000","619,000,000",,,,,,"737,000,000","444,000,000"
			EarningsLossesFromEquityInvestments,,"1,090,000,000","505,000,000","-3,051,000,000","76,000,000","254,000,000","251,000,000","194,000,000","475,000,000","481,000,000","327,000,000","99,000,000","108,000,000","315,000,000","48,000,000","1,118,000,000","679,000,000","-606,000,000",,,,,,,
		DepreciationAndAmortization,,"718,000,000","673,000,000","694,000,000","619,000,000","630,000,000","628,000,000","795,000,000","652,000,000","693,000,000","713,000,000","714,000,000","596,000,000","679,000,000","585,000,000","520,000,000","375,000,000","457,000,000","-224,000,000","352,000,000","334,000,000","478,000,000","498,000,000","481,000,000","-83,000,000"
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,"241,000,000","479,000,000","477,000,000","239,000,000"
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,"241,000,000","479,000,000","477,000,000","239,000,000"
		OtherNonCashItems,,"-3,834,000,000","-3,724,000,000","-3,550,000,000","-3,313,000,000","-5,318,000,000","-5,564,000,000","-7,524,000,000","-9,068,000,000","-9,413,000,000","-9,845,000,000","-9,328,000,000","-8,355,000,000","-7,545,000,000","-5,884,000,000","2,497,000,000","-5,296,000,000","-5,259,000,000","-2,378,000,000","-4,933,000,000","-5,377,000,000","-3,373,000,000","-2,917,000,000","-1,707,000,000","-176,000,000"
